ANNIE HALL	 (Sound and Woody Allen monologue begin)	ALVY	 There's an old joke.  Uh, two elderly women are at a Catskills mountain resort, and one of 'em says: "Boy, the food at this place is really terrible." The other one says, "Yeah, I know, and such ... small portions." Well, that's essentially how I feel about life.  Full of loneliness and misery and suffering and unhappiness, and it's all over much too quickly.  The-the other important joke for me is one that's, uh, usually attributed to Groucho Marx, but I think it appears originally in Freud's wit and its relation to the unconscious.  And it goes like this-I'm paraphrasing: Uh ... "I would never wanna belong to any club that would have someone like me for a member." That's the key joke of my adult life in terms of my relationships with women.  Tsch, you know, lately the strangest things have been going through my mind, 'cause I turned forty, tsch, and I guess I'm going through a life crisis or something, I don't know. I, uh ... and I'm not worried about aging. I'm not one o' those characters, you know. Although I'm balding slightly on top, that's about the worst you can say about me.  I, uh, I think I'm gonna get better as I get older, you know?  I think I'm gonna be the- the balding virile type, you know, as opposed to say the, uh, distinguished gray, for instance, you know?  'Less I'm neither o' those two. Unless I'm one o' those guys with saliva dribbling out of his mouth who wanders into a cafeteria with a shopping bag screaming about socialism. (Sighing) Annie and I broke up and I-I still can't get my mind around that.  You know, I-I keep sifting the pieces of the relationship through my mind and-and examining my life and tryin' to figure out where did the screw-up come, you know, and a year ago we were... tsch, in love.  You know, and-and-and ... And it's funny, I'm not-I'm not a morose type.  I'm not a depressive character. I-I-I, uh, (Laughing) you know, I was a reasonably happy kid, I guess.  I was brought up in Brooklyn during World War II.					Annie Hall 
ROBIN	 Alvy, don't!  You're using sex to express hostility.	ALVY	 "'Why-why do you always r-reduce my animal urges to psychoanalytic categories?' (Clears his throat) he said as he removed her brassiere..."	ROBIN	 (Pulling away again) There are people out there from The New Yorker magazine.  My God!  What would they think?			Annie Hall 
ALVY	 "'Why-why do you always r-reduce my animal urges to psychoanalytic categories?' (Clears his throat) he said as he removed her brassiere..."	ROBIN	 (Pulling away again) There are people out there from The New Yorker magazine.  My God!  What would they think?					Annie Hall 
ROBIN	 Dammit!  I was so close.	ALVY	 (Gesturing) Jesus, last night it was some guy honking his car horn.  I mean, the city can't close down.  You know, what-whatta yuh gonna do, h-have 'em shut down the airport, too?  No more flights so we can have sex?	ROBIN	 (Reaching over for her eyeglasses on the night table) I'm too tense.  I need a Valium.  My analyst says I should live in the country and not in New York.	ALVY	 Well, I can't li- We can't have this discussion all the time.  The country makes me nervous.  There's ... You got crickets and it-it's quiet ... there's no place to walk after dinner, and... uh, there's the screens with the dead moths behind them, and... uh, yuh got the-the Manson family possibly, yuh got Dick and Terry-	Annie Hall 
ALVY	 (Gesturing) Jesus, last night it was some guy honking his car horn.  I mean, the city can't close down.  You know, what-whatta yuh gonna do, h-have 'em shut down the airport, too?  No more flights so we can have sex?	ROBIN	 (Reaching over for her eyeglasses on the night table) I'm too tense.  I need a Valium.  My analyst says I should live in the country and not in New York.	ALVY	 Well, I can't li- We can't have this discussion all the time.  The country makes me nervous.  There's ... You got crickets and it-it's quiet ... there's no place to walk after dinner, and... uh, there's the screens with the dead moths behind them, and... uh, yuh got the-the Manson family possibly, yuh got Dick and Terry-	ROBIN	 (Interrupting) Okay, okay, my analyst just thinks I'm too tense.  Where's the goddamn Valium?	Annie Hall 
ALVY	 Well, I can't li- We can't have this discussion all the time.  The country makes me nervous.  There's ... You got crickets and it-it's quiet ... there's no place to walk after dinner, and... uh, there's the screens with the dead moths behind them, and... uh, yuh got the-the Manson family possibly, yuh got Dick and Terry-	ROBIN	 (Interrupting) Okay, okay, my analyst just thinks I'm too tense.  Where's the goddamn Valium?	ALVY	 Hey, come on, it's quiet now.  We can-we can start again.	ROBIN	 I can't.	Annie Hall 
ANNIE	 (Laughing) I know, but ooh- here he comes.  Okay.	ROB	 You know Alvy?	JANET	 Oh, hi, Alvy.			Annie Hall 
JANET	 Oh, hi, Alvy.	ANNIE	 (To Rob) How are yuh?	ROB	 (To Alvy) You know Annie?	JANET	 I'm sorry.  This is Annie Hall.	Annie Hall 
ANNIE	 (To Rob) How are yuh?	ROB	 (To Alvy) You know Annie?	JANET	 I'm sorry.  This is Annie Hall.	ALVY	 Hi.	Annie Hall 
ANNIE	 Hi.	JANET	 (Laughing) Alvy.	ROB	 (Eager to begin) Who's playing who here?  Alvy Well, uh ... you and me against them?	ANNIE	 (Overlapping Alvy) Well ... so ... I can't play too good, you know.	Annie Hall 
JANET	 (Laughing) Alvy.	ROB	 (Eager to begin) Who's playing who here?  Alvy Well, uh ... you and me against them?	ANNIE	 (Overlapping Alvy) Well ... so ... I can't play too good, you know.	JANET	 (Laughing) I've had four lessons!	Annie Hall 
ROB	 (Eager to begin) Who's playing who here?  Alvy Well, uh ... you and me against them?	ANNIE	 (Overlapping Alvy) Well ... so ... I can't play too good, you know.	JANET	 (Laughing) I've had four lessons!	ALVY	 (Hitting the halt back) Holy gods!	Annie Hall 
ANNIE	 (Overlapping Alvy) Well ... so ... I can't play too good, you know.	JANET	 (Laughing) I've had four lessons!	ALVY	 (Hitting the halt back) Holy gods!			Annie Hall 
JANET	 (Laughing) I've had four lessons!	ALVY	 (Hitting the halt back) Holy gods!					Annie Hall 
ANNIE	 Hi.  Hi, hi.	ALVY	 (Looking over his shoulder) Hi.  Oh, hi.  Hi.	ANNIE	 (Hands clasped in front of her, smiling) Well, bye. She laughs and backs up slowly toward the door.	ALVY	 (Clearing his throat) You-you play ... very well.	Annie Hall 
ALVY	 (Looking over his shoulder) Hi.  Oh, hi.  Hi.	ANNIE	 (Hands clasped in front of her, smiling) Well, bye. She laughs and backs up slowly toward the door.	ALVY	 (Clearing his throat) You-you play ... very well.	ANNIE	 Oh, yeah?  So do you.  Oh, God, whatta- (Making sounds and laughing) whatta dumb thing to say, right?  I mean, you say it, "You play well," and right away ... I have to say well.  Oh, oh ... God, Annie. (She gestures with her hand) Well ... oh, well ... la-de-da, la-de-da, la-la.	Annie Hall 
ANNIE	 (Hands clasped in front of her, smiling) Well, bye. She laughs and backs up slowly toward the door.	ALVY	 (Clearing his throat) You-you play ... very well.	ANNIE	 Oh, yeah?  So do you.  Oh, God, whatta- (Making sounds and laughing) whatta dumb thing to say, right?  I mean, you say it, "You play well," and right away ... I have to say well.  Oh, oh ... God, Annie. (She gestures with her hand) Well ... oh, well ... la-de-da, la-de-da, la-la.	ALVY	 (Still looking over his shoulder) Uh ... you-you wanna lift?	Annie Hall 
ALVY	 (Clearing his throat) You-you play ... very well.	ANNIE	 Oh, yeah?  So do you.  Oh, God, whatta- (Making sounds and laughing) whatta dumb thing to say, right?  I mean, you say it, "You play well," and right away ... I have to say well.  Oh, oh ... God, Annie. (She gestures with her hand) Well ... oh, well ... la-de-da, la-de-da, la-la.	ALVY	 (Still looking over his shoulder) Uh ... you-you wanna lift?	ANNIE	 (Turning and aiming her thumb over her shoulder) Oh, why-uh ... y-y-you gotta car?	Annie Hall 
ANNIE	 Oh, yeah?  So do you.  Oh, God, whatta- (Making sounds and laughing) whatta dumb thing to say, right?  I mean, you say it, "You play well," and right away ... I have to say well.  Oh, oh ... God, Annie. (She gestures with her hand) Well ... oh, well ... la-de-da, la-de-da, la-la.	ALVY	 (Still looking over his shoulder) Uh ... you-you wanna lift?	ANNIE	 (Turning and aiming her thumb over her shoulder) Oh, why-uh ... y-y-you gotta car?	ALVY	 No, um ... I was gonna take a cab.	Annie Hall 
ALVY	 (Still looking over his shoulder) Uh ... you-you wanna lift?	ANNIE	 (Turning and aiming her thumb over her shoulder) Oh, why-uh ... y-y-you gotta car?	ALVY	 No, um ... I was gonna take a cab.	ANNIE	 (Laughing) Oh, no, I have a car.	Annie Hall 
ALVY	 No, um ... I was gonna take a cab.	ANNIE	 (Laughing) Oh, no, I have a car.	ALVY	 You have a car? (Annie smiles, hands folded in front of her) So ... (Clears his throat) I don't understand why ... if you have a car, so then-then wh-why did you say "Do you have a car?"... like you wanted a lift?	ANNIE	 I don't ... (Laughing) I don't ... Geez, I don't know, I've ... I wa- This ... yeah, I got this VW out there ... (Laughing and gesturing toward the door) What a jerk, yeah.  Would you like a lift?	Annie Hall 
ANNIE	 (Laughing) Oh, no, I have a car.	ALVY	 You have a car? (Annie smiles, hands folded in front of her) So ... (Clears his throat) I don't understand why ... if you have a car, so then-then wh-why did you say "Do you have a car?"... like you wanted a lift?	ANNIE	 I don't ... (Laughing) I don't ... Geez, I don't know, I've ... I wa- This ... yeah, I got this VW out there ... (Laughing and gesturing toward the door) What a jerk, yeah.  Would you like a lift?	ALVY	 (Zipping up his bag) Sure.  W-w-w-which way yuh goin'?	Annie Hall 
ALVY	 You have a car? (Annie smiles, hands folded in front of her) So ... (Clears his throat) I don't understand why ... if you have a car, so then-then wh-why did you say "Do you have a car?"... like you wanted a lift?	ANNIE	 I don't ... (Laughing) I don't ... Geez, I don't know, I've ... I wa- This ... yeah, I got this VW out there ... (Laughing and gesturing toward the door) What a jerk, yeah.  Would you like a lift?	ALVY	 (Zipping up his bag) Sure.  W-w-w-which way yuh goin'?	ANNIE	 Me?  Oh, downtown!	Annie Hall 
ANNIE	 I don't ... (Laughing) I don't ... Geez, I don't know, I've ... I wa- This ... yeah, I got this VW out there ... (Laughing and gesturing toward the door) What a jerk, yeah.  Would you like a lift?	ALVY	 (Zipping up his bag) Sure.  W-w-w-which way yuh goin'?	ANNIE	 Me?  Oh, downtown!	ALVY	 Down- I'm-I'm goin' uptown.	Annie Hall 
ALVY	 Down- I'm-I'm goin' uptown.	ANNIE	 (Laughing) Oh, well, I'm goin' uptown, too.	ALVY	 Uh, well, you just said you were going downtown.	ANNIE	 Yeah, well, I'm, but I ...	Annie Hall 
ANNIE	 Yeah, well, I'm, but I ...	ALVY	 (Laughing) So sorry.	ANNIE	 (Laughing) I mean, I can go uptown, too.  I live uptown, but ... uh, what the hell, I mean, it'd be nice having company, you know I mean, I hate driving alone.	ALVY	 (Making sounds) Yeah.	Annie Hall 
ALVY	 (Laughing) So sorry.	ANNIE	 (Laughing) I mean, I can go uptown, too.  I live uptown, but ... uh, what the hell, I mean, it'd be nice having company, you know I mean, I hate driving alone.	ALVY	 (Making sounds) Yeah.			Annie Hall 
ANNIE	 (Laughing) I mean, I can go uptown, too.  I live uptown, but ... uh, what the hell, I mean, it'd be nice having company, you know I mean, I hate driving alone.	ALVY	 (Making sounds) Yeah.					Annie Hall 
ALVY	 So, how long do you know Janet?  Where do you know her from?	ANNIE	 (Laughing) Oh, I'm in her acting class.	ALVY	 Oh - you're an actress.	ANNIE	 Well, I do commercials, sort of ...	Annie Hall 
ANNIE	 No, Chippewa Falls.	ALVY	 Right! (A pause) Where?	ANNIE	 Wisconsin.	ALVY	 (Finally reacting) Uh, you're driving a-	Annie Hall 
ANNIE	 Wisconsin.	ALVY	 (Finally reacting) Uh, you're driving a-	ANNIE	 Uh, don't worry, I'm a very- (A car moves closer to the VW, almost on top of it in the wrong direction.  Annie swerves away at the very last minute) -a very good driver. (Alvy rubs his head nervously, staring out the window as Annie speeds along) So, listen-hey, you want some gum, anyway?	ALVY	 No, no thanks.  Hey, don't-	Annie Hall 
ALVY	 (Finally reacting) Uh, you're driving a-	ANNIE	 Uh, don't worry, I'm a very- (A car moves closer to the VW, almost on top of it in the wrong direction.  Annie swerves away at the very last minute) -a very good driver. (Alvy rubs his head nervously, staring out the window as Annie speeds along) So, listen-hey, you want some gum, anyway?	ALVY	 No, no thanks.  Hey, don't-	ANNIE	 Well, where is it?  I-	Annie Hall 
ALVY	 Nice car.	ANNIE	 (A bit rapidly) Huh?	ALVY	 You keep it nice. (He pulls a half-eaten sandwich out of her bag) Can I ask you, is this-is this a sandwich?	ANNIE	 Huh?  Oh, yeah.	Annie Hall 
ANNIE	 (A bit rapidly) Huh?	ALVY	 You keep it nice. (He pulls a half-eaten sandwich out of her bag) Can I ask you, is this-is this a sandwich?	ANNIE	 Huh?  Oh, yeah.			Annie Hall 
ALVY	 You want your gear?  Here you go.	ANNIE	 (Laughing) Yeah, thanks.  Thanks a lot.  Well...	ALVY	 (Sighing) Well, thanks, thank you.  You-you're a wonderful tennis player.	ANNIE	 (Laughing) Oh.	Annie Hall 
ANNIE	 (Laughing) Yeah, thanks.  Thanks a lot.  Well...	ALVY	 (Sighing) Well, thanks, thank you.  You-you're a wonderful tennis player.	ANNIE	 (Laughing) Oh.	ALVY	 You're the worst driver I've ever seen in my life . . . that's including any place ... the worst ... Europe, United ... any place ... Asia.	Annie Hall 
ALVY	 (Sighing) Well, thanks, thank you.  You-you're a wonderful tennis player.	ANNIE	 (Laughing) Oh.	ALVY	 You're the worst driver I've ever seen in my life . . . that's including any place ... the worst ... Europe, United ... any place ... Asia.	ANNIE	 (Laughing) Yeah.	Annie Hall 
ALVY	 You're the worst driver I've ever seen in my life . . . that's including any place ... the worst ... Europe, United ... any place ... Asia.	ANNIE	 (Laughing) Yeah.	ALVY	 And I love what you're wearin'.	ANNIE	 Oh, you do?  Yeah?  Oh, well, it's uh ... this is, uh ... this tie is a present, from Grammy Hall.	Annie Hall 
ALVY	 Who?  Grammy?  Grammy Hall?	ANNIE	 (Laughing and nodding her head) Yeah, my grammy.	ALVY	 You're jo- Whatta yuh kid- What did you do, grow up in a Norman Rockwell painting?	ANNIE	 (Laughing) Yeah, I know.	Annie Hall 
ALVY	 You're jo- Whatta yuh kid- What did you do, grow up in a Norman Rockwell painting?	ANNIE	 (Laughing) Yeah, I know.	ALVY	 Your grammy!	ANNIE	 I know, it's pretty silly, isn't it?	Annie Hall 
ALVY	 Jesus, my-my grammy ... n-never gave gifts, you know.  She-she was too busy getting raped by Cossacks.	ANNIE	 (Laughing) Well ...	ALVY	 Well ... thank you again.	ANNIE	 Oh, yeah, yeah.	Annie Hall 
ALVY	 I'll see yuh.	ANNIE	 (Overlapping, gesturing) Hey, well, listen ... hey, you wanna come upstairs and, uh ... and have a glass of wine and something?  Aw, no, I mean ... I mean, you don't have to, you're probably late and everything else ...	ALVY	 No, no, that'll be fine. I don't mind. Sure.	ANNIE	 You sure?	Annie Hall 
ANNIE	 You sure?	ALVY	 (Overlapping) No, I got time.	ANNIE	 Okay.	ALVY	 Sure, I got ... I got nothing, uh, nothing till my analyst's appointment.	Annie Hall 
ANNIE	 Neat, yeah.	ALVY	 Uh, I hate to tell yuh, this is nineteen seventy-five, you know that "neat" went out, I would say, at the turn of the century. (Annie laughs) Who-who are-who are those photos on the wall?	ANNIE	 (Moving over to the photographs) Oh ... oh, well, you see now now, uh, that's my dad, that's Father-and that's my ... brother, Duane.	ALVY	 Duane?	Annie Hall 
ALVY	 Uh, I hate to tell yuh, this is nineteen seventy-five, you know that "neat" went out, I would say, at the turn of the century. (Annie laughs) Who-who are-who are those photos on the wall?	ANNIE	 (Moving over to the photographs) Oh ... oh, well, you see now now, uh, that's my dad, that's Father-and that's my ... brother, Duane.	ALVY	 Duane?	ANNIE	 (Pointing) Yeah, right, Duane-and over there is Grammy Hall, and that's Sadie.	Annie Hall 
ALVY	 Duane?	ANNIE	 (Pointing) Yeah, right, Duane-and over there is Grammy Hall, and that's Sadie.	ALVY	 Well, who's Sadie?	ANNIE	 Sadie?  Oh, well, Sadie... (Laughing) Sadie met Grammy through, uh, through Grammy's brother George.  Uh, George was real sweet, you know, he had that thing. What is that thing where you, uh, where you, uh, fall asleep in the middle of a sentence, you know-what is it?  Uh ...	Annie Hall 
ALVY	 Well, who's Sadie?	ANNIE	 Sadie?  Oh, well, Sadie... (Laughing) Sadie met Grammy through, uh, through Grammy's brother George.  Uh, George was real sweet, you know, he had that thing. What is that thing where you, uh, where you, uh, fall asleep in the middle of a sentence, you know-what is it?  Uh ...	ALVY	 Uh, narcolepsy.	ANNIE	 Narcolepsy, right, right.  Right.  So, anyway, so ... (Laughing) George, uh, went to the union, see, to get his free turkey, be-because, uh, the union always gave George this big turkey at Christmas time because he was ... (Annie points her fingers to each side of her head, indicating George was a little crazy) shell-shocked, you know what I mean, in the First World War. (Laughing hysterically, she opens a cabinet door and takes out a bottle of wine) Anyway, so, so ... (Laughing through the speech) George is standing in line, oh, just a sec ...uh, getting his free turkey, but the thing is, he falls asleep and he never wakes up. So, so... (Laughing) so, he's dead ... (Laughing) he's dead.  Yeah.  Oh, dear.  Well, terrible, huh, wouldn't you say?  I mean, that's pretty unfortunate.	Annie Hall 
ALVY	 Uh, narcolepsy.	ANNIE	 Narcolepsy, right, right.  Right.  So, anyway, so ... (Laughing) George, uh, went to the union, see, to get his free turkey, be-because, uh, the union always gave George this big turkey at Christmas time because he was ... (Annie points her fingers to each side of her head, indicating George was a little crazy) shell-shocked, you know what I mean, in the First World War. (Laughing hysterically, she opens a cabinet door and takes out a bottle of wine) Anyway, so, so ... (Laughing through the speech) George is standing in line, oh, just a sec ...uh, getting his free turkey, but the thing is, he falls asleep and he never wakes up. So, so... (Laughing) so, he's dead ... (Laughing) he's dead.  Yeah.  Oh, dear.  Well, terrible, huh, wouldn't you say?  I mean, that's pretty unfortunate.	ALVY	 Yeah, it's a great story, though, I mean, I... I ... it really made my day. Hey, I think I should get outta here, you know, 'cause I think I'm imposing, you know ...	ANNIE	 (Laughing) Oh, really?  Oh, well ... uh, uh, maybe, uh, maybe, we, uh ...	Annie Hall 
ALVY	 Yeah, it's a great story, though, I mean, I... I ... it really made my day. Hey, I think I should get outta here, you know, 'cause I think I'm imposing, you know ...	ANNIE	 (Laughing) Oh, really?  Oh, well ... uh, uh, maybe, uh, maybe, we, uh ...	ALVY	 ... and ... uh, yeah, uh ... uh, you know, I-I-I...	ANNIE	 Well, I mean, you don't have to, you know.	Annie Hall 
ALVY	 Me?  No, no, no, 'cause I never shower in a public place.	ANNIE	 (Laughing) Why not?	ALVY	 'Cause I don't like to get naked in front of another man, you know-it's, uh ...	ANNIE	 (Laughing) Oh, I see, I see.	Annie Hall 
ALVY	 'Cause I don't like to get naked in front of another man, you know-it's, uh ...	ANNIE	 (Laughing) Oh, I see, I see.	ALVY	 You know, I don't like to show my body to a man of my gender-	ANNIE	 Yeah.  Oh, yeah.  Yeah, I see.  I guess-	Annie Hall 
ALVY	 -'cause, uh, you never know what's gonna happen.	ANNIE	 (Sipping her wine and laughing) Fifteen years, huh?	ALVY	 Fifteen years, yeah.	ANNIE	 Yeah.  Oh, God bless!	Annie Hall 
ALVY	 God bless.	ANNIE	 (Laughing) Well, uh ... (Pausing) You're what Grammy Hall would call a real Jew.	ALVY	 (Clearing his throat) Oh, thank you.	ANNIE	 (Smiling) Yeah, well ... you-She hates Jews.  She thinks that they just make money, but let me tell yuh, I mean, she's the one yeah, is she ever.  I'm tellin' yuh.	Annie Hall 
ANNIE	 (Laughing) Well, uh ... (Pausing) You're what Grammy Hall would call a real Jew.	ALVY	 (Clearing his throat) Oh, thank you.	ANNIE	 (Smiling) Yeah, well ... you-She hates Jews.  She thinks that they just make money, but let me tell yuh, I mean, she's the one yeah, is she ever.  I'm tellin' yuh.	ALVY	 (pointing toward the apartment after a short pause) So, did you do shoot the photographs in there or what?	Annie Hall 
ALVY	 (Clearing his throat) Oh, thank you.	ANNIE	 (Smiling) Yeah, well ... you-She hates Jews.  She thinks that they just make money, but let me tell yuh, I mean, she's the one yeah, is she ever.  I'm tellin' yuh.	ALVY	 (pointing toward the apartment after a short pause) So, did you do shoot the photographs in there or what?	ANNIE	 (Nodding, her hand on her hip) Yeah, yeah, I sorta dabble around, you know.	Annie Hall 
ANNIE	 (Smiling) Yeah, well ... you-She hates Jews.  She thinks that they just make money, but let me tell yuh, I mean, she's the one yeah, is she ever.  I'm tellin' yuh.	ALVY	 (pointing toward the apartment after a short pause) So, did you do shoot the photographs in there or what?	ANNIE	 (Nodding, her hand on her hip) Yeah, yeah, I sorta dabble around, you know.	ALVY	 They're ... they're... they're wonderful, you know.  They have ... they have, uh ... a ... a quality.	Annie Hall 
ALVY	 (pointing toward the apartment after a short pause) So, did you do shoot the photographs in there or what?	ANNIE	 (Nodding, her hand on her hip) Yeah, yeah, I sorta dabble around, you know.	ALVY	 They're ... they're... they're wonderful, you know.  They have ... they have, uh ... a ... a quality.	ANNIE	 Well, I-I-I would-I would like to take a serious photography course soon.	Annie Hall 
ALVY	 You know, I gotta get there and begin whining soon ... otherwise I- Hey ... well, are you busy Friday night?	ANNIE	 Me?  Oh, uh. (Laughing) No.	ALVY	 (Putting his band on his forehead) Oh, I'm sorry, wait a minute, I have something.  Well, what about Saturday night?	ANNIE	 (Nodding) Oh ... nothing.  Not-no, no!	Annie Hall 
ANNIE	 Me?  Oh, uh. (Laughing) No.	ALVY	 (Putting his band on his forehead) Oh, I'm sorry, wait a minute, I have something.  Well, what about Saturday night?	ANNIE	 (Nodding) Oh ... nothing.  Not-no, no!	ALVY	 Oh, you ... you're very popular, I can see.	Annie Hall 
ALVY	 (Putting his band on his forehead) Oh, I'm sorry, wait a minute, I have something.  Well, what about Saturday night?	ANNIE	 (Nodding) Oh ... nothing.  Not-no, no!	ALVY	 Oh, you ... you're very popular, I can see.	ANNIE	 (Laughing) I know.	Annie Hall 
ALVY	 Oh, you ... you're very popular, I can see.	ANNIE	 (Laughing) I know.	ALVY	 Gee, boy, what do you have?  You have plague?	ANNIE	 Well, I mean, I meet a lot of ... jerks, you know-	Annie Hall 
ALVY	 Yeah, I meet a lotta jerks, too.	ANNIE	 (Overlapping) -what I mean?	ALVY	 I think that's, uh-	ANNIE	 (Interrupting) But I'm thinking about getting some cats, you know, and then they ... Oh, wait a second-oh, no, no, I mean (Laughing) oh, shoot!  No, Saturday night I'm gonna- (Laughing) gonna sing.  Yeah.	Annie Hall 
ALVY	 I think that's, uh-	ANNIE	 (Interrupting) But I'm thinking about getting some cats, you know, and then they ... Oh, wait a second-oh, no, no, I mean (Laughing) oh, shoot!  No, Saturday night I'm gonna- (Laughing) gonna sing.  Yeah.	ALVY	 You're gonna sing?  Do you sing?  Well, no, it isn't (Overlapping) No kidding? (Overlapping) -this is my first time.  Oh, really?  Where? I'd like to come. (Laughing) Oh, no, no, no, no, no!  No, I'm interested!	ANNIE	 (Laughing) Oh, no-I mean, I'm just a-auditioning sort of at club.  I don't-	Annie Hall 
ANNIE	 (Interrupting) But I'm thinking about getting some cats, you know, and then they ... Oh, wait a second-oh, no, no, I mean (Laughing) oh, shoot!  No, Saturday night I'm gonna- (Laughing) gonna sing.  Yeah.	ALVY	 You're gonna sing?  Do you sing?  Well, no, it isn't (Overlapping) No kidding? (Overlapping) -this is my first time.  Oh, really?  Where? I'd like to come. (Laughing) Oh, no, no, no, no, no!  No, I'm interested!	ANNIE	 (Laughing) Oh, no-I mean, I'm just a-auditioning sort of at club.  I don't-	ALVY	 (Overlapping) No, so help me.	Annie Hall 
ALVY	 You're gonna sing?  Do you sing?  Well, no, it isn't (Overlapping) No kidding? (Overlapping) -this is my first time.  Oh, really?  Where? I'd like to come. (Laughing) Oh, no, no, no, no, no!  No, I'm interested!	ANNIE	 (Laughing) Oh, no-I mean, I'm just a-auditioning sort of at club.  I don't-	ALVY	 (Overlapping) No, so help me.	ANNIE	 (Overlapping) -it's my first time.	Annie Hall 
ANNIE	 (Laughing) Oh, no-I mean, I'm just a-auditioning sort of at club.  I don't-	ALVY	 (Overlapping) No, so help me.	ANNIE	 (Overlapping) -it's my first time.	ALVY	 That's okay, 'cause I know exactly what that's like.  Listen-	Annie Hall 
ALVY	 (Overlapping) No, so help me.	ANNIE	 (Overlapping) -it's my first time.	ALVY	 That's okay, 'cause I know exactly what that's like.  Listen-	ANNIE	 (Interrupting) Yeah.	Annie Hall 
ALVY	 That's okay, 'cause I know exactly what that's like.  Listen-	ANNIE	 (Interrupting) Yeah.	ALVY	 (Overlapping) -you're gonna like night clubs, they're really a lotta fun.			Annie Hall 
ANNIE	 (Interrupting) Yeah.	ALVY	 (Overlapping) -you're gonna like night clubs, they're really a lotta fun.					Annie Hall 
ALVY	 It's terrific.	ANNIE	 (Overlapping) Yeah, you know something?  I never even took a lesson, either.	ALVY	 Hey, listen, listen.	ANNIE	 What?	Annie Hall 
ALVY	 (To the waiter) I'm gonna have a corned beef.	ANNIE	 (To the waiter) Yeah ... oh, uh, and I'm gonna have a pastrami on white bread with, uh, mayonnaise and tomatoes and lettuce. (Alvy involuntarily makes a face as the waiter leaves) Tsch, so, uh, your second wife left you and, uh, were you depressed about that?	ALVY	 Nothing that a few mega-vitamins couldn't cure.	ANNIE	 Oh.  And your first wife was Allison?	Annie Hall 
ANNIE	 H'm?	ALVY	 "There goes another novel." (They laugh) Jesus, you were great.	ANNIE	 Oh, yeah?	ALVY	 Yeah.	Annie Hall 
ALVY	 Yeah, I'm-I'm-I'm a wreck.	ANNIE	 No. (She turns and looks at Alvy, then laughs) You're a wreck.	ALVY	 Really.  I mean it.  I-I'll never play the piano again.	ANNIE	 (Lighting a joint and laughing) You're really nuts.  I don't know, you really thought it was good?  Tell me.	Annie Hall 
ALVY	 Really.  I mean it.  I-I'll never play the piano again.	ANNIE	 (Lighting a joint and laughing) You're really nuts.  I don't know, you really thought it was good?  Tell me.	ALVY	 Good?  I was-	ANNIE	 (Overlapping) No.	Annie Hall 
ALVY	 Good?  I was-	ANNIE	 (Overlapping) No.	ALVY	 No, that was the most fun I've ever had without laughing.	ANNIE	 (Laughing) Here, you want some?	Annie Hall 
ALVY	 No, that was the most fun I've ever had without laughing.	ANNIE	 (Laughing) Here, you want some?	ALVY	 No, no, I-I-i, uh, I don't use any major hallucinogenics because I took a puff like five years ago at a party and	ANNIE	 Yeah?	Annie Hall 
ANNIE	 Yeah?	ALVY	 -tried to take my pants off over my head ... (Annie laughs) ...  my ear.	ANNIE	 Oh, I don't know, I don't really.  I don't do it very often, you know, just sort of, er ... relaxes me at first.	ALVY	 M'hm. (He pushes himself up from the bed and looks down at Annie) You're not gonna believe this, but-	Annie Hall 
ANNIE	 Oh, I don't know, I don't really.  I don't do it very often, you know, just sort of, er ... relaxes me at first.	ALVY	 M'hm. (He pushes himself up from the bed and looks down at Annie) You're not gonna believe this, but-	ANNIE	 What?  What?			Annie Hall 
ALVY	 I-I-I'm gonna buy you these books, I think, because I-I think you should read them.  You know, instead of that cat book.	ANNIE	 (Looking at the books Alvy is bolding) That's, uh ... (Laughing) that's pretty serious stuff there.	ALVY	 Yeah, 'cause I-I'm, you know, I'm, I'm obsessed with-with, uh, with death, I think.  Big-	ANNIE	 (Overlapping) Yeah?	Annie Hall 
ALVY	 Yeah, 'cause I-I'm, you know, I'm, I'm obsessed with-with, uh, with death, I think.  Big-	ANNIE	 (Overlapping) Yeah?	ALVY	 -big subject with me, yeah.	ANNIE	 Yeah?	Annie Hall 
ANNIE	 Yeah?	ALVY	 (Gesturing) I've a very pessimistic view of life. You should know this about me if we're gonna go out, you know. I-I-I feel that life is-is divided up into the horrible and the miserable.	ANNIE	 M'hm.	ALVY	 Those are the two categories ...	Annie Hall 
ANNIE	 M'hm.	ALVY	 There's-there's-there's-there's Mr. When-in-the-Pink, Mr. Miami Beach, there, you know? (Over Annie's laughter) He's the latest! just came back from the gin-rummy farm last night. He placed third.	ANNIE	 (Laughing) M'hm.  Yeah.  Yeah.	ALVY	 (Watching two men approach, one lighting a cigar) Look at these guys.	Annie Hall 
ALVY	 There's-there's-there's-there's Mr. When-in-the-Pink, Mr. Miami Beach, there, you know? (Over Annie's laughter) He's the latest! just came back from the gin-rummy farm last night. He placed third.	ANNIE	 (Laughing) M'hm.  Yeah.  Yeah.	ALVY	 (Watching two men approach, one lighting a cigar) Look at these guys.	ANNIE	 Yeah.	Annie Hall 
ANNIE	 (Laughing) M'hm.  Yeah.  Yeah.	ALVY	 (Watching two men approach, one lighting a cigar) Look at these guys.	ANNIE	 Yeah.	ALVY	 Oh, that's hilarious.  They're back from Fire Island.  They're ... they're sort of giving it a chance-you know what I mean?	Annie Hall 
