MED-TECH	 And how are we today?	RIPLEY	 (weakly) Terrible.	MED-TECH	 Just terrible?  That's better than yesterday at least.	RIPLEY	 How long have I been on Gateway station?	Aliens 
HICKS	 (into mike) Roger.  Check back when you've activated the ship. (turning) He's at the up-link tower.	BURKE	 (calmly) Excellent.					Aliens 
HUDSON	 Do it!	RIPLEY	 (coughing) Burke...it was Burke.					Aliens 
HUDSON	 (intense) I say we grease this rat-fuck son of a bitch right now!	HICKS	 (pacing) I don't get it.  It doesn't make any Goddamn sense.	RIPLEY	 He wanted an alien, only he couldn't get it back through quarantine.  But if we were impregnated ...whatever you call it...and then frozen for the trip back at just the right time...then nobody would know about the embryos we were carrying. We and Newt.	HICKS	 Wait a minute.  We'd know about it.	Aliens 
RIPLEY	 The only way it would work is if he sabotaged certain freezers on the trip back.  Then he could jettison the bodies and make up any story he liked.	HUDSON	 Fuuuck!  He's dead. (to Burke) You're dogmeat, pal.	BURKE	 This is total paranoid delusion. It's pitiful.	RIPLEY	 (wearily) You know, Burke, I don't know which species is worse.  You don't see them screwing each other over for a fucking percentage.	Aliens 
BURKE	 This is total paranoid delusion. It's pitiful.	RIPLEY	 (wearily) You know, Burke, I don't know which species is worse.  You don't see them screwing each other over for a fucking percentage.	HICKS	 (serious) Let's waste him. (to Burke) No offense.	RIPLEY	 Just find someplace to lock him up until it's time to --	Aliens 
RIPLEY	 (wearily) You know, Burke, I don't know which species is worse.  You don't see them screwing each other over for a fucking percentage.	HICKS	 (serious) Let's waste him. (to Burke) No offense.	RIPLEY	 Just find someplace to lock him up until it's time to --	RIPLEY	 They cut the power.	Aliens 
HUDSON	 What do you mean, they cut the power?  How could they cut the power, man?  They're animals.	RIPLEY	 Newt!  Stay close. (to the others) Let's get some trackers going. Come on, get moving.  Gorman, watch Burke.					Aliens 
RIPLEY	 (voice over) Anything?	HUDSON	 There's something.	HUDSON	 It's inside the complex.			Aliens 
HUDSON	 It's inside the complex.	VASQUEZ	 (voice over) You're just reading me.	HUDSON	 No.  No!  It ain't you.  They're inside.  Inside the perimeter. They're in here.	RIPLEY	 Hudson, stay cool.  Vasquez?	Aliens 
RIPLEY	 Hudson, stay cool.  Vasquez?	VASQUEZ	 (cool) Hudson may be right.					Aliens 
HICKS	 (low) It's game time.	RIPLEY	 Get back here, both of you.  Fall back to Operations.					Aliens 
HUDSON	 This signal's weird...must be some interference or something. There's movement all over the place...	RIPLEY	 (voice over) Just get back here!					Aliens 
HUDSON	 Range twenty meters.	RIPLEY	 (to Vasquez) Seal the door.	HUDSON	 Seventeen meters.	HICKS	 Let's get these things lit.	Aliens 
HUDSON	 (hysterical) Let's go!  Let's go!	HICKS	 Fuckin' A!					Aliens 
HICKS	 (o.s.) Hold you fire!	RIPLEY	 (indicating door) Locked.	HICKS	 Stand back.	GORMAN	 You can't use those in here!	Aliens 
VASQUEZ	 Right.  Fire in the hole!	HICKS	 (shouting at Vasquez) Thanks a lot!  Now I can't hear shit.	VASQUEZ	 (shouting) What?			Aliens 
HICKS	 (shouting at Vasquez) Thanks a lot!  Now I can't hear shit.	VASQUEZ	 (shouting) What?					Aliens 
NEWT	 Go right.	HICKS	 (into headset) Bishop, you read me?  Come in, over.	BISHOP	 (voice over; static) Yes, I read you.  Not very well...			Aliens 
HICKS	 (into headset) Bishop, you read me?  Come in, over.	BISHOP	 (voice over; static) Yes, I read you.  Not very well...					Aliens 
RIPLEY	 Back.  Go back!	VASQUEZ	 (icy) Losing fuel.	VASQUEZ	 (hoarse whisper) You always were an asshole, Gorman.			Aliens 
RIPLEY	 Newt!	NEWT	 (o.s.) Mommy...where are you?	NEWT	 (o.s.) Moooommeeee...	RIPLEY	 (to her headset) Hicks, get down here.  I need that locator.	Aliens 
NEWT	 (o.s.) Moooommeeee...	RIPLEY	 (to her headset) Hicks, get down here.  I need that locator.					Aliens 
RIPLEY	 No!  Noooo!	HICKS	 (intense) She's gone!  Let's go!	RIPLEY	 No!  No!  She's alive!  We have to --	HICKS	 All right!  She's alive.  I believe it.  But we gotta get moving!  Now!	Aliens 
RIPLEY	 Hicks, don't let him leave.	HICKS	 (grimacing with pain) We ain't going anywhere.	RIPLEY	 See you, Hicks.	HICKS	 Dwayne.  It's Dwayne.	Aliens 
RIPLEY	 Ellen.	HICKS	 (nods with satisfaction) Don't be long, Ellen.					Aliens 
NEWT	 (weakly) I knew you'd come.	RIPLEY	 Newt, I want you to hang on, now.  Hang on tight.					Aliens 
BISHOP!		RIPLEY	 (to Newt; low) Close your eyes, baby.	VOICE	 You now have thirty seconds to reach...			Aliens 
BISHOP	 Well, thanks, I --	RIPLEY	 (to Newt) Go!	RIPLEY	 Here!			Aliens 
BISHOP	 Not bad for a human.	NEWT	 (weakly) Mommy...Mommy?	RIPLEY	 Right here, baby.  Right here.			Aliens 
