SECRETARY (V.O.)	 Hi, Marty it's Helen again. I cancelled your Wednesday afternoon appointment so you can visit with your mother. Bye bye.	MAN	 (in French)	???				Agnes of God 
MARTHA	 (picking up the papers) You're what?	MOTHER MIRIAM	 If we want to hire a psychiatrist for Agnes. we'll find our own, thank you. (starts to leave)	MARTHA	 One that will ask the questions you want asked.	MOTHER MIRIAM	 (halting) One that will approach this matter with some objectivity and respect.	Agnes of God 
MARTHA	 One that will ask the questions you want asked.	MOTHER MIRIAM	 (halting) One that will approach this matter with some objectivity and respect.	MARTHA	 For the Church?	MOTHER MIRIAM	 For Agnes.	Agnes of God 
MOTHER MIRIAM	 Why must he be anybody?	MARTHA	 (laughs and sits down) My God, you're as crazy as...	MOTHER MIRIAM	 Stop laughing, I don't say it's the truth, I'm saying...	MARTHA	 How (distorted) ?	Agnes of God 
MOTHER MIRIAM	 Stop laughing, I don't say it's the truth, I'm saying...	MARTHA	 How (distorted) ?	MOTHER MIRIAM	 Don't be ridiculous.	MARTHA	 Well give me a reasonable explanation	Agnes of God 
MARTHA	 That's what I have to believe...	MOTHER MIRIAM	 Then why are you so obsessed with her? You're losing sleep over her? (Martha gets up disturbed) You're thinking about her all the time. You're bent on saving her. Why?	MOTHER MIRIAM (CONT'D)	 (calmer) I'm not accusing. I'm recognizing.	MARTHA	 There's a tunnel out of the crypt into the barn. Did you know about that? There's an answer Mother. That's how she got out.	Agnes of God 
MARTHA	 All I want is one more week.	LEVEAU	 Why? (continues in French, then...) You've done nothing to show any progress.	MARTHA	 Yes, that's because I'm getting to her.	LEVEAU	 You're getting to all of us Martha, let's face it.	Agnes of God 
MARTHA	 Oh Joe... Joe she didn't kill the baby.	LEVEAU	 (halting) You have proof?	MARTHA	 I'll have it.	LEVEAU	 When?	Agnes of God 
MARTHA	 Next week.	LEVEAU	 (walking on) No, no, no...	MARTHA		LEVEAU	 No!	Agnes of God 
MARTHA	 Tomorrow... tomorrow, I'll get it by tomorrow. I will.	LEVEAU	 Yes, demain (?)					Agnes of God 
MARTHA	 Oh Agnes...	AGNES	 It's bleeding... I'm bleeding... my God it won't stop, I can't get it to stop. (to Mother Miriam) Let go of me, I wish you were dead.	MARTHA	 (trying to hold her) Agnes... Agnes...	AGNES	 Stay away from me...	Agnes of God 
AGNES	 It's bleeding... I'm bleeding... my God it won't stop, I can't get it to stop. (to Mother Miriam) Let go of me, I wish you were dead.	MARTHA	 (trying to hold her) Agnes... Agnes...	AGNES	 Stay away from me...	MARTHA	 Agnes it had nothing to do with the hand of God. He did a terrible thing to you, do you understand?	Agnes of God 
MARTHA	 Agnes, who did this to you?	AGNES	 God!  It was God. (sinks to her knees) And now I'll burn in hell because I hate him.	MARTHA	 Agnes you won't burn in hell. It's alright to hate him.	MOTHER MIRIAM	 That's enough.	Agnes of God 
MARTHA	 Agnes, what happened to the baby?	MOTHER MIRIAM	 (shouting) She can't remember.	MARTHA	 What happened to the baby?	AGNES	 It was dead.	Agnes of God 
AGNES	 I don't remember.	MOTHER MIRIAM	 (screaming) Oh, don't do this!	MARTHA	 Wasn't it!	AGNES		Agnes of God 
AGNES	 Yes.	MARTHA	 And then... what did she do? (no answer) Agnes what did she do?	AGNES	 She... left me alone with that little thing, and I looked at it, and I thought this is a mistake. But it's my mistake, not Mommy's. God's mistake. (she raises her hands) I can give her back to God.	MARTHA	 What did you do?	Agnes of God 
MARTHA	 And then... what did she do? (no answer) Agnes what did she do?	AGNES	 She... left me alone with that little thing, and I looked at it, and I thought this is a mistake. But it's my mistake, not Mommy's. God's mistake. (she raises her hands) I can give her back to God.	MARTHA	 What did you do?	AGNES	 I put her to sleep.	Agnes of God 
LEVEAU (CONT'D)	 (surprised) Oui. Do you have something to say?	AGNES	 (a long pause) I stood in the window of my room every night for a week. And one night I heard the most beautiful voice imaginable. And when I looked I saw the moon shining down on him. For six nights he sang to me, songs I'd never heard. And on the seventh night he opened his wings and lay on top of me. All the while he sang - (sings) Charlie Sweet... Charlie Sweet... Charlie's a...	LEVEAU	 Please, remove her from the court.	LEVEAU	 Would someone please remove the defendant from the courtroom. (continues in French)	Agnes of God 
