LUTHER	 (as they nod to each other) Redhead.	RED	 Luther. (as Luther hands him a videotape) Your life would be a whole lot simpler if you could learn to operate a V.C.R.	LUTHER	 My only failing.			Absolute Power 
LUTHER	 (couldn't agree more) I'm the perfect prototype. (sipping away) But you see any face often enough, you'll start putting things together. That's why these top guys disguise themselves. I read a great article a couple of years back -- damn, I wish I could remember where -- anyway, it was about these makeup experts some of them use -- wigmakers, people like that.	SETH	 (flipping a page) Go on about the wigmakers.	LUTHER	 (glancing at his watch) I'd love that but I'm late as it is -- got to get my pacemaker checked. (he likes Seth) -- all this excitement, you understand.	SETH	 (and he likes Luther) A) You don't have a pacemaker, and B) I'll be back tomorrow.	Absolute Power 
SETH	 (flipping a page) Go on about the wigmakers.	LUTHER	 (glancing at his watch) I'd love that but I'm late as it is -- got to get my pacemaker checked. (he likes Seth) -- all this excitement, you understand.	SETH	 (and he likes Luther) A) You don't have a pacemaker, and B) I'll be back tomorrow.	LUTHER	 Tomorrow is promised to no one.	Absolute Power 
LUTHER	 (glancing at his watch) I'd love that but I'm late as it is -- got to get my pacemaker checked. (he likes Seth) -- all this excitement, you understand.	SETH	 (and he likes Luther) A) You don't have a pacemaker, and B) I'll be back tomorrow.	LUTHER	 Tomorrow is promised to no one.			Absolute Power 
LUTHER	 Turn that off, okay?	BARTENDER	 (finishing up the glasses) In a sec.					Absolute Power 
LUTHER	 (politely) Put it back on.	177   CONTINUED:                                                  177		BARTENDER	 (starting to argue) You said --			Absolute Power 
177   CONTINUED:                                                  177		BARTENDER	 (starting to argue) You said --	LUTHER	 (cutting through) Do it --	RICHMOND (V.O.)	 We feel savagery and violence must be allowed a place at table. (beat) That is wrong. That is not America. I shall fight that battle.	Absolute Power 
BARTENDER	 (starting to argue) You said --	LUTHER	 (cutting through) Do it --	RICHMOND (V.O.)	 We feel savagery and violence must be allowed a place at table. (beat) That is wrong. That is not America. I shall fight that battle.	RICHMOND (V.O.)	 Dear friend, old friend, we shall fight that battle.	Absolute Power 
LUTHER	 (cutting through) Do it --	RICHMOND (V.O.)	 We feel savagery and violence must be allowed a place at table. (beat) That is wrong. That is not America. I shall fight that battle.	RICHMOND (V.O.)	 Dear friend, old friend, we shall fight that battle.	RICHMOND (V.O.)	 Who can explain the ways of chance? If we had never met, I would not be President. If Christine had not taken ill, she would be with you in Barbados                        * even now. Oh, Walter, you've                         * always been like a father to me.                     * I would give the world to lessen your pain.	Absolute Power 
RUSSELL	 I've never dealt with blackmail --	BURTON	 (trying for calm) -- he doesn't want money --	RUSSELL	 (exploding) -- you a mind reader too?                               *	184   CONTINUED:                                                      184		Absolute Power 
BURTON	 (trying for calm) -- he doesn't want money --	RUSSELL	 (exploding) -- you a mind reader too?                               *	184   CONTINUED:                                                      184		BURTON	 (under control) No, I just looked on the back -- (shows her ) -- see? --	Absolute Power 
184   CONTINUED:                                                      184		BURTON	 (under control) No, I just looked on the back -- (shows her ) -- see? --	RUSSELL	 (reading) 'I don't want money.'	LUTHER	 (admiringly) This guy sure has the guts of a burglar. Wish we had him.	Absolute Power 
BURTON	 (under control) No, I just looked on the back -- (shows her ) -- see? --	RUSSELL	 (reading) 'I don't want money.'	LUTHER	 (admiringly) This guy sure has the guts of a burglar. Wish we had him.	RUSSELL	 You finished your recruiting speech? Because I'd like to know how I handle this.	Absolute Power 
RUSSELL	 (reading) 'I don't want money.'	LUTHER	 (admiringly) This guy sure has the guts of a burglar. Wish we had him.	RUSSELL	 You finished your recruiting speech? Because I'd like to know how I handle this.	BURTON	 Like you handled the letter opener?	Absolute Power 
RUSSELL	 Gee, Bill, that could be construed as criticism. Do you really want me as an enemy?	BURTON	 Miss Russell, I should have called the police that night. But I was weak. You convinced me to stay silent. I regret that. (another pause) Know this: every time I see your face I want to rip your throat out.	184   CONTINUED:    (2)                                           184		RUSSELL	 Fine -- you win the pissing contest -- (then suddenly almost like a little girl) -- what should I do?	Absolute Power 
184   CONTINUED:    (2)                                           184		RUSSELL	 Fine -- you win the pissing contest -- (then suddenly almost like a little girl) -- what should I do?	BURTON	 Nothing -- because he's making a terrible mistake, he thinks he has time -- he doesn't -- Seth Frank's too good. He'll bring him in.	RUSSELL	 Then what?	Absolute Power 
RUSSELL	 Then what?	COLLIN	 (his first words) Then I kill him.					Absolute Power 
SETH	 (trying for a smile) For a tough prosecutor, you don't resemble your reputation, Miss Whitney.	KATE	 (the same) Is that good or bad?	185   CONTINUED:                                                   185		KATE (CONT'D)	 (before Seth can reply) Look, Lieutenant -- I told you on the phone, I'm simply not involved with my father, so this may not be a waste of time for you, but it sure is for me.	Absolute Power 
185   CONTINUED:                                                   185		KATE (CONT'D)	 (before Seth can reply) Look, Lieutenant -- I told you on the phone, I'm simply not involved with my father, so this may not be a waste of time for you, but it sure is for me.	SETH	 What would you do if I just turned around and left?	KATE	 Report you as an incompetent.	Absolute Power 
KATE	 Report you as an incompetent.	SETH	 (a real smile now) You're exactly like your reputation, Miss Whitney --					Absolute Power 
SETH	 (the instant they're alone) I'm assuming your father's a big part of you --	KATE	 -- what? --	SETH	 -- You think it's all coincidence? He's a thief and you just happen to be the toughest prosecutor in the area?			Absolute Power 
SETH	 -- You think it's all coincidence? He's a thief and you just happen to be the toughest prosecutor in the area?	KATE	 (just amazed) Wow -- that never crossed my mind -- you think there might be some connection? -- Like maybe I'm somehow compensating? -- I better write that down.	SETH	 -- Luther disappeared.	186   CONTINUED:                                                   186		Absolute Power 
KATE	 Couple days ago. He said he might be going away. There. I just helped you. Can I go back to work now?	SETH	 (shakes his head) Any idea where he might have gone?	KATE	 (snappishly) Quit wasting my time -- if he doesn't want you to find him, you're not going to find him.	SETH	 You saying he's left town, skipped the country, what?	Absolute Power 
SETH	 (shakes his head) Any idea where he might have gone?	KATE	 (snappishly) Quit wasting my time -- if he doesn't want you to find him, you're not going to find him.	SETH	 You saying he's left town, skipped the country, what?	KATE	 I'm saying you won't recognize him. I'm saying he could be just around the corner -- he always kept a safe house --	Absolute Power 
KATE	 I'm saying you won't recognize him. I'm saying he could be just around the corner -- he always kept a safe house --	SETH	 (cutting in) -- where? --	186   CONTINUED:    (2)                                                186		KATE	 He never said --	Absolute Power 
SETH	 Strange place for a thief to leave a key, don't you think?	KATE	 (quick memory) He always did that...					Absolute Power 
190   CONTINUED:                                                    190		KATE	 (fighting tears) ... but he wasn't at those places... (pointing to the grown-up photos) ... college graduation; law school graduation; the night Mom and I celebrated when I got a job; and me alone on the steps? -- I'd just won my first case, I was so proud... (still fighting) ... I used to think... sometimes I'd come home and I'd sense he'd been in my apartment, checking the fridge, shaking his head because he never thought I ate right... It's crazy but I just knew Daddy was watching over me...	SETH	 You can do a good thing, Kate -- (beat) -- help me bring him in. Just leave a message on his phone machine, you're worried about him.	190   CONTINUED:    (2)                                           190		Absolute Power 
KATE	 (fighting tears) ... but he wasn't at those places... (pointing to the grown-up photos) ... college graduation; law school graduation; the night Mom and I celebrated when I got a job; and me alone on the steps? -- I'd just won my first case, I was so proud... (still fighting) ... I used to think... sometimes I'd come home and I'd sense he'd been in my apartment, checking the fridge, shaking his head because he never thought I ate right... It's crazy but I just knew Daddy was watching over me...	SETH	 You can do a good thing, Kate -- (beat) -- help me bring him in. Just leave a message on his phone machine, you're worried about him.	190   CONTINUED:    (2)                                           190		KATE	 ... No...	Absolute Power 
KATE	 ... He won't come...	SETH	 (indicating the pictures) Of course he'll come. You're all he has.	SETH	 (moving in) Kate, he's on the run   and he's scared and he's right   to be scared because he's going to   get caught -- you don't know the   heat on this.                *	KATE                                   *	 He's not a murderer.                                 *	Absolute Power 
KATE                                   *	 He's not a murderer.                                 *	SETH                                   *	 Maybe you're right. Maybe he is                      * innocent. If so I'll have him                        * home and dry in a few hours. But                     * what happens if some hotshot who's trying to make a reputation tracks him down? (beat) I can guarantee his safety. You make the call, I make a promise: You'll have your father, home and dry...					Absolute Power 
LUTHER	 I need to look really good today.	SALESMAN	 Business? (as Luther tries the other hat -- very rakish, he likes it) It's a woman, I can tell. (as Luther nods) Never too late, is it?	LUTHER	 You got that right.			Absolute Power 
WAITER	 Miss? (as she spins around) What you want please?	KATE	 Nothing, thank you.	234   CONTINUED:                                                     234				Absolute Power 
KATE	 Pardon?	WAITER	 (gesturing) You sit you eat please.					Absolute Power 
KATE	 (gesturing around) I'm waiting for someone.	WAITER	 He must eat too, please.	KATE	 Oh he will, we both will -- we'll order half the menu -- but just not now --			Absolute Power 
KATE	 (glancing around) Messy.	SETH	 I like that in a woman.	277   CONTINUED:                                                       277				Absolute Power 
277   CONTINUED:                                                       277		SETH	 Top number's local police -- (as she nods) -- other two are my office and home. (off another nod) I live alone, too, call anytime. Want me to get someone to spend the night?	KATE	 I just need some sleep.	SETH	 I've got surveillance outside. And I'm keeping it on 'til this is over. I've got a feeling he's going to try and contact you.	Absolute Power 
KATE	 You said.	SETH	 (he knows that) Feeble, huh?	KATE	 Anything for the road?     I've got water and water.	SETH	 Deal.	Absolute Power 
278   CONTINUED:                                                   278		SETH	 Pelligrino would be great. (off Kate, who can't help it, breaks out laughing) What's funny, I say it wrong?	KATE	 Tired is all.			Absolute Power 
SETH	 I don't think I've told you this, but I live alone. (and this time, as she does smile, and he does go) Lock it behind me.	KATE	 (LOCKING it loudly) How's that?	SETH (O.S.)	 Real good.    Try and sleep.	KATE	 (still facing door, her back to her apartment) I betrayed you, Luther. You better know that now.	Absolute Power 
SETH (O.S.)	 Real good.    Try and sleep.	KATE	 (still facing door, her back to her apartment) I betrayed you, Luther. You better know that now.	LUTHER (O.S.)	 You're not the first.	KATE	 Why'd you come?	Absolute Power 
KATE	 No, this afternoon. To the restaurant. Why'd you come then? You must have suspected something, or you wouldn't have been prepared.	LUTHER	 (simply) My daughter wanted to see me.	LUTHER	 The robbery went fine 'til they came in. They were drunk. I hid in the vault. Sex got rough. He was going to kill Christy, but she turned the tables, was going to kill him. Two guys came in, shot her dead.	KATE	 The same two guys who tried for you this afternoon?	Absolute Power 
LUTHER	 On your mother's grave, Kate -- you know I'd kill myself before I'd lie about that.	KATE	 (soft) Jesus, Luther.	LUTHER	 I know.	KATE	 They'll kill you.	Absolute Power 
KATE                                                              *		LUTHER	 -- but I've never robbed anyone couldn't afford it and I've never stiffed a waitress. (beat) And Alan Richmond has to pay.	KATE	 What can you do?	LUTHER	 Not much, maybe -- but I only went to jail when I had partners. (beat) People betray each other, Kate -- nowadays, when there's a group, someone wants to write a book --	Absolute Power 
KATE	 What can you do?	LUTHER	 Not much, maybe -- but I only went to jail when I had partners. (beat) People betray each other, Kate -- nowadays, when there's a group, someone wants to write a book --	279   CONTINUED:   (4)                                            279		LUTHER (CONT'D)	 (beat) -- these people hate each other. And if I can drive them just a little bit nuts, who knows how they'll react under pressure? (rises and looks at her) Glad for the talk, wish we'd had more.	Absolute Power 
279   CONTINUED:   (4)                                            279		LUTHER (CONT'D)	 (beat) -- these people hate each other. And if I can drive them just a little bit nuts, who knows how they'll react under pressure? (rises and looks at her) Glad for the talk, wish we'd had more.	LUTHER	 This is probably it; you understand that. (as she does, he still looks at her. Then -- ) I was never going to tell you this, but I watched you argue a case last year -- thank God you got your brains from your mother.	KATE	 It's dangerous outside.	Absolute Power 
KATE	 It's dangerous outside.	LUTHER	 It always is -- (beat) -- and I may not make you proud, Kate -- (soft) -- but I'm not going down alone...					Absolute Power 
280   CONTINUED:                                                     280		WELL-DRESSED MAN	 (it's Luther) For Miss Gloria Russell.	DOORMAN	 (taking it) Want me to sign anything?	LUTHER	 (shakes head) I trust you.	Absolute Power 
WELL-DRESSED MAN	 (it's Luther) For Miss Gloria Russell.	DOORMAN	 (taking it) Want me to sign anything?	LUTHER	 (shakes head) I trust you.			Absolute Power 
DOORMAN	 (taking it) Want me to sign anything?	LUTHER	 (shakes head) I trust you.					Absolute Power 
RICHMOND	 (as Russell approaches) You're a vision this evening, Miss Russell.	282   CONTINUED:                                                       282		RUSSELL	 Thank you, Mr. President. (beat) And thank you, Mr. President.			Absolute Power 
282   CONTINUED:                                                       282		RUSSELL	 Thank you, Mr. President. (beat) And thank you, Mr. President.	RICHMOND	 (doesn't understand) For? (off her, radiant, indicating the necklace) Come again?	RUSSELL	 (whispering) You sent it to me this afternoon.	Absolute Power 
RUSSELL	 Thank you, Mr. President. (beat) And thank you, Mr. President.	RICHMOND	 (doesn't understand) For? (off her, radiant, indicating the necklace) Come again?	RUSSELL	 (whispering) You sent it to me this afternoon.	RICHMOND	 Well, of course. (now, to the others) Excuse me, all -- I am overcome with the desire to dance with my Chief of Staff. * A hand to her -- Russell, beaming, moves out onto the dance floor with him.	Absolute Power 
RICHMOND	 (doesn't understand) For? (off her, radiant, indicating the necklace) Come again?	RUSSELL	 (whispering) You sent it to me this afternoon.	RICHMOND	 Well, of course. (now, to the others) Excuse me, all -- I am overcome with the desire to dance with my Chief of Staff. * A hand to her -- Russell, beaming, moves out onto the dance floor with him.			Absolute Power 
RUSSELL	 (whispering) You sent it to me this afternoon.	RICHMOND	 Well, of course. (now, to the others) Excuse me, all -- I am overcome with the desire to dance with my Chief of Staff. * A hand to her -- Russell, beaming, moves out onto the dance floor with him.	RICHMOND	 What is this nonsense? I'm hoping there's an explanation.			Absolute Power 
282   CONTINUED:    (2)                                                  282		RUSSELL	 (surprised) Your gift, Alan -- I was overwhelmed -- and your note was so gratifying --	RICHMOND	 (cutting in) -- I sent a note?	RUSSELL	 Yes, yes, you think I don't know your writing? I assumed you wanted me to wear it tonight.	Absolute Power 
RUSSELL	 (surprised) Your gift, Alan -- I was overwhelmed -- and your note was so gratifying --	RICHMOND	 (cutting in) -- I sent a note?	RUSSELL	 Yes, yes, you think I don't know your writing? I assumed you wanted me to wear it tonight.	RICHMOND	 It is lovely, Gloria -- and you know what else?	Absolute Power 
282   CONTINUED:    (3)                                             282   *		RICHMOND	 (so happy) You've been keeping things from me?	RUSSELL	 Only because you have so much on your plate, Alan; we wanted to spare you. (beat) He sent me a Polaroid of the letter opener yesterday. * The crowd of elegant men and women, it's really wonderful dancing they're seeing -- they start to applaud.			Absolute Power 
RICHMOND	 (so happy) You've been keeping things from me?	RUSSELL	 Only because you have so much on your plate, Alan; we wanted to spare you. (beat) He sent me a Polaroid of the letter opener yesterday. * The crowd of elegant men and women, it's really wonderful dancing they're seeing -- they start to applaud.	RICHMOND	 Well, now -- (a final flourish) -- I need time to think -- come see me in my office in the morning -- (beat) This will certainly make for an interesting chapter in my memoirs.			Absolute Power 
RUSSELL	 Only because you have so much on your plate, Alan; we wanted to spare you. (beat) He sent me a Polaroid of the letter opener yesterday. * The crowd of elegant men and women, it's really wonderful dancing they're seeing -- they start to applaud.	RICHMOND	 Well, now -- (a final flourish) -- I need time to think -- come see me in my office in the morning -- (beat) This will certainly make for an interesting chapter in my memoirs.					Absolute Power 
BURTON	 (pissed) What are you doing?	COLLIN	 (closes the desk, shrugs) Needed a pen.	BURTON	 (pointing to his desktop) There's pens -- (moving in) -- you don't trust me? --	COLLIN	 (pissed) -- I don't answer to you, asshole	Absolute Power 
COLLIN	 (closes the desk, shrugs) Needed a pen.	BURTON	 (pointing to his desktop) There's pens -- (moving in) -- you don't trust me? --	COLLIN	 (pissed) -- I don't answer to you, asshole	--		Absolute Power 
BURTON	 (pointing to his desktop) There's pens -- (moving in) -- you don't trust me? --	COLLIN	 (pissed) -- I don't answer to you, asshole	--		RUSSELL	 You're both assholes, now move --	Absolute Power 
RICHMOND	 (holding the note now, his voice is, when he speaks, calm; to Burton) Any idea who could have forged it?	293   CONTINUED:                                              293		BURTON	 I talked to Seth Frank -- apparently Whitney learned how in prison.			Absolute Power 
BURTON	 You're sure you want to do that?	RICHMOND	 (nods) She's a young prosecutor, prosecutors ask questions -- she might know what he knows... (a reassuring smile) Let's get cracking, shall we? (beat) Show you love your country.					Absolute Power 
325   CONTINUED:    (2)                                               325		COLLIN	 (staring, eyes wide) ... you're not going to kill me...	LUTHER	 ... why do you think that...?	COLLIN	 ... you could have but you didn't...	Absolute Power 
LUTHER	 I need one answer -- when you interviewed Walter Sullivan, did he say why Christy didn't go to Barbados?	SETH	 (shakes his head) Just that she changed her mind. (studying Luther) You know who did it, don't you?	LUTHER	 So will you -- check your phones --	SETH	 (incredulous) -- who'd tap a police officer?	Absolute Power 
LUTHER	 So will you -- check your phones --	SETH	 (incredulous) -- who'd tap a police officer?					Absolute Power 
WALTER SULLIVAN	 Is this a shortcut, Tommy?                              *	CHAUFFEUR	 (turns; it's Luther) I'm your replacement driver for the evening, sir. Don't worry, Tommy's fine.                                            *	WALTER SULLIVAN	 Very unusual -- what do I call you?	LUTHER	 Luther, sir.	Absolute Power 
332   CONTINUED:                                                    332		WALTER SULLIVAN	 -- I'm sorry I missed -- I believe in the Old Testament, sir -- there is nothing wrong with an eye for an eye when a terrible deed has been done. (ice) A deed such as yours.	LUTHER	 You want to believe that, don't you? -- Makes your life a lot simpler if you believe that, isn't that right? (big now) What do you think I gain being here?	WALTER SULLIVAN	 Have no idea -- you going to rob me again? --	Absolute Power 
WALTER SULLIVAN	 -- I'm sorry I missed -- I believe in the Old Testament, sir -- there is nothing wrong with an eye for an eye when a terrible deed has been done. (ice) A deed such as yours.	LUTHER	 You want to believe that, don't you? -- Makes your life a lot simpler if you believe that, isn't that right? (big now) What do you think I gain being here?	WALTER SULLIVAN	 Have no idea -- you going to rob me again? --	LUTHER	 I don't need your money, Mr. Sullivan. Look in your vault lately?	Absolute Power 
LUTHER	 I don't need your money, Mr. Sullivan. Look in your vault lately?	WALTER SULLIVAN	 (he has) I'm afraid we're a little late for an attempt at leniency.					Absolute Power 
LUTHER	 Shit's coming down tonight, Mr. Sullivan, do you want to be a player or not? (bigger) Do you want to know what happened, or not? I saw. Your call.	WALTER SULLIVAN	 (beat) I want to know.	334   CONTINUED:                                                    334		LUTHER	 Are you up to hearing about it? -- Do you want to hear how he beat the shit out of her and tried to strangle her -- you have enough left for that? --	Absolute Power 
LUTHER	 Are you up to hearing about it? -- Do you want to hear how he beat the shit out of her and tried to strangle her -- you have enough left for that? --	WALTER SULLIVAN	 (a nod) -- I could walk through fire --	LUTHER	 I was in the chair when they came in. (as Sullivan says nothing) They were drunk -- at first he only wanted to bruise her -- she fought back, he went for the kill -- she turned the tables. Then he screamed for help.	WALTER SULLIVAN	 Who else was in my house?	Absolute Power 
WALTER SULLIVAN	 (a nod) -- I could walk through fire --	LUTHER	 I was in the chair when they came in. (as Sullivan says nothing) They were drunk -- at first he only wanted to bruise her -- she fought back, he went for the kill -- she turned the tables. Then he screamed for help.	WALTER SULLIVAN	 Who else was in my house?	LUTHER	 Secret Service shot her.	Absolute Power 
LUTHER	 Secret Service shot her.	WALTER SULLIVAN	 (doesn't like it) Nonsense.	LUTHER	 Gloria Russell handled the cover up.	WALTER SULLIVAN	 Stop this --	Absolute Power 
LUTHER	 -- don't you want to know who the man was?	WALTER SULLIVAN	 (desperate) It was you.	LUTHER	 We're too old to bullshit each other, Mr. Sullivan.	334   CONTINUED:    (2)                                            334		Absolute Power 
334   CONTINUED:    (2)                                            334		WALTER SULLIVAN	 (big) Who was it then?	LUTHER	 (bigger) You know!	LUTHER	 You fucking well do, don't shake your head at me -- when you're alone at night, when the rage takes you and you think of what you'd do to revenge her, on those nights you put a face to your enemy.	Absolute Power 
WALTER SULLIVAN	 (big) Who was it then?	LUTHER	 (bigger) You know!	LUTHER	 You fucking well do, don't shake your head at me -- when you're alone at night, when the rage takes you and you think of what you'd do to revenge her, on those nights you put a face to your enemy.	WALTER SULLIVAN	 (coming apart) Stop the car --	Absolute Power 
LUTHER	 You fucking well do, don't shake your head at me -- when you're alone at night, when the rage takes you and you think of what you'd do to revenge her, on those nights you put a face to your enemy.	WALTER SULLIVAN	 (coming apart) Stop the car --	LUTHER	 -- we're going all the way, Walter --	WALTER SULLIVAN	 -- it's too terrible.	Absolute Power 
WHEELS SCREAM --		LUTHER	 (pressing it) The press conference -- remember? -- he held you in his arms and said if only Christy hadn't gotten sick she would have been with you                     * in Barbados --                                        *	334   CONTINUED:    (3)                                           334		LUTHER (CONT'D)	 (bigger) -- how do you think he knew she was sick? You didn't tell anybody. But he heard it, all right. He heard it from her. That night. And I heard every word --	Absolute Power 
334   CONTINUED:    (3)                                           334		LUTHER (CONT'D)	 (bigger) -- how do you think he knew she was sick? You didn't tell anybody. But he heard it, all right. He heard it from her. That night. And I heard every word --	WALTER SULLIVAN	 That's not real proof.	LUTHER	 And this?	Absolute Power 
REPORTER #1 (V.O.)	 Mister Sullivan, have you no idea why the President took his own life?	WALTER SULLIVAN (V.O.)	 (voice soft) I know he's been feeling the pressure of office more than ever lately. We've talked about it a great deal.	REPORTER #2 (V.O.)	 But why would he stab himself?	WALTER SULLIVAN (V.O.)	 (sadly) That's a question that will haunt me forever. Of course I tried to stop him -- (beat) -- Alan was like a son to me...	Absolute Power 
REPORTER #2 (V.O.)	 But why would he stab himself?	WALTER SULLIVAN (V.O.)	 (sadly) That's a question that will haunt me forever. Of course I tried to stop him -- (beat) -- Alan was like a son to me...					Absolute Power 
347B   CONTINUED:                                                         347B		KATE	 (eyes still closed) ... was that Seth...?	LUTHER	 He was just checking in. When you're up to it, he said we might come over for dinner. He                                     * mentioned --                                                 *	KATE	 (eyes half open) I know, he lives alone --                                    *	Absolute Power 
LUTHER	 He was just checking in. When you're up to it, he said we might come over for dinner. He                                     * mentioned --                                                 *	KATE	 (eyes half open) I know, he lives alone --                                    *	LUTHER	 (smiles) Watch it now.	KATE	 ... you don't have to fuss...	Absolute Power 
KATE	 (eyes half open) I know, he lives alone --                                    *	LUTHER	 (smiles) Watch it now.	KATE	 ... you don't have to fuss...	LUTHER	 You were forever catching colds.	Absolute Power 
KATE	 ... am I going to be all right?....	LUTHER	 (long pause) We'll be fine.	349   CONTINUED:                                                    349		THE END		Absolute Power 
