SWEET COED		(SHYLY)	 Hi... My name is Mary O'Reilly O'Toole O'Shea and...over there is the island my friend Muffy owns... It's spring break... and she's invited us over for the weekend, and we're waiting for the ferry now to take us there... (blushing, mortified to cameraman) I don't know what else to say!	CAMERAMAN (CHAZ'S VOICE)	 Tell us something about yourself.	SWEET COED	 Something about myself? Oh, Gee... (composing herself, earnestly) Well, I want to work with handicapped children... My parents are my best Friends... Next semester I start convent school, and I... fuck on the first date. O.S. her friends explode with LAUGHTER. Brassy former deb NIKKI BRASHEARS gives us a big, wet wink, dropping the act.	April Fool's Day 
UNCLE FRANK	 I've already spoken with him. The screen door opens, and Rob steps out onto the porch. He comes over to them, but does not butt into their conversation, and Uncle Frank just keeps going as if Rob weren't even there. UNCLE FRANK (cont.) His conduct and his academic performance remain inexcusable. He knows your father can't be expected to entrust him with anything until he shows some signs of responsibility and initiative.	ROB	 (embarrassed to be overhearing) Excuse me. He turns and walks back into the house. O.S. a horn honking.					April Fool's Day 
NAN	 And now all is forgiven. I played along, didn't I? What's done is done.	(BEAT)	 I've learned a lot, Muffy, I really have. I suppose I should say thank you, but I don't think I would be able to without it sounding false. So I'll just say goodbye. (beat; an afterthought) Thanks for showing me your house. She turns and crosses to the van and climbs aboard. The others callout their last goodbyes. Muffy waves, and then they are gone and Muffy turns and walks forlornly back into her house.					April Fool's Day 
SKIP	 Well, I know what I'd do, if I wasn't her brother...	NIKKI	 (almost without thinking) Go back and give her a taste of her own medicine, that's what we should do. Nikki steps. Leeks up, hearing herself. Skip returns the stare.	SKIP	 (shrugs, smiling) Did I say anything? The others look at each other, a beat, registering.	ARCH	 Hey...	April Fool's Day 
NIKKI	 (almost without thinking) Go back and give her a taste of her own medicine, that's what we should do. Nikki steps. Leeks up, hearing herself. Skip returns the stare.	SKIP	 (shrugs, smiling) Did I say anything? The others look at each other, a beat, registering.	ARCH	 Hey...	CHAZ	 Go back and scare the shit outta her for a change? Outrageous!	April Fool's Day 
(EXCLUDING HIMSELF)	 Well, I don't know. I got a stack o' books this high...	ROB	 (stepping into the fray) Harvey's right. (to them all) Look, what're you talking about? We've had our fun. Now we got work to do.	ARCH	 Yeah. Enough's enough. At least for me anyway.	CHAZ	 Pussies.	April Fool's Day 
KIT	 Well, I kinda like the idea -- and I don't have work to get back to. She squares her shoulders.	ROB	 (looks up, in surprise) Kit...	KIT		(DECIDEDLYL	 Muffy can dish it out. It might be interesting to see if she can take it.	April Fool's Day 
CHAZ	 All right! A real catfight!	ROB	 (open-mouthed at her) I don't believe you...	KIT		(PROVOCATIVELY)	 Just because you've decided to get serious about your life, doesn't mean the rest of us can't have our fun	April Fool's Day 
(PROVOCATIVELY)	 Just because you've decided to get serious about your life, doesn't mean the rest of us can't have our fun	NIKKI	 (whoops, turning) Buck, got any spare professional tricks you could throw our way! Buck looks up, confused, only now plugging in.	KIT	 So how many does that make us?	SKIP		April Fool's Day 
(EMPHATICALLY)	 Four. He meets Kit's stare squarely, giving her time to change her mind. But Kit smiles back, victorious.	CHAZ	 (one of the four) Outasight!	KIT	 Cal, we want to get back to the island.	FERRYMAN	 Now? You just left	April Fool's Day 
(CHEERILY)	 Hi, it's me. Surprise.	MUFFY	 (grumpily, stirring) What'd you forget now?	SKIP	 Nothing. Just calling to tell you the party's not over. She moans.	MUFFY	 I know. The clean-up's going to take Clara and me at least a week.	April Fool's Day 
HARVEY	 Well, can I look you up in a couple of months? Maybe you could arrange a job interview for me.	UNCLE FRANK	 Sure, sure . (reaches into his pocket) Here's my card.	HARVEY		(TAKING IT)	 Thank you, sir. Thanks a lot. I sure appreciate it, and it's been a real pleasure meeting you. But Uncle Frank is already in the car and starting it up. Harvey looks down at the card.	April Fool's Day 
NIKKI (O.S,)		(HYSTERICAL)	 Chaz!! Chaz!! She runs into another clearing (the CAMERA has been here waiting for her) where Chaz is revealed lying on the ground, looking much more hideous than Muffy.	NIKKI	 Chaz, get up! Hurry, Chaz!... come on! He doesn't move.	NIKKI	 Chaz, stop playing around! Get up!! She starts kicking him in the side.	April Fool's Day 
NIKKI	 Chaz! Chaz doesn't stir, but he does speak now without moving his lips.	CHAZ	 (hissing, pretending to be dead) Will you quit kicking me? It hurts.	NIKKI	 It's supposed to hurt! The game's over! Get up!	CHAZ	 (still not moving) No. I'm dead. You're blowing the whole thing. Where's Muffy?	April Fool's Day 
NIKKI	 It's supposed to hurt! The game's over! Get up!	CHAZ	 (still not moving) No. I'm dead. You're blowing the whole thing. Where's Muffy?	NIKKI		(SHRIEKING)	 Muffy IS dead!!! In the house!!!	April Fool's Day 
(WHIMPERING)	 Oh, God...	CHAZ	 (sitting up suddenly) What?	NIKKI	 (turning to the woods) Kit! Kit, come out! There is rustling O.S., then Kit starts to emerge.	KIT	 What's going on?	April Fool's Day 
CHAZ	 (sitting up suddenly) What?	NIKKI	 (turning to the woods) Kit! Kit, come out! There is rustling O.S., then Kit starts to emerge.	KIT	 What's going on?			April Fool's Day 
(LOOKING DOWN)	 The fun's over, Rob.	KIT	 (tears in her eyes) Muffy, he's dead!	NIKKI	 Somebody else is here! In this house!	MUFFY	 Sure. Sure.	April Fool's Day 
(BENDING OVER)	 Let's see if the dead are ticklish, shall we?	KIT	 (pulling her away; screaming) Don't you touch him!!	MUFFY	 Okay, okay, take it easy.	NIKKI	 Muffy, it's not a game anymore! Just then there is a loud CRASH o.s. of glass breaking down on the first floor. After the slightest pause there is another crash o.s., and another... Someone is smashing in all the bay windows along the back porch. Nikki screams.	April Fool's Day 
