FEDORCHUK	 I remember where I was -- pissing off my balcony at the neighbor's dog!	ALTEREZ	 (yells at Crais on TV) Get to the goddamn ball scores!					Alien Nation 
JETSON	 No... I am sure not.  That is why I am so concerned... someone must now be producing it here. (emphatically) But none of my people know how to make it.  The process was carefully guarded.	SYKES	 (as the enormity sinks in) Jesus, this is major. (then) Why didn't you tell me sooner? Why'd you hold out on me?	JETSON	 Your people don't know about this part of out past.  And they can't know -- It would threaten our entire existence here.	SYKES	 George... look me in the eye... George, you don't ever lie to me again.	Alien Nation 
OPERATOR	 Here's Hubley. (scanning it) Left Quarantine on November thirtieth, relocated first to Riverside, then moved to Los Angeles early in February the following year.  Field of expertise: chemical manufacturing.  Looks like he passed up several other better paying jobs waiting for that one at the refinery.	SYKES	 Try Joshua Strader, will ya, darlin'?	OPERATOR	 For you, anything.			Alien Nation 
OPERATOR	 (continuing, reading from screen) Released on November twenty-ninth. Came immediately to L.A.  Ten weeks after arriving he took over the abandoned club which is now Encounters.	JETSON	 (to Operator) Now the store owner, please.  Cecil Porter.	OPERATOR	 Released December one.  He and his wife moved first to Modesto, then Coalinga, California -- wherever that is -- settled in L.A. in April.  Field of expertise: organic chemical engineering.  He and his wife have one child, a son.	SYKES	 Yeah -- we met him.  Wonderful boy... close personal friend of George's here.	Alien Nation 
OPERATOR	 I'm sorry, Matt.  Nothing here seems to be matching up...	SYKES	 Holy shit... (to Jetson) Look what we're staring at: three Newcomers with nothing in common, right?  What if it's just one other guy who killed these three? (Jetson looks at him blankly) Three and one make four.  Four Newcomers... of totally different backgrounds... (Jetson still doesn't get it) You and the store owner's son -- that punker!	JETSON	 ... Quarantine.	SYKES	 Can you dig up their Quarantine records in this thing?	Alien Nation 
HARCOURT	 Quite lovely... (best) What is your name again?	CASSANDRA	 (flinching involuntarily at his touch) Cassandra.	HARCOURT	 (a chilling smile) I will have to remember that...			Alien Nation 
CASSANDRA	 (flinching involuntarily at his touch) Cassandra.	HARCOURT	 (a chilling smile) I will have to remember that...					Alien Nation 
SYKES	 Uh, George...	JETSON	 (in O'Neal's face) Where is the drug?  Where have they taken it?	O'NEAL	 (choking) What drug?  This is an oil refinery, you...	JETSON	 (pushing harder)	Alien Nation 
JETSON	 (in O'Neal's face) Where is the drug?  Where have they taken it?	O'NEAL	 (choking) What drug?  This is an oil refinery, you...	JETSON	 (pushing harder)	WHERE?!		Alien Nation 
O'NEAL	 (choking) What drug?  This is an oil refinery, you...	JETSON	 (pushing harder)	WHERE?!		O'NEAL	 (unable to breathe) You... can't do... this!	Alien Nation 
WHERE?!		O'NEAL	 (unable to breathe) You... can't do... this!	SYKES	 George, uh... you're gonna break his little chest bones...	JETSON	 Stay out of this, Matthew. (to O'Neal) Tell me where the drug has been taken or I will crush your lungs against this wall.	Alien Nation 
SYKES	 George, uh... you're gonna break his little chest bones...	JETSON	 Stay out of this, Matthew. (to O'Neal) Tell me where the drug has been taken or I will crush your lungs against this wall.	SYKES	 Don't piss him off, O'Neal.  When he gets like this, I can't control him. I've seen this before.  He got like this once -- I saw him jerk a guy's spine out and show it to him. Nothing I could do.  I hadda go throw up.	O'NEAL	 (at length, with great effort) ... They took the stuff out, all of it -- this afternoon.	Alien Nation 
SYKES	 Don't piss him off, O'Neal.  When he gets like this, I can't control him. I've seen this before.  He got like this once -- I saw him jerk a guy's spine out and show it to him. Nothing I could do.  I hadda go throw up.	O'NEAL	 (at length, with great effort) ... They took the stuff out, all of it -- this afternoon.	JETSON	 How much?	O'NEAL	 About fifty kilos... of concentrate... and some street grade... in tubes.	Alien Nation 
SYKES	 (continuing; as Jetson starts the car You destroy that drug, you destroy the case.  Don't blow the whole thing now by not following procedure.	JETSON	 (through the open driver's window) Fuck procedure.	SYKES	 Hey!!	SYKES		Alien Nation 
CASSANDRA	 In there.	JETSON	 (pulling his gun) Show me.					Alien Nation 
HARCOURT	 (to alien dealers) It's been a long time, hasn't it, gentlemen?	HUMAN DEALER	 What is it?	HARCOURT	 A sweet indulgence from out past... resurrected for our future.			Alien Nation 
ALIEN DEALER	 Where'd you get it?	HARCOURT	 I arranged to spend some time with three very resourceful men.  With a certain amount of coaxing, one of them was able to reconstitute the formula for me. (beat) They worked very well together. Unfortunately, they are no longer with us... but I was fortunate enough to reap the benefit of their endeavor.	HUMAN DEALER	 Let me try some. (he does, immediately spits it out) Jesus!  Tastes like detergent!	HARCOURT	 And that's all the effect it will have on you.  But when my fellow Newcomers learn they can obtain it here, they will work very hard... to make as much money as they can... to give it to me.	Alien Nation 
HARCOURT	 I arranged to spend some time with three very resourceful men.  With a certain amount of coaxing, one of them was able to reconstitute the formula for me. (beat) They worked very well together. Unfortunately, they are no longer with us... but I was fortunate enough to reap the benefit of their endeavor.	HUMAN DEALER	 Let me try some. (he does, immediately spits it out) Jesus!  Tastes like detergent!	HARCOURT	 And that's all the effect it will have on you.  But when my fellow Newcomers learn they can obtain it here, they will work very hard... to make as much money as they can... to give it to me.	VOICE	 You haven't told him all of it.	Alien Nation 
HARCOURT	 If you release that button, you not only kill us, but yourself.	JETSON	 To get you and that-- (indicates drug in suitcase) -- I would do it.	JETSON	 Everyone up against that wall. Very slowly. (to Harcourt) Except you.	HARCOURT	 One small matter seems to have escaped your attention.  That-- (indicates suitcase) -- is not on any books as a controlled substance.  Legally it might as well be fifty kilos of... grape jelly.	Alien Nation 
JETSON	 Everyone up against that wall. Very slowly. (to Harcourt) Except you.	HARCOURT	 One small matter seems to have escaped your attention.  That-- (indicates suitcase) -- is not on any books as a controlled substance.  Legally it might as well be fifty kilos of... grape jelly.	JETSON	 The charge is murder... and conspiracy to commit murder. Hubley, Porter, Strader... probably others.	CASSANDRA	 You... you killed Strader?	Alien Nation 
CASSANDRA	 Where's Todd?!  Did you do something to Todd?!	HARCOURT	 Todd?  Who is Todd. (then remembers; smiles) Ah, poor Mr. Watson.	JETSON		NOOO!		Alien Nation 
KIPLING	 Here?	HARCOURT	 (raging) Do it!	ALIEN DEALER	 Don't shoot, man -- we're unarmed -- look!	SYKES	 You okay?	Alien Nation 
SYKES	 You okay?	CASSANDRA	 (dazed, but all right) Yeah...					Alien Nation 
JETSON	 Green light, Matthew. (Sykes doesn't respond) Green light!	SYKES	 Shit!	JETSON	 Ss-ai!			Alien Nation 
SYKES	 Move a finger, Harcourt, and you're history...	HARCOURT	 No, Sergeant -- not history... (beat) Eternity...	DISSOLVE TO:				Alien Nation 
JETSON	 With Harcourt and Kipling dead, I assume you will be requesting reassignment now.	SYKES	 (cool) It'd be for your own good.  I think you'd be better off with a partner who's a little more... by the book. (smiles) ... Still, I gotta tell you, George, for a quiet guy, you're sure hell on wheels once you get going.  I'd kinda hate to miss your next two days as a detective.	WILTEY	 I'll give you guys a lift to the station.  They're waiting to take your statements on the shootings.	SYKES	 (to Jetson) Let's go, partner. (then casually correcting Wiltey as he rises) And it's shooting.  Singular.	Alien Nation 
WILTEY	 I'll give you guys a lift to the station.  They're waiting to take your statements on the shootings.	SYKES	 (to Jetson) Let's go, partner. (then casually correcting Wiltey as he rises) And it's shooting.  Singular.	WILTEY	 They said two.	SYKES	 Nope.  I didn't shoot Harcourt... he o.d.'d.	Alien Nation 
WILTEY	 I'm not positive -- but probably.	SYKES	 (warily) What's this about, George?  I know that look.	JETSON	 (spots something out a side window) There!  Go back.  Down that side street.	JETSON	 No! (both Sykes and Wiltey look at him) We must do this alone.	Alien Nation 
SYKES	 (warily) What's this about, George?  I know that look.	JETSON	 (spots something out a side window) There!  Go back.  Down that side street.	JETSON	 No! (both Sykes and Wiltey look at him) We must do this alone.	SYKES	 Do what?!  George-- ?!	Alien Nation 
SYKES	 What is this?!	JETSON	 (low) ... It's Harcourt.	SYKES	 Harcourt is dead.	JETSON	 No he's not.  Not if he overdosed on the drug. (searches for the words) Massive amounts trigger a... a change.  Your body functions seize up, you appear to be dead, but it's really a state of incubation.  When you emerge you're...	Alien Nation 
SYKES	 Harcourt is dead.	JETSON	 No he's not.  Not if he overdosed on the drug. (searches for the words) Massive amounts trigger a... a change.  Your body functions seize up, you appear to be dead, but it's really a state of incubation.  When you emerge you're...	SYKES	 (looks at the four bodies sprawled before him) Tell me about it...			Alien Nation 
JETSON	 No he's not.  Not if he overdosed on the drug. (searches for the words) Massive amounts trigger a... a change.  Your body functions seize up, you appear to be dead, but it's really a state of incubation.  When you emerge you're...	SYKES	 (looks at the four bodies sprawled before him) Tell me about it...					Alien Nation 
SYKES	 Why the hell are you so dead set against back-up?	JETSON	 (a difficult admission) Because... because of what will happen if humans see what we are capable of becoming.	SYKES	 But there's no more drug.	JETSON	 You understand that.  But how many others will?	Alien Nation 
JETSON	 (to Pilot)	ALL THE WAY!		PILOT				Alien Nation 
I CAN'T IT'LL DITCH!		JETSON	 (to Pilot) Take it up!					Alien Nation 
JETSON	 That is all right, Matthew.  After all, you are only human.	SYKES	 (under his breath) What a wildman...	THE END				Alien Nation 
