ADDISON'S VOICE	 Having covered in tedious detail not only the history of the Sarah Siddons Society, but also the history of acting since Thespis first stepped out of the chorus line - our distinguished chairman has finally arrived at our reason for being here...	AGED ACTOR	 I have been proud and privileged to have spent my life in the Theater - "a poor player ... that struts and frets his hour upon the stage" - and I have been honored to be, for forty years, Chief Promoter of the Sarah Siddons Society... (he lifts the Sarah Siddons Award from its altar) Thirty-nine times have I placed in deserving hands this highest honor the Theater knows... (he grows a bit arch, he uses his eyebrows) Surely no actor is older than I - I have earned my place out of the sun... (indulgent laughter) ... and never before has this Award gone to anyone younger than its recipient tonight. How fitting that it should pass from my hands to hers...	AGED ACTOR	 Such young hands. Such a young lady. Young in years, but whose heart is as old as the Theater...	AGED ACTOR	 Some of us a privileged to know her. We have seen beyond the beauty and artistry-	All-About-Eve
EVE	 Karen... (she picks at the coverlet) ... isn't it awful, I'm about to ask you for another favor - after all you've already done.	KAREN	 (crosses to her) Nobody's done so much, Eve, you've got to stop thinking of yourself as one of the Hundred Neediest Cases... what is it?	EVE	 Well... Miss Channing's affairs are in such good shape... there isn't enough to keep me as busy as I should be, really - not that I've ever considered anything that would take me away from her... but the other day - when I heard Mr. Fabian tell Miss Channing that her understudy was going to have a baby, and they'd have to replace her...	KAREN	 ... you want to be Margo's new understudy.	All-About-Eve
KAREN	 ... you want to be Margo's new understudy.	EVE	 I don't let myself think about it, even- (she looks up, rises as she speaks) - but I do know the part so well, and every bit of the staging, there'd be no need to break in a new girl- (suddenly afraid, she sits) - but suppose I had to go on one night? To an audience that came to see Margo Channing. No, I couldn't possibly...	KAREN	 (laughs) Don't worry too much about that. Margo just doesn't miss performances. If she can walk, crawl or roll - she plays.	EVE	 (nods proudly) The show must go on.	All-About-Eve
EVE	 I don't let myself think about it, even- (she looks up, rises as she speaks) - but I do know the part so well, and every bit of the staging, there'd be no need to break in a new girl- (suddenly afraid, she sits) - but suppose I had to go on one night? To an audience that came to see Margo Channing. No, I couldn't possibly...	KAREN	 (laughs) Don't worry too much about that. Margo just doesn't miss performances. If she can walk, crawl or roll - she plays.	EVE	 (nods proudly) The show must go on.	KAREN	 No, dear. Margo must go on. (she sits beside Eve) As a matter of fact, I see no reason why you shouldn't be Margo's understudy...	All-About-Eve
KAREN	 (laughs) Don't worry too much about that. Margo just doesn't miss performances. If she can walk, crawl or roll - she plays.	EVE	 (nods proudly) The show must go on.	KAREN	 No, dear. Margo must go on. (she sits beside Eve) As a matter of fact, I see no reason why you shouldn't be Margo's understudy...	EVE	 Do you think Miss Channing would approve?	All-About-Eve
EVE	 (nods proudly) The show must go on.	KAREN	 No, dear. Margo must go on. (she sits beside Eve) As a matter of fact, I see no reason why you shouldn't be Margo's understudy...	EVE	 Do you think Miss Channing would approve?	KAREN	 I think she would cheer.	All-About-Eve
BIRDIE	 The bed looks like a dead animal act. Which one is sables?	KAREN	 (pointing) But she just got here...	BIRDIE	 She's on her way. With half the men in the joint. (she hold up the coat) It's only a fur coat...	KAREN	 What did you expect - live sables?	All-About-Eve
KAREN	 (pointing) But she just got here...	BIRDIE	 She's on her way. With half the men in the joint. (she hold up the coat) It's only a fur coat...	KAREN	 What did you expect - live sables?	BIRDIE	 A diamond collar, gold sleeves - you know, picture people...	All-About-Eve
ADDISON	 Every now and then, some elder statesman of the Theater or cinema assures the public that actors and actresses are just plain folk. Ignoring the fact that their greatest attraction to the public is their complete lack of resemblance to normal human beings.	MISS CASWELL	 (as Birdie and the sables pass) Now there's something a girl could make sacrifices for.	BILL'S VOICE	 And probably has.	MISS CASWELL	 Sable.	All-About-Eve
MISS CASWELL	 Sable.	MAX	 (to Miss Caswell) Did you say sable - or Gable?	MISS CASWELL	 Either one.	ADDISON	 It is senseless to insist that theatrical folk in New York, Hollywood and London are no different from the good people of Des Moines, Chillicothe and Liverpool. By and large, we are concentrated gatherings of neurotics, egomaniacs, emotional misfits, and precocious children-	All-About-Eve
ADDISON	 It is senseless to insist that theatrical folk in New York, Hollywood and London are no different from the good people of Des Moines, Chillicothe and Liverpool. By and large, we are concentrated gatherings of neurotics, egomaniacs, emotional misfits, and precocious children-	MAX	 (to Bill) Gable. Why a feller like that don't come East to do a play...	BILL	 (nods) He must be miserable, the life he lives out there-	ADDISON	 These so-called abnormalities - they're our stock in trade, they make us actors, writers, directors, et cetera in the first place-	All-About-Eve
MAX	 (to Bill) Gable. Why a feller like that don't come East to do a play...	BILL	 (nods) He must be miserable, the life he lives out there-	ADDISON	 These so-called abnormalities - they're our stock in trade, they make us actors, writers, directors, et cetera in the first place-	MAX	 Answer me this. What makes a man become a producer?	All-About-Eve
ADDISON	 We all have abnormality in common. We are a breed apart from the rest of the humanity, we Theater folk. We are the original displaced personalities...	BILL	 (laughs; to Eve) You don't have to read his column tomorrow - you just heard it. I don't agree, Addison...	ADDISON	 That happens to be your particular abnormality.	BILL	 Oh, I admit there's a screwball element in the Theater. It sticks out, it's got spotlights on it and a brass band. But it isn't basic, it isn't standard - if it were, the Theater couldn't survive...	All-About-Eve
BILL	 Oh, I admit there's a screwball element in the Theater. It sticks out, it's got spotlights on it and a brass band. But it isn't basic, it isn't standard - if it were, the Theater couldn't survive...	MISS CASWELL	 (to a passing butler) Oh, waiter...	ADDISON	 That isn't a waiter, my dear. That's a butler.	MISS CASWELL	 Well, I can't yell "Oh, butler," can I? Maybe somebody's name is Butler...	All-About-Eve
MISS CASWELL	 I don't want to make trouble. All I want is a drink.	MAX	 (getting up) Leave me get you one...	MISS CASWELL	 (pitching) Oh, thank you, Mr. Fabian.	ADDISON	 Well done. I see your career rising in the East like the sun... (to Bill) ... you were saying?	All-About-Eve
MAX	 (getting up) Leave me get you one...	MISS CASWELL	 (pitching) Oh, thank you, Mr. Fabian.	ADDISON	 Well done. I see your career rising in the East like the sun... (to Bill) ... you were saying?	BILL	 I was saying that the Theater is nine-tenths hard work. Work done the hard way - by sweat, application and craftsmanship. I'll agree to this - that to be a good actor, actress, or anything else in the Theater, means wanting to be that more than anything else in the world...	All-About-Eve
MISS CASWELL	 (pitching) Oh, thank you, Mr. Fabian.	ADDISON	 Well done. I see your career rising in the East like the sun... (to Bill) ... you were saying?	BILL	 I was saying that the Theater is nine-tenths hard work. Work done the hard way - by sweat, application and craftsmanship. I'll agree to this - that to be a good actor, actress, or anything else in the Theater, means wanting to be that more than anything else in the world...	EVE	 (abruptly) Yes. Yes, it does.	All-About-Eve
BILL	 I was saying that the Theater is nine-tenths hard work. Work done the hard way - by sweat, application and craftsmanship. I'll agree to this - that to be a good actor, actress, or anything else in the Theater, means wanting to be that more than anything else in the world...	EVE	 (abruptly) Yes. Yes, it does.	BILL	 (goes on) It means concentration of ambition, desire, and sacrifice such as no other profession demands... And I'll agree that the man or woman who accepts those terms can't be ordinary, can't be - just someone. To give so much for almost always so little...	EVE	 So little. So little, did you say? Why, if there's nothing else - there's applause. It's like - like waves of love coming over the footlights and wrapping you up. Imagine... To know, every night, that different hundreds of people love you... they smile, their eyes shine - you've pleased them, they want you, you belong. Just that alone is worth anything...	All-About-Eve
EVE	 (abruptly) Yes. Yes, it does.	BILL	 (goes on) It means concentration of ambition, desire, and sacrifice such as no other profession demands... And I'll agree that the man or woman who accepts those terms can't be ordinary, can't be - just someone. To give so much for almost always so little...	EVE	 So little. So little, did you say? Why, if there's nothing else - there's applause. It's like - like waves of love coming over the footlights and wrapping you up. Imagine... To know, every night, that different hundreds of people love you... they smile, their eyes shine - you've pleased them, they want you, you belong. Just that alone is worth anything...	MARGO	 Don't get up. And please stop acting as if I were the queen mother.	All-About-Eve
MARGO	 Don't get up. And please stop acting as if I were the queen mother.	EVE	 (hurt) I'm sorry, I didn't mean to-	BILL	 (sharply) Outside of a beehive, Margo, your behavior would hardly be considered either queenly or motherly!	MARGO	 You're in a beehive, pal, didn't you know? We're all busy little bees, full of stings, making honey day and night- (to Eve) - aren't we, honey?	All-About-Eve
EVE	 (hurt) I'm sorry, I didn't mean to-	BILL	 (sharply) Outside of a beehive, Margo, your behavior would hardly be considered either queenly or motherly!	MARGO	 You're in a beehive, pal, didn't you know? We're all busy little bees, full of stings, making honey day and night- (to Eve) - aren't we, honey?	KAREN	 Margo, really...	All-About-Eve
BILL	 (sharply) Outside of a beehive, Margo, your behavior would hardly be considered either queenly or motherly!	MARGO	 You're in a beehive, pal, didn't you know? We're all busy little bees, full of stings, making honey day and night- (to Eve) - aren't we, honey?	KAREN	 Margo, really...	MARGO	 Please don't play governess, Karen, I haven't your unyielding good taste, I wish I'd gone to Radcliffe too but father wouldn't hear of it - he needed help at the notions counter... (to Addison) I'm being rude now, aren't I? OR should I say "ain't I"?	All-About-Eve
KAREN	 Margo, really...	MARGO	 Please don't play governess, Karen, I haven't your unyielding good taste, I wish I'd gone to Radcliffe too but father wouldn't hear of it - he needed help at the notions counter... (to Addison) I'm being rude now, aren't I? OR should I say "ain't I"?	ADDISON	 You're maudlin and full of self pity. You're magnificent.	LLOYD	 How about calling it a night?	All-About-Eve
KAREN	 It's about time we did! It's about time Margo realized that what's attractive on stage need not necessarily be attractive off.	MARGO	 (suddenly) All right! I'm going to bed. (to Bill) You be the host. It's your party. Happy Birthday, welcome home, and we-who-are-about-to-die-salute-you.	BILL	 Need any help?	MARGO	 (pauses, smiles) To put me to bed? Take my clothes off, hold my head, tuck me in, turn off the lights, tiptoe out...? eve would. Wouldn't you, Eve?	All-About-Eve
BILL	 Need any help?	MARGO	 (pauses, smiles) To put me to bed? Take my clothes off, hold my head, tuck me in, turn off the lights, tiptoe out...? eve would. Wouldn't you, Eve?	EVE	 If you'd like.	MARGO	 I wouldn't like.	All-About-Eve
KAREN	 Eve. I'm fond of Margo too. But I know Margo. And every now and then there is nothing I want to do so much as to kick her right square in the pants.	EVE	 (smiles) Well - if she's got to pick on someone, I'd just as soon it was me.	LLOYD	 Max is going to drop us...	ADDISON	 I've often wondered, Max, why you bother with a chauffeur and limousine in New York City.	All-About-Eve
MISS CASWELL	 Let's go sit by the piano.	ADDISON	 You have me confused with Dan Dailey. You go sit by the piano. (to Eve) And you come sit by me. (to the others) Good night.	EVE	 Karen... (Karen pauses) ... you won't forget, will you? What we talked about before?	KAREN	 (smiles) No, Eve, I won't forget...	All-About-Eve
ADDISON	 You have me confused with Dan Dailey. You go sit by the piano. (to Eve) And you come sit by me. (to the others) Good night.	EVE	 Karen... (Karen pauses) ... you won't forget, will you? What we talked about before?	KAREN	 (smiles) No, Eve, I won't forget...			All-About-Eve
EVE	 Karen... (Karen pauses) ... you won't forget, will you? What we talked about before?	KAREN	 (smiles) No, Eve, I won't forget...					All-About-Eve
BIRDIE	 You all put together?	MARGO	 My back's open. (Birdie goes to work on it) Did the extra help get here?	BIRDIE	 There's some loose characters dressed like maids and butlers. Who'd you call - the William Morris Agency?	MARGO	 You're not being funny, I could get actors for less. What about the food?	All-About-Eve
MARGO	 You're not being funny, I could get actors for less. What about the food?	BIRDIE	 The caterer had to back for hors d'oeuvres- (she zips Margo) Voila.	MARGO	 (laughs) That French ventriloquist taught you a lot, didn't he?	BIRDIE	 There was nothing he didn't know. (she starts tidying the room) There's a message from the bartender. Does Miss Channing know we ordered domestic gin by mistake?	All-About-Eve
BIRDIE	 The caterer had to back for hors d'oeuvres- (she zips Margo) Voila.	MARGO	 (laughs) That French ventriloquist taught you a lot, didn't he?	BIRDIE	 There was nothing he didn't know. (she starts tidying the room) There's a message from the bartender. Does Miss Channing know we ordered domestic gin by mistake?	MARGO	 The only thing I ordered by mistake is the guests. (Birdie cackles) They're domestic, too, and they don't care what they drink as long as it burns... where's Bill? He's late.	All-About-Eve
MARGO	 (laughs) That French ventriloquist taught you a lot, didn't he?	BIRDIE	 There was nothing he didn't know. (she starts tidying the room) There's a message from the bartender. Does Miss Channing know we ordered domestic gin by mistake?	MARGO	 The only thing I ordered by mistake is the guests. (Birdie cackles) They're domestic, too, and they don't care what they drink as long as it burns... where's Bill? He's late.	BIRDIE	 Late for what?	All-About-Eve
BIRDIE	 There was nothing he didn't know. (she starts tidying the room) There's a message from the bartender. Does Miss Channing know we ordered domestic gin by mistake?	MARGO	 The only thing I ordered by mistake is the guests. (Birdie cackles) They're domestic, too, and they don't care what they drink as long as it burns... where's Bill? He's late.	BIRDIE	 Late for what?	MARGO	 Don't be dense. The party.	All-About-Eve
BILL	 You've heard it. About when I looked through the wrong end of a camera finder.	MARGO	 (to Eve) Remind me to tell you about when I looked into the heart of an artichoke.	EVE	 I'd like to hear it.	MARGO	 Some snowy night in front of the fire... in the meantime, while we're on the subject, will you check about the hors d'oeuvres? The caterer forgot them, the varnish wasn't dry or something...	All-About-Eve
BILL	 So she seems.	MARGO	 (the steel begins to flash) So you've pointed out, so often. So many qualities, so often. Her loyalty, efficiency, devotion, warmth, affection - and so young. So young and so fair...	BILL	 I can't believe you're making this up - it sounds like something out of an old Clyde Fitch play...	MARGO	 Clyde Fitch, thought you may not think so, was well before my time!	All-About-Eve
MARGO	 Clyde Fitch, thought you may not think so, was well before my time!	BILL	 (laughs) I've always denied the legend that you were in 'Our American Cousin' the night Lincoln was shot...	MARGO	 I don't think that's funny!	BILL	 Of course it's funny - this is all too laughable to be anything else. You know what I think about this - this age obsession of yours - and now this ridiculous attempt to whip yourself up into a jealous froth because I spent ten minutes with a stage-struck kid-	All-About-Eve
MARGO	 Cut! Print it! What happens in the next reel? Do I get dragged off screaming to the snake pit?	EVE'S VOICE	 (quietly) Miss Channing?	EVE	 The hors d'oeuvres are here. Is there anything else I can do?	MARGO	 Thank you, Eve. I'd like a Martini - very dry.	All-About-Eve
MARGO	 Thank you, Eve. I'd like a Martini - very dry.	BILL	 I'll get it. (he crosses to Eve) What'll you have?	MARGO	 A milkshake?	EVE	 A Martini. Very dry, please...	All-About-Eve
KAREN	 This is the most ghoulish conversation...	MARGO	 (it drips ice) Thank you.	BILL	 Nothing, really...	MARGO	 The kid - junior, that is - will be right down. Unless you'd like to take her drink up to her...	All-About-Eve
MARGO	 The kid - junior, that is - will be right down. Unless you'd like to take her drink up to her...	BILL	 (smiles) I can always get a fresh one. Karen - you're a Gibson girl...	LLOYD	 The general atmosphere is very Macbethish. What has or is about to happen?	MARGO	 (to Bill) What is he talking about?	All-About-Eve
LLOYD	 The general atmosphere is very Macbethish. What has or is about to happen?	MARGO	 (to Bill) What is he talking about?	BILL	 Macbeth.	KAREN	 (to Margo) We know you, we've seen you before like this. Is it over - or just beginning?	All-About-Eve
BILL	 Macbeth.	KAREN	 (to Margo) We know you, we've seen you before like this. Is it over - or just beginning?	MARGO	 Fasten your seat belts. It's going to be a bumpy night.	WOMAN #1	 Margo, darling!	All-About-Eve
WOMAN #2	 Darling!	MARGO	 (passing) Darlings...	MARGO	 (to Addison) I distinctly remember striking your name from the guest list. What are you doing here?	ADDISON	 Dear Margo. You were an unforgettable Peter Pan - you must play it again, soon. You remember Miss Caswell?	All-About-Eve
MISS CASWELL	 We never met. That's why.	ADDISON	 Miss Caswell is an actress. A graduate of Copacabana School of Dramatic Arts. (his glance is attracted by Eve coming downstairs) Ah... Eve.	EVE	 (deferentially) Good evening, Mr. deWitt.	MARGO	 I had no idea you knew each other.	All-About-Eve
ADDISON	 Miss Caswell is an actress. A graduate of Copacabana School of Dramatic Arts. (his glance is attracted by Eve coming downstairs) Ah... Eve.	EVE	 (deferentially) Good evening, Mr. deWitt.	MARGO	 I had no idea you knew each other.	ADDISON	 This must be, at long last, our formal introduction. Until now we have met only in passing...	All-About-Eve
MISS CASWELL	 That's how you met me. In passing.	MARGO	 (smiles) Eve, this is an old friend of Mr. deWitt's mother - Miss Caswell, Miss Harrington... (the two girls say hello) Addison, I've been wanting you to meet Eve for the longest time-	ADDISON	 (murmurs) It could only have been your natural timidity that kept you from mentioning it...	MARGO	 You've heard of her great interest in the Theater-	All-About-Eve
MARGO	 (smiles) Eve, this is an old friend of Mr. deWitt's mother - Miss Caswell, Miss Harrington... (the two girls say hello) Addison, I've been wanting you to meet Eve for the longest time-	ADDISON	 (murmurs) It could only have been your natural timidity that kept you from mentioning it...	MARGO	 You've heard of her great interest in the Theater-	ADDISON	 We have that in common.	All-About-Eve
MISS CASWELL	 You won't bore him, honey. You won't even get to talk.	ADDISON	 (icily) Claudia dear, come closer. (she does, and he points) This is Max Fabian. He is a producer. Go do yourself some good.	MISS CASWELL	 (sighs) Why do they always look like unhappy rabbits?	ADDISON	 Because that is what they are. Go make him happy.	All-About-Eve
ADDISON	 (icily) Claudia dear, come closer. (she does, and he points) This is Max Fabian. He is a producer. Go do yourself some good.	MISS CASWELL	 (sighs) Why do they always look like unhappy rabbits?	ADDISON	 Because that is what they are. Go make him happy.	ADDISON	 (to Margo) You mustn't worry about your little charge. She is in safe hands.	All-About-Eve
MARGO	 (quietly) "Liebestraum."	PIANIST	 I just played it.	MARGO	 Play it again.			All-About-Eve
MARGO	 My dear Horowitz. In the first place, I'm paying you union scale. Second, it's my piano. Third, if everybody doesn't like kind of dying on the vine, they can get off the vine and go home. "Liebestraum."	BILL	 (whispers) Many of your guests have been wondering when they may be permitted to view the body. Where has it been laid out?	MARGO	 (somberly) It hasn't been laid out, we haven't finished with the embalming. As a matter of fact, you're looking at it. The remains of Margo Channing. Sitting up. It is my last wish to be buried sitting up.	BILL	 (trying to kid her out of it) Wouldn't you feel more natural taking a bow?	All-About-Eve
BILL	 (whispers) Many of your guests have been wondering when they may be permitted to view the body. Where has it been laid out?	MARGO	 (somberly) It hasn't been laid out, we haven't finished with the embalming. As a matter of fact, you're looking at it. The remains of Margo Channing. Sitting up. It is my last wish to be buried sitting up.	BILL	 (trying to kid her out of it) Wouldn't you feel more natural taking a bow?	MARGO	 You know nothing about feelings, natural or unnatural.	All-About-Eve
MARGO	 (somberly) It hasn't been laid out, we haven't finished with the embalming. As a matter of fact, you're looking at it. The remains of Margo Channing. Sitting up. It is my last wish to be buried sitting up.	BILL	 (trying to kid her out of it) Wouldn't you feel more natural taking a bow?	MARGO	 You know nothing about feelings, natural or unnatural.	BILL	 Then without feeling, your guests were also wondering whether the music couldn't be a shade more on the - shall we say, happier side?	All-About-Eve
MAX	 Margo. You by any chance got bicarbonate of soda in the house?	MARGO	 (sympathetic) Poor Max. Heartburn? (Max nods) It's that Miss Caswell. I don't know why she doesn't give Addison heartburn.	BILL	 No heart to burn.	MARGO	 Everybody has a heart - except some people. (she finishes her drink, stands up) Of course I've got bicarb. There's a box in the pantry. We'll put your name on it. Max Fabian. It'll say there. Always. Just for you.	All-About-Eve
BILL	 No heart to burn.	MARGO	 Everybody has a heart - except some people. (she finishes her drink, stands up) Of course I've got bicarb. There's a box in the pantry. We'll put your name on it. Max Fabian. It'll say there. Always. Just for you.	MAX	 (touched) Let the rest of the world beat their brains out for a buck. It's friends that count. And I got friends.	MARGO	 I love you, Max. I really mean it. I love you. Come to the pantry.	All-About-Eve
MARGO	 Everybody has a heart - except some people. (she finishes her drink, stands up) Of course I've got bicarb. There's a box in the pantry. We'll put your name on it. Max Fabian. It'll say there. Always. Just for you.	MAX	 (touched) Let the rest of the world beat their brains out for a buck. It's friends that count. And I got friends.	MARGO	 I love you, Max. I really mean it. I love you. Come to the pantry.	MAX	 She loves me like a father. Also, she's loaded.	All-About-Eve
MAX	 The situation I'm in ain't the kind you can belch your way out. I made a promise...	MARGO	 Miss Caswell? (Max nods) What?	MAX	 An audition for the part we're replacing. What's-her-name, your sister...	MARGO	 Well, if she can act, she might not be bad. She looks like she might burn down a plantation...	All-About-Eve
MARGO	 Well, if she can act, she might not be bad. She looks like she might burn down a plantation...	MAX	 (mixing) I feel right now like there's one burning in me.	MARGO	 When's the audition?	MAX	 A couple of weeks.	All-About-Eve
MAX	 I promise.	MARGO	 (happily) That's my Max.	LLOYD	 There you are, both of you. Max, Karen has decided it's time to go.	MARGO	 Where is she?	All-About-Eve
LLOYD	 Up in the room.	MAX	 If you'll excuse me- (to Margo) I'll tell Miss Caswell...	MARGO	 Who's left out there?	LLOYD	 Too many. And you've got a new guest. A movie star from Hollywood.	All-About-Eve
LLOYD	 I know what I'm talking about, after all they're my plays...	MARGO	 Spoken like an author. (abruptly) Lloyd, I'm not twentyish. I am not thirtyish. Three months ago, I was forty years old. Forty. Four oh. (smiles) That slipped out, I hadn't quite made up my mind to admit it. Now I feel as if I'd suddenly taken all my clothes off...	LLOYD	 Week after week, to thousands of people, you're as young as you want...	MARGO	 ... as young as they want, you mean. And I'm not interested in whether thousands of people think I'm six or six hundred-	All-About-Eve
MARGO	 ... as young as they want, you mean. And I'm not interested in whether thousands of people think I'm six or six hundred-	LLOYD	 Just one person. Isn't that so? (Margo doesn't answer) You know what this is all about, don't you? It has very little to do with whether you should play "Cora" - it has everything to do with the fact that you've had another fight with Bill.	MARGO	 Bill's thirty-two. He looks thirty two. He looked it five years ago, he'll look it twenty years from now. I hate men. (she puts the box down) Don't worry, Lloyd. I'll play your play. I'll wear rompers and come in rolling a hoop if you like... let's go say good night.	EVE	 (in the b.g.) Imagine... to know, every night, that different hundreds of people love you... They smile, their eyes shine - you've pleased them, they want you, you belong. Anything's worth that.	All-About-Eve
LLOYD	 Just one person. Isn't that so? (Margo doesn't answer) You know what this is all about, don't you? It has very little to do with whether you should play "Cora" - it has everything to do with the fact that you've had another fight with Bill.	MARGO	 Bill's thirty-two. He looks thirty two. He looked it five years ago, he'll look it twenty years from now. I hate men. (she puts the box down) Don't worry, Lloyd. I'll play your play. I'll wear rompers and come in rolling a hoop if you like... let's go say good night.	EVE	 (in the b.g.) Imagine... to know, every night, that different hundreds of people love you... They smile, their eyes shine - you've pleased them, they want you, you belong. Anything's worth that.	MARGO	 Don't get up. And please stop acting as if I were the queen mother.	All-About-Eve
MARGO	 Bill's thirty-two. He looks thirty two. He looked it five years ago, he'll look it twenty years from now. I hate men. (she puts the box down) Don't worry, Lloyd. I'll play your play. I'll wear rompers and come in rolling a hoop if you like... let's go say good night.	EVE	 (in the b.g.) Imagine... to know, every night, that different hundreds of people love you... They smile, their eyes shine - you've pleased them, they want you, you belong. Anything's worth that.	MARGO	 Don't get up. And please stop acting as if I were the queen mother.			All-About-Eve
ADDISON	 Miss Caswell got lucky too late. The audition is over.	MARGO	 (stops) Over? It can't be. I've come to read with her. I promised Max.	ADDISON	 The audition was called for 2:30. It is now nearly four.	MARGO	 (lightly) Is it really? I must start wearing a watch, I never do, you know... who read with Miss Caswell? Bill? (he shakes his head) Lloyd? (he shakes his head) Well, it couldn't have been Max! Who?	All-About-Eve
ADDISON	 The audition was called for 2:30. It is now nearly four.	MARGO	 (lightly) Is it really? I must start wearing a watch, I never do, you know... who read with Miss Caswell? Bill? (he shakes his head) Lloyd? (he shakes his head) Well, it couldn't have been Max! Who?	ADDISON	 Naturally enough, your understudy.	MARGO	 I consider it highly unnatural to allow a girl in an advanced state of pregnancy-	All-About-Eve
MARGO	 Eve! My understudy...	ADDISON	 (keenly) Didn't you know?	MARGO	 (quickly) Of course I knew.	ADDISON	 It just slipped your mind.	All-About-Eve
ADDISON	 (keenly) Didn't you know?	MARGO	 (quickly) Of course I knew.	ADDISON	 It just slipped your mind.	MARGO	 How... how was Miss Caswell?	All-About-Eve
ADDISON	 Margo, as you know, i have lived in the Theater as a Trappist monk lives in his faith. I have no other world, no other life - and once in a great while I experience that moment of Revelation for which all true believers wait and pray. You were one. Jeanne Eagels another... Paula Wessely... Hayes - there are others, three or four. Eve Harrington will be among them...	MARGO	 (flatly) I take it she read well.	ADDISON	 It wasn't reading, it was a performance. Brilliant, vivid, something made of music and fire...	MARGO	 How nice.	All-About-Eve
MARGO	 (cheerily) Terribly sorry I'm late, lunch was long and I couldn't find a cab - where's Miss Caswell, shall we start? Oh, hello, Eve...	EVE	 Hello, Miss Channing.	MARGO	 How are you making out in Mr. Fabian's office? (over the footlights to Max) I don't want you working the child too hard, Max - just because you promised. As you see, I kept my promise, too...			All-About-Eve
EVE	 Hello, Miss Channing.	MARGO	 How are you making out in Mr. Fabian's office? (over the footlights to Max) I don't want you working the child too hard, Max - just because you promised. As you see, I kept my promise, too...	BILL	 It's all over.	MARGO	 What's all over?	All-About-Eve
BILL	 The audition.	MARGO	 (pleased astonishment) Eve? (she turns to her) How enchanting... (to Lloyd and Bill) Wherever did you get the idea of having Eve read with Miss Caswell?	LLOYD	 She's your understudy.	MARGO	 Eve? Eve, my understudy? But I had no idea...	All-About-Eve
LLOYD	 I thought you knew... She was put on over a week ago-	MARGO	 It seems almost inconceivable that I haven't seen her backstage, but with so many people loitering around... well, well. So Eve is not working for Max after all- (out to Max again) - Max you sly puss.	EVE	 Miss Channing, I can't tell you how glad I am that you arrived so late.	MARGO	 Really, Eve? Why?	All-About-Eve
EVE	 ... and if you'd come in the middle, I'd have stopped, I couldn't have gone on-	MARGO	 (murmurs) What a pity, all that fire and music being turned off...	BILL	 What fire and music?	MARGO	 You wouldn't understand. (to Lloyd) How was Miss Caswell?	All-About-Eve
BILL	 What fire and music?	MARGO	 You wouldn't understand. (to Lloyd) How was Miss Caswell?	LLOYD	 Back to Copacabana. But Eve. Margo, let me tell you about Eve-	EVE	 (breaking in) I was dreadful, Miss Channing, believe me - I have no right to be anyone's understudy, much less yours...	All-About-Eve
LLOYD	 Back to Copacabana. But Eve. Margo, let me tell you about Eve-	EVE	 (breaking in) I was dreadful, Miss Channing, believe me - I have no right to be anyone's understudy, much less yours...	MARGO	 I'm sure you underestimate yourself, Eve. You always do. (to Lloyd) You were about to tell me about Eve...	LLOYD	 You'd have been proud of her.	All-About-Eve
EVE	 (breaking in) I was dreadful, Miss Channing, believe me - I have no right to be anyone's understudy, much less yours...	MARGO	 I'm sure you underestimate yourself, Eve. You always do. (to Lloyd) You were about to tell me about Eve...	LLOYD	 You'd have been proud of her.	MARGO	 I'm sure.	All-About-Eve
LLOYD	 What do you mean?	MARGO	 (the ice begins to form) I mean, among other things, that it must have been a revelation to have your twenty-four-year-old character played by twenty-four-year-old actress...	LLOYD	 That's beside the point.	MARGO	 It's right to the point. Also that it must have sounded so new and fresh to you - so exciting to have the lines read as you wrote them!	All-About-Eve
MARGO	 Then you listened as if someone else had written you play - whom did you have in mind? Sherwood? Arthur Miller? Beaumont and Fletcher?	MAX	 (from below) May I say a word?	LLOYD	 No! (to Margo) What makes you think that either Miller or Sherwood would stand for the nonsense I take from you - you'd better stick to Beaumont and Fletcher! They've been dead for three hundred years!	MARGO	 And they're getting better performances today than they ever got! All playwrights should be dead for three hundred years!	All-About-Eve
MAX	 (from below) May I say a word?	LLOYD	 No! (to Margo) What makes you think that either Miller or Sherwood would stand for the nonsense I take from you - you'd better stick to Beaumont and Fletcher! They've been dead for three hundred years!	MARGO	 And they're getting better performances today than they ever got! All playwrights should be dead for three hundred years!	LLOYD	 That would solve none of their problems - because actresses never die! The stars never die and never change!	All-About-Eve
MAX	 This is for lawyers to talk about, this concerns a run-of-the-play contract, and this you can't rewrite or ad lib!	MARGO	 (from the stage) Are you threatening me with legal action, Mr. Fabian?	MAX	 Are you breaking the contract?	MARGO	 Answer my question!	All-About-Eve
MARGO	 I didn't hear you.	MAX	 (yelling) I said I'm a dying man!	MARGO	 Not until the last drugstore has sold its last pill!	LLOYD	 (from the top of the aisle) I shall never understand the weird process by which a body with a voice suddenly fancies itself a mind! Just when exactly does an actress decide they're her words she's saying and her thoughts she's expressing?	All-About-Eve
MARGO	 Not until the last drugstore has sold its last pill!	LLOYD	 (from the top of the aisle) I shall never understand the weird process by which a body with a voice suddenly fancies itself a mind! Just when exactly does an actress decide they're her words she's saying and her thoughts she's expressing?	MARGO	 Usually at the point when she's got to rewrite and rethink them to keep the audience from leaving the theater!	LLOYD	 It's about time the piano realized it has not written the concerto!	All-About-Eve
