JIM	 Yeah, that's right.	PORNO-CHANNEL STUD (V.O.)	 (deep macho voice) Ohhh, tell me you're a nasty girl!	PORNO-CHANNEL STUD (V.O.)(CONT'D)	 Yeahhh, you been bad, real bad!	JIM	 Man, shut up!	American Pie 
STIFLER	 Kevin!  You seen Shitbreak lately?	KEVIN	 (immediately sensing danger) Oh no, Stifler, what did you do?	STIFLER	 Me?  Nothing.  I'm the one whose ass he kicked. (off Kevin's look) I'll tell you one thing, though.  I don't think he's gonna have a problem shitting in school anymore.			American Pie 
KEVIN	 (immediately sensing danger) Oh no, Stifler, what did you do?	STIFLER	 Me?  Nothing.  I'm the one whose ass he kicked. (off Kevin's look) I'll tell you one thing, though.  I don't think he's gonna have a problem shitting in school anymore.					American Pie 
JIM	 Yeeeeeeeaaaawwwwww!	KEVIN	 (gives that "You rock!" hand sign) You fuckin' rule!					American Pie 
KEVIN	 Yeah, we have something great, Vick.	VICKY	 Kevin... (very close, whispered) I want to have sex with you.	KEVIN	 (almost frightened) Now?!	VICKY	 No...I know the perfect time...	American Pie 
VICKY	 Kevin... (very close, whispered) I want to have sex with you.	KEVIN	 (almost frightened) Now?!	VICKY	 No...I know the perfect time...			American Pie 
KEVIN	 Oz, how about you and Heather?  Now you guys are a couple or something?	OZ	 (getting ticked) Dammit, Kevin, what's with the attitude?	KEVIN	 Attitude?  Me?  I think that you guys should be more enthusiastic.  Shit, we've been trying to get laid forever, and tonight's the night we've been waiting for.  We're in this together. Don't back out on me now!	JIM	 Back out?  You don't need us to get laid.  You afraid or something?	American Pie 
KEVIN	 It was a pact.  You break it and there are no excuses.  You guys have to --	JIM	 (interrupting, pissed) I don't have to do shit!  Forget it already!	JIM (CONT'D)	 I'm tired of all this bullshit pressure!  I mean, I've never even had sex and already I can't stand it!  I hate sex!  I don't want it, I've never wanted it, and I'm not gonna sit here busting my balls over something that just isn't that damn important!  So fuck this stupid pact, fuck you, and fuck sex!  Now, I'm gonna go hang out with that geek over there, 'cause at least she's got something else to talk about besides sex!  God damn!	FINCH	 At least I learned how to shit in school.	American Pie 
CENTRAL GIRL	 Yeah, we were up the whole night together.  We had one of those amazingly deep conversations, where you really feel like you get to know someone.	VICKY	 (nudge, nudge) "Deep conversation," huh?  Is that what you guys call it?	CENTRAL GIRL	 What else would I call it?			American Pie 
JIM	 Stifler's mom got it in the divorce.	MICHELLE	 It reminds me of this one time -- (changing thoughts) Hey, can I ask you a question?  How come you don't have any stories?  I've got lots of stories, and you don't have any.	JIM	 Oh, I've got stories, believe me. They're a little more risque than tales of Band Camp.	MICHELLE	 Are they gross or something, like guy stuff?  Tell me.	American Pie 
KEVIN	 No!  Get out of here!	STIFLER'S BROTHER	 (running out of the room) Fuckers fuckers fuckers fuckers!					American Pie 
OZ	 Dieter.  My middle name is Dieter.	HEATHER	 Hmm.  You know that's (cracking up) really a shitty middle name!	OZ	 (laughing) I know, it sucks!			American Pie 
HEATHER	 Hmm.  You know that's (cracking up) really a shitty middle name!	OZ	 (laughing) I know, it sucks!					American Pie 
FINCH	 Ah, Stifler's mom!  Thank you for letting us have a great party.	STIFLER'S MOM	 (dry) As if there were any alternative in the matter.  Are you enjoying yourself?	FINCH	 I'm three sheets to the wind, ma'am!	STIFLER'S MOM	 (deadpan) I'm so happy for you.  Takes the edge off, doesn't it?  And where might your date be?	American Pie 
FINCH	 I'm three sheets to the wind, ma'am!	STIFLER'S MOM	 (deadpan) I'm so happy for you.  Takes the edge off, doesn't it?  And where might your date be?	FINCH	 Oh no, no date.  Bathroom incident.	STIFLER'S MOM	 Pardon me?	American Pie 
FINCH	 Single malt?	STIFLER'S MOM	 Aged eighteen years. (she gives him a look) Why don't you get the glasses.  Behind the bar.					American Pie 
KEVIN	 Me too.	VICKY	 Okay. (a beat) Did you bring a condom?	KEVIN	 Yeah, right here.	KEVIN (CONT'D)	 So, do you want to be -- I mean, how do you want to do it?	American Pie 
MICHELLE	 Yes!  And he was such a dork!  And everyone laughed at me, but I didn't care?  Because it was so funny!	JIM	 (flat) Okay, I get it.	MICHELLE	 Oh!  And then this one time?  At band camp?  I stuck a flute in my pussy.	JIM	 ...excuse me?!	American Pie 
KEVIN	 Don't say that, we can do it somehow. It might not be perfect, but --	VICKY	 (interrupting) No, Kevin -- (she sits up) That's the whole thing, that's what I've been realizing.  That nothing's perfect, that you can't plan everything.	KEVIN	 It is far away...and we'll be on our own...meeting new people...	KEVIN (CONT'D)	 Vicky...last night...I wasn't lying.	American Pie 
KEVIN (CONT'D)	 Vicky...last night...I wasn't lying.	VICKY	 I know. (a beat) Let's go.  Don't you have something to tell your friends?	KEVIN	 What?	VICKY	 Your little pact.  Jessica told me all about it. (hits him lightly) Way to go, Kev!	American Pie 
KEVIN	 What?	VICKY	 Your little pact.  Jessica told me all about it. (hits him lightly) Way to go, Kev!					American Pie 
KEVIN	 (to Jim) I guess we'll call you two-ply.	OZ	 Yeah.  So you want double condiments on that?	JIM	 No, no that's fine. (then, to Kevin) So you doing okay?			American Pie 
OZ	 Yeah.  So you want double condiments on that?	JIM	 No, no that's fine. (then, to Kevin) So you doing okay?	KEVIN	 (a wistful smile) Yeah.	FINCH	 I'll tell you, I've learned one thing: women, like wine, get better with age. (a beat) Of course, I have no frame of reference for this comparison.	American Pie 
JIM	 No, no that's fine. (then, to Kevin) So you doing okay?	KEVIN	 (a wistful smile) Yeah.	FINCH	 I'll tell you, I've learned one thing: women, like wine, get better with age. (a beat) Of course, I have no frame of reference for this comparison.	KEVIN	 So Oz, you almost made it, huh?	American Pie 
KEVIN	 (a wistful smile) Yeah.	FINCH	 I'll tell you, I've learned one thing: women, like wine, get better with age. (a beat) Of course, I have no frame of reference for this comparison.	KEVIN	 So Oz, you almost made it, huh?	OZ	 (smiles) I'll just say that we had a great night together.	American Pie 
KEVIN	 So Oz, you almost made it, huh?	OZ	 (smiles) I'll just say that we had a great night together.	JIM	 Hang in there, buddy, you'll get there.	OZ	 I know.	American Pie 
KEVIN	 (into phone) Hey.  I got another question for you.	KEVIN'S BROTHER (V.O.)	 What's that?					American Pie 
SUPER:  "PRAGUE, CZECH REPUBLIC"		BELLBOY	 (subtitled) Another bottle?	WAITER	 (subtitled) He knows how to treat a woman.	JIM	 Thanks guys.	American Pie 
BELLBOY	 (subtitled) Another bottle?	WAITER	 (subtitled) He knows how to treat a woman.	JIM	 Thanks guys.	NADIA	 Come back to bed, James.	American Pie 
NADIA	 Come back to bed, James.	WAITER	 (subtitled) That is one lucky man.	BELLBOY	 (subtitled) Funny -- I swear I have seen those two somewhere before.  The boy is some sort of dancer.			American Pie 
WAITER	 (subtitled) That is one lucky man.	BELLBOY	 (subtitled) Funny -- I swear I have seen those two somewhere before.  The boy is some sort of dancer.					American Pie 
