OLD SALIERI	 Mozart, perdonami! Forgive your assassin! Piet! Piet! Forgive your assassin! Forgive me! Forgive! Forgive!	VALET	 (looking up to the window) That's all right, Signore! He heard you! He forgave you! He wants you to go inside now and shut the window!	VALET	 Come on, Signore! Look what I have for you! I can't give it to you from down here, can I?	BYSTANDER	 Who is that?	Amadeus 
SECOND LADY	 (singing to horse) Behold!	THIRD LADY	 (singing to horse) Behold!	COMMENDATORE	 (holding on) Hey! Hey! Watch out!	COMMENDATORE	 Whoa! Whoa, Ottavio! Whoa!	Amadeus 
THIRD LADY	 (singing to horse) Behold!	COMMENDATORE	 (holding on) Hey! Hey! Watch out!	COMMENDATORE	 Whoa! Whoa, Ottavio! Whoa!	SCHIKANEDER	 Well, how do you like that?	Amadeus 
SCHIKANEDER	 Well, how do you like that?	MOZART	 Wonderful! (indicating his baby son) He liked the monkey, didn't you?	SCHIKANEDER	 Yes, well, it's all good fun.	MOZART	 I liked the horse.	Amadeus 
CONSTANZE	 How much will you pay him?	SCHIKANEDER	 Ah. Well. Ah, (to Mozart) I see you've got your manager with you. Well, Madame, how about half the receipts?	MOZART	 Half the receipts! Stanzi!	CONSTANZE	 I'm talking about now. How much will you give him now? Down payment?	Amadeus 
CONSTANZE	 I don't trust this man. And I didn't like what he did with your opera. It was common.	MOZART	 (to Karl) Well, you liked it, didn't you? Monkey-flunki-punki.	CONSTANZE	 Half the house! You'll never see a penny. I want it here, in my hand.	MOZART	 (dirty) Stanzi-manzi, I'll put it in your hand!	Amadeus 
CONSTANZE	 Half the house! You'll never see a penny. I want it here, in my hand.	MOZART	 (dirty) Stanzi-manzi, I'll put it in your hand!	CONSTANZE	 Shut up! I'll not let you put anything in my hand until I see some money.			Amadeus 
VON SWIETEN	 (keeping his voice down) This is embarrassing, you know. You introduced Mozart to some of my friends and he's begging from practically all of them. It has to stop.	SALIERI	 I agree, Baron.	VON SWIETEN	 Can't you think of anyone who might commission some work from him? I've done my best. I got him to arrange some Bach for my Sunday concerts. He got a fee - what I could afford. Can't you think of anyone who might do something for him?			Amadeus 
CONSTANZE	 Not at all.	SCHIKANEDER	 (peering into he room) Where's our friend?	CONSTANZE	 He's not in. But he's working on it. He said to tell you.	SCHIKANEDER	 I hope so. I need it immediately.	Amadeus 
SCHIKANEDER	 You're mad! She's mad, Wolfi.	CONSTANZE	 Oh yes, and who are you? He's worked for Kings. For the Emperor. (shouting) Who are you?	SCHIKANEDER	 Listen, Wolfi. Write it. Please. Just write it down. On paper. It's no good to anyone in your head. And fuck the Death Mass.			Amadeus 
LORL	 I suppose so. He sits there all he time, doing some silly opera.	SALIERI	 (startled) Opera? Opera!	LORL	 Please don't ask me to go back again. I'm frightened! I'm very, very frightened.	SALIERI	 (insistently) Are you sure it's an opera?	Amadeus 
LORL	 Please don't ask me to go back again. I'm frightened! I'm very, very frightened.	SALIERI	 (insistently) Are you sure it's an opera?					Amadeus 
VOICE	 Go back!	PAPAGENO	 Merciful Gods! If only I knew by which door I came in. (to audience) Which was it? Was it this one? Come on, tell me!	VOICE	 Go back!	PAPAGENO	 Now, I can't go forward and I can't go back. Oh, this is awful!	Amadeus 
PAPAGENO	 Now, I can't go forward and I can't go back. Oh, this is awful!	FIRST PRIEST	 (on stage) Man, thou hast deserved to wander forever in the darkest chasms of the earth. The gentle Gods have remitted thy punishment, but yet thou shalt never feel the Divine Content of the consecrated ones.	PAPAGENO	 Oh well, I'm not alone in that. Just give me a decent glass of wine - that's divine content enough for me.	FIRST PRIEST	 Man, hast thou no other desire on earth, but just to eat and drink?	Amadeus 
FIRST PRIEST	 Man, hast thou no other desire on earth, but just to eat and drink?	PAPAGENO	 (Schikaneder) Well!	PAPAGENO	 Well, actually I do have a rather weird feeling in my heart. Perhaps it's just indigestion. But you know, I really would like - I really do want - something even nicer than food and drink. Now what on earth could that be?	ANDANTE	 A sweetheart or a pretty little wife is Papageno's wish. A willing, billing, lovey dovey Would be My most tasty little dish. Be my most tasty little dish! Be my most tasty little dish!	Amadeus 
ALLEGRO	 Then that would be eating and drinking I'd live like a Prince without thinking. The wisdom of old would be mine - A woman's much better than wine! Then that would be eating and drinking! The wisdom of old would be mine - A woman's much better than wine. She's much better than wine! She's much better than wine!	ANDANTE	 (encore, lightly, as before) A sweetheart or a pretty little wife is Papageno's wish. A willing, billing, lovey dovey Would be My most tasty little dish.	ALLEGRO	 I need to net one birdie only And I will stop feeling so lonely. But if she won't fly to my aid, Then into a ghost I must fade. I need to net one birdie only But if she won't fly to my aid, Then into a ghost I must fade.  To a ghost I must fade! To a ghost I must fade!	ANDANTE	 (encore) A sweetheart or a pretty little wife is Papageno's wish. A willing, billing, lovey dovey Would be My most tasty little dish.	Amadeus 
ALLEGRO	 I need to net one birdie only And I will stop feeling so lonely. But if she won't fly to my aid, Then into a ghost I must fade. I need to net one birdie only But if she won't fly to my aid, Then into a ghost I must fade.  To a ghost I must fade! To a ghost I must fade!	ANDANTE	 (encore) A sweetheart or a pretty little wife is Papageno's wish. A willing, billing, lovey dovey Would be My most tasty little dish.	ALLEGRO	 At present the girls only peck me. Their cruelty surely will wreck me. But one little beak in my own, And I'll up to heaven be flown! At present the girls only peck me. But one little beak in my own, And I'll up to heaven be flown. Up to heaven be flown! Up to heaven be flown!			Amadeus 
UGLY OLD WOMAN	 Here I am, my angel.	PAPAGENO	 (appalled) What? Who the devil are you?	UGLY OLD WOMAN	 I've taken pity on you, my angel. I heard your wish.	PAPAGENO	 Oh. Well, thank you! How wonderful. Some people get all the luck.	Amadeus 
UGLY OLD WOMAN	 Now you've got to promise me faithfully you'll remain true to me forever. Then you'll see how tenderly your little birdie will love you.	PAPAGENO	 (nervous) I can't wait.	UGLY OLD WOMAN	 Well, promise then.	PAPAGENO	 What do you mean - now?	Amadeus 
PAPAGENO	 Well, I don't know! I mean you're a delicious, delightful, delectable little bird, but don't you think you might be just a little tough?	UGLY OLD WOMAN	 (amorously) Oh, I'm tender enough for you, my boy. I'm tender enough for you.					Amadeus 
SALIERI	 (handing the porter the lantern) Thank you. Go.	MOZART	 (vaguely singing) Papa! Papa!	SALIERI	 Come now.	SALIERI	 Where is your wife?	Amadeus 
SCHIKANEDER	 I'll call tomorrow.	SALIERI	 Yes. (to the actresses) And congratulations to all of you. It was superb.	ACTRESSES	 Thank you! Thank you, Excellency!	SCHIKANEDER	 Oh, by the way, give him this. This is his share. That should cheer him up, eh?	Amadeus 
SALIERI	 Yes, indeed. Goodnight to you all now. It was perfection - truly!	ACTRESSES	 (delighted) Goodnight, Your Excellency. Goodnight!					Amadeus 
CONSTANZE	 I feel wrong. I feel wrong being here.	OFFICER	 (laying a hand on her arm) What are you talking about?					Amadeus 
MOZART	 Where did I stop?	SALIERI	 (consulting the manuscript) The end of the Recordare - Statuens in parte dextra.	MOZART	 So now the Confutatis. Confutatis Maledictis. When the wicked are confounded. Flammis acribus addictis. How would you translate that?	SALIERI	 Consigned to flames of woe.	Amadeus 
MOZART	 Start with the voices. Basses first. Second beat of the first measure - A. (singing the note) Con-fu-ta-tis. (speaking) Second measure, second beat. (singing) Ma-le-dic-tis. (speaking) G-sharp, of course.	SALIERI	 Yes.	MOZART	 Third measure, second beat starting on E. (singing) Flam-mis a-cri-bus ad-dic-tis. (speaking) And fourth measure, fourth beat - D. (singing) Ma-le-dic-tis, flam-mis a-cri-bus ad- dic-tis. (speaking) Do you have that?			Amadeus 
SALIERI	 Yes.	MOZART	 Fourth measure, second beat - F. (singing) Flam-mis a-cri-bus ad-dic-tis, flam- mis a-cri-bus ad-dic-tis.	MOZART	 Now the orchestra. Second bassoon and bass trombone with the basses. Identical notes and rhythm. (He hurriedly hums the opening notes of the bass vocal line) The first bassoon and tenor trombone -	SALIERI	 (labouring to keep up) Please! Just one moment.	Amadeus 
MOZART	 Now the orchestra. Second bassoon and bass trombone with the basses. Identical notes and rhythm. (He hurriedly hums the opening notes of the bass vocal line) The first bassoon and tenor trombone -	SALIERI	 (labouring to keep up) Please! Just one moment.	MOZART	 It couldn't be simpler.	SALIERI	 (finishing) First bassoon and tenor trombone - what?	Amadeus 
MOZART	 It couldn't be simpler.	SALIERI	 (finishing) First bassoon and tenor trombone - what?	MOZART	 With the tenors.	SALIERI	 Also identical?	Amadeus 
SALIERI	 And that's all?	MOZART	 Oh no. Now for the Fire. (he smiles) Strings in unison - ostinato on all - like this.	MOZART	 (speaking) Second measure on B.	MOZART	 (speaking) Do you have me?	Amadeus 
SALIERI	 You go fast!	MOZART	 (urgently) Do you have it?	SALIERI	 Yes.	MOZART	 Then let me hear it. All of it. The whole thing from the beginning - now!	Amadeus 
SALIERI	 Madame, I will respect his. He asked me to stay here.	CONSTANZE	 Wolfi? (louder) Wolfi?					Amadeus 
OLD SALIERI	 Being bowed to and saluted, called 'distinguished - distinguished Salieri' - by men incapable of distinguishing! Thirty-two years of meaningless fame to end up alone in my room, watching myself become extinct. My music growing fainter, all the time fainter, until no one plays it at all. And his growing louder, filling the world with wonder. And everyone who loves my sacred art crying, Mozart! Bless you, Mozart.	ATTENDANT	 Good morning, Professor! Time for the water closet. And then we've got your favourite breakfast for you - sugar-rolls. (to Vogler) He loves those. Fresh sugar-rolls.	OLD SALIERI	 Goodbye, Father. I'll speak for you. I speak for all mediocrities in the world. I am their champion. I am their patron saint. On their behalf I deny Him, your God of no mercy. Your God who tortures men with longings they can never fulfill. He may forgive me: I shall never forgive Him.			Amadeus 
