LUCY (O.S.)	 (over answering machine; sweet, British, slightly desperate) Joe, it's Lucy.  Remember me?  It's the black sheep here.  Bah...not funny. Haven't heard from you, need you, call me.  Love you madly.  Hi, Sally.  Joe, I'd love to talk to you before I go...	JOE	 Go where?	LUCY (O.S.)	 (over answering machine) It's a damn nuisance you aren't here, big brother.  Sorry I drone on.  I miss you. I lo--			Anniversary Party, The 
JOE (CONT'D)	 Two minutes.	SALLY	 (deferring first turn to Joe) It's alright.  Be our guests.	JOE	 (offers the hat) You darling.	PANES	 (reads clue; to Joe) What is it?	Anniversary Party, The 
SALLY	 (deferring first turn to Joe) It's alright.  Be our guests.	JOE	 (offers the hat) You darling.	PANES	 (reads clue; to Joe) What is it?	PANES (CONT'D)	 What's a sign for that?	Anniversary Party, The 
JOE	 (offers the hat) You darling.	PANES	 (reads clue; to Joe) What is it?	PANES (CONT'D)	 What's a sign for that?	JOE	 Come on, Panes...	Anniversary Party, The 
RYAN	 The Katzenjammer Kids.	JERRY	 (already pissed) It's only just started.  Great.  The husband's on the other fucking team.	MAC	 Go.	JERRY	 Hey!  Would you?	Anniversary Party, The 
MAC	 Are you always this much fun?	SALLY	 (a grin) Take your time, Jer.	JERRY	 I'm ready.	CAL	 Song.	Anniversary Party, The 
TEAM	 Think.  Pain.	CAL	 (among others) Ponder.	JERRY	 Come on, folks.	CAL	 First word.	Anniversary Party, The 
TEAM	 Second word.	SKYE	 (blurts out) From Jewish Folk Poetry.	JERRY	 Time.  Hey!  Time.  Judy!  Time you guys. Hey!!	JUDY	 (she's up; turns to him, zeig heil's him) Ya Vhol.  What are you, a fucking Nazi?	Anniversary Party, The 
JERRY	 Time.  Hey!  Time.  Judy!  Time you guys. Hey!!	JUDY	 (she's up; turns to him, zeig heil's him) Ya Vhol.  What are you, a fucking Nazi?	JERRY	 Well it's fucking time.			Anniversary Party, The 
CLOSE SHOT		JERRY (CONT'D)	 (shouting guesses) Walk.  Cripple.  Limp.  Ankle.  Second syllable.  Second syllable.  Move on to the fucking second syllable.	JERRY (CONT'D)	 (sings out) The clock is ticking!	MAC	 Time.	Anniversary Party, The 
SALLY'S TEAM	 (unison) Quote.  Play.	SOPHIA	 Oh shit.  It's one of Cal's.  Obscure Shakespeare, folks.	SOPHIA (CONT'D)	 (calls over to him) Maybe something original for a change.			Anniversary Party, The 
SOPHIA (CONT'D)	 (calls over to him) Maybe something original for a change.	SALLY'S TEAM	 (in unison) Ten...twenty...thirty...seven, eight. Thirty-eighth word...thirty-seventh word.	MEDIUM CLOSE - AMERICA		SALLY	 (to Joe's look; innocence) I didn't say a word.	Anniversary Party, The 
MEDIUM CLOSE - AMERICA		SALLY	 (to Joe's look; innocence) I didn't say a word.	MAC	 Time!	JERRY	 What was it?  What the fuck was it?	Anniversary Party, The 
JERRY	 What was it?  What the fuck was it?	SALLY	 (small grin) Ryan's novel.	JERRY	 Ryan's novel?	JUDY	 Ryan's novel, Jerry.	Anniversary Party, The 
JUDY	 Ryan's novel, Jerry.	AMERICA	 (sings out) Dinner!	SALLY	 Still champions.	JOE	 Panes is not on your team anymore.	Anniversary Party, The 
JOE	 Truce.	SALLY	 Dinner. (on the move) Don't be angry.	JOE	 (pissed) I'm not fucking angry, for God's sake.			Anniversary Party, The 
SALLY	 Dinner. (on the move) Don't be angry.	JOE	 (pissed) I'm not fucking angry, for God's sake.					Anniversary Party, The 
ASTRID	 (barely looks up as Sally comes into the room) So who won?	SALLY	 (raises her hand) A triumph.  When did you get here?	ASTRID	 Ten, fifteen minutes ago.	SALLY	 Why didn't you come in?	Anniversary Party, The 
ASTRID	 I hate the sight of blood.  You guys don't take prisoners.	SKYE	 (charmed by the bundle in Astrid's arm) Oh how sweet.	ASTRID	 She's insanely jealous.			Anniversary Party, The 
SKYE	 No, no thanks.	PANES	 (finally) I was impressed.	SKYE	 Oh?	PANES	 The charades.	Anniversary Party, The 
SKYE	 Really??	PANES	 (does Seller's Indian) Oh yes, indeed.  That was my clue, you see.	PANES (CONT'D)	 (still Indian) So you are well acquainted with this Shostackovich, as am I.	JOE	 I hate the idea of some one else living in it.	Anniversary Party, The 
GINA	 Escape hatch.	JOE	 (eyes her) Escape hatch.  And Dad was having a go about the garden.  Something was misplanted...	SALLY	 Not properly watered.	JOE	 Whatever! (to Gina) You know how he gets.  Well, he went absolutely bonkers.  Lucy and I were frantically trying to scramble into the dumb waiter and I didn't fit any more. It was almost fatal.  And that, my dear friends, is the day...	Anniversary Party, The 
SALLY	 Not properly watered.	JOE	 Whatever! (to Gina) You know how he gets.  Well, he went absolutely bonkers.  Lucy and I were frantically trying to scramble into the dumb waiter and I didn't fit any more. It was almost fatal.  And that, my dear friends, is the day...	SALLY/JEFFREY	 I realized I had become a man.  Ta da!	GINA	 You're not a man, Joe.  You're a boy.	Anniversary Party, The 
GINA	 You're not a man, Joe.  You're a boy.	JOE	 (childishly) So?	GINA	 (laughs) I love you, Joe Therrian.	SALLY	 (at a loss, small) Me too.	Anniversary Party, The 
JOE	 (childishly) So?	GINA	 (laughs) I love you, Joe Therrian.	SALLY	 (at a loss, small) Me too.	NEW ANGLE		Anniversary Party, The 
GINA	 (laughs) I love you, Joe Therrian.	SALLY	 (at a loss, small) Me too.	NEW ANGLE				Anniversary Party, The 
SALLY	 Would it make a difference?	ASTRID	 Anouk isn't like a dog, really.  More like a small person.  So is there anyone here for me?  No one looks new. (fixes on Ryan) Who's that?	SALLY	 You don't want that.  It's married and it's the neighbor.	ASTRID	 Oh I think he's cute.  How's the marriage part working out?	Anniversary Party, The 
SALLY	 You're fucking desperate.	ASTRID	 Like you didn't know. (re: Skye) Who invited the bimbo?	SALLY	 One guess.			Anniversary Party, The 
SOPHIA	 (re: the cake as it comes in) Part of our gift.  Honey!!	CAL	 (clinks his glass) Here, here.	MEDIUM CLOSE - SKYE		NEW ANGLE		Anniversary Party, The 
SKYE	 I wasn't prepared to say anything.  I'm honored to be a part of tonight.  To be in the same room, with my favorite living actress...	SAM	 (sings out) Still living.	SKYE	 And my favorite novelist.  And all their amazing --	SAM	 (sings out) And talented.	Anniversary Party, The 
SKYE	 And my favorite novelist.  And all their amazing --	SAM	 (sings out) And talented.	SKYE	 Friends.  And talented friends.  This room is so filled with love..	ASTRID	 (sings out) And the winner is...	Anniversary Party, The 
SKYE	 Friends.  And talented friends.  This room is so filled with love..	ASTRID	 (sings out) And the winner is...	PANES	 Let the woman speak.	SKYE	 And I brought a gift of love.  A gift that is love.	Anniversary Party, The 
SKYE (CONT'D)	 (tears up) Happy anniversary.  Thank you for making me a part of it.	SALLY	 (pours the pills into her hand) What are they?	JOE	 (pleased, surprised) Dolphins.  Great.	SALLY	 It's ecstasy, Sal.	Anniversary Party, The 
SALLY	 (pours the pills into her hand) What are they?	JOE	 (pleased, surprised) Dolphins.  Great.	SALLY	 It's ecstasy, Sal.	SKYE	 I think there are sixteen there.	Anniversary Party, The 
SKYE	 I think there are sixteen there.	JOE	 (kisses Skye) This is an amazing present.  What a sweetheart you are.	SALLY	 (regards Joe; to Skye) What a sweetheart you are.	ASTRID	 (Anouk still in her lap) It's late. (kisses Anouk) You sleepy baby?	Anniversary Party, The 
JOE	 (kisses Skye) This is an amazing present.  What a sweetheart you are.	SALLY	 (regards Joe; to Skye) What a sweetheart you are.	ASTRID	 (Anouk still in her lap) It's late. (kisses Anouk) You sleepy baby?			Anniversary Party, The 
SALLY	 (regards Joe; to Skye) What a sweetheart you are.	ASTRID	 (Anouk still in her lap) It's late. (kisses Anouk) You sleepy baby?					Anniversary Party, The 
SALLY	 I'm worried about my spine.  I'm very worried about my brain and my spine.	SOPHIA	 (laughs) Oh honey, you're gonna love it.	JOE	 (to her Look) Sophia's going to do it, Panes is going to do it, trust me.			Anniversary Party, The 
SOPHIA	 (laughs) Oh honey, you're gonna love it.	JOE	 (to her Look) Sophia's going to do it, Panes is going to do it, trust me.					Anniversary Party, The 
MONICA	 I love it here.  Don't you love it here, Ryan?  I love it here.  And I love tonight.  And I love these people.  And this feels utterly fantastic, Ryan. (touches her own cheek, ever so lightly; shivers against the sensation) Utterly fantastic.	RYAN	 You know what Sally Therrian was saying about your spine and your brain?  She didn't pull that out of thin air.  It causes brain damage.  You'd better drink a lot of water.	MONICA	 Do you want to go home, Ryan?			Anniversary Party, The 
RYAN	 Ready to go?	MONICA	 I'm going to go get my swimsuit.  I do know, Ryan, this is non addictive so you mustn't worry. (turns back) Ryan, you're a great man.	CLAIR	 This water is great!	JERRY	 (swimming past her) Wanna dive for a baton?	Anniversary Party, The 
CLAIR	 This water is great!	JERRY	 (swimming past her) Wanna dive for a baton?	MEDIUM CLOSE UP - JUDY		JUDY	 Okay, I'm about to throw five colored batons in the water.  Then I'm going to count to three, and then you may start diving.  I'm playing too.  The red one is ten extra points.  Ready? (she throws batons in) One, two, three, go!!	Anniversary Party, The 
MEDIUM CLOSE UP - JUDY		JUDY	 Okay, I'm about to throw five colored batons in the water.  Then I'm going to count to three, and then you may start diving.  I'm playing too.  The red one is ten extra points.  Ready? (she throws batons in) One, two, three, go!!					Anniversary Party, The 
MAC	 Kind of.  Hey, look - John Seale, Oliver Stapelton, Darius Khonji - they're friends.  And great DP's I could give them a call for you.	JOE	 Thanks, Mac. (regards him) And thanks for being so supportive about all this. (throws arm around him, hugs him close) I really love you, you know.	MAC	 Hey, I'm happy for you, buddy.  Anything I can do.	JOE	 (lets go of Mac) God, I really need to jump about a bit. (begins jumping) How's your film going?	Anniversary Party, The 
MAC	 Hey, I'm happy for you, buddy.  Anything I can do.	JOE	 (lets go of Mac) God, I really need to jump about a bit. (begins jumping) How's your film going?	CAL	 It's going.  It's going.	JOE	 And how's the diva doing?	Anniversary Party, The 
MAC	 I meant Sally.	JOE	 (stops jumping, studies him) Oh.  You're serious.	MAC	 (throws and arm around him) No.  No. (a beat) Let me tell you something.  Directing's the best preparation possible for fatherhood.  The sleep depravation alone.	JOE	 Oh don't.  Everyone says that.	Anniversary Party, The 
JOE	 (stops jumping, studies him) Oh.  You're serious.	MAC	 (throws and arm around him) No.  No. (a beat) Let me tell you something.  Directing's the best preparation possible for fatherhood.  The sleep depravation alone.	JOE	 Oh don't.  Everyone says that.			Anniversary Party, The 
SALLY	 (re: the photograph) Isn't this a fabulous picture?	SOPHIA	 Yes.	SALLY	 She's such a great photographer.			Anniversary Party, The 
SOPHIA	 A notch above the storage room.	SALLY	 We're always in here. (regards the photo) She really gets him, doesn't she?	SOPHIA	 The both of you.	SALLY	 But she really gets to the heart of Joe, doesn't she?  She's a genius.	Anniversary Party, The 
SALLY	 She took our wedding photos, for chrissakes.  You don't trust anyone.	SOPHIA	 (a moment simply) I trust you.	SALLY	 Oh Soph...	SOPHIA	 You'll hate it in London.  It's wet and miserable.  A medical hellhole Sally. It's socialized.  Beds in the corridors. Terrible plumbing.	Anniversary Party, The 
SOPHIA	 Oh honey, let's.	SALLY	 (stops short; turns to her) What do you mean, thank God?	SOPHIA	 Well, are you sure about this baby thing? It's not the ticking clock shit, is it?	SALLY	 No, no, not at all... I mean I've still got plenty of time.  Don't I?  I mean I still have a good six years, whatever. We could have three kids yet, if we wanted.  And I know I've always said I never wanted kids, and I didn't... but this year, I really, truly, feel ready...	Anniversary Party, The 
SOPHIA	 Honey, I'm not worried about you.  You are going to be a fantastic mom.  Not an issue.  I pressed you, remember?  Joe, on the other hand, is a different story.	SALLY	 (laughs) Oh Soph, Joe loves kids.  Joe wants kids. Joe thinks he needs kids.	SOPHIA	 He wants playmates.  Oh he's a sweetheart, Sal, you know I love him. But he's not going to be a good father. He's just not parenting material.	SALLY	 Hey, let's sit down.  I bet the rug feels really nice against your skin.	Anniversary Party, The 
SALLY	 Hey, let's sit down.  I bet the rug feels really nice against your skin.	SOPHIA	 Don't try and change the subject. (sitting, joining Sally) Oh God, it feels great!  He's just a little narcissistic, irresponsible and unreliable.	SALLY	 And Cal's this massive adult?	SOPHIA	 Cal knows who he is.  Did you notice how happy Joe was when the drugs came out tonight?	Anniversary Party, The 
SALLY	 You weren't exactly horrified.	SOPHIA	 (laughing) I don't have a drug problem.	SALLY	 Neither does Joe.	SOPHIA	 His sister does.  Big time.  And the New York Times says addiction is genetic -- I'll e-mail you the article.	Anniversary Party, The 
SOPHIA (CONT'D)	 You don't have kids to keep a marriage together, Sally.  It's only five months since Joe came back.	SALLY	 (getting up) We're fine.  We're great.  We're having a baby and we're moving to London.	SOPHIA	 (following her) Well, you weren't fine last summer when you went Sylvia Plath on me in Connecticut.	SALLY	 Not nice.  Not kind.	Anniversary Party, The 
SALLY	 (getting up) We're fine.  We're great.  We're having a baby and we're moving to London.	SOPHIA	 (following her) Well, you weren't fine last summer when you went Sylvia Plath on me in Connecticut.	SALLY	 Not nice.  Not kind.	SOPHIA	 Ha!  Not half so not kind as your husband was in his portrayal of you in his novel.	Anniversary Party, The 
SOPHIA	 His image of you is a possessive, fragile neurotic.	SALLY	 (tearing up) But I am a possessive, fragile neurotic.	SOPHIA	 (also tearing up) No you are not.  You're Sally Nash. Listen to me, you're Sally Nash.  You're my best friend and I love you more than anyone, and you're not going to move to London to have the offspring of a sexually ambivalent man-child.  "Oh now I'm a novelist, oh now I'm a director..." English prick bastard Joe Therrian who's probably going to leave you for Skye Davidson anyway.	SOPHIA (CONT'D)	 He's always one step removed, always looking over his shoulder always looking for something else, something more intoxicating, and I don't mean drugs.  I love him, Sal, but he's a child.  He's not ready. (a choked sob, tears well and fall) Oh God, you're so lucky you don't have kids.  You can't stick your head in the oven.  You can't take a handful of Percoden if you want to, or slit your wrists.  You can't do yourself in.  Kids rob you of that option.  Trust me. (a beat) Oh my God, this ecstacy must be really good.	Anniversary Party, The 
SALLY	 (tearing up) But I am a possessive, fragile neurotic.	SOPHIA	 (also tearing up) No you are not.  You're Sally Nash. Listen to me, you're Sally Nash.  You're my best friend and I love you more than anyone, and you're not going to move to London to have the offspring of a sexually ambivalent man-child.  "Oh now I'm a novelist, oh now I'm a director..." English prick bastard Joe Therrian who's probably going to leave you for Skye Davidson anyway.	SOPHIA (CONT'D)	 He's always one step removed, always looking over his shoulder always looking for something else, something more intoxicating, and I don't mean drugs.  I love him, Sal, but he's a child.  He's not ready. (a choked sob, tears well and fall) Oh God, you're so lucky you don't have kids.  You can't stick your head in the oven.  You can't take a handful of Percoden if you want to, or slit your wrists.  You can't do yourself in.  Kids rob you of that option.  Trust me. (a beat) Oh my God, this ecstacy must be really good.			Anniversary Party, The 
CAL	 And you've only just met.	JOE	 Yeah, I know... But she's only twenty seven and... (taps his head) The wisdom.  She's an old soul.  She knew that Shostakovich thing.  Did you notice?	CAL	 Absolutely.  And she's got great tits.	JOE	 Yeah, God she really does have great tits, great tits.  i can't wait to work with her.	Anniversary Party, The 
CLAIR	 Has anyone seen Mac?	JOE	 (pointing further up the property) I saw him wandering over there, I think. How're you feeling, Clair?	CLAIR	 I'm so good.	CAL	 Poor Mac.  It's been a bit of a struggle. I'm sure Sally's told you.	Anniversary Party, The 
JOE	 What?	CAL	 Hey, listen, I love her.  She's Sophia's best friend. (to Joe's stare) I never said any of this, alright.  I'll deny it on the stand... (into the silence) You guys are gonna have kids.  That is so great.  Maybe that's what this is all about.  Maybe she doesn't want to do this anymore.  You know adults don't do this for a living.  You guys are gonna have your kids, you'll be directing -- one asshole in the family is enough.  Sophia knew that intuitively.  Look at Clair. Clair's a mess. (throws an arm around him) Make sure she gets the epidural.  Forget that natural childbirth shit. Everything's going to be what it's supposed to be.  "Life is but a walking shadow.  A poor player who struts and frets his hour upon the stage and then is heard no more..." And speaking of me, the role of Leo in your film?	JOE	 (stares at him) Leo?	CAL	 Any thoughts on casting yet?	Anniversary Party, The 
CAL	 Hey, listen, I love her.  She's Sophia's best friend. (to Joe's stare) I never said any of this, alright.  I'll deny it on the stand... (into the silence) You guys are gonna have kids.  That is so great.  Maybe that's what this is all about.  Maybe she doesn't want to do this anymore.  You know adults don't do this for a living.  You guys are gonna have your kids, you'll be directing -- one asshole in the family is enough.  Sophia knew that intuitively.  Look at Clair. Clair's a mess. (throws an arm around him) Make sure she gets the epidural.  Forget that natural childbirth shit. Everything's going to be what it's supposed to be.  "Life is but a walking shadow.  A poor player who struts and frets his hour upon the stage and then is heard no more..." And speaking of me, the role of Leo in your film?	JOE	 (stares at him) Leo?	CAL	 Any thoughts on casting yet?	JOE	 (regards him) Leo?  It was out to Jude Law.  Jude passed.	Anniversary Party, The 
CAL	 Any thoughts on casting yet?	JOE	 (regards him) Leo?  It was out to Jude Law.  Jude passed.	CAL	 Well, I can't make any promises, and of course I haven't read the script but I loved the novel...when are you shooting?	JOE	 October-ish.	Anniversary Party, The 
SALLY (ON TV)	 I was faking it.  I've been feeling caged for sometime.  Funny, huh?	MAC	 (moans) No, it's not... Fuck fuck fuck fuck.					Anniversary Party, The 
MAC (O.S.)	 Jesus Christ.	SALLY	 (a deep breath) Well...wow...					Anniversary Party, The 
CLAIR	 It's always not this time.  If you can do it around me, you can do it around anyone.	MAC	 (an observation) You don't have any clothes on.	CLAIR	 How nice for everybody.  Come swimming. The water's glorious. (re: the film) You'll fix it.  You'll come up with one of your brilliant ideas.	MAC	 Or I won't.  I can't help her.  I'm out of my depth.	Anniversary Party, The 
MAC	 (an observation) You don't have any clothes on.	CLAIR	 How nice for everybody.  Come swimming. The water's glorious. (re: the film) You'll fix it.  You'll come up with one of your brilliant ideas.	MAC	 Or I won't.  I can't help her.  I'm out of my depth.	CLAIR	 Things always look much worse in the morning.	Anniversary Party, The 
CLAIR	 You're coming swimming in the pool, and in a few minutes you won't even remember what it's about.  You won't care who's in your damn movie.	MAC	 (really stoned) What what's about?	CLAIR	 I...wait, what are you talking about?			Anniversary Party, The 
MONICA	 I'm a little in the puke zone.	JOE	 (giving her some water) Here, drink this.  Drink lots of water. (puts the bottle in her hand) Hold on to this.  Take deep breaths. Nice and slow. (sits her down; produces a lollipop) Would you like a lolly?	MONICA	 What am I, five?	JOE	 You're never too old for a lolly.  I'm having one.	Anniversary Party, The 
JOE	 You're never too old for a lolly.  I'm having one.	MONICA	 (a grin) Okay.	JOE	 Lemon or raspberry?	MONICA	 Lemon.	Anniversary Party, The 
JOE	 Lemon it is.	MONICA	 (finally) Ryan's really angry with me.	JOE	 I think he's really angry with me too.	MONICA	 (laughs) It's really not the same thing. (a moment) He was really nicer when he drank.	Anniversary Party, The 
JOE	 I think he's really angry with me too.	MONICA	 (laughs) It's really not the same thing. (a moment) He was really nicer when he drank.	JOE	 I'm sorry.	MONICA	 Eight years, though.  That's quite an accomplishment.	Anniversary Party, The 
JOE	 You must have been a baby.	MONICA	 Oh yes.  Nineteen...just. (a moment) I'm cold.	JOE	 Come here.	MONICA	 (a moment) That's very nice.	Anniversary Party, The 
JOE	 Come here.	MONICA	 (a moment) That's very nice.	JOE	 I like you.	MONICA	 I'm so glad.  You know, I recognize that passage in your book.  The bit about us running into each other in the movie theatre.	Anniversary Party, The 
MONICA	 I know you changed it to a bookstore. And the color of my hair.  But the moment was exactly the same.  The same, you know, dynamic.  And almost verbatim, wasn't it?	JOE	 (humors her) Yeah, it was.  For a writer nothing's sacred. (thinks a moment) No, nothing at all.	MONICA	 I think it's great that I made an impression at all, you know.	SALLY (O.S.)	 Otis!!  Otis, come!  Oh fuck!	Anniversary Party, The 
JOE	 Oh for fuck's sake.  Nobody uses that gate.	MONICA	 (horrified) I'm sorry.	SALLY	 (raging) There's a goddamn sign on the gate.	MONICA	 I'm so sorry.	Anniversary Party, The 
MONICA	 (horrified) I'm sorry.	SALLY	 (raging) There's a goddamn sign on the gate.	MONICA	 I'm so sorry.	SALLY	 You fucking cow, can't you read?!	Anniversary Party, The 
SALLY	 You fucking cow, can't you read?!	MONICA	 (at a loss) I...	SALLY	 How long ago was it?			Anniversary Party, The 
SALLY	 Don't be so sure.	JOE	 Listen to yourself... (to Monica) Don't worry, it's alright.  We'll find him. (to Sally) What's wrong with you?	SALLY	 (re: Monica) She left the fucking gate open.	JOE	 Well he can't have gone far.	Anniversary Party, The 
JOE	 Listen to yourself... (to Monica) Don't worry, it's alright.  We'll find him. (to Sally) What's wrong with you?	SALLY	 (re: Monica) She left the fucking gate open.	JOE	 Well he can't have gone far.	SALLY	 Can't have gone far?  He's like a greyhound.  He could be miles away.	Anniversary Party, The 
SALLY	 There are fucking coyotes out there.	JOE	 (calming) Sally, calm down.  We're not going to find him any quicker by you being hysterical.	SALLY	 Fuck you.	JOE	 Or shitty!!  Otis!!	Anniversary Party, The 
RYAN	 How long have you worked for the Therrians?	AMERICA	 (shrugs, polite but annoyed) A long time.	RYAN	 So you were here when they were doing the work on the boundary fence?	AMERICA	 Oh yes.	Anniversary Party, The 
RYAN	 Why?	MONICA	 (regards him) Because we're nice people, and because what goes around comes around. (desperate) Because, God help you if something happens to that dog?	RYAN	 Excuse me?	MONICA	 All the ugly phone calls?  We're not the only people with a tape recorder, Ryan. (a beat) They've gone to the canyon, we should go towards the PCH.	Anniversary Party, The 
RYAN	 Excuse me?	MONICA	 All the ugly phone calls?  We're not the only people with a tape recorder, Ryan. (a beat) They've gone to the canyon, we should go towards the PCH.					Anniversary Party, The 
SKYE	 Do Peter Sellers again.	PANES	 (a la Sellers) Otis you crazy dog!  Otis are you in this God forsaken Canyon?  My people are very hungry.	SKYE	 I just did a movie about Bob Yar, I played Gittle, the Jewish milkmaid who gets shot in the head, and they used Shostakovich's 13th Symphony.	PANES	 Set to the poem of Yetveshenko!	Anniversary Party, The 
PANES	 How about someone who really really liked Shostakovich?	SKYE	 (smiling) Are you asking me to marry you?	PANES	 No, I'm just testing to see how deeply perverted and impulsive you are.	SKYE	 (laughing) Very.	Anniversary Party, The 
PANES	 No, I'm just testing to see how deeply perverted and impulsive you are.	SKYE	 (laughing) Very.	PANES	 Oh good, I'm worse... Are you really twenty-two?	SKYE	 Who told you that?  No.  I'm twenty... (lops off two years) Five.	Anniversary Party, The 
PANES	 Oh good, I'm worse... Are you really twenty-two?	SKYE	 Who told you that?  No.  I'm twenty... (lops off two years) Five.					Anniversary Party, The 
SALLY	 Otis!!!!	JOE	 (on her heels) Otis!!!!	SALLY	 Otis, good boy, come here.  Oh my god, oh my god, oh my god.	JOE	 This is a nightmare.  We should have kept him upstairs.	Anniversary Party, The 
SALLY	 Anyone else?	JOE	 This is insanity. (moves toward her) Sally...	SALLY	 Don't.	JOE	 Don't push me away.	Anniversary Party, The 
SALLY	 I found out I was pregnant and it scared the shit out of me.	JOE	 (threatens) Don't do this!	SALLY	 I told you when we met I never wanted children.  I don't want kids in my life. We talked about it.  You weren't listening.	JOE	 You changed your mind.	Anniversary Party, The 
JERRY	 He's okay, Clair.  You wanna give him a little room?	MAC	 (his face against concrete) Man, I must really be stoned. (wipes tears from his face with his hand) Thanks, buddy.	CLAIR	 Honey?	MAC	 I'm fine, babe.	Anniversary Party, The 
JERRY	 Give him a minute, Clair.	MAC	 (humiliated) Hey. (looks over at Jerry) Thanks, buddy.	JERRY	 Anytime, sport.	MAC	 (wants to say "don't call me sport") Yeah, thanks pal.	Anniversary Party, The 
JERRY	 Anytime, sport.	MAC	 (wants to say "don't call me sport") Yeah, thanks pal.	CLAIR	 (helpless) Honey?	MAC	 I'm fine, babe.  I'm gonna take a little walk.  I need a minute.  Let's forget it. My life didn't pass in front of my eyes. So, it probably wasn't that close.	Anniversary Party, The 
MAC	 (wants to say "don't call me sport") Yeah, thanks pal.	CLAIR	 (helpless) Honey?	MAC	 I'm fine, babe.  I'm gonna take a little walk.  I need a minute.  Let's forget it. My life didn't pass in front of my eyes. So, it probably wasn't that close.	JERRY	 Probably not.	Anniversary Party, The 
JERRY	 Probably not.	MAC	 (to Jerry) So, you've got lifeguard papers, or what?	JUDY	 There's a test, you know.	JERRY	 (embarrassed) Forget it, Judy.	Anniversary Party, The 
JUDY	 There's a test, you know.	JERRY	 (embarrassed) Forget it, Judy.	CLAIR	 (still scared) Honey?	MAC	 I'll be fine.  Really babe.  Give me a minute.	Anniversary Party, The 
JERRY	 (embarrassed) Forget it, Judy.	CLAIR	 (still scared) Honey?	MAC	 I'll be fine.  Really babe.  Give me a minute.			Anniversary Party, The 
MAN'S VOICE	 Joe, Joe!  It's your Dad!  Pick up, Joe...	GINA	 (picks up receiver) Harry, hi, it's Gina!  Gina.  Is everything alright? (a deep intake of breath) Oh my God.  When?  He's not here. They're out looking for Otis.  The dog, Harry. (tears start down her face) I love you so much.  Lucy's a fighter, she'll make it.  Whether she wants to or not.  Harry.  I'm so sorry.  I will. (writes down the number) Yes I will.  Take care, Harry.  Bye.					Anniversary Party, The 
JERRY	 Let me heal you, baby.	JUDY	 (mantra) Oh Jesus oh Jesus oh Jesus.	JERRY	 Oh yeah.			Anniversary Party, The 
GINA (CONT'D)	 Let's go upstairs.	SALLY	 (on the way upstairs) Is it Otis?	SKYE	 What happened?			Anniversary Party, The 
GINA	 Harry called.	JOE	 (growing dread) And?	GINA	 (there's now way to say it) Lucy overdosed.	JOE	 (a long moment) But she's alright.	Anniversary Party, The 
JOE	 (growing dread) And?	GINA	 (there's now way to say it) Lucy overdosed.	JOE	 (a long moment) But she's alright.	GINA	 She's in ICU.	Anniversary Party, The 
GINA	 (there's now way to say it) Lucy overdosed.	JOE	 (a long moment) But she's alright.	GINA	 She's in ICU.	JOE	 (laughs; shakes his head) Stupid tart.	Anniversary Party, The 
GINA	 She's in ICU.	JOE	 (laughs; shakes his head) Stupid tart.	GINA	 She left a note.	JOE	 (realizes the import; to Gina) Fuck you.	Anniversary Party, The 
GINA	 She left a note.	JOE	 (realizes the import; to Gina) Fuck you.	GINA	 You need to call your dad.	JOE	 Leave us alone right now.	Anniversary Party, The 
JOE	 Alright, good.  Thanks for your trouble. So will you leave Sally and me alone right now?	SALLY	 (a shrug; simply) Everybody hates the messenger.	SALLY (CONT'D)	 (to Joe) I'm coming with you.	JOE	 (inconsolable) I don't want you to go.	Anniversary Party, The 
SALLY (CONT'D)	 (to Joe) I'm coming with you.	JOE	 (inconsolable) I don't want you to go.	JOE (CONT'D)	 I can't got tonight.  I don't want to be on a plane on my own tonight.	SALLY	 I'll be with you.	Anniversary Party, The 
SALLY	 You don't have to.	JOE	 (bereft) Stupid tart.					Anniversary Party, The 
CLAIR	 Oh my God, the sitter.	SALLY	 (laughs) Oh Clair, you're so... You know.  You just put things in perspective.					Anniversary Party, The 
JUDY	 A perfect night.	JERRY	 Damn near. (long moment) And a damn near perfect drug.	JUDY	 Hm.  We should do it again.	JERRY	 Just every once in a blue moon, you know.	Anniversary Party, The 
JERRY	 Just every once in a blue moon, you know.	JUDY	 Hm. (a long moment) You think we should ask them for their landscaper?	JERRY	 Hm.  Do you like fucking out of doors?	JUDY	 Not as a rule.	Anniversary Party, The 
JUDY	 Not as a rule.	JERRY	 (a long moment) They didn't sign their goddamn tax returns!					Anniversary Party, The 
GINA	 (kisses Sally; whispers) Take good care of it.	SALLY	 Count on it.					Anniversary Party, The 
RYAN	 (appalled) Jesus Christ, it's a fucking dog!	MONICA	 (regards them) Don't go in, Ryan.	RYAN	 What?	MONICA	 Let's just go home, okay?	Anniversary Party, The 
SALLY	 Okay.  Do you want me to come with you?	JOE	 (simply) No.	SALLY	 Okay.	JOE	 (a moment) Pretty much a disaster, tonight, wasn't it?	Anniversary Party, The 
