WILLIAM	 - so Livia -	ELAINE	 -- killed everyone off so her son Tiberius could inherit the throne. (thoughtful pause) Just like Nixon.	ELAINE (CONT'D)	 Anita, is that you?	ANITA'S VOICE	 Hey Mom!  I already ate.	Almost Famous 
WILLIAM	 (happy to be there) Alright.	PENNY LANE	 (continuing) "In the unlikely event of a water landing, the seat below you will serve as a -" (give up) Oh, the hell with it.	POLEXIA	 (privately) Act One, in which she pretends she doesn't care about him.	POLEXIA (CONT'D)	 Act Two, in which he pretends he doesn't care... and goes right for her.	Almost Famous 
PENNY LANE	 (continuing) "In the unlikely event of a water landing, the seat below you will serve as a -" (give up) Oh, the hell with it.	POLEXIA	 (privately) Act One, in which she pretends she doesn't care about him.	POLEXIA (CONT'D)	 Act Two, in which he pretends he doesn't care... and goes right for her.	POLEXIA (CONT'D)	 Act Three, in which it all plays out the way she planned it.  She'll eat him alive.	Almost Famous 
POLEXIA (CONT'D)	 Act Three, in which it all plays out the way she planned it.  She'll eat him alive.	WILLIAM	 (worried) We've got to stop them.	POLEXIA	 Stop them?  You were her excuse for coming here.	ON PENNY		Almost Famous 
POLEXIA	 Do you smoke?	WILLIAM	 No. (attempting to fit in) But I... I grow it.  I grow it.	POLEXIA	 You're funny.  You know, if you were only taller, English, rich, a guitar- player and older...	WILLIAM	 I'd be someone else.	Almost Famous 
PENNY	 (with real indignation) How does it end?	RUSSELL	 What?	PENNY	 You know - the story about the girl who dumps the guy who has an ex-ex wife -- the one we don't talk about -- and gets a hundred... okay, five letters from him, and then doesn't even leave a pass in San Diego.  Wake up!  I'm retired and I never believed you anyway. You're too talented and too good-looking to be trusted and everybody knows it.			Almost Famous 
PENNY	 You know - the story about the girl who dumps the guy who has an ex-ex wife -- the one we don't talk about -- and gets a hundred... okay, five letters from him, and then doesn't even leave a pass in San Diego.  Wake up!  I'm retired and I never believed you anyway. You're too talented and too good-looking to be trusted and everybody knows it.	RUSSELL	 (smiling, loves it) You're retired like Frank Sinatra is retired.	RUSSELL (CONT'D)	 Miss Penny Lane.  Let me tell you what rock and Roll will miss the day you truly retire.	RUSSELL (CONT'D)	 The way you turn a hotel room into a home. (cube) The way you pick up strays wherever you go.  Like Pied Piper. (cube) The way you know the words to every song.  Every song.  Especially the bad ones.  Mostly the bad ones. (cube) That green coat in the middle of summer. (cube) The real name you won't reveal. (cube) And.  I'd keep going, but my glass if full.	Almost Famous 
RUSSELL (CONT'D)	 The way you turn a hotel room into a home. (cube) The way you pick up strays wherever you go.  Like Pied Piper. (cube) The way you know the words to every song.  Every song.  Especially the bad ones.  Mostly the bad ones. (cube) That green coat in the middle of summer. (cube) The real name you won't reveal. (cube) And.  I'd keep going, but my glass if full.	PENNY	 (quietly) Damn.	RUSSELL	 Come to Arizona.	PENNY	 Never.	Almost Famous 
WILLIAM	 Yes it is.	BEN	 (rifling through tearsheets) Voice of God, howling dogs, the spirit of rock And roll... this is good solid stuff.	WILLIAM	 (immediately, suddenly deeper) Thanks... thanks.	BEN	 You should be writing for us.  Any ideas?	Almost Famous 
BEN	 (rifling through tearsheets) Voice of God, howling dogs, the spirit of rock And roll... this is good solid stuff.	WILLIAM	 (immediately, suddenly deeper) Thanks... thanks.	BEN	 You should be writing for us.  Any ideas?	WILLIAM	 (voice now to deep) How about Stillwater?	Almost Famous 
BEN	 You should be writing for us.  Any ideas?	WILLIAM	 (voice now to deep) How about Stillwater?	BEN	 Crazy.  New album... their third... starting to do something.	BEN (CONT'D)	 (pleasant, terse) Stillwater.  Hard-working band makes good.  Get 'em to respond to the critics who dismissed the first two albums as workmanlike. Guitarist is the clear star of the band.  Crazy.  Let's do three- thousand words.  You'll catch up to them on the road.  We'll set up billing -- don't let the band pay for anything.	Almost Famous 
BEN (CONT'D)	 (pleasant, terse) Stillwater.  Hard-working band makes good.  Get 'em to respond to the critics who dismissed the first two albums as workmanlike. Guitarist is the clear star of the band.  Crazy.  Let's do three- thousand words.  You'll catch up to them on the road.  We'll set up billing -- don't let the band pay for anything.	WILLIAM	 (affecting casualness) Sounds good.	BEN	 We can only pay -- lemme see, three- thousand words -- seven hundred dollars.	BEN (CONT'D)	 Alright, a grand.   What's your background?  You a journalism major?	Almost Famous 
BEN (CONT'D)	 Alright, a grand.   What's your background?  You a journalism major?	WILLIAM	 (deeply) Yes.	BEN	 What college --			Almost Famous 
WILLIAM	 But besides that, what would be wrong with it?	LESTER BANGS	 (laughs, entertained) You have starry eyes, my friend. (beat) Look.  Do the story.  It's a good break for ya.  But remember this --	LESTER BANGS (CONT'D)	 ... don't do it to make friends with people who are trying to use you to further the big business desire to glorify worthless rock stars like Stillwater.  And don't let those swill merchants re-write you.	WILLIAM	 (still copying) ... swill merchants...	Almost Famous 
LESTER BANGS (CONT'D)	 ... don't do it to make friends with people who are trying to use you to further the big business desire to glorify worthless rock stars like Stillwater.  And don't let those swill merchants re-write you.	WILLIAM	 (still copying) ... swill merchants...	LESTER BANGS	 Now.  What are you listening to?			Almost Famous 
MRS. DEEGAN (CONT'D)	 Now you are rather famously not a fan of rock music, but such are the ironies of life, that happens to be the very topic of William's assignment - (cheerfully) - rock music.  A band.	ELAINE	 (warily, to Darryl) Honey, what are you doing here?	DARRYL	 Moral support.	ELAINE	 What's involved?	Almost Famous 
ELAINE	 What's involved?	MRS. DEEGAN	 Well.  It's a great opportunity.  He'll be well-paid, and published nationally -- (quickly) -- and he'll go on tour with a rock band for four days.  No small planes... he travels on a bus.	ELAINE	 Is it time for me to say something?	MRS. DEEGAN	 Sure.	Almost Famous 
MRS. DEEGAN	 -- William has prepared --	ELAINE	 (rueful) "Lo, that which I have feared has come upon me."	WILLIAM	 (lightening fast) "He who jealously guards his fears, quietly yearns to bring them about!"	ELAINE	 (with compassion) No.  I have raised him to be an honor student, which he is.  We have agreed on all our goals.  We raised him to be a lawyer, we moved here to be near the finest law school in the West.  Plus, he has finals coming up, and in one week he graduates with all his friends -	Almost Famous 
ELAINE	 (rueful) "Lo, that which I have feared has come upon me."	WILLIAM	 (lightening fast) "He who jealously guards his fears, quietly yearns to bring them about!"	ELAINE	 (with compassion) No.  I have raised him to be an honor student, which he is.  We have agreed on all our goals.  We raised him to be a lawyer, we moved here to be near the finest law school in the West.  Plus, he has finals coming up, and in one week he graduates with all his friends -			Almost Famous 
WILLIAM	 (lightening fast) "He who jealously guards his fears, quietly yearns to bring them about!"	ELAINE	 (with compassion) No.  I have raised him to be an honor student, which he is.  We have agreed on all our goals.  We raised him to be a lawyer, we moved here to be near the finest law school in the West.  Plus, he has finals coming up, and in one week he graduates with all his friends -	DARRYL	 He's got no friends!!			Almost Famous 
MRS. DEEGAN	 Elaine, may I present to you... your own son.	WILLIAM	 Lady of the Jury. (beat) I wish to disprove the prevailing false belief that rock music is based on drugs and sex.  True, perhaps at one time... but rock music is different now.  It is now performed by hard-working intellectuals, with... with blazing intellectual pursuits, and I am going to play for you a piece of music designed to show you that my thesis is correct.	ELAINE	 This is going to be hell.	WILLIAM	 The song is based on the literature of Tolkien...  and it's mystical attempt to elevate humanity has been successful throughout the world...  this song will change your life.	Almost Famous 
POLEXIA	 Well, go do your job then.  You're on the road, man.  It's all happening!  Get in there.  Go talk to 'em!	WILLIAM	 (very professional) Russell.   Do you think we might be able to find some time to talk when we get to Phoenix?  I want to interview everyone separately... and I felt we'd start with you and me.	RUSSELL	 Absolutely.	WILLIAM	 Because I've got a thing in a couple days.	Almost Famous 
RUSSELL	 What.	WILLIAM	 (self-conscious) It's a... thing where... uhm... you go there to graduate.  School.	RUSSELL	 (sharply) I never graduated.  And look what happened.  You're here interviewing me.	RUSSELL (CONT'D)	 No no no.  Don't put that in Rolling Stone.  My bio says I graduated.  We'll come up with something better later. Just enjoy the ride.	Almost Famous 
WILLIAM	 (self-conscious) It's a... thing where... uhm... you go there to graduate.  School.	RUSSELL	 (sharply) I never graduated.  And look what happened.  You're here interviewing me.	RUSSELL (CONT'D)	 No no no.  Don't put that in Rolling Stone.  My bio says I graduated.  We'll come up with something better later. Just enjoy the ride.	LARRY	 How did you know I was thirsty?	Almost Famous 
PENNY	 I may need to stay in your room tonight. Russell's in a bad mood.  He's very Bob Dylan in Don't Look Back today. He's trying to write.	POLEXIA	 (inhaling deeply) Want some?	WILLIAM	 No thanks.			Almost Famous 
WILLIAM	 Thanks.	CLERK	 (confidentially) She's a handful.	WILLIAM	 I know.	SAPPHIRE	 Finally, you're here!!  They kicked me out of my room!  Fuck Ozzy!	Almost Famous 
RUSSELL	 Naw, we can trust him.  He's a fan.	JEFF	 But it's Rolling Stone.  He looks harmless, but he does represent the magazine that trashed Eric Clapton, broke up Cream, ripped Led Zeppelin, and wrote that lame story about the Allman Brothers Band that bummed Duane out before he died.  Don't forget the Rules.  This little shit is the Enemy. He writes what he sees. (beat) But it would be cool to be on the cover.	RUSSELL	 Leave it to me.  We'll get a good story.	JEFF	 Plus our girlfriends read this magazine and - (looking at Band-aids) -- you know.	Almost Famous 
RUSSELL	 Leave it to me.  We'll get a good story.	JEFF	 Plus our girlfriends read this magazine and - (looking at Band-aids) -- you know.	RUSSELL	 You made your point.  I'll take to him.			Almost Famous 
PENNY	 Can Sapphire stay in your room tonight? She had a big fight with Ozzy, and Polexia's not working out with Jeff Bebe. (to Sapphire and Polexia) You just have to remember... these guys are jealous, insecure, talented, egocentric, and manipulative geniuses... they're lead-singers.   They can say "I love you" to 20,000 people... but any fewer is a real problem. (girls nod, comforted, she continues to the kid) Jeff Bebe has so much jealousy over Russell that he can't express.  Plus, he never slept last night.   You keep Sapphire and I'll stay with Russell.	WILLIAM	 Sure.  I'll take her.	POLEXIA	 Me too?			Almost Famous 
WILLIAM	 All these people. (wondrous, off phone book) And they all live in Phoenix.	POLEXIA	 (on phone) Hi Dad!!  I can't talk long!  I'm here in Paris.  I'm staying in another Youth Hostel with no phone and no address for mail!!	WILLIAM	 (still wondrous, from phone book) Alex.  Lowbatz.	SAPPHIRE	 (emerging from bathroom) I was the one who told him what to tattoo on his fingers, I was the one who made his shirts... I was there when his wife left him.	Almost Famous 
POLEXIA	 (on phone) Hi Dad!!  I can't talk long!  I'm here in Paris.  I'm staying in another Youth Hostel with no phone and no address for mail!!	WILLIAM	 (still wondrous, from phone book) Alex.  Lowbatz.	SAPPHIRE	 (emerging from bathroom) I was the one who told him what to tattoo on his fingers, I was the one who made his shirts... I was there when his wife left him.	WILLIAM	 Charles.  C.  Swoop.	Almost Famous 
WILLIAM	 (still wondrous, from phone book) Alex.  Lowbatz.	SAPPHIRE	 (emerging from bathroom) I was the one who told him what to tattoo on his fingers, I was the one who made his shirts... I was there when his wife left him.	WILLIAM	 Charles.  C.  Swoop.	POLEXIA	 (on phone)	Almost Famous 
WILLIAM	 Charles.  C.  Swoop.	POLEXIA	 (on phone)	I CAN SEE THE EIFFELL TOWER.  DO YOU		KNOW THERE ARE 578 STEPS TO THE TOP?		Almost Famous 
WILLIAM	 Paul and Debbie Finger.	ESTRELLA	 (looking out window) Oh my God.  Simon Kirke of Bad Company is by the pool.	POLEXIA		I GOTTA GO!  I'LL CALL FROM ROME!		Almost Famous 
ESTRELLA	 Is anybody here as worried about Penny and Russell as I am?	POLEXIA	 (the perfect daughter)	AND HAPPY BIRTHDAY TO MAGGIE!!		I LOVE YOU!!		Almost Famous 
I LOVE YOU!!		SAPPHIRE	 (to Polexia and William) Ooo, watch out - whoever you look at when you say that - that's who you really mean.					Almost Famous 
PENNY (CONT'D)	 Leslie.  Leslie.  Leslie.  Leslie. Leslie.  Leslie.  Leslie.  Leslie.	RUSSELL	 (somehow satisfied) Alright - now we're talking.	PUSH IN ON HIS FACE		PENNY	 Leslie.  Leslie.  Leslie.  Lesssssslie. Leslie.  Leslie.  Leslie.  Leslie. Leslie.  Leslie.  Leslie.  Leslie. LESlie.  Leslie...	Almost Famous 
SAPPHIRE	 Opie, can I order room service?	WILLIAM	 Okay.  You guys.  Wait.   Put down the phone, Polexia. (she does, sadly) First, this is my room...	SAPPHIRE	 Come on, you're a fan like us.  You're on our side of the line.	WILLIAM	 Second.  I'm not Opie.  Alright?  Opie is a little boy.  I'm here to do a job.  I am a professional.	Almost Famous 
WILLIAM	 Second.  I'm not Opie.  Alright?  Opie is a little boy.  I'm here to do a job.  I am a professional.	ESTRELLA	 (flipping luggage tag) Ooooooo, sorry, Mr. 42.	WILLIAM	 Third! (has their attention now) ... this phone is a big, big deal.  In a minute, I have to go interview Russell.  Do not answer this phone if it rings.  I have family members with severe anxiety Problems.  She will not understand.	POLEXIA	 (wounded) But what if Ozzy calls Sapphire?   And I gave Jimmy Page this number.	Almost Famous 
ESTRELLA	 (flipping luggage tag) Ooooooo, sorry, Mr. 42.	WILLIAM	 Third! (has their attention now) ... this phone is a big, big deal.  In a minute, I have to go interview Russell.  Do not answer this phone if it rings.  I have family members with severe anxiety Problems.  She will not understand.	POLEXIA	 (wounded) But what if Ozzy calls Sapphire?   And I gave Jimmy Page this number.	ESTRELLA	 Or a guy who looked like Jimmy Page.	Almost Famous 
WILLIAM	 Third! (has their attention now) ... this phone is a big, big deal.  In a minute, I have to go interview Russell.  Do not answer this phone if it rings.  I have family members with severe anxiety Problems.  She will not understand.	POLEXIA	 (wounded) But what if Ozzy calls Sapphire?   And I gave Jimmy Page this number.	ESTRELLA	 Or a guy who looked like Jimmy Page.	WILLIAM	 Okay.   I have a solution.  Answer the phone.  But if anyone without an English accent is on the phone... (winging it) Just hang up.  Or say it's the wrong room.	Almost Famous 
ESTRELLA	 Or a guy who looked like Jimmy Page.	WILLIAM	 Okay.   I have a solution.  Answer the phone.  But if anyone without an English accent is on the phone... (winging it) Just hang up.  Or say it's the wrong room.					Almost Famous 
WILLIAM	 No, I'm fine.  I'll just interview Jeff Bebe some more.	RUSSELL	 (as in "you're on of us")	GO AWAY!				Almost Famous 
JEFF	 Well... not to get into a "me" thing... this is Jeff talking... but I did start the band, some time, actually, ago. This is back when we were the Jeff Bebe band, and I placed an ad in a magazine called Peaches looking for a guitarist and Russell Hammond answered.	QUINCE	 (with deep understanding) Peaches.	JEFF	 I think he was a gift from God, actually.  Nobody plays like Russell Hammond.	RUSSELL	 (sorta moved) Well, shit.  Thank you.	Almost Famous 
JEFF	 I think he was a gift from God, actually.  Nobody plays like Russell Hammond.	RUSSELL	 (sorta moved) Well, shit.  Thank you.	RUSSELL (CONT'D)	 Ooops.  Better hit the delay button.	RUSSELL (CONT'D)	 Okay - we're talking now, right?  Why the fuck do you wait until and interview in Arizona to say something nice about me.  Why don't you say it to my fucking face sometime?  Because I tell you every time I think you nailed something.	Almost Famous 
ELAINE	 (measured, very proper) May I speak with William please?	ESTRELLA	 (cheerfully) He's not here.  I think he's in the bar with the Band.  They just got back from the radio station.  Is this Maryann with the pot?	ESTRELLA (CONT'D)	 Hello?	ELAINE	 No this isn't Maryann with the pot. This is Elaine... his Mother.	Almost Famous 
ELAINE	 No this isn't Maryann with the pot. This is Elaine... his Mother.	ESTRELLA	 (cringing) I thought you were English.	ELAINE	 Could you please give him a message? Could you tell him to call home immediately?  And could you also tell him - (at full power) I know what's going on.	ESTRELLA	 Alright.  Okay.  But I'm just going to say this, and I'm going to stand by it. (can't help herself) You should be really proud of him. 'Cause I know guys... and I'll bet you do too.  And he respects women, and he likes women, and let's just pause and appreciate a man like that.   You created him out of thin air, and you raised him right, and we're all looking out for him.  And that's more than I've ever said to my own parents, so there you go. (silence) This is the maid speaking, by the way.	Almost Famous 
ESTRELLA	 (cringing) I thought you were English.	ELAINE	 Could you please give him a message? Could you tell him to call home immediately?  And could you also tell him - (at full power) I know what's going on.	ESTRELLA	 Alright.  Okay.  But I'm just going to say this, and I'm going to stand by it. (can't help herself) You should be really proud of him. 'Cause I know guys... and I'll bet you do too.  And he respects women, and he likes women, and let's just pause and appreciate a man like that.   You created him out of thin air, and you raised him right, and we're all looking out for him.  And that's more than I've ever said to my own parents, so there you go. (silence) This is the maid speaking, by the way.			Almost Famous 
ELAINE	 Could you please give him a message? Could you tell him to call home immediately?  And could you also tell him - (at full power) I know what's going on.	ESTRELLA	 Alright.  Okay.  But I'm just going to say this, and I'm going to stand by it. (can't help herself) You should be really proud of him. 'Cause I know guys... and I'll bet you do too.  And he respects women, and he likes women, and let's just pause and appreciate a man like that.   You created him out of thin air, and you raised him right, and we're all looking out for him.  And that's more than I've ever said to my own parents, so there you go. (silence) This is the maid speaking, by the way.					Almost Famous 
WILLIAM	 (very professional) Now that you're starting to be successful, you had twenty-six years to write your first Album... and you'll have maybe four months for the second. Do you worry that the pressure of the business will get in the way of the original joy of making your music?  Or -	RUSSELL	 Whoa! (laughing) I need three more beers and my guitar before I can answer that question. Let's take a walk.					Almost Famous 
RUSSELL	 For a minute I thought you were actually a real journalist... which is... you know, it's great. (beat) Shut that thing off, and I'll tell you the truth.	WILLIAM	 It's off.	RUSSELL	 Look.  I trust you.  I'm going to lay this right on you.  Just make us look cool.			Almost Famous 
WILLIAM	 Right.  Right.	RUSSELL	 So your question you asked me.  I think about It every fucking night.  The "business."  I hate it! (quietly) I grew up with these guys, okay?  I can't play all that I can play, I'm past these musicians, do you understand?	WILLIAM	 I do.	RUSSELL	 The more popular we get, the more I can't walk on them, the bigger their houses get, the more pressure... you forget, man.  You forget what it was like to be real, to be a fan.  You can hear it in a lot of bands who've been successful - it doesn't sound like music anymore.  It sounds like... like lifestyle maintenance. (suddenly confessional) I used to be able to hear the sounds of the world.  Everything, to me, used to sound like music.  Everything.  Now I don't hear it.   You know what I'm trying to say?	Almost Famous 
WILLIAM	 I do.	RUSSELL	 The more popular we get, the more I can't walk on them, the bigger their houses get, the more pressure... you forget, man.  You forget what it was like to be real, to be a fan.  You can hear it in a lot of bands who've been successful - it doesn't sound like music anymore.  It sounds like... like lifestyle maintenance. (suddenly confessional) I used to be able to hear the sounds of the world.  Everything, to me, used to sound like music.  Everything.  Now I don't hear it.   You know what I'm trying to say?	WILLIAM	 (ruefully) Yeah.	RUSSELL	 Man, it feels good to say this stuff out loud.  But what am I doing?  I'm telling secrets to the one guy you don't tell secrets to.	Almost Famous 
RUSSELL	 The more popular we get, the more I can't walk on them, the bigger their houses get, the more pressure... you forget, man.  You forget what it was like to be real, to be a fan.  You can hear it in a lot of bands who've been successful - it doesn't sound like music anymore.  It sounds like... like lifestyle maintenance. (suddenly confessional) I used to be able to hear the sounds of the world.  Everything, to me, used to sound like music.  Everything.  Now I don't hear it.   You know what I'm trying to say?	WILLIAM	 (ruefully) Yeah.	RUSSELL	 Man, it feels good to say this stuff out loud.  But what am I doing?  I'm telling secrets to the one guy you don't tell secrets to.	WILLIAM	 (feeling included) No, that's okay.  We'll do the interview tomorrow.	Almost Famous 
RUSSELL	 Man, it feels good to say this stuff out loud.  But what am I doing?  I'm telling secrets to the one guy you don't tell secrets to.	WILLIAM	 (feeling included) No, that's okay.  We'll do the interview tomorrow.	RUSSELL	 This is good.  So there's the "friend" and then there's the "interview guy."	WILLIAM	 Yeah.	Almost Famous 
LARRY	 I'm the bass-player.	WILLIAM	 (pressing for some poetry) Right.  And when you take that away... what would be missing?  Stylistically? What chemical?	LARRY	 (not getting it) The bass?			Almost Famous 
WILLIAM	 (pressing for some poetry) Right.  And when you take that away... what would be missing?  Stylistically? What chemical?	LARRY	 (not getting it) The bass?					Almost Famous 
PENNY	 Don't worry.  It's happened to all the greats.  Thank God you didn't hold the mike stand with both hands, you'd still be holding it.  This is a good thing. It's a good, good, good thing.	ESTRELLA	 I forgot to tell you!  Your mom says to call home immediately.  She says she knows what's going on! (receding) See you guys in Topeka!  I'll catch a ride with Sabbath!	DICK	 (casually, to Russell) Wanna buy a gate?	DICK (CONT'D)	 You just bought a gate. (to the bus) C'mon Doris!!  Get us out of town!!	Almost Famous 
ESTRELLA	 I forgot to tell you!  Your mom says to call home immediately.  She says she knows what's going on! (receding) See you guys in Topeka!  I'll catch a ride with Sabbath!	DICK	 (casually, to Russell) Wanna buy a gate?	DICK (CONT'D)	 You just bought a gate. (to the bus) C'mon Doris!!  Get us out of town!!	WILLIAM	 What did it feel like to be electrocuted?	Almost Famous 
WILLIAM	 What did it feel like to be electrocuted?	RUSSELL	 It burns.  It feels like a dose of lead shooting through your body... and then you see God, and he says, "How bad do you want to be legendary?" And god damnit.  I let go. (shaky grin as all laugh warmly) Rock and roll.					Almost Famous 
WHAT?		ELAINE	 (angry, louder)	I MISS YOU AND I LOVE YOU!		WILLIAM		Almost Famous 
PENNY	 I'm almost done with my shirt.	DICK	 Russell, your dad showed up again. And on a lighter note. (importantly) Gentlemen.  Your first t-shirts have arrived.	DICK (CONT'D)	 It's the record company's mistake. And they will pay.  Shirts gone, band happy.	RUSSELL	 Can we just skip the vibe and go straight to us laughing about this?	Almost Famous 
RUSSELL	 Can we just skip the vibe and go straight to us laughing about this?	JEFF	 (bitterly) Yeah.  Okay.	RUSSELL	 (trying for a joke) Because I can see by your face - you want to get into this -	JEFF	 How can you tell?  I'm just one of the out-of-focus guys.	Almost Famous 
JEFF	 (bitterly) Yeah.  Okay.	RUSSELL	 (trying for a joke) Because I can see by your face - you want to get into this -	JEFF	 How can you tell?  I'm just one of the out-of-focus guys.	RUSSELL	 Here we go.	Almost Famous 
RUSSELL	 Excuse me, but didn't we all get into this to avoid responsibility?	JEFF	 Forgive me. (continuing, on shirt) But this is the slow-moving train of compromise that will kill us.	JEFF (CONT'D)	 I can't say anymore with a writer here.	RUSSELL	 You can trust him,  you can say whatever you want.	Almost Famous 
RUSSELL	 You can trust him,  you can say whatever you want.	JEFF	 (eyes suddenly moist) I works as hard or harder than anybody on that stage.  You know what I do - I connect.  I get people off.  I look for the guy who isn't getting off, and I make him get off. (beat) Actually, that you can print. (continues to Russell) And yet, why do I always end up feeling like I'm a joke to you?  I feel nothing but love for you.  We're a family.	JEFF (CONT'D)	 You want to pretend this isn't going to be a very big band.  Well it is.  You call yourself a leader of this band, but your direction allowed the t-shirt, when you allowed Dick to manage us, 'cause he's your friend... don't you see?  The t-shirt is everything.  It's everything.	RUSSELL	 Is it my turn?  Because I think we should, for once, say what we really mean.	Almost Famous 
JEFF	 Oh, this is the part where you quit -	RUSSELL	 (stiffening) Right.  I'm so predictable.	JEFF	 No  I gotta tell the truth -- I want you to like me.  But sometimes I feel like you collect people who love you and then very skillfully... you make them feel bad that they're not good enough for you.	RUSSELL	 Stick to singing, brother, 'cause you ain't gonna make it as a shrink.	Almost Famous 
DAD	 Son!	RUSSELL	 (dutifully) Hello Harry.	DAD	 He got all the good genes, huh?  Meet Deirdre.  We're getting married in July.			Almost Famous 
WILLIAM	 You okay?  You alright?	RUSSELL	 (resolute, wound up) From here on out, I'm only interested in what's real.	RUSSELL (CONT'D)	 Real feelings.  Real people.  That's all I'm interested in...  From here on out.  What is REAL?   You're real.	WILLIAM	 Thanks.	Almost Famous 
WILLIAM	 Thanks.	RUSSELL	 You know, you know all about us and I don't know shit about you. (struggling to be personal) What's your... your family like?  Tell me.	WILLIAM	 Well, my dad died of a heart attack and my sister believes that my Mom is so intense that she might have contributed to it.  Plus -	RUSSELL	 (immediately) Okay, that's good.  That's enough.	Almost Famous 
WILLIAM	 Well, my dad died of a heart attack and my sister believes that my Mom is so intense that she might have contributed to it.  Plus -	RUSSELL	 (immediately) Okay, that's good.  That's enough.	WILLIAM	 It's good to talk about it.  Really good.	WILLIAM (CONT'D)	 Hey, man, maybe we should go back.	Almost Famous 
RUSSELL	 Hey, man, you know what?  Write whatever you want.  I trust you.	CONCERT-GOER	 (battle-cry) Woooooooooo!!!  You're Russel from Stillwater!!	RUSSELL	 On my better days, yes.  I am "Woooooo, Russell from Stillwater!"	CONCERT-GOER	 Wanna go to a party at my friend Aaron's house?!  I know you're a big rock star, but do you want to hang with some people looking to have a good time?	Almost Famous 
RUSSELL	 (eyes glowing) You.  Aaron.  Are what it's all about. You are real.  Your room is real. Your friends are real.  You are more important than... than... all the silly machinery.  And you know it!  In eleven years it's gonna be 1984, man.  Think about that!	AARON	 Wanna see me feed a mouse to my snake?	RUSSELL	 Yes.			Almost Famous 
WILLIAM	 We should probably head back sometime.	PASSING FAN # 2	 (holding red cup) Watch out, there's acid in the beer that's in the Red cups.	RUSSELL	 Topeka.  Check it out.	WILLIAM	 Please don't give him any more acid.	Almost Famous 
RUSSELL	 (bellowing to the heavens)	I AM A GOLDEN GOD!!		WILLIAM	 Hey Russell -			Almost Famous 
RUSSELL	 Okay I got it.  I got it.  I got it. I got it.   This is better.  Last words - (spreads his arms, his greatest realization)	I DIG MUSIC!!		RUSSELL (CONT'D)	 (immediately) I'm on drugs!!			Almost Famous 
I DIG MUSIC!!		RUSSELL (CONT'D)	 (immediately) I'm on drugs!!	WILLIAM	 Just come on down!!	RUSSELL	 (matter-of-fact) Okay.	Almost Famous 
WILLIAM	 Just come on down!!	RUSSELL	 (matter-of-fact) Okay.					Almost Famous 
DICK	 (privately) They've been crying for you like a bunch of whimpering pussies --	RUSSELL	 (woozy) The band is over.  This is my family now.	OTHERS	 Right on.  He's staying with us.	DICK	 (soothing) Definitely.  It's all over.  We'll just ride on to Greenville, listen to some great music, finish the tour, and leave those ungrateful fools behind. And then we'll come back here, where you'll live.	Almost Famous 
OTHERS	 Right on.  He's staying with us.	DICK	 (soothing) Definitely.  It's all over.  We'll just ride on to Greenville, listen to some great music, finish the tour, and leave those ungrateful fools behind. And then we'll come back here, where you'll live.	RUSSELL	 I know what you're doing... and I like it. (noticing William) Look at him.  He's taking notes with his eyes. (beat, to Dick) How do we know he's not a cop?	RUSSELL (CONT'D)	 He could be selling information!	Almost Famous 
DICK	 (soothing) Definitely.  It's all over.  We'll just ride on to Greenville, listen to some great music, finish the tour, and leave those ungrateful fools behind. And then we'll come back here, where you'll live.	RUSSELL	 I know what you're doing... and I like it. (noticing William) Look at him.  He's taking notes with his eyes. (beat, to Dick) How do we know he's not a cop?	RUSSELL (CONT'D)	 He could be selling information!	DICK	 (to Russell) Easy.  He's your Guardian Angel.	Almost Famous 
RUSSELL (CONT'D)	 He could be selling information!	DICK	 (to Russell) Easy.  He's your Guardian Angel.	DICK (CONT'D)	 Don't worry.  He only means half of what he says.	WILLIAM	 Which half?	Almost Famous 
DICK	 Good question.	WILLIAM	 (very direct) I have a lot more.  Just help me get my interview so I can go home from Greenville.  I have to go home. (pulls him back) I have to go home.	DICK	 Hey.  You saved the tour.   That's good enough for now.	DICK (CONT'D)	 Ladies and Gentlemen, the evening is over!  We hope you've enjoyed yourselves, and we'll See you again in 1974!!  Good evening!!	Almost Famous 
WILLIAM	 Rolling Stone is calling me.  I don't have my key interview.  I don't know what to say.	LESTER BANGS	 (pacing, assembling thoughts with his hands) You're flipping out.  That's good. Alright.  This is how you blow their minds.  He'll ask you - this is Ben Fong-Torres, right? - he'll ask you how the story's going.  Here's what you do - let's fry his mind.  Tell him "it's a think piece about a mid-level band struggling with their own limitations in the harsh face of stardom."  Ha ha!!  This is fun!	WILLIAM	 (madly copying) ... think... piece...	CLOSE ON WRITING		Almost Famous 
LESTER BANGS	 (pacing, assembling thoughts with his hands) You're flipping out.  That's good. Alright.  This is how you blow their minds.  He'll ask you - this is Ben Fong-Torres, right? - he'll ask you how the story's going.  Here's what you do - let's fry his mind.  Tell him "it's a think piece about a mid-level band struggling with their own limitations in the harsh face of stardom."  Ha ha!!  This is fun!	WILLIAM	 (madly copying) ... think... piece...	CLOSE ON WRITING				Almost Famous 
SAPPHIRE	 It says the food is hearty and adventurous.	POLEXIA	 (yawns) Greenville.  I'm bored.	POLEXIA (CONT'D)	 Hey let's deflower the kid.	SAPPHIRE	 Who his the quaaludes from me?	Almost Famous 
