MADISON	 The answer is... get up there.	JACK	 Right. (starts to go) Oh... uh... what did you say his name was?	MADISON	 Who?	JACK	 The fellow's name.	All the King's Men 
JACK	 He's been two-timing Lucy. So there's another kind of arithmetic for what he's doing to you.	SADIE	 Lucy? (laughs) If she had her way he'd be back in Kanoma City slopping the hogs right now. And he knows it. He knows what she'd do for him. She had her chance.	JACK	 You seem to think Lucy's on her way out, don't you?	SADIE	 He'll ditch her... Give him time.	All the King's Men 
NEWSMEN	 Have you heard about Pillsbury? What do you intend to do about Pillsbury? How about it, Governor?	WILLIE	 Later, boys, later. (to Jack) Say, Jack, go back and get the Judge. Let's get him over to my hotel just as soon as you can.	ANNE	 (to Willie) I waited for you. (she sees Sadie) Hello. (back to Willie) You promised we could... uh... discuss my charity project... Children's home?	WILLIE	 Well, I'm very sorry. Something very important came up. You'll call me later, won't you?	All the King's Men 
WILLIE	 Later, boys, later. (to Jack) Say, Jack, go back and get the Judge. Let's get him over to my hotel just as soon as you can.	ANNE	 (to Willie) I waited for you. (she sees Sadie) Hello. (back to Willie) You promised we could... uh... discuss my charity project... Children's home?	WILLIE	 Well, I'm very sorry. Something very important came up. You'll call me later, won't you?	ANNE	 Yes, certainly.	All the King's Men 
PILLSBURY	 It's a fact, a blasphemous fact.	SADIE	 Yeah?... Oh, I see. (hangs up) Dumond can't come. He says his wife is sick.	WILLIE	 I don't care if she's dying. Sugar, get the car. Get him and bring him over here.	WILLIE	 Now, you know what you're supposed to do, don't you, Pillsbury? You're supposed to stay poor and take orders. Oh, there'll be some sweetening for you from time to time... but Duffy'll take care of that. Don't you go setting yourself up on your own again, do you understand that?	All the King's Men 
PILLSBURY	 No.	WILLIE	 (roaring) Well, sign it! Don't put any date on it. I can fill that in when I need it.	WILLIE	 Now bring it to me.	WILLIE	 Now get out.	All the King's Men 
JUDGE	 They're talking about impeachment proceedings.	WILLIE	 (rising) Against who?	JUDGE	 This time, Pillsbury.	WILLIE	 I got that "this time," Judge.	All the King's Men 
WILLIE	 It's too true.	SADIE	 Yes? (hands phone to Willie) This is it, Willie. Jeff Hopkins on the wire.	WILLIE	 What have we got on Hopkins, Jack? (as Jack riffles through the black book) Hello, Jeff. About that Pillsbury business... (reads from black book Jack holds out for him) Here's what I want you to do when it comes up in the legislature. Now, wait a minute, wait a minute. You listen to me. (still reading from book) You got a mortgage coming due on that place of yours in about five weeks, haven't you? You'd like to get it renewed, wouldn't you? (pause) All right, Tiny'll talk to you in the morning.	WILLIE	 Get going, Tiny.	All the King's Men 
SADIE	 Yes? (hands phone to Willie) This is it, Willie. Jeff Hopkins on the wire.	WILLIE	 What have we got on Hopkins, Jack? (as Jack riffles through the black book) Hello, Jeff. About that Pillsbury business... (reads from black book Jack holds out for him) Here's what I want you to do when it comes up in the legislature. Now, wait a minute, wait a minute. You listen to me. (still reading from book) You got a mortgage coming due on that place of yours in about five weeks, haven't you? You'd like to get it renewed, wouldn't you? (pause) All right, Tiny'll talk to you in the morning.	WILLIE	 Get going, Tiny.	JUDGE	 You haven't answered my question. Why are you saving Pillsbury's hide?	All the King's Men 
WILLIE	 I'm not a bit interested in Pillsbury's hide. It's something much more important than that. If the McMurphy boys get the notion they can get away with this, there's no telling where they'll stop.	JUDGE	 (quietly) Or where you will... Pillsbury is guilty. As attorney general of this state, it's my job to prosecute.	WILLIE	 Judge, you talk like Pillsbury was... was human. He isn't. He's a thing. You don't prosecute an adding machine if the spring goes busted and makes a mistake. You fix it. Well, I fixed him. I'm not a bit interested in Pillsbury. It's something much bigger than that.	JUDGE	 (getting up) Yes, it is.	All the King's Men 
WILLIE	 Judge, you talk like Pillsbury was... was human. He isn't. He's a thing. You don't prosecute an adding machine if the spring goes busted and makes a mistake. You fix it. Well, I fixed him. I'm not a bit interested in Pillsbury. It's something much bigger than that.	JUDGE	 (getting up) Yes, it is.	JACK	 He's right, Judge. Can't you see that he's right?	JUDGE	 He's right because you want him to be right. Because you're afraid to admit you've made a mistake. Do it now before it's too late. (to Willie) I'm offering my resignation as attorney general. You'll have it in writing by messenger in the morning... dated.	All the King's Men 
JACK	 He's right, Judge. Can't you see that he's right?	JUDGE	 He's right because you want him to be right. Because you're afraid to admit you've made a mistake. Do it now before it's too late. (to Willie) I'm offering my resignation as attorney general. You'll have it in writing by messenger in the morning... dated.	WILLIE	 (softly) It took you a long time to make up your mind, Judge. A long time. What made you take such a long time?	JUDGE	 I wasn't sure.	All the King's Men 
JUDGE	 He's right because you want him to be right. Because you're afraid to admit you've made a mistake. Do it now before it's too late. (to Willie) I'm offering my resignation as attorney general. You'll have it in writing by messenger in the morning... dated.	WILLIE	 (softly) It took you a long time to make up your mind, Judge. A long time. What made you take such a long time?	JUDGE	 I wasn't sure.	WILLIE	 And now you are?	All the King's Men 
JUDGE	 I'm through with politics.	WILLIE	 I'm happy to hear that. (extends his hand) No hard feelings.	JUDGE	 (ignores the hand) Goodbye, Governor. (to Jack) Are you coming with me, Jack?	JUDGE	 You're making a mistake.	All the King's Men 
WILLIE	 I'm happy to hear that. (extends his hand) No hard feelings.	JUDGE	 (ignores the hand) Goodbye, Governor. (to Jack) Are you coming with me, Jack?	JUDGE	 You're making a mistake.	WILLIE	 Do you think he means it when he says he's through with politics, Sadie?	All the King's Men 
WILLIE	 You've got to understand me.	ANNE	 (turns away) I understand you. It's myself I don't understand.	WILLIE	 Do you think I like sneaking around corners any more than you do? But right now, with the Pillsbury business and with your uncle quitting... If I got a divorce...	ANNE	 Maybe we'd better stop seeing each other.	All the King's Men 
WILLIE	 No. No, we won't stop seeing each other, will we?	ANNE	 (slowly) No.	WILLIE	 Because you believe in what I tell you.	ANNE	 (puts her hand on his) Because I believe what you tell me.	All the King's Men 
WILLIE	 Because you believe in what I tell you.	ANNE	 (puts her hand on his) Because I believe what you tell me.	SADIE	 Good evening, Governor Stark. (looks at Anne, but talks to Willie) I thought you might like to know that Judge Stanton kept his promise. (directly to Willie) He gave the story to every paper in town.	WILLIE	 Sugar, meet me at the hotel as soon as you can.	All the King's Men 
ANNE	 (puts her hand on his) Because I believe what you tell me.	SADIE	 Good evening, Governor Stark. (looks at Anne, but talks to Willie) I thought you might like to know that Judge Stanton kept his promise. (directly to Willie) He gave the story to every paper in town.	WILLIE	 Sugar, meet me at the hotel as soon as you can.	FADE IN:		All the King's Men 
WILLIE	 What's the matter, Jack? Are you afraid you might find something out?	JACK	 (voice over) I kept saying to myself that Willie was wrong about the Judge. If there was anything left at Burden's Landing, it was honor. I had to believe that.	JACK	 Anne, I want to ask you a question. Was the Judge ever broke? Really broke?	ANNE	 Why do you want to know?	All the King's Men 
JACK	 Me, I'm on the thirsty side. Bring some glasses, Anne, quick.	STANTON	 (laughing) It's been a long time since I played this thing. What do you say we wake up the ghosts, huh?	JACK	 (calling to Anne) Another glass, Anne, for a ghost.	STANTON	 (starting to play) Remember the last time I played this? You and Anne were dancing?	All the King's Men 
STANTON	 (laughing) It's been a long time since I played this thing. What do you say we wake up the ghosts, huh?	JACK	 (calling to Anne) Another glass, Anne, for a ghost.	STANTON	 (starting to play) Remember the last time I played this? You and Anne were dancing?	JACK	 Shall we dance?	All the King's Men 
JACK	 (calling to Anne) Another glass, Anne, for a ghost.	STANTON	 (starting to play) Remember the last time I played this? You and Anne were dancing?	JACK	 Shall we dance?	ANNE	 Let's... let's have a drink first.	All the King's Men 
ANNE	 Let's... let's have a drink first.	JACK	 No, no... keep playing. Anne and I want to hear this, don't we, Anne? (Jack pours the wine) Adam... ghost... and me.	STANTON	 What shall we drink to?	JACK	 To the ghost?... To Adam, to the director of the new medical center.	All the King's Men 
JACK	 To the ghost?... To Adam, to the director of the new medical center.	STANTON	 (bangs the piano keys) Don't you ever stop working for him?	ANNE	 Adam!	STANTON	 I came up here to get away...	All the King's Men 
ANNE	 What other things?	STANTON	 (looks at her) You too?	ANNE	 Yes, me too.	JACK	 Anne, if Adam doesn't want to discuss it, let's not.	All the King's Men 
STANTON	 How would they know? The first thing he did was to take over the newspapers and the radio stations. Why be so afraid of criticism? If Stark is interested in doing good, he should also be interested in the truth. I don't see how you can separate the two. No, Stark is not for me.	ANNE	 (upset) No, Stark is not for you. Well, what is for you? Pride. Pride, that's all it is... foolish, stupid pride. All you've ever talked about is what you could do if... if somebody would tear down and build. All right, all right, somebody has, and he's given it to you. But he's not for you. No, he's not for you.	STANTON	 Anne... Anne...	JACK	 (voice over) Will I find anything, Judge? Will I? I didn't find it all at once. It takes a long time to go through old courthouse records and musty deeds... a very long time. But it wasn't too hard for me. I was well trained in research, especially this kind.	All the King's Men 
STANTON	 Anne... Anne...	JACK	 (voice over) Will I find anything, Judge? Will I? I didn't find it all at once. It takes a long time to go through old courthouse records and musty deeds... a very long time. But it wasn't too hard for me. I was well trained in research, especially this kind.	JACK	 (voice over) I found what I didn't want to find.	JACK	 Have some photostat copies made of these. I'll be back tomorrow for them.	All the King's Men 
JACK	 Stone.	SADIE	 I'll have one with you. (starts tidying up the room) What are you hiding out for?	JACK	 I'm not. I've been sleeping.	SADIE	 For four days? You've been back in town for four days.	All the King's Men 
JACK	 Willie's boy is worried about Willie's boy.	SADIE	 Well, why don't you put something on the phonograph -- a low-down, mean blues. Play it over and over again until you're sick of it. Then crack it and go back to work. (sits down) I do it all the time.	JACK	 That's not my problem.	SADIE	 No, it isn't your problem. (gets up again) I'll wait for you if you want to powder your nose.	All the King's Men 
JACK	 That's not my problem.	SADIE	 No, it isn't your problem. (gets up again) I'll wait for you if you want to powder your nose.	JACK	 I'll be with you in a minute.	SADIE	 Hmmm. Yeah, I can see it. I've got to look in the mirror to be able to see it. Soft, white skin... not like mine. (runs her hand across her cheeks) I had smallpox when I was a kid. Where I lived it seemed nearly all the kids had smallpox...	All the King's Men 
JACK	 I'll be with you in a minute.	SADIE	 Hmmm. Yeah, I can see it. I've got to look in the mirror to be able to see it. Soft, white skin... not like mine. (runs her hand across her cheeks) I had smallpox when I was a kid. Where I lived it seemed nearly all the kids had smallpox...	SADIE	 It leaves your face hard. Then she's got poise. Look at the way she holds her head... at just the right angle. That takes training. That takes years of training...	SADIE	 I see what Willie sees. Willie's got big ideas, Jack.	All the King's Men 
SADIE	 He ditched Lucy, he ditched me, and he'll ditch you.	JACK	 (shaking her) Answer me!	SADIE	 He'll ditch everybody in the whole world because that's what Willie wants. Nobody in the world but him.	JACK	 What are you talking about?	All the King's Men 
JACK	 What? Bucket boy? Towel slinger? What?	WILLIE	 (looks at him closely) What's eating you, Jack?	JACK	 (avoiding it) What else do you want me to do?	WILLIE	 If you've got something on your mind, boy, spit it out. We've been together too long to play games.	All the King's Men 
WILLIE	 (looks at him closely) What's eating you, Jack?	JACK	 (avoiding it) What else do you want me to do?	WILLIE	 If you've got something on your mind, boy, spit it out. We've been together too long to play games.	JACK	 What do you want me to do?	All the King's Men 
WILLIE	 I heard it around.	JACK	 (insistent) How did you hear he turned it down, Willie?	WILLIE	 I'll be right back, Jack. I want to see what's happening here.	COACH	 You going to practice the way I tell you.	All the King's Men 
TOM	 It doesn't make any difference to me either way... whether I play or not.	WILLIE	 Well, it does to me. (to coach) What do you want him to do?	COACH	 To behave himself. Like the rest of the boys. Four times this season he's broken training. He comes on the practice field half potted.	WILLIE	 Tom, you're going to have to obey the rules. Do you hear me? You're going to obey the rules.	All the King's Men 
TOM	 I put 'em across, don't I? Every Saturday I put 'em across and I can still do it, drunk or sober. That's all you want, isn't it... for me to put 'em across so you can big-shot it around? Isn't that all you want?	WILLIE	 Tom! (to coach) He's a little high-strung. (goes after Tom) Tom, come here. Tom!	HELENE	 (laughing) Come on, Tommy... let's go faster. Come on...	2ND COP	 (looking at Tom) It's the governor's son.	All the King's Men 
WILLIE	 Tom! (to coach) He's a little high-strung. (goes after Tom) Tom, come here. Tom!	HELENE	 (laughing) Come on, Tommy... let's go faster. Come on...	2ND COP	 (looking at Tom) It's the governor's son.	NEWSPAPER HEADLINES		All the King's Men 
HELENE	 (laughing) Come on, Tommy... let's go faster. Come on...	2ND COP	 (looking at Tom) It's the governor's son.	NEWSPAPER HEADLINES		GOVERNOR'S SON HURT:		All the King's Men 
HALE	 What I've got to say anybody can listen to... Where's your boy?	WILLIE	 Now... now, don't get excited. (to Sugar Boy) Get me another drink, Sugar.	HALE	 My daughter may die.	WILLIE	 She's not going to die. She'll get the best medical attention there is. No expense will be spared.	All the King's Men 
LUCY	 No, he won't be all right unless you make him all right. I'll get him.	WILLIE	 Lucy! (to Hale) You care for a drink?	HALE	 No thanks.	WILLIE	 Accidents will happen, you know.	All the King's Men 
WILLIE	 Tom, the doctor says you need rest, boy.	TOM	 (turns on him) I don't want you to try to cover up for me. I was wrong... that's all there is to it.	WILLIE	 You don't know what you're talking about. I saw the police report --	TOM	 I don't care what the police report says. I was driving and I was drunk. It's all my fault. (to Hale) Anything you want to do to me, you can do. Whatever you want me to do, I'll do.	All the King's Men 
WILLIE	 You don't know what you're talking about. I saw the police report --	TOM	 I don't care what the police report says. I was driving and I was drunk. It's all my fault. (to Hale) Anything you want to do to me, you can do. Whatever you want me to do, I'll do.	WILLIE	 Nobody has to do anything. Stop worrying. I'll take care of everything.	TOM	 I don't want you to take care of anything.	All the King's Men 
HALE	 Trucking business.	WILLIE	 Trucking business. Trucks run on state roads. If a man in the trucking business had a contract with the state, a big one, that would be pretty good, wouldn't it? (to Jack) Go on, Jack. Tell him what would happen.	WILLIE	 Go on, tell him.	HALE	 You're trying to bribe me, aren't you?	All the King's Men 
WILLIE	 No, no. No, I'm not trying to bribe you. I'm... I'm only talking things over with you, that's all.	HALE	 You're pretty good at talking. I remember when you first started talking. A place called Upton. You did a lot of talking then and the things you said made sense, to me and a lot of other people. I believed in you... I followed you... and I fought for you. Well, the words are still good. But you're not. (rises) And I don't believe you ever were.	WILLIE	 (after a pause) Sugar, follow him. Keep calling in.	WILLIE	 (yells) Lucy!... Lucy!	All the King's Men 
HALE	 You're pretty good at talking. I remember when you first started talking. A place called Upton. You did a lot of talking then and the things you said made sense, to me and a lot of other people. I believed in you... I followed you... and I fought for you. Well, the words are still good. But you're not. (rises) And I don't believe you ever were.	WILLIE	 (after a pause) Sugar, follow him. Keep calling in.	WILLIE	 (yells) Lucy!... Lucy!	JACK	 I'd like Anne to see you now. I'd like Anne to see you now, you drunken sot! (drags him up the stairs) Come on.	All the King's Men 
WILLIE	 (yells) Lucy!... Lucy!	JACK	 I'd like Anne to see you now. I'd like Anne to see you now, you drunken sot! (drags him up the stairs) Come on.	FADE IN:		NEWSPAPER		All the King's Men 
ANOTHER REPORTER	 One more question, Governor... Where's your son?	WILLIE	 At the football stadium, where he's supposed to be. He's going to play for State University, which this administration is responsible for. He's not hiding from anybody, gentlemen. He'll be out there in full view of seventy thousand cheering fans. (starts down the stairs) One of which will be me. See you, men.	CROWD VOICES	 Where's Stark? How about Tommy Stark? Hey, Willie, send your boy in.	WILLIE	 Why don't they put him in!	All the King's Men 
WILLIE	 They're booing you.	TOM	 (holds his head) Ever since the accident, my head...	WILLIE	 The doctor said it was nothing.	TOM	 Get dizzy... can't see... dizzy...	All the King's Men 
WILLIE	 You're scared... plain scared.	TOM	 (looks up angrily) Get out of here!	WILLIE	 Atta boy... get mad. Show some spirit. Jack, tell him what his playing means. Go on, tell him.	JACK	 You can never tell about a head injury. Maybe the boy's hurt.	All the King's Men 
JACK	 You can never tell about a head injury. Maybe the boy's hurt.	WILLIE	 He's hurt? I'm hurt. It wasn't me that wrapped that car around the tree. It wasn't me that got drunk. But me, I'm takin' the rap. (softer, to Tom) Go on, kid. Get out there and play. Show 'em the kind of stuff a Stark is made of.	TOM	 (coldly) I wouldn't know.	JACK	 Tom... cut it out!	All the King's Men 
WILLIE	 He's hurt? I'm hurt. It wasn't me that wrapped that car around the tree. It wasn't me that got drunk. But me, I'm takin' the rap. (softer, to Tom) Go on, kid. Get out there and play. Show 'em the kind of stuff a Stark is made of.	TOM	 (coldly) I wouldn't know.	JACK	 Tom... cut it out!	TOM	 (breathing heavily) All right, I'll play. Now get out of here.	All the King's Men 
JACK	 Tom... cut it out!	TOM	 (breathing heavily) All right, I'll play. Now get out of here.	P.A. ANNOUNCER	 Stark's going in!	LUCY	 Tommy... Tommy... Tommy!	All the King's Men 
WILLIE	 You'll do everything you can, won't you? Anything between you and me.. that won't count, will it? It doesn't have to. Look, doc, anything you want in the world you just ask for it and you got it. Go on, doc... ask for it.	STANTON	 (coldly) There are some things, Governor Stark, that even you can't buy. Do you want me to operate, or don't you?	LUCY	 Yes... I want you to operate. (stands up) Please, may I see Tom now?	STANTON	 Yes.	All the King's Men 
STANTON	 (coldly) There are some things, Governor Stark, that even you can't buy. Do you want me to operate, or don't you?	LUCY	 Yes... I want you to operate. (stands up) Please, may I see Tom now?	STANTON	 Yes.	WILLIE	 (to Jack) How much does the doc know?	All the King's Men 
STANTON	 Yes.	WILLIE	 (to Jack) How much does the doc know?	JACK	 About what?	WILLIE	 Oh, you know what I'm talking about.	All the King's Men 
WILLIE	 About Anne and me.	JACK	 (after a pause) He doesn't know a thing... not a thing.	ANNE	 Jack, how is he?	JACK	 The boy?	All the King's Men 
ANNE	 He blames himself, doesn't he?	JACK	 (as he walks down the street) He'll find someone else to blame in a few days.	ANNE	 (following him) Oh, I tried to call here at the hospital, but I just...	JACK	 Anne... Anne, why did you do it?	All the King's Men 
JACK	 (as he walks down the street) He'll find someone else to blame in a few days.	ANNE	 (following him) Oh, I tried to call here at the hospital, but I just...	JACK	 Anne... Anne, why did you do it?	ANNE	 He wasn't like anybody I ever knew before.	All the King's Men 
ANNE	 Adam?	JACK	 Well, you don't have to worry about him. If Adam finds out it'll be easy to prove a Stanton is no different than anybody else. (gives her the papers on the Judge) Just show him these. Willie was right... a man is conceived in sin and born in corruption. Even Judge Stanton. Show them to him, Anne. Change the picture of the world that Adam has in his head, just like our picture of it has been changed.	JACK	 Wipe out everything he's ever believed in. It'll be good for him. There's no God but Willie Stark. I'm his prophet and you're his... (pushes her aside, then feels sorry and walks after her) Oh, Anne... Anne, I'm sorry. I didn't mean... Anne!	POLICEMAN	 What's going on here?	All the King's Men 
FADE IN:		WILLIE	 (to Adam) Right over there, that's going to be the main building... fifteen stories high, like on the model. Over there, that's the laboratory. Finest technical equipment in the world.	STANTON	 What are you trying to convince me of? I've taken the job.	WILLIE	 Why?	All the King's Men 
WILLIE	 Yes, I know. I'll tell you what... You stay on your side of the fence; I'll stay on mine. Is that a deal?	JACK	 (voice over) Now he had us all... me, Anne, and Adam. Now we all worked for him.	FADE IN:		NARRATOR'S VOICE	 And so the eyes of the entire nation are now focused upon Governor Willie Stark, an amazing phenomenon on the American political scene. The whole state is filled with his accomplishments -- each of them, of course, bearing his personal signature, to make sure that no one will ever forget who gave them to the state.	All the King's Men 
SADIE	 I'll help.	LUCY	 (firmly) No, thank you. Thank you kindly.	JACK	 If you don't mind, Mrs. Stark... the boys have to get back to make the morning editions. (to photographers) Set 'em up on the porch, fellows. We'll take some pictures out here, first.	JACK	 Mrs. Stark, please... All right, fellows, take one down there, will you please... Shoot it up this way.	All the King's Men 
LUCY	 (firmly) No, thank you. Thank you kindly.	JACK	 If you don't mind, Mrs. Stark... the boys have to get back to make the morning editions. (to photographers) Set 'em up on the porch, fellows. We'll take some pictures out here, first.	JACK	 Mrs. Stark, please... All right, fellows, take one down there, will you please... Shoot it up this way.	WILLIE	 (on the last bite) You're still a great cook, Lucy. Great cook. (gets up) Well, I guess I better be getting back to town. Nice to have spent the day with the family. (kisses Lucy on the forehead) Goodbye, Lucy. (extends his hand to Tom) Tom.	All the King's Men 
JACK	 Mrs. Stark, please... All right, fellows, take one down there, will you please... Shoot it up this way.	WILLIE	 (on the last bite) You're still a great cook, Lucy. Great cook. (gets up) Well, I guess I better be getting back to town. Nice to have spent the day with the family. (kisses Lucy on the forehead) Goodbye, Lucy. (extends his hand to Tom) Tom.	TOM	 (ignores the gesture) Goodbye.	WILLIE	 Take care of yourself, Pappy. Oh, uh... how do you like the new radio I got you? (walks over to it) You know how it works? You can get police calls on it. Come here, come here... I'll show you.	All the King's Men 
WILLIE	 (on the last bite) You're still a great cook, Lucy. Great cook. (gets up) Well, I guess I better be getting back to town. Nice to have spent the day with the family. (kisses Lucy on the forehead) Goodbye, Lucy. (extends his hand to Tom) Tom.	TOM	 (ignores the gesture) Goodbye.	WILLIE	 Take care of yourself, Pappy. Oh, uh... how do you like the new radio I got you? (walks over to it) You know how it works? You can get police calls on it. Come here, come here... I'll show you.	WILLIE	 This one for police calls up here.	All the King's Men 
TOM	 (ignores the gesture) Goodbye.	WILLIE	 Take care of yourself, Pappy. Oh, uh... how do you like the new radio I got you? (walks over to it) You know how it works? You can get police calls on it. Come here, come here... I'll show you.	WILLIE	 This one for police calls up here.	POLICE BROADCAST	 Car sixty-two, proceed to five- eighteen Oak Street. Tom Jones beating his wife again.	All the King's Men 
ANNOUNCER'S VOICE	 The ugly charge of "official murder" has been hurled at the administration by a coalition of Stark's opponents, led by Judge Stanton, lately an outspoken critic of the administration.	WILLIE	 (to Jack) Your friend, the Judge.	ANNOUNCER'S VOICE	 Thus an almost forgotten incident provided the spark that might set off the explosion needed to rock Willie Stark out of power. The latest report is that impeachment proceedings may be instituted...	WILLIE	 How long will it take you to pack? I want you to go back to Capital City with me tonight.	All the King's Men 
TOM	 What for?	WILLIE	 (still speaking to Lucy) I'll explain all of that later. Now, Lucy, do like I say.	JACK	 I'll wait outside.	WILLIE	 You stay right here, Jack. I want you bear witness to what I've got to say.	All the King's Men 
WILLIE	 You stay right here, Jack. I want you bear witness to what I've got to say.	LUCY	 (indicating Sadie) She can be a witness too.	SADIE	 (starting toward the door) I'm going back to the capital and get hold of Duffy.	WILLIE	 You stay right here, Sadie.	All the King's Men 
LUCY	 (indicating Sadie) She can be a witness too.	SADIE	 (starting toward the door) I'm going back to the capital and get hold of Duffy.	WILLIE	 You stay right here, Sadie.	SADIE	 Somebody's got to go back to the capital. I'll go in the other car.	All the King's Men 
TOM	 Now he needs us. Now that he's in trouble he needs us, so he can lead us around like monkeys with rings in our noses. So he can say to people, look at me, feel sorry for me... just a family man with a wife and a crippled son...	WILLIE	 (shouts) Shut up!	LUCY	 Willie!	TOM	 Why don't you leave us alone?	All the King's Men 
LUCY	 What do you think it cost him?	WILLIE	 (in a broken voice) A man builds for his son. That's all he builds for.	LUCY	 Willie! (turns and goes into Tom's room) Tom... Tom.	WILLIE	 Give me a drink, Jack.	All the King's Men 
WILLIE	 (in a broken voice) A man builds for his son. That's all he builds for.	LUCY	 Willie! (turns and goes into Tom's room) Tom... Tom.	WILLIE	 Give me a drink, Jack.	WILLIE	 She'll go.	All the King's Men 
SENATOR	 Mr. Speaker, I offer a house resolution. Whereas Willie Stark, governor of this state, has been guilty of incompetence, corruption, and favoritism in office -- yes, and other high crimes -- that he is hereby impeached, and ordered to be tried by the senate.	WILLIE	 (as he meets Duffy) What's the score?	DUFFY	 They're lined up against you solid. They had a meeting.	WILLIE	 How do you know? Were you there?	All the King's Men 
WILLIE	 How many votes have we got?	SADIE	 (going through some files) Eleven.	WILLIE	 We need twenty.	DUFFY	 We might be able to dig up a few more.	All the King's Men 
WILLIE	 All right, boy... I'll trust you. Where are you going?	JACK	 (on his way out) I'll be around.	SADIE	 Who else do you think he promised, Willie?	SADIE	 You'd be smart... play square with him. You're going to need people like us around.	All the King's Men 
SADIE	 You'd be smart... play square with him. You're going to need people like us around.	WILLIE	 (as he shuts his door) Are you sure?	MONTAGE: THE IMPEACHMENT		JACK	 (voice over) The chips were down, and Willie knew it. He was fighting for his life. He roared across the state making one speech after another. And all of them added up to the same thing... "It's not me they're after, it's you!"	All the King's Men 
MONTAGE: THE IMPEACHMENT		JACK	 (voice over) The chips were down, and Willie knew it. He was fighting for his life. He roared across the state making one speech after another. And all of them added up to the same thing... "It's not me they're after, it's you!"	JACK	 (voice over) Willie hollered foul. Willie knew if you hollered long enough, hard enough, and loud enough, people begin to believe you. Just in case they didn't, he organized spontaneous demonstrations.	WILLIE	 Tell the boys to get the hicks out. Bring 'em in from the sticks, empty the pool halls. Turn 'em out. Turn the yokels out.	All the King's Men 
WILLIE	 Tell the boys to get the hicks out. Bring 'em in from the sticks, empty the pool halls. Turn 'em out. Turn the yokels out.	JACK	 (voice over) In case anyone hollered back, he organized spontaneous slugging. Willie pulled every trick he ever knew -- and added a few more.	JACK	 Hey, Sugar! (To Willie) You'll never live to be impeached!	WILLIE	 Boy, I'll live to be President...	All the King's Men 
WILLIE	 I've got fourteen senators to vote against impeachment. If I win, you're out of politics.	SENATOR	 (refuses to sign) I'll do whatever the Judge says.	JACK	 (voice over) And always the trail led to one place... Burden's Landing... and the Judge.	WILLIE	 You sure you don't want me to go in with you?	All the King's Men 
SENATOR	 (refuses to sign) I'll do whatever the Judge says.	JACK	 (voice over) And always the trail led to one place... Burden's Landing... and the Judge.	WILLIE	 You sure you don't want me to go in with you?	JACK	 I'm sure.	All the King's Men 
WILLIE	 I can't wait until tomorrow. I'm a very impatient man.	JACK	 (rising) I told you not to come in here.	WILLIE	 (ignoring him) Is it true, Judge, that you're behind the impeachment proceedings?	JUDGE	 Yes, it's true.	All the King's Men 
JACK	 (rising) I told you not to come in here.	WILLIE	 (ignoring him) Is it true, Judge, that you're behind the impeachment proceedings?	JUDGE	 Yes, it's true.	WILLIE	 I wanted to hear you say it with your own silver tongue.	All the King's Men 
JACK	 How did you find out?	WILLIE	 (hands the Judge some papers) Do you remember how you got the job?	WILLIE	 You know, Judge, dirt's a funny thing. Some of it rubs off on everybody. How did you get the job, Judge? Blackmail?	JUDGE	 (to Jack) I swear I never even remembered his name. Isn't that remarkable, Jack? I never even remembered his name. It's all so long ago it's hard for me to realize it ever happened.	All the King's Men 
WILLIE	 You know, Judge, dirt's a funny thing. Some of it rubs off on everybody. How did you get the job, Judge? Blackmail?	JUDGE	 (to Jack) I swear I never even remembered his name. Isn't that remarkable, Jack? I never even remembered his name. It's all so long ago it's hard for me to realize it ever happened.	WILLIE	 Yeah. But it did.	JUDGE	 Yes, it did. But it's difficult for me to realize it.	All the King's Men 
JUDGE	 Yes, I do. Jack Burden. Willie Stark's hatchet man.	JACK	 (to Willie) I asked you... how did you find out?	JUDGE	 This would never stand at law, not for a minute. It happened over twenty- five years ago, and you could never get any testimony. Everybody is dead.	WILLIE	 Everybody except you, Judge. You're alive. And people think you're a certain kind of man. And you just couldn't bear for people to think otherwise.	All the King's Men 
WILLIE	 Everybody except you, Judge. You're alive. And people think you're a certain kind of man. And you just couldn't bear for people to think otherwise.	JUDGE	 Ever since then I... I've done my duty. I... I'm responsible for many good things. (looks at the papers again) But I also did this.	WILLIE	 Yes, yes, you did.	JACK	 Judge, I beg of you, call and release your votes, for your sake.	All the King's Men 
JACK	 Judge, I beg of you, call and release your votes, for your sake.	JUDGE	 You have tender sensibilities for a hatchet man. (goes to the door) Good night, gentlemen.	WILLIE	 How about my answer?	JUDGE	 You'll have it in the morning.	All the King's Men 
WILLIE	 It's all right, doc. Just here to discuss some politics with the Judge.	STANTON	 Oh, I see. (starts upstairs) Well, good night.	WILLIE	 Good night.	JACK	 (to Anne) Did you give him --	All the King's Men 
WILLIE	 Good night.	JACK	 (to Anne) Did you give him --	WILLIE	 Wait a minute, Jack --	JACK	 Answer me. Did you give --	All the King's Men 
STANTON	 Why not? You belong with him. Jack, how could you have done it? When Anne brought me those papers she told me you promised not to tell Stark until...	JACK	 Yeah. I know. (walks away) Well, I kept my promise.	STANTON	 Anne? Anne?	FADE IN:		All the King's Men 
JACK	 About you and Willie?	ANNE	 (nods) I tried to explain to him. I... I tried to explain to him that it wasn't the way he thought it was.	JACK	 How was it, Anne? You tell me.	ANNE	 He hit me, Jack. My own brother... he hit me.	All the King's Men 
