ALEX (V.O.)	 It's strange.  When the future's in front of you, it seems to go on forever.  I mean, you never really get there.  It's always one step ahead of you.  It's like there's no present. There's no "now".  As soon as you think, "I'm here", the moment's already gone.  Either everything's in the future, or it's in the past. (beat) There's no "now".	MAN (V.O.)	 So where are you then?	ALEX (V.O.)	 I'm in the past.			Arcade 
BOY	 (terrified) Where are we?	LAURIE	 (in a voice like Death) The City of Truth.					Arcade 
ALEX	 (pulling down her visor) Here goes everything.	BOY	 (to Alex) Dark Riders!  If they touch us, we're dead!					Arcade 
ALEX	 Which way?	BOY	 (pointing) That way.	ALEX	 Sorry.	BOY	 (screaming) It's the wrong way!	Arcade 
ALEX	 Sorry.	BOY	 (screaming) It's the wrong way!	ALEX	 (over the noise) In this world, wrong is right!	"LEVEL NINE -- THE GHETTO OF GREED"		Arcade 
BOY	 (screaming) It's the wrong way!	ALEX	 (over the noise) In this world, wrong is right!	"LEVEL NINE -- THE GHETTO OF GREED"				Arcade 
BOY	 It's here!!!	ALEX	 (manic) Oh God...oh god...	ALEX	 Shit!!!	THE BOY	 Come on!!!	Arcade 
ALEX	 (top of her lungs)	SHUT UP!!!!!!!!!!!!!!!!!!!!!!!!						Arcade 
FOR A LONG, LONG TIME, AND WHEN I WOKE UP,	 I WAS HERE, AND I WASN'T ME ANYMORE... (shivers) ...AND I FUCKED MOMMY UP GOOD...	ARCADE						Arcade 
ALEX'S MOM	 Hi, honey.	ALEX	 Mom? (uncomprehending) You're alive...	ALEX'S MOTHER	 Of course I am.	ALEX	 But I don't understand...	Arcade 
ALEX'S MOTHER	 (continuing) I love you, Alex.  I never wanted to leave. You know that, don't you?	ALEX	 (nodding) Yes...but...how did you...	ALEX'S MOTHER	 Magic.  We'll be together again. (beat) I know you don't believe in an afterlife, but there is one.  Heaven is real.	ALEX	 Is...is that where we are?  Did I die?	Arcade 
ALEX	 (nodding) Yes...but...how did you...	ALEX'S MOTHER	 Magic.  We'll be together again. (beat) I know you don't believe in an afterlife, but there is one.  Heaven is real.	ALEX	 Is...is that where we are?  Did I die?	ALEX'S MOTHER	 Not yet, honey...	Arcade 
ALEX	 (crying) Greg!!!	GREG	 (fading in and out) Alex!  You did it!	GREG	 (in between kisses) You did it...			Arcade 
NICK	 What is it?	ALEX	 I just thought of something.  If we came back from the game... (turning to Nick) ...what if ARCADE did too?	GREG	 Nah.  You won, right?  You played by the rules.	ALEX	 Okay.  Forget I ever said it.	Arcade 
STILTS	 I am giving her a chance.  Why don't you get off my back?	GREG	 (annoyed) Guys...	DISSOLVE TO:				Arcade 
