JANE	 I need a father who's a role model, not some horny geek-boy who's gonna spray his shorts whenever I bring a girlfriend home from school. (snorts) What a lame-o. Somebody really should put him out of his misery.	RICKY (O.C.)	 Want me to kill him for you?	JANE	 (deadpan) Yeah, would you?			American Beauty 
CAROLYN (O.S.)	 (over speakers) What's good here?	BUDDY (O.C.)	 (over speakers) Nothing.	CAROLYN (O.C.)	 (over speakers) Then I guess we'll just have to be bad, won't we? (then) I think I'll have a double Smiley Sandwich and curly fries, and a vanilla shake.	BUDDY (O.C.)	 (over speakers) Make that two.	American Beauty 
BUDDY (O.C.)	 (over speakers) Nothing.	CAROLYN (O.C.)	 (over speakers) Then I guess we'll just have to be bad, won't we? (then) I think I'll have a double Smiley Sandwich and curly fries, and a vanilla shake.	BUDDY (O.C.)	 (over speakers) Make that two.	COUNTER GIRL (O.C.)	 (over speakers) Please drive around thank you.	American Beauty 
CAROLYN (O.C.)	 (over speakers) Then I guess we'll just have to be bad, won't we? (then) I think I'll have a double Smiley Sandwich and curly fries, and a vanilla shake.	BUDDY (O.C.)	 (over speakers) Make that two.	COUNTER GIRL (O.C.)	 (over speakers) Please drive around thank you.			American Beauty 
BUDDY (O.C.)	 (over speakers) Make that two.	COUNTER GIRL (O.C.)	 (over speakers) Please drive around thank you.					American Beauty 
CAROLYN	 I think we deserve a little junk food, after the workout we had this morning.	BUDDY	 (nuzzles her neck) I'm flattered.	LESTER	 (overly cheerful) Smile! You're at Mr. Smiley's!	LESTER    (CONT'D)	 Would you like to    try our new beef and cheese pot pie on    a stick, just a dollar ninety-nine for a    limited time only?	American Beauty 
BUDDY	 (nuzzles her neck) I'm flattered.	LESTER	 (overly cheerful) Smile! You're at Mr. Smiley's!	LESTER    (CONT'D)	 Would you like to    try our new beef and cheese pot pie on    a stick, just a dollar ninety-nine for a    limited time only?	CAROLYN	 (re: Buddy) We were just at a seminar. (then, all business) Buddy, this is my--	American Beauty 
LESTER    (CONT'D)	 Would you like to    try our new beef and cheese pot pie on    a stick, just a dollar ninety-nine for a    limited time only?	CAROLYN	 (re: Buddy) We were just at a seminar. (then, all business) Buddy, this is my--	LESTER	 Her husband. We've met before, but something tells me you're going to remember me this time.	COUNTER GIRL	 (to Carolyn) Whoa. You are so busted.	American Beauty 
LESTER	 Her husband. We've met before, but something tells me you're going to remember me this time.	COUNTER GIRL	 (to Carolyn) Whoa. You are so busted.	CAROLYN	 (flustered) You know, this really doesn't concern you.	LESTER	 Actually, Janeane is senior drive-thru manager, so you kind of are on her turf. (to Carolyn, quietly) So. This makes sense.	American Beauty 
COUNTER GIRL	 (to Carolyn) Whoa. You are so busted.	CAROLYN	 (flustered) You know, this really doesn't concern you.	LESTER	 Actually, Janeane is senior drive-thru manager, so you kind of are on her turf. (to Carolyn, quietly) So. This makes sense.	CAROLYN	 (miserable) Oh, Lester--	American Beauty 
CAROLYN	 (flustered) You know, this really doesn't concern you.	LESTER	 Actually, Janeane is senior drive-thru manager, so you kind of are on her turf. (to Carolyn, quietly) So. This makes sense.	CAROLYN	 (miserable) Oh, Lester--	LESTER	 Honey, it's okay. I want you to be happy. (then) Would you like Smiley Sauce with that?	American Beauty 
LESTER	 Actually, Janeane is senior drive-thru manager, so you kind of are on her turf. (to Carolyn, quietly) So. This makes sense.	CAROLYN	 (miserable) Oh, Lester--	LESTER	 Honey, it's okay. I want you to be happy. (then) Would you like Smiley Sauce with that?	CAROLYN	 Lester, just stop it!	American Beauty 
CAROLYN	 (miserable) Oh, Lester--	LESTER	 Honey, it's okay. I want you to be happy. (then) Would you like Smiley Sauce with that?	CAROLYN	 Lester, just stop it!	LESTER	 Uh-uh. You don't get to tell me what to do. Ever again.	American Beauty 
BUDDY	 I'm sorry. I guess we should cool it for a while. I'm facing a potentially very expensive divorce.	CAROLYN	 Oh, no. I understand completely. (sarcastic) In order to be successful, one must project an image of success. At all times.	CAROLYN (CONT'D)	 Stop it. Stop it!			American Beauty 
ANGELA	 So you and psycho boy are fucking on like, a regular basis now, right?	JANE	 (irritable) No.	ANGELA	 Oh, come on. You can tell me. Does he have a big dick?	JANE	 Look, I'm not gonna talk about his dick with you, okay? It's not like that.	American Beauty 
JANE	 Look, I'm not gonna talk about his dick with you, okay? It's not like that.	ANGELA	 Not like what? Doesn't he have one? (then) Why don't you want to talk about it? I mean, I tell you every single detail about every guy that I fuck.	JANE	 Yeah, and maybe you shouldn't, all right? Maybe I don't really want to hear all that.	ANGELA	 Oh, so now that you have a boyfriend, you're like, above it? (rolls her eyes) We gotta get you a real man.	American Beauty 
JANE	 Yeah, and maybe you shouldn't, all right? Maybe I don't really want to hear all that.	ANGELA	 Oh, so now that you have a boyfriend, you're like, above it? (rolls her eyes) We gotta get you a real man.					American Beauty 
RICKY	 (grins) You got any papers?	LESTER	 Yeah, in the cigar box, right over there. (laughs) You know, put up a fight, dude! You are such a pushover. "No I can't. Really. Okay."	RICKY	 You should learn to roll a joint.			American Beauty 
RICKY	 From my job.	COLONEL	 Don't lie to me. (beat) I saw you with him.	RICKY	 (incredulous) You were watching me?	COLONEL	 What did he make you do?	American Beauty 
COLONEL	 Don't lie to me. (beat) I saw you with him.	RICKY	 (incredulous) You were watching me?	COLONEL	 What did he make you do?	RICKY	 (laughs) Dad, you don't really think... me and Mr. Burnham?	American Beauty 
COLONEL	 What did he make you do?	RICKY	 (laughs) Dad, you don't really think... me and Mr. Burnham?	COLONEL	 (furious) Don't you laugh at me! (then)	COLONEL (CONT'D)	 I will not sit back and watch my only son become a cocksucker!	American Beauty 
RICKY	 (laughs) Dad, you don't really think... me and Mr. Burnham?	COLONEL	 (furious) Don't you laugh at me! (then)	COLONEL (CONT'D)	 I will not sit back and watch my only son become a cocksucker!	RICKY	 Jesus, what is with you--	American Beauty 
COLONEL	 I swear to God, I will throw you out of this house and never look at you again.	RICKY	 (taken aback) You mean that?	COLONEL	 Damn straight I do. I'd rather you were dead than be a fucking faggot.	RICKY	 You're right. I suck dick for money.	American Beauty 
RICKY	 And you should see me fuck. I'm the best piece of ass in three states.	COLONEL	 (explodes) Get out!! I don't ever want to see you again!!	RICKY	 What a sad old man you are.	COLONEL	 (a whisper) Get out.	American Beauty 
RICKY	 What a sad old man you are.	COLONEL	 (a whisper) Get out.					American Beauty 
BARBARA	 Okay, wear a raincoat.	RICKY	 (hugs her) I wish things would have been better for you. Take care of Dad.					American Beauty 
ANGELA	 Why not?	JANE	 (angry) Dad! Leave us alone!	RICKY (O.C.)	 It's me.	RICKY (CONT'D)	 (to Jane) If I had to leave tonight, would you come with me?	American Beauty 
JANE	 Yes.	ANGELA	 You guys can't be serious. (to Jane) You're just a kid. And he's like, a mental case. You'll end up living in a box on the street.	JANE	 I'm no more a kid than you are! ( to Ricky) We can use my plastic surgery money.	RICKY	 We won't have to. I have over forty thousand dollars. And I know people in the city who can help us get set up.	American Beauty 
ANGELA	 You guys can't be serious. (to Jane) You're just a kid. And he's like, a mental case. You'll end up living in a box on the street.	JANE	 I'm no more a kid than you are! ( to Ricky) We can use my plastic surgery money.	RICKY	 We won't have to. I have over forty thousand dollars. And I know people in the city who can help us get set up.	ANGELA	 What, other drug dealers?	American Beauty 
LESTER (CONT'D)	 You okay?	COLONEL	 (his voice thick) Where's your wife?	LESTER	 Uh... I don't know. Probably out fucking that dorky prince of real estate asshole. And you know what? I don't care.	COLONEL	 Your wife is with another man and you don't care?	American Beauty 
LESTER (CONT'D)	 We really should get you out of these clothes.	COLONEL	 (a whisper) Yes...	LESTER	 It's okay.	COLONEL	 (hoarse)	American Beauty 
LESTER	 It's okay.	COLONEL	 (hoarse)	LESTER	 (softly) Just tell me what you need.	LESTER (CONT'D)	 Whoa, whoa, whoa. I'm sorry. You got the wrong idea.	American Beauty 
COLONEL	 (hoarse)	LESTER	 (softly) Just tell me what you need.	LESTER (CONT'D)	 Whoa, whoa, whoa. I'm sorry. You got the wrong idea.			American Beauty 
ANGELA	 I hope you don't mind if I play the stereo.	LESTER	 Not at all. (then) Bad night?	ANGELA	 Not really bad, just... strange.	LESTER	 (grins) Believe me. It couldn't possibly be any stranger than mine.	American Beauty 
ANGELA	 Not really bad, just... strange.	LESTER	 (grins) Believe me. It couldn't possibly be any stranger than mine.	ANGELA	 Jane and I had a fight. (after a beat) It was about you.	ANGELA (CONT'D)	 She's mad at me because I said I think you're sexy.	American Beauty 
LESTER	 (grins) Believe me. It couldn't possibly be any stranger than mine.	ANGELA	 Jane and I had a fight. (after a beat) It was about you.	ANGELA (CONT'D)	 She's mad at me because I said I think you're sexy.	LESTER	 (offering beer) Do you want a sip?	American Beauty 
ANGELA (CONT'D)	 She's mad at me because I said I think you're sexy.	LESTER	 (offering beer) Do you want a sip?	LESTER (CONT'D)	 So... are you going to tell me? What you want?	ANGELA	 I don't know.	American Beauty 
LESTER	 You couldn't be ordinary if you tried.	ANGELA	 Thank you. (far away) I don't think there's anything worse than being ordinary...					American Beauty 
LESTER	 You're kidding.	ANGELA	 (a whisper) I'm sorry.	ANGELA (CONT'D)	 I still want to do it... I just thought I should tell you... in case you wondered why I wasn't... better.	ANGELA (CONT'D)	 (confused) What's wrong? I thought you said I was beautiful.	American Beauty 
ANGELA (CONT'D)	 (confused) What's wrong? I thought you said I was beautiful.	LESTER	 (tenderly) You are beautiful.	LESTER (CONT'D)	 You are so beautiful... and I would be a very lucky man...	ANGELA	 I feel so stupid.	American Beauty 
ANGELA	 No, no, no. I'm fine.	LESTER	 (concerned) You sure?	ANGELA	 I mean, I'm still a little weirded out, but... (sincerely) ...I feel better. Thanks.	LESTER	 How's Jane?	American Beauty 
LESTER	 (concerned) You sure?	ANGELA	 I mean, I'm still a little weirded out, but... (sincerely) ...I feel better. Thanks.	LESTER	 How's Jane?	ANGELA	 What do you mean?	American Beauty 
ANGELA	 She's... she's really happy. She thinks she's in love.	LESTER	 (quietly) Good for her.	ANGELA	 How are you?	LESTER	 (smiles, taken aback) God, it's been a long time since anybody asked me that. (thinks about it) I'm great.	American Beauty 
ANGELA	 How are you?	LESTER	 (smiles, taken aback) God, it's been a long time since anybody asked me that. (thinks about it) I'm great.	ANGELA	 (suddenly) I've gotta go to the bathroom.	LESTER	 (laughs) I'm great.	American Beauty 
LESTER	 (smiles, taken aback) God, it's been a long time since anybody asked me that. (thinks about it) I'm great.	ANGELA	 (suddenly) I've gotta go to the bathroom.	LESTER	 (laughs) I'm great.	LESTER (CONT'D)	 Man oh man... (softly) Man oh man oh man...	American Beauty 
ANGELA	 (suddenly) I've gotta go to the bathroom.	LESTER	 (laughs) I'm great.	LESTER (CONT'D)	 Man oh man... (softly) Man oh man oh man...			American Beauty 
JANE	 Oh God.	RICKY	 (an awed whisper) Wow.	LESTER (V.O.)	 I had always heard your entire life flashes in front of your eyes the second before you die.			American Beauty 
IN BLACK & WHITE:		LESTER (V.O.)	 (with love) And... Carolyn.					American Beauty 
