WOODWARD	 You call me in on my day off because some idiots have broken into local Democratic Headquarters--tell me, Harry, why should I be smiling?	ROSENFELD	 As usual, that keen mind of yours has pegged the situation perfectly. (chomps on some Maalox tablets) Except (a) it wasn't local Democratic Headquarters, it was National Democratic Headquarters-- (WOODWARD is surprised-- he hadn't known) --and (b) these weren't just any idiots, these were special idiots, seeing as when they were arrested at 2:30 this morning, they were all wearing business suits and Playtex gloves and were carrying-- (consults a piece of paper) --a walkie-talkie, forty rolls of film, cameras, lock picks, pen-sized tear gas guns, plus various bugging devices. (puts paper down) Not to mention over two thousand dollars, mostly in sequenced hundred dollar bills.	WOODWARD	 Preliminary hearing at Superior Courthouse?	ROSENFELD	 (nods) Two o'clock, work the phones 'til you go.	All the President's Men 
DARDIS	 I'll never get out of here in time.	BERNSTEIN	 (flying through what he's been handed) The telephone calls... we know about that.	DARDIS	 The rest is Barker's bank records. It's mostly the eighty-nine thousand in Mexican cashier's checks--	BERNSTEIN	 --yeah, that was in The Times this morning.	All the President's Men 
DARDIS	 I never could figure just who this Dahlberg was. (watching BERNSTEIN) Think it might be anything?	BERNSTEIN	 (casually) This? (shrugs) Naw...	ZOOM TO:		BERNSTEIN	 --Woodward--Woodward, listen, I don't know what I got-- (holding the Dahlberg facsimile) --and I think the Times has it too-- (big) --but somewhere there's a Kenneth H. Dahlberg in this world and we've gotta find him--	All the President's Men 
ZOOM TO:		BERNSTEIN	 --Woodward--Woodward, listen, I don't know what I got-- (holding the Dahlberg facsimile) --and I think the Times has it too-- (big) --but somewhere there's a Kenneth H. Dahlberg in this world and we've gotta find him--					All the President's Men 
RESEARCHER	 Were you after the Dahlberg articles from the files? (WOODWARD nods) There aren't any, sorry.	WOODWARD	 Whazzis?	RESEARCHER	 (shrugs) Our Dahlberg file.			All the President's Men 
WOODWARD	 Whazzis?	RESEARCHER	 (shrugs) Our Dahlberg file.					All the President's Men 
WOODWARD	 --this should take only a minute, Mr. Dahlberg, but we're doing a follow- up on the break-in-- (pause) --and I was kind of curious about your check.	DAHLBERG (V.O.)	 ...check...?	WOODWARD	 The twenty-five thousand dollar one. (silence) The one with your name on it. (silence) In Bernard Barker's Florida account. (still nothing) Bernard Barker, the Watergate burglar--			All the President's Men 
DAHLBERG (V.O.)	 ...check...?	WOODWARD	 The twenty-five thousand dollar one. (silence) The one with your name on it. (silence) In Bernard Barker's Florida account. (still nothing) Bernard Barker, the Watergate burglar--	DAHLBERG (V.O.)	 (struggling) ...you're definitely doing a story...?	WOODWARD	 Yes, sir.	All the President's Men 
WOODWARD	 The twenty-five thousand dollar one. (silence) The one with your name on it. (silence) In Bernard Barker's Florida account. (still nothing) Bernard Barker, the Watergate burglar--	DAHLBERG (V.O.)	 (struggling) ...you're definitely doing a story...?	WOODWARD	 Yes, sir.	DAHLBERG (V.O.)	 I'm a proper citizen, I'm a decent man, I don't do anything that isn't decent or proper. (WOODWARD waits, pen ready; tense as hell) I know I shouldn't tell you this...	All the President's Men 
WOODWARD	 Yes, sir.	DAHLBERG (V.O.)	 I'm a proper citizen, I'm a decent man, I don't do anything that isn't decent or proper. (WOODWARD waits, pen ready; tense as hell) I know I shouldn't tell you this...	DAHLBERG (V.O.)	 That twenty-five thousand dollars is money I collected for Nixon in this year's campaign.	WOODWARD	 I see. And how do you think it reached Miami?	All the President's Men 
DAHLBERG (V.O.)	 I don't know; I really don't. The last time I saw it was when I was in Washington. I gave it to the Finance department of the Committee to Re- Elect the President. How it got to that burglar, your guess is as good as mine.	WOODWARD	 (trying to keep his voice level) That checks out with our finding, thank you, Mr. Dahlberg.					All the President's Men 
NATIONAL EDITOR	 --nobody gives a shit about the Dahlberg repercussions--	ROSENFELD	 (to NATIONAL EDITOR) --quit equivocating, say what you mean-- (to SIMONS and BRADLEE) --our story got Government Accounting to start an audit on CREEP's finances--	BRADLEE	 --and we printed that, didn't we, Harry? And when the frigging audit's done, we'll print that too--	NATIONAL EDITOR	 --let me tell what happened when I was having lunch today at the Sans Souci--	All the President's Men 
NATIONAL EDITOR	 --well, what if your boys get it wrong--	BRADLEE	 (after a beat) Then it's our asses, isn't it?	SIMONS	 (indicates the meeting is over) And we'll all have to go to work for a living.	FOREIGN EDITOR	 I don't think either Metropolitan or National should cover the story. (BRADLEE and SIMONS look at him) I don't think we should cover the story, period.	All the President's Men 
BRADLEE	 (after a beat) Then it's our asses, isn't it?	SIMONS	 (indicates the meeting is over) And we'll all have to go to work for a living.	FOREIGN EDITOR	 I don't think either Metropolitan or National should cover the story. (BRADLEE and SIMONS look at him) I don't think we should cover the story, period.	BRADLEE	 Go on.	All the President's Men 
SIMONS	 (indicates the meeting is over) And we'll all have to go to work for a living.	FOREIGN EDITOR	 I don't think either Metropolitan or National should cover the story. (BRADLEE and SIMONS look at him) I don't think we should cover the story, period.	BRADLEE	 Go on.	FOREIGN EDITOR	 It's not that we're using unnamed sources that bothers me, or that everything we print the White House denies, or that almost no other papers are reprinting our stuff.	All the President's Men 
BRADLEE	 You saying the Democrats bugged themselves?	FOREIGN EDITOR	 The FBI thinks it's possible--the Democrats need a campaign issue, corruption's always a good one. (rises, starts out) Get off the story, Ben--or put some people on McGovern's finances; fair is fair, even in our business.					All the President's Men 
UNION GUY	 (to another UNION GUY who's reading over his shoulder) What'd'ya think?	SECOND UNION GUY	 Politics as usual, someone just got caught with his hand in the cookie jar, that's all.	UNION GUY	 (he's not so sure) Big fuckin' cookie jar.			All the President's Men 
SECOND UNION GUY	 Politics as usual, someone just got caught with his hand in the cookie jar, that's all.	UNION GUY	 (he's not so sure) Big fuckin' cookie jar.					All the President's Men 
BERNSTEIN	 (sits across) This is practically a high school reunion for us, Jane--I would have sprung for a classier place.	JANE	 Anyplace really public, they'd know about it--they know everything at the Committee, Carl--	BERNSTEIN	 --you don't really think you're being followed?			All the President's Men 
JANE	 I don't know what they'd do to me.	BERNSTEIN	 (reaching over) Hey, easy...	JANE	 (headshake) We're a long way from high school, Carl... (she looks at him) ...and I'm scared.			All the President's Men 
BERNSTEIN	 (reaching over) Hey, easy...	JANE	 (headshake) We're a long way from high school, Carl... (she looks at him) ...and I'm scared.					All the President's Men 
BERNSTEIN		JANE'S VOICE (O.S.)	 They found out I saw you-- (BERNSTEIN stops, glances around) --they wanted to know everything. (louder) Don't call me again.	BERNSTEIN	 (moving toward her voice) I can help if you'll--	JANE (O.S.)	 --stay away from me, Carl!	All the President's Men 
JANE'S VOICE (O.S.)	 They found out I saw you-- (BERNSTEIN stops, glances around) --they wanted to know everything. (louder) Don't call me again.	BERNSTEIN	 (moving toward her voice) I can help if you'll--	JANE (O.S.)	 --stay away from me, Carl!			All the President's Men 
FIRST MAID	 We'll be back after lunch.	BLACK MAN	 (it's the voice from the phone) We'll be here.	SECOND MAID	 I think they went out.	WOODWARD	 (shrugs) I don't mind waiting.	All the President's Men 
SECOND MAID	 I think they went out.	WOODWARD	 (shrugs) I don't mind waiting.					All the President's Men 
BERNSTEIN	 (as WOODWARD reaches him) See her? (WOODWARD nods) Get anything?	WOODWARD	 For the paper, no; for us, plenty. (The two of them head for the terminal) I waited a long time and finally this big guy--I guess a bodyguard-- he left and I knocked and she remembered me, we talked awhile.	BERNSTEIN	 And?--And?--	WOODWARD	 (looks at BERNSTEIN) --she was panicked, Carl--every time I mentioned Watergate, you could tell.	All the President's Men 
BERNSTEIN	 And?--And?--	WOODWARD	 (looks at BERNSTEIN) --she was panicked, Carl--every time I mentioned Watergate, you could tell.	BERNSTEIN	 Were you eyebrow reading?	WOODWARD	 (shakes his head "no") It was there. I just don't get it; a CREEP secretary being scared, that's one thing. But what does the wife of one of the most powerful men in America have to be afraid of...?	All the President's Men 
BERNSTEIN	 Were you eyebrow reading?	WOODWARD	 (shakes his head "no") It was there. I just don't get it; a CREEP secretary being scared, that's one thing. But what does the wife of one of the most powerful men in America have to be afraid of...?					All the President's Men 
BERNSTEIN	 I don't get it... this really was my turf...	WOODWARD	 (concentrating on the map) You're not a kid anymore.	BERNSTEIN	 (shaking his head) My first day as a copy boy I was sixteen and wearing my only grown-up suit--it was cream colored. At 2:30 the head copy boy comes running up to me and says, "My God, haven't you washed the carbon paper yet? If it's not washed by three, it'll never by dry for tomorrow." (WOODWARD is getting interested in the story now) And I said, "Am I supposed to do that?" and he said, "Absolutely, it's crucial." So I run around and grab all the carbon paper from all the desks and take it to the men's room. I'm standing there washing it and it's splashing all over me and the editor comes in to take a leak, and he says, "What the fuck do you think you're doing?" And I said, "It's 2:30. I'm washing the carbon paper." (BERNSTEIN looks at	WOODWARD)	 Just wanted you to know I've done dumber things than get us lost, that's all.	All the President's Men 
WOODWARD	 (concentrating on the map) You're not a kid anymore.	BERNSTEIN	 (shaking his head) My first day as a copy boy I was sixteen and wearing my only grown-up suit--it was cream colored. At 2:30 the head copy boy comes running up to me and says, "My God, haven't you washed the carbon paper yet? If it's not washed by three, it'll never by dry for tomorrow." (WOODWARD is getting interested in the story now) And I said, "Am I supposed to do that?" and he said, "Absolutely, it's crucial." So I run around and grab all the carbon paper from all the desks and take it to the men's room. I'm standing there washing it and it's splashing all over me and the editor comes in to take a leak, and he says, "What the fuck do you think you're doing?" And I said, "It's 2:30. I'm washing the carbon paper." (BERNSTEIN looks at	WOODWARD)	 Just wanted you to know I've done dumber things than get us lost, that's all.			All the President's Men 
WHOLE SERIES OF FACES		MIDDLE-AGED MAN	 (literally trembling) God, it's just so awful--					All the President's Men 
BERNSTEIN	 You had the Mighty Mo and the fries without gravy, right? (WOODWARD shrugs)	WOODWARD	 This is terrific work, if you like rejection.	BERNSTEIN	 I never scared anyone before.			All the President's Men 
BERNSTEIN	 I never scared anyone before.	WOODWARD	 It's not us, they were scared before we got there. (looks at BERNSTEIN) What do we know?	BERNSTEIN	 Facts or theory?	WOODWARD	 Anything you've got.	All the President's Men 
BERNSTEIN	 We appreciate your position--really.	WOMAN	 You people--you think that you can come into someone's life, squeeze what you want, then get out. (to BERNSTEIN) You don't appreciate a goddamn thing, mister. (to WOODWARD) And you don't understand nothing. (voice rising) But the Committee's briefed us on you--so get the hell out of here-- (big) --do you like scaring the life out of decent people?--'cause if you don't, in the name of God--stop it!					All the President's Men 
WOODWARD	 And I'm a Republican.	BERNSTEIN	 (surprised, turns to	WOODWARD)	 Republican?	WOODWARD	 Sure.	All the President's Men 
BERNSTEIN	 Hi, I'm Carl Bernstein of the Washington Post and--	WOMAN	 --oh, you don't want me, you want my sister. (calls out) For you.					All the President's Men 
BERNSTEIN	 We don't tell anyone that. Which is why you can talk to us. And if we can't verify what you say someplace else, we don't print it. That's another reason you can relax.	BOOKKEEPER	 (tense) I'm relaxed--light your cigarette.	BERNSTEIN	 You were Hugh Sloan's bookkeeper when he worked for Maurice Stans at Finance, and we were sort of wondering, did you go work for Stans immediately after Sloan quit or was there a time lapse?	BOOKKEEPER	 I never worked for Sloan or Stans.	All the President's Men 
BOOKKEEPER	 I never worked for Sloan or Stans.	BOOKKEEPER'S SISTER	 (out of the blue; to	BERNSTEIN)	 Would you like some coffee or anything?	BERNSTEIN	 (like a shot) Please, yes, thank you. (he looks at the	All the President's Men 
BERNSTEIN)	 Would you like some coffee or anything?	BERNSTEIN	 (like a shot) Please, yes, thank you. (he looks at the	BOOKKEEPER)	 Can I sit down for a minute?	BOOKKEEPER	 One minute but then--	All the President's Men 
BOOKKEEPER	 One minute but then--	BERNSTEIN	 --right, right, I've got to go. (he sits) Why did you lie just then?	BERNSTEIN	 I was just curious--you don't do it well, so I wondered. Have you been threatened, if you told the truth, is that it?	BOOKKEEPER	 ...No... never in so many words...	All the President's Men 
BOOKKEEPER	 ...No... never in so many words...	BERNSTEIN	 (gently) It's obvious you want to talk to someone--well, I'm someone.					All the President's Men 
BERNSTEIN	 I'm not even going to put your name down. It's just so I can keep things straight. (beat) Start with the money, why don't you?	BOOKKEEPER'S SISTER	 (returning with coffee) How do you like it?	BERNSTEIN	 Everything, please.	BOOKKEEPER'S SISTER	 (going again) I won't be a minute.	All the President's Men 
BERNSTEIN	 Everything, please.	BOOKKEEPER'S SISTER	 (going again) I won't be a minute.	BERNSTEIN	 (to the BOOKKEEPER, quietly) The General Accounting report said there was a 350 thousand cash slush fund in Stans' safe. Did you know about that from the beginning?	BOOKKEEPER	 (about to fold) There are too many people watching me--they know I know a lot--	All the President's Men 
BOOKKEEPER'S SISTER	 (going again) I won't be a minute.	BERNSTEIN	 (to the BOOKKEEPER, quietly) The General Accounting report said there was a 350 thousand cash slush fund in Stans' safe. Did you know about that from the beginning?	BOOKKEEPER	 (about to fold) There are too many people watching me--they know I know a lot--	BERNSTEIN	 --it was all in hundreds, wasn't it?	All the President's Men 
BERNSTEIN	 (to the BOOKKEEPER, quietly) The General Accounting report said there was a 350 thousand cash slush fund in Stans' safe. Did you know about that from the beginning?	BOOKKEEPER	 (about to fold) There are too many people watching me--they know I know a lot--	BERNSTEIN	 --it was all in hundreds, wasn't it?	BOOKKEEPER	 A lot of it was. I just thought it was sort of an all-purpose political fund--you know, for taking fat cats to dinner, things like that.	All the President's Men 
BERNSTEIN	 Could buy a lot of steaks, 350,000 dollars.	BOOKKEEPER	 (her words are coming faster) I can't be positive that it was used for the break-in but people sure are worried.	BERNSTEIN	 Which people?	BOOKKEEPER	 The ones who could disburse the money.	All the President's Men 
BOOKKEEPER	 There were a group of them--I think five, I don't know their names.	BERNSTEIN	 Sloan knew which five, didn't he? (she nods)	BOOKKEEPER'S SISTER	 (back with cream and sugar) Here we are.	BOOKKEEPER	 I don't want to say anymore.	All the President's Men 
BERNSTEIN	 Sloan knew which five, didn't he? (she nods)	BOOKKEEPER'S SISTER	 (back with cream and sugar) Here we are.	BOOKKEEPER	 I don't want to say anymore.	BERNSTEIN	 (indicating coffee) It's awfully hot-- (smiles) --and you haven't finished telling me about the money--	All the President's Men 
BOOKKEEPER	 I don't want to say anymore.	BERNSTEIN	 (indicating coffee) It's awfully hot-- (smiles) --and you haven't finished telling me about the money--	BOOKKEEPER	 (long pause; then--in a burst) --omigod, there was so much of it, six million came in one two-day period-- six million cash, we couldn't find enough places to put it. I thought it was all legal, I guess I did, til after the break-in, when I remembered Gordon got so much of it.	BERNSTEIN	 (heart starting to pound) Gordon Liddy, you mean?	All the President's Men 
BERNSTEIN	 (indicating coffee) It's awfully hot-- (smiles) --and you haven't finished telling me about the money--	BOOKKEEPER	 (long pause; then--in a burst) --omigod, there was so much of it, six million came in one two-day period-- six million cash, we couldn't find enough places to put it. I thought it was all legal, I guess I did, til after the break-in, when I remembered Gordon got so much of it.	BERNSTEIN	 (heart starting to pound) Gordon Liddy, you mean?	BOOKKEEPER	 (nods) It was all so crazy--the day after the break-in he gave us a speech, bouncing up and down on his heels in that loony way of his--Gordon told us not to let Jim McCord ruin everything--don't let one bad apple spoil the barrel, he said. You just know that when Gordon Liddy's calling someone a bad apple, something's wrong somewhere. (more and more moved now) ...It's all so rotten... and getting worse... and all I care about is Hugh Sloan. His wife was going to leave him if he didn't stand up and do what was right. And he quit. He quit because he saw it and didn't want any part of it.	All the President's Men 
BOOKKEEPER	 (long pause; then--in a burst) --omigod, there was so much of it, six million came in one two-day period-- six million cash, we couldn't find enough places to put it. I thought it was all legal, I guess I did, til after the break-in, when I remembered Gordon got so much of it.	BERNSTEIN	 (heart starting to pound) Gordon Liddy, you mean?	BOOKKEEPER	 (nods) It was all so crazy--the day after the break-in he gave us a speech, bouncing up and down on his heels in that loony way of his--Gordon told us not to let Jim McCord ruin everything--don't let one bad apple spoil the barrel, he said. You just know that when Gordon Liddy's calling someone a bad apple, something's wrong somewhere. (more and more moved now) ...It's all so rotten... and getting worse... and all I care about is Hugh Sloan. His wife was going to leave him if he didn't stand up and do what was right. And he quit. He quit because he saw it and didn't want any part of it.	BERNSTEIN	 Think Sloan's being set up as a fall guy for John Mitchell? Sometimes it looks that way.	All the President's Men 
BERNSTEIN	 (heart starting to pound) Gordon Liddy, you mean?	BOOKKEEPER	 (nods) It was all so crazy--the day after the break-in he gave us a speech, bouncing up and down on his heels in that loony way of his--Gordon told us not to let Jim McCord ruin everything--don't let one bad apple spoil the barrel, he said. You just know that when Gordon Liddy's calling someone a bad apple, something's wrong somewhere. (more and more moved now) ...It's all so rotten... and getting worse... and all I care about is Hugh Sloan. His wife was going to leave him if he didn't stand up and do what was right. And he quit. He quit because he saw it and didn't want any part of it.	BERNSTEIN	 Think Sloan's being set up as a fall guy for John Mitchell? Sometimes it looks that way.	BOOKKEEPER	 If you guys... if you guys could just get John Mitchell... that would be beautiful...	All the President's Men 
BERNSTEIN	 --she was really paranoid, the bookkeeper.	WOODWARD	 That happens to people. (he goes over, turns the hi-fi on even louder. Shouts--) OK, go on.					All the President's Men 
BERNSTEIN	 How do you want to handle Sloan?	WOODWARD	 You mean, who's going to play the mean M.P. and who's going to be the nice one? (BERNSTEIN nods; WOODWARD shrugs) Whichever.	BERNSTEIN	 He's another Ivy Leaguer so he'll probably expect you to be understanding--might surprise him if you're not.	WOODWARD	 You want me to be the bastard.	All the President's Men 
WOODWARD	 You want me to be the bastard.	BERNSTEIN	 (nods) And I'll just shitkick in my usual way.					All the President's Men 
WOODWARD	 To see Mr. Sloan.	MRS. SLOAN	 He's out. (There is a pause. She studies them--) You're those two from the Post, aren't you. (they nod) I'll tell him.	BERNSTEIN	 (as she's about to step back inside) This must be a difficult time for the both of you.	MRS. SLOAN	 This is an honest house.	All the President's Men 
MRS. SLOAN	 He's out. (There is a pause. She studies them--) You're those two from the Post, aren't you. (they nod) I'll tell him.	BERNSTEIN	 (as she's about to step back inside) This must be a difficult time for the both of you.	MRS. SLOAN	 This is an honest house.	WOODWARD	 That's why we wanted to see your husband.	All the President's Men 
MRS. SLOAN	 That decision is up to him.	BERNSTEIN	 (conspiratorially) Maybe you could put in a good word.	WOODWARD	 We've got another appointment tonight in this area--we'll just stop back later, all right?	MRS. SLOAN	 It's a free country-- (beat) --in theory.	All the President's Men 
WOODWARD	 We've got another appointment tonight in this area--we'll just stop back later, all right?	MRS. SLOAN	 It's a free country-- (beat) --in theory.	MRS. SLOAN	 (calling out) Be careful--			All the President's Men 
WOODWARD	 Think Sloan's back? (BERNSTEIN seems lost in thought) What's wrong?	BERNSTEIN	 Nothing--I just found out that Jeb Magruder from CREEP is a bigger bike freak than I am. (sips coffee) I never like it when the other guy's human...					All the President's Men 
WOODWARD	 Mr. Sloan?	SLOAN	 (nods) My wife told me to expect you. (softly) As you know, I haven't talked to the press.	BERNSTEIN	 We were hoping that maybe now you could. We know why you left the Committee. We know you're not guilty of anything. But we know you know who is--	SLOAN	 --look, come in. We'll have to be quiet--my wife's asleep.	All the President's Men 
WOODWARD	 And as treasurer, you could release those funds?	SLOAN	 (nods) When so ordered.	WOODWARD	 We're not sure we've got all the guys who could order you, but we know there were five. (SLOAN is silent)	BERNSTEIN	 (ticking them off) Mitchell, Stans, Magruder, they're obvious--	All the President's Men 
SLOAN	 (nods) When so ordered.	WOODWARD	 We're not sure we've got all the guys who could order you, but we know there were five. (SLOAN is silent)	BERNSTEIN	 (ticking them off) Mitchell, Stans, Magruder, they're obvious--	WOODWARD	 --there had to be a White House overseer--	All the President's Men 
WOODWARD	 We're not sure we've got all the guys who could order you, but we know there were five. (SLOAN is silent)	BERNSTEIN	 (ticking them off) Mitchell, Stans, Magruder, they're obvious--	WOODWARD	 --there had to be a White House overseer--	BERNSTEIN	 --Colson.	All the President's Men 
SLOAN	 Colson's too smart to get directly involved with something like that.	WOODWARD	 (to BERNSTEIN) Haldeman. (to SLOAN) Right?	SLOAN	 I won't talk about the other two.	BERNSTEIN	 But they both worked at the White House?	All the President's Men 
BERNSTEIN	 But they both worked at the White House?	SLOAN	 (softly) I will not talk about the other two.	BERNSTEIN	 (out of the blue) Kalmbach--Nixon's personal lawyer.	SLOAN	 I can't say anything, I'm sorry. (He starts to rise)	All the President's Men 
SLOAN	 (softly) I will not talk about the other two.	BERNSTEIN	 (out of the blue) Kalmbach--Nixon's personal lawyer.	SLOAN	 I can't say anything, I'm sorry. (He starts to rise)	WOODWARD	 One thing I'm not completely clear on--when you gave out the money to Liddy, how did that work?	All the President's Men 
BERNSTEIN	 (out of the blue) Kalmbach--Nixon's personal lawyer.	SLOAN	 I can't say anything, I'm sorry. (He starts to rise)	WOODWARD	 One thing I'm not completely clear on--when you gave out the money to Liddy, how did that work?	SLOAN	 Badly. (and now for the first time, he almost smiles) You don't realize how close all this came to staying undiscovered--I gave Liddy the Dahlberg check and he gave it to Barker who took it to Miami and deposited it.	All the President's Men 
WOODWARD	 One thing I'm not completely clear on--when you gave out the money to Liddy, how did that work?	SLOAN	 Badly. (and now for the first time, he almost smiles) You don't realize how close all this came to staying undiscovered--I gave Liddy the Dahlberg check and he gave it to Barker who took it to Miami and deposited it.	BERNSTEIN	 Right.	SLOAN	 Then Barker withdrew the 25 thousand in hundred dollar bills and gave it back to Liddy who gave it back to me and I put it in the office safe which was crammed.	All the President's Men 
BERNSTEIN	 What happens when the baby comes?	SLOAN	 We're moving. (beat) I've been looking for a job but it's been... hard. My name's been in the papers too much. Sometimes I wonder if reporters understand how much pain they can inflict in just one sentence. I'm not thinking of myself. But my wife, my parents, it's been very rough on them.					All the President's Men 
WOODWARD	 We'd like to wait til we have all five before we print it.	BRADLEE	 This is a daily paper, we'll explain it tomorrow. (looks at them) You're certain on Mitchell?	WOODWARD	 He approved the payments to Liddy while he was still Attorney General--	ROSENFELD	 --you got more than one source?--	All the President's Men 
MITCHELL (V.O.)	 What does it say?	BERNSTEIN	 (starting to read) John N. Mitchell, while serving as US Attorney General, personally controlled a secret cash fund that--	MITCHELL (V.O.)	 --jeeeeeeesus--	BERNSTEIN	 --fund that was used to gather information against the Democrats--	All the President's Men 
BRADLEE	 He really made that remark about Mrs. Graham? (BERNSTEIN nods) This is a family newspaper--cut the words "her tit" and run it.	THE PRESSES OF THE POST						All the President's Men 
THE SOUTHERN CREEP P.R. MAN		CREEP P.R. MAN	 (in mid-sentence) --hearsay, innuendo, and character assassination. I can only conclude that the so-called sources of the Washington Post are a fountain of misinformation--					All the President's Men 
BRADLEE'S OFFICE		SIMONS	 (reading) Same kind of crap--	BRADLEE	 (glancing through; nods) --all non-denial denials--we're dirty guys and they doubt we were ever virgins but they don't say the story is inaccurate.	BERNSTEIN	 What's a real denial?	All the President's Men 
SIMONS	 (reading) Same kind of crap--	BRADLEE	 (glancing through; nods) --all non-denial denials--we're dirty guys and they doubt we were ever virgins but they don't say the story is inaccurate.	BERNSTEIN	 What's a real denial?	BRADLEE	 If they ever start calling us goddamn liars-- (little pause) --it's time to start circling the wagons.	All the President's Men 
BERNSTEIN	 What's a real denial?	BRADLEE	 If they ever start calling us goddamn liars-- (little pause) --it's time to start circling the wagons.					All the President's Men 
WOODWARD	 What do you think Mrs. Graham wants to see me for?	SIMONS	 Maybe to fire you--since you two started on this story, the Post stock has dropped, what, 50 percent? (WOODWARD pushes for the elevator) And the word is some Nixon people are challenging her TV licenses. I'm not saying she's going on relief, but I don't think it's unreasonable for her to want to meet you.	WOODWARD	 You think she wants us to ease up on the story?	SIMONS	 (shrugs) I don't know, but I don't think that's unreasonable either, do you?	All the President's Men 
WOODWARD	 You think she wants us to ease up on the story?	SIMONS	 (shrugs) I don't know, but I don't think that's unreasonable either, do you?					All the President's Men 
WOODWARD	 --I'm Woodward.	MRS. GRAHAM	 You know, the paper was my father's and my husband's when they were alive and I was thinking back a year or two ago when Ben called me and said he wanted to publish the Pentagon Papers the next day. The Times had already been stopped from publishing anymore of them and all my legal counsel said "don't, don't" and I was frightened but I knew if I said no, I'd lose the whole fifth floor. So we published, and that night, after I'd told Ben to go ahead, I woke up in the darkness and I thought, "Oh my Lord, what am I doing to this newspaper?" (She looks at WOODWARD) I woke up again last night with that same question. (WOODWARD says nothing, waits) Are we right on this story?	WOODWARD	 I think so.	MRS. GRAHAM	 Are you sure?	All the President's Men 
WOODWARD	 It may never come out.	MRS. GRAHAM	 Never? Please don't tell me never. (beat) Ben says you've found some wonderful sources.	WOODWARD	 Some Justice Department lawyers and an FBI man, and some people from the Committee to Re-Elect, yes ma'am.	MRS. GRAHAM	 And the underground garage one. (WOODWARD, more nervous now, nods) Would I know him?	All the President's Men 
WOODWARD	 Some Justice Department lawyers and an FBI man, and some people from the Committee to Re-Elect, yes ma'am.	MRS. GRAHAM	 And the underground garage one. (WOODWARD, more nervous now, nods) Would I know him?	WOODWARD	 I couldn't say.	MRS. GRAHAM	 But it's possible.	All the President's Men 
MRS. GRAHAM	 But it's possible.	WOODWARD	 (throat very dry) It is.	MRS. GRAHAM	 You've never told anyone who he is? (WOODWARD shakes his head) But you'd have to tell me if I asked you. (WOODWARD nods) Tell me.	WOODWARD	 (he is dying) I would, if you really ever wanted to know.	All the President's Men 
WOODWARD	 (throat very dry) It is.	MRS. GRAHAM	 You've never told anyone who he is? (WOODWARD shakes his head) But you'd have to tell me if I asked you. (WOODWARD nods) Tell me.	WOODWARD	 (he is dying) I would, if you really ever wanted to know.	MRS. GRAHAM	 I really want to know.	All the President's Men 
MRS. GRAHAM	 You've never told anyone who he is? (WOODWARD shakes his head) But you'd have to tell me if I asked you. (WOODWARD nods) Tell me.	WOODWARD	 (he is dying) I would, if you really ever wanted to know.	MRS. GRAHAM	 I really want to know.			All the President's Men 
WOODWARD	 What?	BRADLEE	 I thought you guys were supposed to be working on this story-- (to BERNSTEIN who tears in--) --you think I like being aced out?	BERNSTEIN	 --what?--	WOODWARD	 --The L.A. Times has a huge interview with Baldwin--	All the President's Men 
WOODWARD	 --The L.A. Times has a huge interview with Baldwin--	BERNSTEIN	 --the lookout in the Motor Inn?-- (WOODWARD nods) --he say anything we don't know?--	WOODWARD	 (headshake) --just that a lot of reports were sent to CREEP, but he doesn't name who, not here anyway--	BRADLEE	 --it would have been nice to have had this, I sure would have liked to have had this--	All the President's Men 
BERNSTEIN	 --the lookout in the Motor Inn?-- (WOODWARD nods) --he say anything we don't know?--	WOODWARD	 (headshake) --just that a lot of reports were sent to CREEP, but he doesn't name who, not here anyway--	BRADLEE	 --it would have been nice to have had this, I sure would have liked to have had this--	BERNSTEIN	 --there's nothing new in it--	All the President's Men 
BERNSTEIN	 --there's nothing new in it--	BRADLEE	 --it makes the break-in real--it's a major goddamn story-- (starts out) --I'm not going to kick ass over this, but I'd like you to know I hate getting beat, I just hate it-- don't forget that I hate it--	BERNSTEIN	 Goddamnit--	WOODWARD	 --shit--	All the President's Men 
BERNSTEIN	 --almost every source we've used has been Republican, this guy's a card- carrying Democrat.	WOODWARD	 Then he's got an ax. (beat) Call him anyway.					All the President's Men 
THE UNION GUYS		FIRST UNION GUY	 Who is this Woodstein? (points to paper) Two stories on the front page.	SECOND UNION GUY	 If he can't pick a winner at Pimlico, to hell with him.			All the President's Men 
WOODWARD	 --I haven't said anything--	BERNSTEIN	 --for the first time I'm beginning to feel like a fucking reporter-- Woodward, I got a tip. A guy called me up with a tip-- (carefully) --someone named Donald Segretti contacted a bunch of lawyers and asked them if they'd like to go to work with him screwing up the Democrats, dirty tricks, shit like that. The FBI knows about Segretti-- Howard Hunt made a bunch of phone calls to him--they interrogated him, but on account of Segretti wasn't involved with the break-in, they didn't follow through. But Segretti did a lot of traveling--he called these lawyers from different places, and he told them the Republicans knew what he was doing.	WOODWARD	 How high up, which Republicans?	BERNSTEIN	 That's what we've got to find out, but Segretti went to Southern Cal. and so did a bunch of Nixon men--	All the President's Men 
