JACK	 Yes, well thank you very much for the ride, sir.  You have lovely sheep.	TRUCK DRIVER	 (as he clambers back up on his truck) Boys, keep off the moors. Stay on the road.  Good luck to you.	DAVID	 Thanks again!			American Werewolf in London 
ALEX	 He tried to have himself arrested.  He....	LT. VILLIERS	 (interrupts) Getting arrested isn't all that difficult, Miss Price.	ALEX	 He wants help.  He....	DR. HIRSCH	 (interrupts) What can we do to assist you?	American Werewolf in London 
ALEX	 He wants help.  He....	DR. HIRSCH	 (interrupts) What can we do to assist you?	LT. VILLIERS	 (rising) Stay here.  If we need you, we'll know where to reach you.	LT. VILLIERS	 I cannot accept a connection between David Kessler and last night's murders.  We will find him, however.  I can assure you of that.	American Werewolf in London 
DR. HIRSCH	 (interrupts) What can we do to assist you?	LT. VILLIERS	 (rising) Stay here.  If we need you, we'll know where to reach you.	LT. VILLIERS	 I cannot accept a connection between David Kessler and last night's murders.  We will find him, however.  I can assure you of that.	ALEX	 (distraught) What shall we do?	American Werewolf in London 
LT. VILLIERS	 I cannot accept a connection between David Kessler and last night's murders.  We will find him, however.  I can assure you of that.	ALEX	 (distraught) What shall we do?	DR. HIRSCH	 (comforting) Tea would be nice.			American Werewolf in London 
ALEX	 (distraught) What shall we do?	DR. HIRSCH	 (comforting) Tea would be nice.					American Werewolf in London 
JACK	 Thank you.	DAVID	 (apologizes quickly) I didn't mean it.  I don't know what I'm saying.  I'm not even sure it was me who killed those people.  I don't remember doing it.	JACK	 What about the zoo?	DAVID	 Well, even if I'm not the wolfman, I am crazy enough to do something like that.  I mean, here I sit in Leicester Square talking to a corpse. I'm glad to see you, Jack.	American Werewolf in London 
JACK	 Gerald is the man you murdered in the subway.  We thought it best you didn't see him as he's a fresh kill and still pretty messy.	BRINGSLY	 (in shadow; very English) Yes, I do look most unpleasant.	DAVID	 (horrified) Why are you doing this to me, Jack?	BRINGSLY	 This isn't Mr. Goodman's idea. He is your good friend, whereas I am a victim of your carnivorous lunar activities.	American Werewolf in London 
BRINGSLY	 (in shadow; very English) Yes, I do look most unpleasant.	DAVID	 (horrified) Why are you doing this to me, Jack?	BRINGSLY	 This isn't Mr. Goodman's idea. He is your good friend, whereas I am a victim of your carnivorous lunar activities.	DAVID	 (appalled) Mr. Bringsly, I'm sorry.  I have absolutely no idea what to say to you.	American Werewolf in London 
BRINGSLY	 This isn't Mr. Goodman's idea. He is your good friend, whereas I am a victim of your carnivorous lunar activities.	DAVID	 (appalled) Mr. Bringsly, I'm sorry.  I have absolutely no idea what to say to you.	BRINGSLY	 You've left my wife a widow and my children fatherless. And I understand that I am to walk the earth one of the living dead until the wolf's bloodline is severed and the curse lifted.	BRINGSLY	 You must die, David Kessler.	American Werewolf in London 
DERELICT #2	 Can't say we're pleased to meet you, Mr. Kessler.	DAVID	 (defeated) What shall I do?	JACK	 Suicide.	HARRY	 (adamantly) You must take your own life!	American Werewolf in London 
JACK	 Suicide.	HARRY	 (adamantly) You must take your own life!	DAVID	 That's easy for you to say - you're already dead.	BRINGSLY	 No, David.  Harry and I and everyone you murder are not dead.  The undead.	American Werewolf in London 
BRINGSLY	 No, David.  Harry and I and everyone you murder are not dead.  The undead.	DAVID	 (to Jack) Why are you doing this to me?	JACK	 Because this must be stopped.	DAVID	 How shall I do it?	American Werewolf in London 
