FOX	 We're all C.I.A. But these guys are from a page that ain't on the map. 10   EXT. JUNGLE - LATE AFTERNOON Nico in the point,   leading Fox and the three CIT (Chemical Interrogation Team)   men down an unmarked, twisting trail. We see from Nico's   gait that he is athletic, a born leader and totally at home   in the jungle.	11   TRAIL - LATE AFTERNOON	 snakes along a ridge line, high enough to give us a view and let us know these guys are way out in the boonies.	ZAGON	 How long till we're across the border?			Above the Law 
CROWDER                               *	 (indicates more depositions) Unlawful entry. Illegal search and seizure --	NICO	 (spits on papers) You'll never build a frame on this chickenshit.	AGENT NEELEY                          *	 (angrily) You were ordered to back off on Salvano. But you had too big a hard-on for that, didn't you--	NICO	 (to Strozah) Fred.   You can't be in on this. Nico faces his lieutenant -- a look that calls on long       * years of comradeship and loyalty. Strozah is torn. He's a good man, over his head in a situation he doesn't com- pletely understand.	Above the Law 
NICO	 (spits on papers) You'll never build a frame on this chickenshit.	AGENT NEELEY                          *	 (angrily) You were ordered to back off on Salvano. But you had too big a hard-on for that, didn't you--	NICO	 (to Strozah) Fred.   You can't be in on this. Nico faces his lieutenant -- a look that calls on long       * years of comradeship and loyalty. Strozah is torn. He's a good man, over his head in a situation he doesn't com- pletely understand.	LIEUTENANT STROZAH                    *	 You're officially suspended, Toscani. I want your tin... and your iron. Neeley leans past Nico; drops Nico's gun (with an evidence   * tag on it) onto the table. Nico looks to Strozah, who averts his eyes. Nico flips his badge onto the table.	Above the Law 
AGENT NEELEY                          *	 (angrily) You were ordered to back off on Salvano. But you had too big a hard-on for that, didn't you--	NICO	 (to Strozah) Fred.   You can't be in on this. Nico faces his lieutenant -- a look that calls on long       * years of comradeship and loyalty. Strozah is torn. He's a good man, over his head in a situation he doesn't com- pletely understand.	LIEUTENANT STROZAH                    *	 You're officially suspended, Toscani. I want your tin... and your iron. Neeley leans past Nico; drops Nico's gun (with an evidence   * tag on it) onto the table. Nico looks to Strozah, who averts his eyes. Nico flips his badge onto the table.	NICO	 You holding me?	Above the Law 
NICO	 (to Strozah) Fred.   You can't be in on this. Nico faces his lieutenant -- a look that calls on long       * years of comradeship and loyalty. Strozah is torn. He's a good man, over his head in a situation he doesn't com- pletely understand.	LIEUTENANT STROZAH                    *	 You're officially suspended, Toscani. I want your tin... and your iron. Neeley leans past Nico; drops Nico's gun (with an evidence   * tag on it) onto the table. Nico looks to Strozah, who averts his eyes. Nico flips his badge onto the table.	NICO	 You holding me?	AGENT NEELEY                          *	 You can walk for now. But don't walk far.	Above the Law 
JACKSON	 That's right. Harrison. Foreign relations committee. The guy who's been crawling all over the Central American drug connections.	NICO	 (impressed) You're gonna make a helluva D.A., Jax.	LUKICH	 God help us.	JACKSON	 (savors the com- pliment) I've been at the Tribune all night, wearing out their Xerox machine. Harrison's staff has been compiling some kind of white paper. He's due to release it next week. Nico's mind races.	Above the Law 
LUKICH	 God help us.	JACKSON	 (savors the com- pliment) I've been at the Tribune all night, wearing out their Xerox machine. Harrison's staff has been compiling some kind of white paper. He's due to release it next week. Nico's mind races.	NICO	 That's how Fox knew.	JACKSON	 What?	Above the Law 
NICO	 (to nun) Sister... you know me. Tell them there's no need for fear.	SISTER BONIFACIA	 There is rubble all over the yard, Nicola.					Above the Law 
REFUGEE WOMAN	 The priest. The others shrink.   The Woman glances to them.	NICO	 Who? (gently) Father Genarro?	REFUGEE WOMAN	 The other one.	REFUGEE WOMAN	 No. The young one. From Costa Rica.	Above the Law 
NICO	 But the bomb... The bomb was planted to destroy the pulpit.	SISTER BONIFACIA	 Father Tomassino was going to give the Mass that day. (shaken) Father Genarro talked him out of it.	NICO	 (understands) It was Father Tomassino they were trying to kill.	NICO	 Where is Tomassino?   Where is he now? The nun shakes her head.   Nico looks to the refugees. They don't know, either.	Above the Law 
SISTER BONIFACIA	 Father Tomassino was going to give the Mass that day. (shaken) Father Genarro talked him out of it.	NICO	 (understands) It was Father Tomassino they were trying to kill.	NICO	 Where is Tomassino?   Where is he now? The nun shakes her head.   Nico looks to the refugees. They don't know, either.	REFUGEE MAN	 He run, mister. He go --	Above the Law 
NICO	 You're outa this, Jax.    Go home.	JACKSON	 (displays her notes) You see this list? Well, I'm not done.	JACKSON	 I'm not a rookie, Toscani. Now, go home. Get your family out of here. Nico agrees.    The pair starts to split.	NICO	 (calls after Jackson) Just paperwork, you understand?	Above the Law 
JACKSON	 I'm not a rookie, Toscani. Now, go home. Get your family out of here. Nico agrees.    The pair starts to split.	NICO	 (calls after Jackson) Just paperwork, you understand?					Above the Law 
SARA                                    *	 Your job and your family in one day, Nico. You're batting a thousand.	NICO	 (softly) Sara...                                               *	NICO	 You'll be safe with Uncle Branca. It's gotta be this way... I'm sorry.	NICO	 Don't you think I'd rather be with you? He holds her passionately.    Rosa coughs loudly in the doorway.	Above the Law 
NICO	 Don't you think I'd rather be with you? He holds her passionately.    Rosa coughs loudly in the doorway.	SARA                                    *	 (no longer angry) -- Mama... you got your medicine? Don't forget the baby's sweater --	ROSA	 I know about babies. We glimpse other relatives in the hallway; Nico hands them a pair of suitcases; they hurry off --	SARA                                    *	 (of Nico's bloodied shirt) You sure you're all right?	Above the Law 
ROSA	 I know about babies. We glimpse other relatives in the hallway; Nico hands them a pair of suitcases; they hurry off --	SARA                                    *	 (of Nico's bloodied shirt) You sure you're all right?	NICO	 I am if you are.	SARA                                    *	 (trying to lighten up) Don't worry -- (touches him) We needed a vacation, anyway. Sara takes her suitcase, hurries out --                        *	Above the Law 
NICO	 I am if you are.	SARA                                    *	 (trying to lighten up) Don't worry -- (touches him) We needed a vacation, anyway. Sara takes her suitcase, hurries out --                        *					Above the Law 
253    BARREL OF .45 AUTOMATIC		NICO	 (rising from rear seat) Don't forget your seat belt.					Above the Law 
AGENT NEELEY                           *	 Congratulations, Toscani. You just made number four on the most wanted list.	NICO	 Keep walking -- (another nudge) -- I'm bucking for number one.	256   ADMINISTRATIVE WINDOW	 A pot-bellied, Naval-retired-type CLERK looks up from his desk as Nico and Neeley come up to the counter. We see a      * sign: "EVIDENCE HOLDING DEPOT -- You MUST Have Your Requi- sition Number!!!" The Clerk stands, chomping a cigar, wad- dles to the counter. We see his arms covered with tattoos.	CLERK	 What can I do for you, lads? Neeley presents his ID.                                       *	Above the Law 
NICO	 Who?    Who took it?	CLERK	 (casual) C.I.A. Nico reacts, nudges Neeley once more.                         *	AGENT NEELEY                          *	 (to Clerk) We'd like to see the paperwork. The Clerk has an accordion file right under the counter. He indicates a sign-in book.			Above the Law 
FEMALE (V.O.)	 (from car radio) -- That agent has been with the Central American desk, uh, since '84 --	AGENT NEELEY                              *	 (into mike) Thank you. That's what I wanted. Nico takes the mike, clicks it back into its cradle.     Neeley    * freezes, unsure what Nico's going to do with him.	NICO	 (motions with gun) Dump your shoes. Ditch your I.D. on the floor. Nico watches the FBI man obey.	NICO	 So you think I'm a lousy cop, huh, Neeley? Maybe I am. But I haven't got                   * my face buried up Washington's ass.	Above the Law 
AGENT NEELEY                              *	 (into mike) Thank you. That's what I wanted. Nico takes the mike, clicks it back into its cradle.     Neeley    * freezes, unsure what Nico's going to do with him.	NICO	 (motions with gun) Dump your shoes. Ditch your I.D. on the floor. Nico watches the FBI man obey.	NICO	 So you think I'm a lousy cop, huh, Neeley? Maybe I am. But I haven't got                   * my face buried up Washington's ass.	AGENT NEELEY                              *	 Nobody buys me, Toscani.	Above the Law 
AGENT NEELEY                              *	 Nobody buys me, Toscani.	NICO	 Yeah? Then somebody pulled the plug on your brain, pal. You didn't come up with the second priest, did you? Or Harrison's dead aide. (as Neeley fumbles with                          * his laces) Hurry up! (as Neeley obeys)                                * You heard the radio. The Agency's pushing buttons and bodies are dropping like flies. You assholes are missing half the case!	AGENT NEELEY                       *	 Listen.     Toscani -- Nico grabs Neeley's shoes, heaves them into the back seat.    * He shoves the agent out the door, swings himself behind the wheel.	NICO	 Watch your step.	Above the Law 
267   FULL ASHTRAY	 Watanabe stubs out a cigarette. Empty coffee cups all around. Nico paces, reading a hard-copy printout.	NICO	 Fox has had a helluva career. (reads down page) '69 to '76, Cambodia, Laos. Operation Phoenix. Operation Green Mountain. Operaton Northstar. This is all Vang Pao, it's all heroin --	WATANABE	 You friend has found his metier.	NICO	 Run personnel retrievals on all these operations. I want the names of every company man who was on them.	Above the Law 
268   CLOSE - COMPUTER SCREEN	 A list of about thirty names -- mostly civilian, but some with military rank attached.	NICO (O.S.)	 Altshuler. Cosgrove. I know half these guys -- (thinking) Okay... now run me an update. Where are these fuckers now?					Above the Law 
WATANABE	 (finger tracks down screen) Central American desk. Central American desk. Central --	NICO	 Thirty names from secret drug operations... and two-thirds of 'em are in Central America. (beat) All right. Run these two names: Bautista Salvano and Ramon 'Chi Chi' Testamente.	WATANABE	 Those street dealers you were talking about? They're not gonna be in here. Nico gives her a look.    Watanabe starts punching keys.     *	270   CLOSE - COMPUTER SCREEN	 Official biographies of Salvano and Chi Chi come up.	Above the Law 
270   CLOSE - COMPUTER SCREEN	 Official biographies of Salvano and Chi Chi come up.	WATANABE (O.S.)	 Well, kiss my ass. (reads) Both former Somoza secret police. (whistles, impressed) Recruited by agency, 1975. Trained Fort Benning, counter insurgency...	NICO (O.S.)	 Where's Fox's printout? (finds it, reads) 1976... Fort Benning. He recruited these pricks!			Above the Law 
WATANABE (O.S.)	 Well, kiss my ass. (reads) Both former Somoza secret police. (whistles, impressed) Recruited by agency, 1975. Trained Fort Benning, counter insurgency...	NICO (O.S.)	 Where's Fox's printout? (finds it, reads) 1976... Fort Benning. He recruited these pricks!					Above the Law 
WATANABE	 There's nothing left, Nico.     We've wrung these files dry.	NICO	 (muttering to himself; thinking) Fox is here, in Chicago... or was here... (has an idea) ... Listen. Can this thing tap into airlines? Reservations records --	WATANABE	 I can get you the ball scores, too.	272   NICO	 As he finishes viewing the screen, stands.	Above the Law 
ZAGON	 I want to know who you told.	FATHER TOMASSINO	 (barely coherent) I told them... you make the ninos... see... castrating their fathers -- raping... mutilating their mothers ... And... (breaks down crying) ... and sometimes... to the ninos...	302   NICO'S POV - HALLWAY				Above the Law 
NICO	 Go!   Go! -- Simultaneously FIRING back through the kicked-in door, EMPTYING his GUN.	ZAGON	 (in Spanish, from apartment) Get him! Finish him!	ZAGON	 Now! Nico bolts for the stairwell to the roof, clawing for a new clip as he goes. Salvano and Zagon burst into the hallway,			Above the Law 
323    BACK TO NICO		NICO	 (to Jackson's photo) -- Had to be a hero... another fucking hero. I'm sorry Jax. He reaches for a small calendar, looks at it.	324    CLOSEUP - CALENDAR		325    OMITTED	 &	Above the Law 
327    BACK TO NICO	 Nico scoops up the aide's papers, stands, wobbly --	NICO	 -- Senator... -- (of papers, with scorn) -- dumb fuck... think they're gonna					Above the Law 
327C   CLOSEUP - JACKSON		JACKSON	 (to Lukich) You call Nico's goddamn Uncle and find out if he's heard anything.	LUKICH	 (wounded himself) You just shutup and take it easy, pal.			Above the Law 
JACKSON	 (to Lukich) You call Nico's goddamn Uncle and find out if he's heard anything.	LUKICH	 (wounded himself) You just shutup and take it easy, pal.					Above the Law 
BRANCA	 He's fine.   The boy has ribs of steel!	ROSA	 (touching Nico's brow) Enough of your humor. Sara clings to Nico's arm, tears in her eyes. Rosa               * crosses herself. Sara begins to weep. The doctor finishes.       * There's a long awkward moment. Then:	BRANCA	 (to doctor and bodyguards) Leave them. Leave them alone.			Above the Law 
ROSA	 (touching Nico's brow) Enough of your humor. Sara clings to Nico's arm, tears in her eyes. Rosa               * crosses herself. Sara begins to weep. The doctor finishes.       * There's a long awkward moment. Then:	BRANCA	 (to doctor and bodyguards) Leave them. Leave them alone.					Above the Law 
SARA	 -- You've got to do it, Nico.    You know you have to. Whatever Sara is proposing, Nico is dead set against it.	ROSA	 Listen to her, Nicola. (dead serious) Whatever you think of him, Federico is family. He is our family. Nico makes no response.   Instead, he lifts Julian, nuzzles him tenderly.	NICO	 Ever notice how clean babies smell? Like nothing in the world has touched them yet.	SARA	 If you won't go to him, I will.	Above the Law 
SARA	 If you won't go to him, I will.	NICO	 (in pain) Don't push me like this -- Her eyes meet his -- loving, but desperate.	SARA	 Branca can put us on a plane -- but where can we fly to? Tibet? The moon? There's nowhere they can't find us.	NICO	 You don't know what the hell you're talking about.	Above the Law 
NICO	 You know I can't go to him. Sara takes both his hands in hers.	SARA	 Do you know why I love you? Do you know what it is about you that I've always loved? (as Nico fights his own emotion) Pride. It's what you have inside. You don't live the way other people live. You trust what you see as right and won't let anyone or anything make you stray from it.	SARA (O.S.)	 But now that pride may kill all of us. (beat) You've got to swallow that pride, Nico. Choke on it if you have to. Lay it aside.	339   ANOTHER ANGLE - NICO AND SARA	 Close together, with their baby between them. Sara buries her face against her husband's chest. Nico's arm	Above the Law 
NICO	 Kurt Zagon.	FREDERICO LARUSSO	 -- As long as this Zagon lives, nothing I can do will guarantee your family's safety. (beat) 'Ecce non uomine, ecce bestie.' You know Dante? (translates) 'These are not men, these are animals.'	FREDERICO LARUSSO	 Memorize this address.	FREDERICO LARUSSO	 Have you got it in your mind? Nico nods.    Larusso tears the paper into tiny shreds.             *	Above the Law 
FREDERICO LARUSSO	 Thank you, Mr. Carlucci. I trust you will give my love to my niece, Rosa.	NICO	 I will do that, Mr. Larusso. (sincerely) I hope you will be well.	350   LARUSSO	 nods: "Bene." Then: without a word he turns and exits			Above the Law 
FOX	 Close range, huh? Never work. Place is rigged, scanned every 35 seconds.	NICO	 (back still turned) I was thinking of a mine on the roof. Remote-triggered, when the chopper comes in.	FOX	 Roof's wired too.   Sensors every fifteen feet. Fox's finger rests ready on the trigger.	FOX	 You can turn now.   Slowly.   Slooowly... Nico turns. We see Fox clearly now. His boyish features have weathered since his "spook" days in Vietnam. There is grey in his hair now: he wears an expensive suit and is alone.	Above the Law 
FOX	 Getting a bit of a tire.	NICO	 (indicates Fox's suit) Your own tailor?	FOX	 Hong Kong.	NICO	 You've gone a long way. Fox motions for Nico to dump his gun; Nico complies, dropping it gently into the briefcase. Nico takes half a step toward Fox. Fox shakes his head in warning.	Above the Law 
NICO	 You've gone a long way. Fox motions for Nico to dump his gun; Nico complies, dropping it gently into the briefcase. Nico takes half a step toward Fox. Fox shakes his head in warning.	FOX	 Uh uh.  Uhhh-uh... (motions Nico back) I know what you can do when you get too close to a man.	367    CLOSEUP - NICO                                                  *		NICO                                    *		Above the Law 
FOX	 Why not?   The Romans did.	NICO	 (to Fox, watching the guests) Are we the Romans?	FOX	 We're an empire too.	FOX	 Would you rather spoon borscht and quote Lenin? (losing patience) I'm trying to save you, asshole! I got a spot for you. Thailand, deep under, no names, no numbers --	Above the Law 
NICO	 (presses closer) We've wiped out entire fucking countries. And not one agent --	FOX	 (moves gun into Nico's view) Stop right there!	NICO	 (doesn't stop) -- not one C.I.A. agent has ever been tried or convicted, much less accused of any crimes. (closer still) You motherfuckers think you're above the law -- (right in Fox's face) Well, you ain't above mine. Nico holds himself, trembling with intensity. At that moment -- O.S. from the garage entrance ramp: the SQUEAL			Above the Law 
FOX	 (moves gun into Nico's view) Stop right there!	NICO	 (doesn't stop) -- not one C.I.A. agent has ever been tried or convicted, much less accused of any crimes. (closer still) You motherfuckers think you're above the law -- (right in Fox's face) Well, you ain't above mine. Nico holds himself, trembling with intensity. At that moment -- O.S. from the garage entrance ramp: the SQUEAL					Above the Law 
NICO	 Well... well.    What a team we have here.	ZAGON	 (calls, friendly) We've been looking for you, Nelson.    I see you've found our friend.	NICO	 Thanks for the help, Fox.	FOX	 I didn't bring him, Nico.    I swear it!	Above the Law 
ZAGON	 Have you two been sharing fond memories? Reminiscing about the good old days?	FOX	 Stay still! (to Nico) Don't fucking move!!	EVENING GOWN WOMAN	 (grabs her husband's arm) Jack --	ZAGON	 Bring in our friend, Nelson. Salvano's muzzle covers Fox and Nico --	Above the Law 
FOX	 Stay still! (to Nico) Don't fucking move!!	EVENING GOWN WOMAN	 (grabs her husband's arm) Jack --	ZAGON	 Bring in our friend, Nelson. Salvano's muzzle covers Fox and Nico --	ZAGON	 Be a good boy --	Above the Law 
FOX	 Dive, Nico!! He FIRES -- at Salvano! In the same instant, Salvano pulls his own trigger! Salvano's MACHINE GUN BURST cuts Fox down, a milli-second before Fox's .45 SLUG BLOWS Salvano off his feet! Pandemonium. Fox, dying, slings his .45 to Nico, who snatches it from the ground just as a HAIL of MACHINE GUN FIRE THUNDERS around him. Nico dives headlong behind a concrete column, which is instantly chewed to shreds by GUNFIRE. Zagon FIRES his MAC-10 on full automatic. A second agent hurries forward to outflank Nico. Nico pops from behind the column, DRILLS the agent broadside behind the ear, blowing the whole side of his head off! Guests and valets are shrieking in terror, hitting the deck in clusters, clawing and scrambling over each other for safety.	ZAGON	 (to first agent, advancing) Move! Nico springs from cover, FIRING, trying to bolt down the garage ramp, toward the lower levels. His path puts the first agent directly in Zagon's line of fire. Zagon doesn't hesitate; he OPENS UP on Nico, cutting down his own man -- Salvano has gotten to his feet, wounded, but still handling his gun. He  joins Zagon, rushing forward --	373   RAMP TO LOWER LEVELS	 A valet rounds a corner, unsuspecting, bringing up a car. Nico is on him like a cat, tearing the poor boy from behind the wheel, leaping in --	374    ZAGON AND SALVANO	 tear around the corner at the top of the ramp.    Both OPEN FIRE as --	Above the Law 
386   TWO UNIFORMED HOTEL SECURITY GUARDS	 hurtle around the corner from the escalators, guns drawn.	FIRST SECURITY GUARD	 (shouts to Zagon) You there --	387   NICO - OUT OF CAR		388   ZAGON'S KNIFE		Above the Law 
406   ZAGON		ZAGON	 We've got an hour before the honorable senator. (hands towel to pistol agent) You've got to learn to take time, smell the roses.	NICO	 How are you gonna do him, Zagon? In a motorcade? Or passing through a hotel kitchen? The Noose agent jerks his cable tight, making Nico gag and choke. Zagon motions to slacken off. He stops at a small table before Nico -- unrolls a well-worn felt pouch. Zagon watches Nico's reaction as the tools of the inter- rogator's trade come into view -- drug vials, syringes, scalpels, surgical tools.	ZAGON	 I've used these little beauties many times to extract information -- (lifts a needle to the light) -- This'll be the first time I've ever used them... just for fun.	Above the Law 
NICO	 How are you gonna do him, Zagon? In a motorcade? Or passing through a hotel kitchen? The Noose agent jerks his cable tight, making Nico gag and choke. Zagon motions to slacken off. He stops at a small table before Nico -- unrolls a well-worn felt pouch. Zagon watches Nico's reaction as the tools of the inter- rogator's trade come into view -- drug vials, syringes, scalpels, surgical tools.	ZAGON	 I've used these little beauties many times to extract information -- (lifts a needle to the light) -- This'll be the first time I've ever used them... just for fun.	ZAGON	 (to agents) Take his arms. Pistol agent and Bad Dude move in, one on each side,         * seizing Nico's forearms. Shotgun agent holds his weapon tight to Nico's head.	ZAGON	 Hold him up! Pistol agent and Bad Dude lift Nico. Zagon slams him again. Again. Nico's cheekbone is broken; blood drains from his nose. Zagon aims a two-handed blow; backhands Nico, crushing the other side of his face! Zagon backs off, chest heaving. Pistol agent and Bad Dude plop Nico back in the chair, gagging, choked by the noose. Nico looks like the Viet prisoner -- the one we saw in the opening sequence. Like the prisoner, Nico takes his beating -- still conscious, still meeting Zagon's eyes with defiance.	Above the Law 
413    LUKICH AND NEELEY                                               *	 reach Nico and Jackson.	LUKICH	 (shouting for anyone) Is there a hotel doctor?    Call 911!	414   NICO	 passes out in Jackson's arms. Behind them we see a banner, announcing Senator Harrison's address. From the ballroom we hear CHEERS and APPLAUSE. A fiery address is being finished inside. The senator is now leaving.	415   FULL SHOT - LOBBY		Above the Law 
419    ANGLE FROM INSIDE HOUSE - THROUGH FRONT WINDOW	 Harrison and Alspaugh fend off the questions, cross the path and mount the steps to the house.	T.V. REPORTER (O.S.)	 (in front of house) -- Senator Harrison has today issued a statement calling for the					Above the Law 
ANCHOR (V.O.)	 Earlier this week, the Harrison Commission delivered its report on the growing C.I.A. scandal to Congress...	SENATOR HARRISON (V.O.)	 (on TV) -- officially-sanctioned deceit, murder and corruption, will continue until these men are brought to justice.	422   NICO                                                        *	 looks up as the real Senator Harrison, Judge Alspaugh and   * the others enter the room. TV SOUND DOWN. Harrison stops before Nico, taking a moment to look with respect and ad- miration at the man propped up on the pillows.	SENATOR HARRISON	 Detective Toscani. I wanted to personally thank you. You are making it possible for a sliver of truth to finally come out.	Above the Law 
JUDGE ALSPAUGH	 Are you sure you're feeling well enough? Nico glances to Sara, to the supporting faces around              * him. Lukich. Neeley. Strozah. Jackson. The others.                *	NICO	 (to Alspaugh) If you're ready to listen, I'm ready to talk.	423   CLOSE - STENOGRAPHER'S HANDS	 As the Judge's VOICE begins OVER, "slating" the depo- sitions, the stenographer's fingers start moving.			Above the Law 
