KAUFMAN	 - The-position-ds-Staff-^Neurologist.            . Sayer looks like a man who's just learned that everything he * knows about the world is wrong.         f	DIRECTOR	 (pause) A doctor ... doctor. The Director refers to stapled sheets of paper in his hands, Sayer's resume.	DIRECTOR	 The Camel Institute. Tell me                                * about that, anything with patients                          * there? Or . . .                                             *	SAYER	 (burying it) Earthworms. The Director isn't sure he heard right.	Awakenings 
MISS COSTELLO	 That was lovely.                  '.	LUCY	 ,               I learned that song a long, long (\_y             time ago.	196B.CONT.                                                                       196		LUCY	 I know what year it is . .      . I ju st ca n' t i ma gin e be i ng o lde r th an tw e nt y- t wo , I h a veno e xper ience at i t. (pause) I know it's not 1926 . . .         I just need it to be.	Awakenings 
196B.CONT.                                                                       196		LUCY	 I know what year it is . .      . I ju st ca n' t i ma gin e be i ng o lde r th an tw e nt y- t wo , I h a veno e xper ience at i t. (pause) I know it's not 1926 . . .         I just need it to be.	196C . I NT. PH ARM ACY - N IGH T                                                196C		MRS. LOWE	 When my son was born healthy, I never asked why. Why was I sp lucky, what did I do to deserve this perfect child, this perfect life? - Silence. Her face toughens.	Awakenings 
REV. 10/2/89		PAULA	 .. I worked . . . I had friends (p             over . . . I went dancing . . . that's about it . . . Leonard, ticcing, nods, smiles through his grimace, imagining those things.	PAULA	 I know, I should do something with my life.	LEONARD	 Like what? Those are great things. I've never done any of those things.	Awakenings 
PAULA	 I can see it. Silence. As much as Leonard wants to say "I love you," he knows he cannot, that it would be ludicrous. Instead:	LEONARD	 Goodbye. He ho lds out o ne of his sh aking han ds to her. S he reach es to it, places her hand on it, holds it, and the shaking slowly, slowly, slowly begins to subside. She lifts him gently out of his wheelchair and leads him away    * from the table. She arranges his arms in such a way that he is sort of holding her and begins to slowly dance with him. (REV. 10/16/89) Pink p. 10 199. CONT.                                                 .                             199. Some patients glance      up from their       food.        Ser   vers glance up CO   f rom their work . All     watc h wi th a    sort o    f    re   verie the coup le dancing without music     . They watch        as Leo   n   ard   's tics gradually disappear. They watc      h as he finds      a sens    e    of    grace and ease, as he borrows her gra     ce and ease.        They w   a   tch    him become, simply, a man dancing      with a woman     . From somewhere, perhaps imagined, there is music, a quiet melody played on a piano.					Awakenings 
OQ	 L EONARD (FILM )      . (T~^\             My name is Leonard Lowe. It has been explained to me that I have been away for quite some time. Tight on Sayer,- alone in the darkened room, watching the footage, watching Leonard wrestling with the thought.	LEONARD (FILM)	 I'm back. Light moves across the screen. Someone has entered. Miss Costello. She exchanges a long glance with Sayer before they both look back to the screen.	LEONARD (FILM)	 I thought it was a dream at first. Silence except for the sound of the projector.   Then -			Awakenings 
LEONARD (FILM)	 When I spoke and you understood me. One tear snakes down Saver's cheek. The film cuts to silent footage of Leonard, soon after his awakening, combing his hair and delighting in the fact that he cjan comb it. Quietly, without looking at Miss Costello --	SAYER	 You told him I was a kind man ... (long pause) It's kind to give life only to take it away? There is self-loathing in his voice. On the screen, Leonard's trying to operate an electric shaver that seems alive.	MISS COSTELLO	 It's given and taken away from all of us. On screen, Leonard buttons buttons on his shirt and glances up smiling, proud. Tight on sayer in the dark room, the projector light flickering behind him. More to himself --	SAYER	 Why doesn't that comfort me? 3	Awakenings 
SAYER	 Why doesn't that comfort me? 3	MISS COSTELLO	 (quietly) Because you are kind. (pause) And because he's your friend. On screen, Leonard is beckoning to someone unseen. No one appears but he keeps beckoning. Finally Sayer, embarrassed and camera shy, appears. Though there is no sound, it is clear he asks, "What?" Leonard turns the doctor so that he is facing the camera, and points. Sayer again asks, "What?" "There," Leonard says. "Where?" Sayer demands. Finally, Sayer looks directly, curiously, into the camera. Rolando's music CONTINUES OVER:                                           )					Awakenings 
FERNANDO	 You got a minute?	DR. TYLER	 (not really) What is it? Fernando arrives, leans against the corridor wall, and sort of mumbles --	FERNANDO	 You know that woman in Ward 7 . . . Grace, uh ... what's her last name ... Grace ...	DR. TYLER	 (annoyed) Does it matter, Fernando? Sayer and Leonard walk slowly past, behind Tyler.          Fernando's eyes briefly meet Sayer's.	Awakenings 
FERNANDO	 You know that woman in Ward 7 . . . Grace, uh ... what's her last name ... Grace ...	DR. TYLER	 (annoyed) Does it matter, Fernando? Sayer and Leonard walk slowly past, behind Tyler.          Fernando's eyes briefly meet Sayer's.	FERNANDO	 . . . no . . . I guess not . . .			Awakenings 
211B.C0NT.                                                                         211	 He h old s h is han d up wh ile he tr ies to cat ch his bre ath . She s ta re s a t him , co nce rn ed pe rh aps s ome th in g h as ha pp en ed to Leonard.	SAYER	 Nothing ... (he casts around) No , I was wo nde rin g . .. W hat ar e y o u d o i n g ? Y o u pr o b a b l y h a v e plans . . . or . . .	M ISS C OSTE LLO	 No, I ' m just -	SA YER	 Because I was wondering . . . m aybe ... you h ave n o pla ns .. .?	Awakenings 
MIS S COS TELL O	 I ha ve no -	S AY ER	 Because -I -was -wondering, ..maybe . . .           . you'd . . . we . . . could . . . (grasping for an idea) I do n' t kn ow , go g et a c up    . o f cof fee somew here ... t ogeth er or	SAYER	 ... Maybe we could just . . . go for a walk ... ? He shrugs. That's the best he can do. A slow, slow smile crosses her face.	MISS COSTELLO	 I 'd be delighted.	Awakenings 
'                *		LEONARD	 I have to be leaving. (having trouble with the words) I want to th-ank you. You've been very kind to me.	HECTOR	 Leave? You're our guest, we got dinner coming. We're having something to eat. His wife agrees with a couple of words in Spanish as she gets              * up and crosses toward the kitchen.    .	HECTOR	 Stay with us.	Awakenings 
HECTOR	 Stay with us.	LEONARD	 I can't. And he can't explain why. He takes the crumpled wad of money               * (and paper) from his coat pocket and tries to give it to Hector again.	HECTOR	 Hey -	LEONARD	 It has no value to me, believe    ; me.	Awakenings 
HECTOR	 At least let me give you a lift wherever you're going.	LEONARD	 No, I think I ' d like to walk.       . (to Hector's wife) Thank you. She nods, Your welcome, from the doorway of the kitchen. Leonard offers his hand to Hector to shake.	HECTOR	 What's wrong with you, Len?	222.CONT.              LEONARD                                       222	 (pause) This is good, what you've got here.	Awakenings 
HECTOR	 What's wrong with you, Len?	222.CONT.              LEONARD                                       222	 (pause) This is good, what you've got here.	HECTOR	 I know that. Leonard smiles; the man does know it, and appreciates it.	LEONARD	 Bye.	Awakenings 
SAYER	 I ' m sorry to wake you, but there's someone here to see you. Leonard remains still. "Asleep." And there's a long silence broken only by the sound of pages being turned. And then, from Dickens' "The Old Curiosity Shop" --	PAULA	 (reading) "Night is generally my time for walking. In the summer, I often leave home early in the morning and roam about fields and lanes.: ' "^             all day. Or even escape for days or weeks together . . . Leonard is unable to acknowledge in any way that he recognizes the words or her voice . . . but he does. And as she reads, the words become alive and the walls recede ...	PAULA	 "But saving in the country, I seldom go out until after dark, though Heaven be thanked, I love its light and feel the cheerfulness it sheds upon the earth as much as any creature living . . . " And he is moving into the light.			Awakenings 
