VANESSA	 Austin!	AUSTIN	 (sheepish) Well, you know.	VANESSA	 Hey, I've never seen that big star before.	AUSTIN	 Yeah, what is that?	Austin Powers - The Spy Who Shagged Me 
FELICITY	 Are you happy?	FAT BASTARD	 Of course I'm not happy. Look at me, I'm a big fat slob. I've got bigger titties than you do! I've got more (bleep)in' chins than a Chinese phone book.  I've got more crack cheese than a (bleep)in' dairy. I've nay seen ma willie in two years. That's enough time to declare it legally deed! I can't stop eating. I eat because I'm unhappy and I'm unhappy because I eat. (starts to cry) I'm caught in a cycle and there's no escape!	AUSTIN	 Maybe inside that Fat Bastard there's a thin bastard, trying to get out	FAT BASTARD	 Maybe there's big crap inside me trying to get out, jack-ass!  Enough of your (bleep)in' new age aphorisms. Listen, I've run the gamut of self- help books.  "Food isn't love", right, but how do you get it from the page to the (bleep)in' fork?  I'm so weak, I hate myself. I'm for shite. Here, take the mojo.	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Maybe inside that Fat Bastard there's a thin bastard, trying to get out	FAT BASTARD	 Maybe there's big crap inside me trying to get out, jack-ass!  Enough of your (bleep)in' new age aphorisms. Listen, I've run the gamut of self- help books.  "Food isn't love", right, but how do you get it from the page to the (bleep)in' fork?  I'm so weak, I hate myself. I'm for shite. Here, take the mojo.	FAT BASTARD	 I appreciate you trying to reach me, no one can do it for me, I know this now.  There's a hole in my soul that food won't fill. This is the beginning of a new me. I'm gonna go to the gym everyday. If you'll excuse me, there's someone I have to get in touch with and forgive... myself. (pause) Sorry. I farted. (pause) It's a long road ahead.			Austin Powers - The Spy Who Shagged Me 
PRESIDENT	 I'm sorry, I just can't hear you.	DR. EVIL	 (louder) How about now?	PRESIDENT	 Better.	DR. EVIL	 The Capital will be destroyed-	Austin Powers - The Spy Who Shagged Me 
PRESIDENT	 Sorry! I just can't- I think it's that alarm.	DR. EVIL	 Could someone shut off that frickin' alarm? I'm trying to hold the free world hostage here. Honestly. (shouting)	WILL DESTROY WASHINGTON DC UNLESS		YOU PAY ME-		Austin Powers - The Spy Who Shagged Me 
YOU PAY ME-		DR. EVIL	 (shouting)	100 BILLION DOLLARS!		PRESIDENT	 Please Dr. Evil, be reasonable. That's more money than is in the entire Federal Treasury!	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 (holding his gun on Dr. Evil) Alright, slap-head, turn around. Slowly.	DR. EVIL	 Aren't you forgetting something?	AUSTIN	 Felicity! (to Dr. Evil) What have you done to her?			Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 Aren't you forgetting something?	AUSTIN	 Felicity! (to Dr. Evil) What have you done to her?	DR. EVIL	 Don't worry, she's not dead... yet.	FELICITY	 (muffled through glass) Don't worry about me Austin. You've got to save the world!	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 Don't worry, she's not dead... yet.	FELICITY	 (muffled through glass) Don't worry about me Austin. You've got to save the world!	DR. EVIL	 It looks like you have a choice, Powers: save the world, or save your girlfriend.	AUSTIN	 I've got my mojo back, man, I can do both.	Austin Powers - The Spy Who Shagged Me 
FLASHBACK - MONTAGE		AUSTIN	 I love you, Felicity! I know I couldn't say it before, but I really do love you! (enraged) Dr. Evil, I'll kill him!					Austin Powers - The Spy Who Shagged Me 
AUSTIN	 I have to commandeer this vehicle. (noticing) Hey, aren't you Hutch?	VOICE (O.S.)	 No.	PAUL MICHAEL GLASER	 I'm Starsky.			Austin Powers - The Spy Who Shagged Me 
AUSTIN	 I'm going to kill you, you bastard!	DR. EVIL	 (breathing heavily) Before you do that, know this: Austin, I am... your... father.	MUSIC: DRAMATIC STING		AUSTIN	 Really?	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Felicity, I love you.	FELICITY	 (breathless) But I thought-	AUSTIN	 That was another place and another time, baby.	FELICITY	 (gasping) Can't. Breathe.	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 That was another place and another time, baby.	FELICITY	 (gasping) Can't. Breathe.	AUSTIN	 Sorry, baby, I got a little over- stimulated.	DR. EVIL	 Fire the laser!	Austin Powers - The Spy Who Shagged Me 
FELICITY	 Austin, you did it!	AUSTIN	 Uh-oh. (beat) I think I just got my mojo back. Really.	FELICITY	 Austin, you had it all along. No one can take your, mojo away from you!	DR. EVIL	 Good-bye, Mr. Powers, for the last time.	Austin Powers - The Spy Who Shagged Me 
ROD STEWART	 Yes, Rachel?	RACHEL HUNTER	 (pointing to sky) What's that?	ROD STEWART	 (looking up) It looks like a giant-			Austin Powers - The Spy Who Shagged Me 
RACHEL HUNTER	 (pointing to sky) What's that?	ROD STEWART	 (looking up) It looks like a giant-					Austin Powers - The Spy Who Shagged Me 
CAPTAIN PETERS	 We've picked up his signal, but the lunar base seems to self-destructing.	BASIL EXPOSITION	 (on microphone) Austin, if you can hear me, use the time portal! There's no time to get to the lunar module! Use the time portal!					Austin Powers - The Spy Who Shagged Me 
