MANETTA	 Anyway, Carlo Gambino came out of it capo de tutti capi, and that was the last time the whole commission tried to meet -- until now.	VITTI	 (brooding) I don't know. I don't like it. What do we need a meeting for? Let everybody worry about their own business.	MANETTA	 The '57 meeting was about how we were going to divide up the whole country. This meeting is about how we're gonna survive. You got 'made' guys informing for the Feds; bosses going to jail; everybody's dealing drugs; people are getting whacked without permission. And on top of everything, now we got the Chinese Triads and these crazy Russians to deal with. Everything's changing. We need a leader. Someone with fresh ideas. Someone like you. It's gonna be a new century, Paul. We gotta change with the times.	VITTI	 What are we gonna get, a fuckin' web site?	Analyze This 
JELLY	 My ears are sealed.	VITTI	 (to Ben) Okay, listen. I had a really weird dream last night.	BEN	 I feel like I'm having one right now. How could you interrupt our party?	VITTI	 You know, you're very rigid about certain things.	Analyze This 
JELLY	 Sorry.	VITTI	 (to Ben) What's it mean? And I don't want to hear any more filth about my mother.	40B   CONTINUED:                                                       40B		BEN	 I don't know what it means.   What does it mean to you?	Analyze This 
40B   CONTINUED:    (2)                                                  40B		VITTI	 (to Scott) Why don't you look over that way before I have to bust your fuckin' head open?					Analyze This 
SCOTT	 (quietly, to Ben) Nod your head and smile. Now, you listen to me, goombah. I know what your game is, and you'd better call it quits, because if you and your paisans do anything to hurt my little girl, I'll kill you. Understand? Nod and smile.	LAURA	 (sotto) What was that about?	BEN	 Nothing. Your father thinks I'm in the Mafia.	LAURA	 Oh.	Analyze This 
VITTI	 (urgently, to Jelly) Tell Mikey to take Marie and the kids right to the airport. (to Jimmy) You get the car, bring it around to the back and wait for me.	BEN	 That's it.   I've had it with you!	VITTI	 What happened?			Analyze This 
BEN	 You're telling me it was suicide?	VITTI	 (to Jelly) I think he left a note. Jelly, did they find that note?	JELLY	 No, but they will in a minute.	BEN	 Oh, yeah, here it is.	Analyze This 
50   CONTINUED:                                                       50		BEN (CONT'D)	 (picks up a slip of paper, pretends to read) 'Life is bullshit. I can't fuckin' take it no more. Tino.'	VITTI	 Enough talking. We got to get out of here. The place is crawling with feds. I'm going back to New York and I suggest you do the same. They're probably onto you too now.	BEN	 Onto me? What are you talking about? Being an accessory to murder was not part of our understanding.	Analyze This 
BEN	 Onto me? What are you talking about? Being an accessory to murder was not part of our understanding.	VITTI	 Hey, why you busting my balls? I didn't kill him. I can't speak for everyone in the room, but -- (he looks at Jelly) The son-of-a-bitch came after me! It was self-defense. Trust me, Doc. In this one, we're the good guys.	BEN	 Laura!	LAURA	 (distraught, to Vitti) How could you do that?	Analyze This 
BEN	 Laura!	LAURA	 (distraught, to Vitti) How could you do that?	VITTI	 Great.  Another country heard from. (sotto voice to Ben) Get her outta here.	BEN	 Honey, why don't you wait downstairs?	Analyze This 
LAURA	 (distraught, to Vitti) How could you do that?	VITTI	 Great.  Another country heard from. (sotto voice to Ben) Get her outta here.	BEN	 Honey, why don't you wait downstairs?	50   CONTINUED:    (2)                                                  50		Analyze This 
50   CONTINUED:    (2)                                                  50		LAURA	 Why, they're going to throw me off the balcony, too? (to Vitti) I am thirty -- over thirty years old and all my life I have dreamed of walking down the aisle in a beautiful white dress and marrying the man I love.	VITTI	 That's a beautiful dress.	LAURA	 Thank you, but it's not about the dress! We were supposed to get married!	Analyze This 
VITTI	 You're upset.	LAURA	 Of course I'm upset! (to Ben) I'm going downstairs to pack, then I'm going to New York and I'm getting married with you or without you. Okay?	BEN	 I'll be right there. (walks her to the door) Everything's going to be all right. I promise.	BEN	 Are you happy now?      You ruined my life!	Analyze This 
LAURA	 Of course I'm upset! (to Ben) I'm going downstairs to pack, then I'm going to New York and I'm getting married with you or without you. Okay?	BEN	 I'll be right there. (walks her to the door) Everything's going to be all right. I promise.	BEN	 Are you happy now?      You ruined my life!	VITTI	 What, you think I wanted this? I'm the victim here! I swear, I'm going to kill that son-of-a-bitch!	Analyze This 
MOONY	 Primo. You got a phone call. It's Paul Vitti.	SINDONE	 (warily) Vitti. (picks up the phone) Hello?					Analyze This 
51     CONTINUED:    (2)                                                  51		VITTI (CONT'D)	 (loses it) -- and if you make one more move on me I swear to God I'll cut your fuckin' balls off and shove 'em up your ass!	SINDONE	 Vaffancul'!	SINDONE	 Get a dictionary and find out what this 'closure' is. If that's what he's hitting us with, I want to know what the hell it is.	Analyze This 
MICHAEL	 It's almost as tall as the house!	BEN	 (reads the card) He felt bad. It's a wedding gift.	LAURA	 Well, we're not married, so I guess we'll have to send it back.	BEN	 Hey, don't blame me. You didn't want to finish the ceremony.	Analyze This 
AGENT STEADMAN	 (showing his badge) Doctor Sobol, Mrs. Sobol -- I'm Agent Steadman, Agent Ricci, Agent Provano, Federal Bureau of Investigation, O.C.D.	BEN	 (stunned) Obsessive-compulsive disorder?	AGENT PROVANO	 Organized Crime Division. We need to talk.	MICHAEL	 The FBI! This is better than the fountain!	Analyze This 
MICHAEL	 Fine. I can hear better in there anyway.	BEN	 (a beat) So.   FBI.	AGENT STEADMAN	 Can you explain these photographs, Doctor Sobol?	BEN	 I'm a psychotherapist.    Paul Vitti is my patient.	Analyze This 
LAURA	 Too bad you didn't remember that when you were breaking in.	BEN	 (as he goes) Honey, maybe the federal agents would like something to drink? Could you see what we have?	LAURA	 (firmly) No.	BEN	 (to the Agents) I tried, guys.	Analyze This 
BEN	 (as he goes) Honey, maybe the federal agents would like something to drink? Could you see what we have?	LAURA	 (firmly) No.	BEN	 (to the Agents) I tried, guys.			Analyze This 
LAURA	 (firmly) No.	BEN	 (to the Agents) I tried, guys.					Analyze This 
BEN	 Yeah, but she and Michael are spending some time alone, you know, getting to know each other. That's important. I don't want to disturb that dynamic.	DOROTHY	 (a beat) So you're not going to invite us in?	BEN	 (a beat) No.	62   CONTINUED:                                                       62		Analyze This 
DOROTHY	 (a beat) So you're not going to invite us in?	BEN	 (a beat) No.	62   CONTINUED:                                                       62		DOROTHY	 (insulted) Well, I'm going to wait in the car. There's too much spray.	Analyze This 
62   CONTINUED:                                                       62		DOROTHY	 (insulted) Well, I'm going to wait in the car. There's too much spray.	ISAAC	 All right. What's with you and Paul Vitti?	BEN	 Well, Dad, I'm not at liberty to discuss that.	Analyze This 
BEN	 Didn't you read your own book? Instead of trying to run my life, why don't you just close your eyes, take a deep breath, tell me what you feel, tell me what you want.	ISAAC	 (uncomfortable) This is bullshit.	BEN	 You wrote it.	62   CONTINUED:    (2)                                                62		Analyze This 
62   CONTINUED:    (2)                                                62		ISAAC	 Okay. (with difficulty) I love you -- and I'm afraid for you -- I want you to be safe -- and I want you to have a good life.	BEN	 (deeply touched) Is that really it?	ISAAC	 That's it.	Analyze This 
ISAAC	 Okay. (with difficulty) I love you -- and I'm afraid for you -- I want you to be safe -- and I want you to have a good life.	BEN	 (deeply touched) Is that really it?	ISAAC	 That's it.	BEN	 You know why I became a shrink? Because I grew up with a great one walking around the house.	Analyze This 
BEN	 No. If he said anything about a bloodbath, I probably would've remembered it. Bloodbath is one of those words that, you know, stands out in a conversation.	AGENT STEADMAN	 (gathering photos) You could really help us out by supplying information about that meeting.	BEN	 And if I don't?	AGENT STEADMAN	 If you don't, I will personally make your life a living hell. I want you to think about that and call me at this number when you change your mind.	Analyze This 
AGENT STEADMAN	 I mean when.	LAURA	 (tough) Okay. Guess what, fellas? You don't scare me.	BEN	 Laura --	LAURA	 Sit down! (to the Agents) There's going to be a bloodbath. Oh, yeah. Only it's going to be between you and me. You think you can break into our home and intimidate us? That ain't the way it works here, boys. Whatever he and Paul Vitti talked about is privileged. He doesn't have to tell you a thing.	Analyze This 
BEN	 Laura --	LAURA	 Sit down! (to the Agents) There's going to be a bloodbath. Oh, yeah. Only it's going to be between you and me. You think you can break into our home and intimidate us? That ain't the way it works here, boys. Whatever he and Paul Vitti talked about is privileged. He doesn't have to tell you a thing.	63   CONTINUED:    (2)                                                 63		LAURA (CONT'D)	 Tarasoff vs. The University of California. Look it up. Now, if he's done something wrong, take him downtown and book him. Otherwise, I'll ask you very kindly to get the hell out of my house.	Analyze This 
AGENT STEADMAN	 We'll be in touch.	BEN	 (impressed) Laura, that was really --	LAURA	 (furious) Oh, shut up!	MICHAEL (V.O.)	 You are in trouble.	Analyze This 
BEN	 (impressed) Laura, that was really --	LAURA	 (furious) Oh, shut up!	MICHAEL (V.O.)	 You are in trouble.			Analyze This 
BEN	 That's not the point.   It's a boundary issue.	VITTI	 Boundary issue? I say if more people gave from the heart, we'd all be better off. Let's see your watch. (as Ben shows his wrist) Piece of junk. You're getting a Rolex.	BEN	 Don't buy me a Rolex.	VITTI	 Who said anything about buying it?	Analyze This 
VITTI	 Could we stop talking about my father?	BEN	 (losing it) That's the whole point! We have to start talking about your father. You know what it's like dealing with you? This is you. (imitating Vitti) You gotta help me, Doc. I'm a mess. I'm in pain. (as himself) Okay, Paul, I can help you. (as Vitti) Fuck you. Nobody helps Paul Vitti.	VITTI	 Very good. Now I'll do you. 'Boo-fuckin'-hoo.' I never said this would be easy. Let's see how you like it. Let's talk about your father.	BEN	 Let's not.	Analyze This 
VITTI	 What kind of work does he do?	BEN	 (a beat) That's not important.	VITTI	 You paused.	BEN	 What?	Analyze This 
66    CONTINUED:    (3)                                                 66		BEN	 We have three days left. If you want to spend it screwing around, I can't help you. (hailing a taxi) Call me when you're ready to get serious.	VITTI	 Say hello to your father for me!			Analyze This 
POTATOES	 Is the sidewalk holy, too? I mean, where does the holiness end?	HANDSOME JACK	 (thinks) I don't know. Second Avenue?					Analyze This 
MASIELLO (V.O.)	 If you don't do it, somebody else will. It's the only way.	VITTI (V.O.)	 (after a beat) I'll kill 'em.					Analyze This 
JELLY	 Sit up front with Jimmy.	BEN	 (anxiously) You want me to sit in front? Paul usually sits in front.	73   CONTINUED:                                                        73		JIMMY	 So this time you'll sit up front. Why you making a federal case?	Analyze This 
JIMMY	 So this time you'll sit up front. Why you making a federal case?	BEN	 (getting in the car) Federal case? I'm not making a federal case? Let's go.					Analyze This 
BEN	 (prattling nervously) Wow, this is really good. Delicious. I love Italian food. I've never been to Italy but I'd love to go. I've been to France. And Jamaica. That's nice, but I'm sure it's very different from Italy. A whole different, uh -- (silence) So what's everybody doing this summer?	VITTI	 This is Ben. He's a friend of mine. (to Ben) Say hello to Carlo Mangano.	MANGANO	 How you doin'?	VITTI	 (to Ben) Carlo was on my father's crew. He's always been like a -- I don't know -- like a cousin to me.	Analyze This 
MANGANO	 How you doin'?	VITTI	 (to Ben) Carlo was on my father's crew. He's always been like a -- I don't know -- like a cousin to me.	MANGANO	 I am your cousin.	74   CONTINUED:                                                       74		Analyze This 
MANGANO	 Yeah, but --	VITTI	 Exactly. (to Ben) Don't repeat any of that to anyone.	BEN	 What? The first thing or the second thing?	VITTI	 That's Stevie Beef over there. I gotta go say hello to him for a second. (to Mangano) Come on.	Analyze This 
BEN	 What? The first thing or the second thing?	VITTI	 That's Stevie Beef over there. I gotta go say hello to him for a second. (to Mangano) Come on.	BEN	 Stevie Beef. Interesting name. When he was younger they probably called him Stevie Veal. (off no response) You guys come here often?	JELLY	 Paretti's has a very special meaning to Paul.	Analyze This 
VITTI	 That's Stevie Beef over there. I gotta go say hello to him for a second. (to Mangano) Come on.	BEN	 Stevie Beef. Interesting name. When he was younger they probably called him Stevie Veal. (off no response) You guys come here often?	JELLY	 Paretti's has a very special meaning to Paul.	76   CONTINUED:                                                        76		Analyze This 
JIMMY	 What's the big secret?	BEN	 (incredulous) Wait a second. Paul's father was murdered?	JIMMY	 Right at that table.   With his whole family there.	JELLY	 Hey, just shut up.	Analyze This 
BEN	 I have to talk to you -- in private.	VITTI	 (to Jelly and Jimmy) Leave us alone.	BEN	 Why didn't you tell me about your father?	VITTI	 What about him?	Analyze This 
SINDONE	 (studying the paper) I'd like to see a movie but there's nothing out there. It's all this shoot-'em-up action bullshit. I get enough of that at work.	MOONY	 That was our friend. He marked your guy at Paretti's.	SINDONE	 Yeah? Then let's make it the last supper. Jack?			Analyze This 
SINDONE	 Yeah? Then let's make it the last supper. Jack?	HANDSOME JACK	 You got it, Primo. (to Potatoes) Let's go.	78A   CONTINUED:                                                        78A		SINDONE	 (as they exit) Hey, Jack. Just for fun, tear out his heart and bring it to me.	Analyze This 
78A   CONTINUED:                                                        78A		SINDONE	 (as they exit) Hey, Jack. Just for fun, tear out his heart and bring it to me.					Analyze This 
BEN	 No really, it's all right.	JIMMY	 (pulls a gun) Get in the fucking car.	VITTI	 Do what he says.	BEN	 You know, we call this a transference neurosis. It's when the patient starts acting out his problems with his therapist instead of out in the world. It's usually considered a good sign. Not for me, in this case, but --	Analyze This 
VITTI	 (to Jimmy and Jelly) Leave us alone.	JELLY	 Sorry, Doc.    It's not personal, you know.	BEN	 Don't kid yourself, Jelly. It doesn't get more personal than this.			Analyze This 
BEN	 I think you do.	VITTI	 (puts the gun to Ben's head) It's over! Don't you get it? I took one chance and that's it.	BEN	 Okay. (as Vitti cocks the gun) Can I ask you one last question?	VITTI	 (a beat) What?	Analyze This 
VITTI	 (puts the gun to Ben's head) It's over! Don't you get it? I took one chance and that's it.	BEN	 Okay. (as Vitti cocks the gun) Can I ask you one last question?	VITTI	 (a beat) What?	BEN	 What did you order?	Analyze This 
BEN	 Okay. (as Vitti cocks the gun) Can I ask you one last question?	VITTI	 (a beat) What?	BEN	 What did you order?	VITTI	 What?	Analyze This 
BEN	 It's a simple question.    What was your father eating!	VITTI	 (after a long pause) Penne.	BEN	 Good.    And you.	VITTI	 Ravioli.	Analyze This 
BEN	 But you were mad at him.	VITTI	 (starting to hyperventilate) I killed my father.	BEN	 You didn't kill him, Paul. You were angry but you didn't kill him. That's the life he chose.	VITTI	 I never got to say good-bye.	Analyze This 
BEN	 You have to.   Tell him, Paul.	VITTI	 (breaks down) I'm sorry. I'm so sorry.	85   CONTINUED:    (5)                                               85		BEN	 It's okay, Paul. You can let go of it now.	Analyze This 
VITTI AND BEN		BEN	 (in a panic) Paul!   They're shooting!	JELLY		POTATOES		Analyze This 
RABBI	 Ben, do you take this woman, Laura, to be your lawfully wedded wife, for richer, for poorer, in sickness and in health, 'til death do you part, so help you God?	BEN	 (hissing) No!	RABBI	 Excuse me?	BEN	 No, not you.    I was talking to him.	Analyze This 
BEN	 Yes to the thing before. To her. That's a yes. Pick it up from there.	JELLY	 (to Ben) Doc, we're going to need to hurry it up here. (to Michael) Hi, kid.	LAURA	 I do not believe this!	JELLY	 (to the Rabbi) Haul ass, buddy. We got a problem.	Analyze This 
LAURA	 I do not believe this!	JELLY	 (to the Rabbi) Haul ass, buddy. We got a problem.	LAURA	 Who the hell do you think you are?	96A   CONTINUED:    (2)                                                 96A		Analyze This 
96A   CONTINUED:    (2)                                                 96A		JELLY	 (to Ben) Ooh, she's feisty. Watch out, Doc. (to the Rabbi) Tick tock, let's go. Hurry up and pronounce them, huh?	RABBI	 By the power vested me by the state of New York, I now pronounce you man and wife.	JELLY	 Okay.   Kiss, kiss --	Analyze This 
JELLY	 I'm sorry about this, Mrs. Sobol, but duty calls, you know?	LAURA	 (tearing up) Oh. You're the first person to call me Mrs. Sobol.	JELLY	 Nice, huh?	LAURA	 No.	Analyze This 
BEN	 Laura, I'm sorry. It's the job.	LAURA	 Go.  Just go. (to Jelly) Have him back here by the salad course or you're in serious trouble. Capiche?	JELLY	 You're a pistol. (to Ben) I like her.	ANGLE ON SCOTT AND BELINDA, ISAAC AND DOROTHY		Analyze This 
LAURA	 Go.  Just go. (to Jelly) Have him back here by the salad course or you're in serious trouble. Capiche?	JELLY	 You're a pistol. (to Ben) I like her.	ANGLE ON SCOTT AND BELINDA, ISAAC AND DOROTHY				Analyze This 
BEN	 Can't someone else in the family go for him? Tommy the Tongue? Louie the Lip? What about you? You go?	JELLY	 That would work except for one little detail. I'm a fucking moron. I'm known for it. (a beat) You have to go.	BEN	 Me?   You must be a moron.	100A   CONTINUED:                                                       100A		Analyze This 
STEADMAN	 (desperately) Which one is it?	AGENT PROVANO	 The black one.					Analyze This 
JIMMY	 (his shoulder bandaged) Just remember. That's a fuckin' $1200 Valentino suit. You spill anything on it, I'll mess you up good.	JELLY	 Shut up. You're making him nervous. If he gets nervous and fucks up, they'll kill him for sure. (to Ben) Let's go over it again.	BEN	 This is insane.	JELLY	 Mr. Vitti's been detained, apologies all around, blah, blah, blah. Then you say you're the new consigliere, and you're prepared to speak for Mr. Vitti.	Analyze This 
JIMMY	 Boy, this is some fuckin' plan.	JELLY	 Shut up. (to Ben) If you have to talk, just be vague. Can you do that?	BEN	 I'm a psychologist.   Believe me, I can be vague.			Analyze This 
VITTI	 How long you gonna sit there?	ANTHONY	 (shrugs) How long you gonna lay there?	VITTI	 I'm done.			Analyze This 
BEN	 (sotto voce) I can't do this. I'm telling you, I cannot do this.	JELLY	 Don't fucking whine! Whining's a dead giveaway. Come on! You're the consigliere, for Chrissake.	108   CONTINUED:                                                      108				Analyze This 
BEN	 These are the bosses? That one looks like my Uncle Max.	MANGANO	 (surprised) What's goin' on? Where's Vitti?	JELLY	 On his way.   Don't worry.	MANGANO	 What's he doin' here?	Analyze This 
MOONY	 I don't know.	BEN	 (to Jelly, borderline hysterical) I can't do this.	108   CONTINUED:    (2)                                                108		MOONY	 All right, gentlemen. I think we better start. We have a big agenda, so for now let's stick to the big issues. And it would help if you identify yourselves when you speak, since we don't all know each other, and we didn't think anybody would be into wearing any fucking name tags.	Analyze This 
SINDONE	 I'm Primo Sindone. They call me Sonny Long. It's good to see so many of the old faces here, and to welcome the new ones from all over the country. I see Frank Zello, and Joe Baldassare, but I'm a little disappointed to see that the head of our other New York family isn't here today. All I see is his man Jelly and some sawed-off little prick nobody knows.	JELLY	 (stands up, rattled) Yeah, well, the thing is Mr. Vitti has been detained and he sends his apologies for -- being detained -- and he apologizes for his -- detainment.	SINDONE	 Detained? What kind of bullshit is that? What's more important than this? As the host of this meeting, I take his not being here as a sign of disrespect to me and to all these other men, too, who came a long way to be here.	JELLY	 Mr. Vitti meant no disrespect. The thing is, he's not feeling well. He's sick and he -- didn't feel well --	Analyze This 
108   CONTINUED:    (3)                                                108		BEN	 (quietly) Jelly! We don't ever discuss Mr. Vitti's health outside the family. You know better.	SINDONE	 All right, who is this guy and what the fuck is he doing here?	BEN	 In answer to your first question, my name is Ben Sobol -- (off Sindone's look) -- leone. Sobboleone. They call me -- 'The doctor.' As for your second question. I'm here representing Paul Vitti. As his conser -- conghili --	Analyze This 
SINDONE	 All right, who is this guy and what the fuck is he doing here?	BEN	 In answer to your first question, my name is Ben Sobol -- (off Sindone's look) -- leone. Sobboleone. They call me -- 'The doctor.' As for your second question. I'm here representing Paul Vitti. As his conser -- conghili --	JELLY	 (prompting) Consigliere --	BEN	 (slaps him again) Don't you ever correct me again! As his consigliere, I'm intimately involved in all aspects of the family business and I'm prepared to speak for Mr. Vitti on all matters.	Analyze This 
BEN	 In answer to your first question, my name is Ben Sobol -- (off Sindone's look) -- leone. Sobboleone. They call me -- 'The doctor.' As for your second question. I'm here representing Paul Vitti. As his conser -- conghili --	JELLY	 (prompting) Consigliere --	BEN	 (slaps him again) Don't you ever correct me again! As his consigliere, I'm intimately involved in all aspects of the family business and I'm prepared to speak for Mr. Vitti on all matters.	SINDONE	 Okay, Doctor, then let's get down to business. Everybody knows there's been this thing between me and Paul Vitti for a long time.	Analyze This 
JELLY	 (prompting) Consigliere --	BEN	 (slaps him again) Don't you ever correct me again! As his consigliere, I'm intimately involved in all aspects of the family business and I'm prepared to speak for Mr. Vitti on all matters.	SINDONE	 Okay, Doctor, then let's get down to business. Everybody knows there's been this thing between me and Paul Vitti for a long time.	BEN	 Which thing are you talking about? The first thing or the second thing?	Analyze This 
SINDONE	 What thing? What the fuck are you talking about?	BEN	 How should I know? You brought it up. (gestures helplessly to the others) This is the whole problem. You can't have an intelligent conversation with the man.	SINDONE	 How about if I just break your fuckin' neck? What do you think of that?	BEN	 It's not important what I think. What do you think?	Analyze This 
BEN	 I don't know.    Why would you?	SINDONE	 (frustrated) I wouldn't! That's what I'm saying!	BEN	 Have you always had a problem dealing with your anger?	108   CONTINUED:    (5)                                               108		Analyze This 
BEN	 What do you think I'm talking about?	SINDONSINDONE	 (explodes) I don't know what the fuck you're talking about!	BEN	 See, you're angry again. Do you feel you have to get angry to be heard?	SINDONE	 What's he talking about?	Analyze This 
109   PAUL VITTI                                                       109		VITTI	 (quietly, to Jelly) Wait outside with the car running.	BEN	 What are you doing here?	VITTI	 Saving your ass. Sit down.    I'll take it from here.	Analyze This 
109   CONTINUED:    (2)                                                  109		ZELLO	 (perplexed) I don't know, Paul. I can see where some people might have a problem with this.	VITTI	 I realize that, so as an extra token of good faith between us, I've taken the liberty of writing down everything I know and putting it in a safe deposit box in case anything happens to me or my family.	ZELLO	 I don't know what anybody else thinks, but I say good luck and God bless, Paul.	Analyze This 
BALDASSARE	 Good luck, Paul. Salut.	BEN	 (to Vitti) Well done.					Analyze This 
SINDONE	 You don't want to do this? That's fuckin' rich. What did you think, you could just quit and walk away? You think this is a fuckin' civil service job? What are you, crazy?	VITTI	 Not anymore. (to Mangano) Hey, Carlo, tell me. You gonna stab me in the back like the piece of shit I always knew you were?	MANGANO	 I'm not gonna stab you in the back, Paul. I want to see your face when I do it.	VITTI	 I don't think so. (calls out) Mo-Mo!	Analyze This 
MANGANO	 I'm not gonna stab you in the back, Paul. I want to see your face when I do it.	VITTI	 I don't think so. (calls out) Mo-Mo!	VITTI	 Bigs!	VITTI	 Eddie!	Analyze This 
113A   GATES                                                               113A		AGENT STEADMAN (V.O.)	 (on a loudspeaker) Drop your weapons and lie facedown on the ground. I repeat. Drop your weapons and lie facedown on the ground.					Analyze This 
AGENT RICCI	 (screaming) Don't move! Don't you fucking move!	SINDONE	 Hey!   Take a pill, Robocop.	VITTI	 (deeply moved) I can't believe it. You took a bullet for me. What doctor ever did that much for a patient? I'll never forget that.			Analyze This 
SINDONE	 Hey!   Take a pill, Robocop.	VITTI	 (deeply moved) I can't believe it. You took a bullet for me. What doctor ever did that much for a patient? I'll never forget that.	BEN	 Paul -- I tripped.	VITTI	 Yeah. You tripped over your unconscious.	Analyze This 
VITTI	 I'll bet you feel hurt, too, don't you?	DONNY	 (suddenly vulnerable) Yes, I do.	BEN	 Paul, what would you say about what Donny's feeling?	VITTI	 Donny, when you're thirsty, you don't go to the wall -- you go to the well. You know what I'm saying? Your mother may never be able to listen to you, but you have friends here who will. Okay?	Analyze This 
BEN	 You know they found Primo Sindone dead in a field near LaGuardia.	VITTI	 I heard. (off Ben's look) I had nothing to do with it. There were guys lined up from Canarsie to Atlantic City who wanted to whack that bastard.	BEN	 Okay, just checking.	VITTI	 You know, Doc, I don't think I ever thanked you properly for curing me.	Analyze This 
VITTI	 You, you, you're very good.	BEN	 (pointing) No.   You. You.					Analyze This 
LAURA	 Your choice, Tony.	TONY BENNETT	 I was hoping you'd say that. (quietly, to trio) 'World on a String,' fellas.	THE END				Analyze This 
