ANNA	 Four or five days.	FATHER	 (resignedly) Oh, very well. I'll just spend the weekend alone by myself and take a little rest. I should be used to it by now.	ANNA	 Used to what?	FATHER	 To the fact of my retirement, not only as a diplomat but also as a father.	Avventura, L' (The Adventure) 
GIULIA	 My God, how could we joke over something like that! We should be ashamed of ourselves.	PRINCESS	 (rising) Come on, let's go.	GIULIA	 (to Claudia, referring to the young man) Goffredo is the Princess' nephew. He's eighteen years old, the lucky boy. And, what do you know -- he paints.	GOFFREDO	 Anybody can hold a brush in his hand. All you need is to buy some oils and start painting. Even Rembrandt did the same.	Avventura, L' (The Adventure) 
PRINCESS	 (rising) Come on, let's go.	GIULIA	 (to Claudia, referring to the young man) Goffredo is the Princess' nephew. He's eighteen years old, the lucky boy. And, what do you know -- he paints.	GOFFREDO	 Anybody can hold a brush in his hand. All you need is to buy some oils and start painting. Even Rembrandt did the same.	ETTORE	 But... where is the Prince?... Is he well?	Avventura, L' (The Adventure) 
THIRD YOUNG MAN	 They've torn her dress... She's almost nude... She ran into the shop to hide herself...	SANDRO	 (to one of the newspapermen) Which one of you is Zuria?	NEWSPAPERMAN	 He's inside.	SANDRO	 Zuria?	Avventura, L' (The Adventure) 
GIRL	 But I have always gone around like this, everywhere in the world. Nothing like this has ever happened to me before.	ZURIA	 (to the girl) How old are you?	GIRL	 Nineteen. My name is Gloria Perkins. I'm married and a writer by profession. I write in a trance, almost always in contact with people who are dead. Tolstoi, for example, or Shakespeare. But the movies also interest me.	ZURIA	 How do you find the men of Messina? Are you shocked by their warm display of friendliness?	Avventura, L' (The Adventure) 
ZURIA	 She did exactly the same thing in Palermo.	CHIEF OF POLICE	 (to the girl) If you want to go back to your hotel... we're ready to escort you.	GIRL	 Oh, yes, thank you...	ZURIA	 Do you like her?	Avventura, L' (The Adventure) 
ZURIA	 Oh... I'm sorry I have to rush but I've got to write a story about this thing that just happened... Tell me exactly how it all turned out.	SANDRO	 (impatiently) Now listen, if I had any information, I wouldn't have come here to ask you. But I see that you, too, lack any information ...	ZURIA	 As a matter of fact, I've already had several phone calls on that article. One said they had seen the missing girl in an automobile somewhere in Rome. Another one said they saw her on the pier talking with some strange sailors... Could be she secretly left the island by boat...	SANDRO	 Is that possible?	Avventura, L' (The Adventure) 
***	 At the Princess' villa, Claudia is in her room, applying some fresh make-up in front of a small dressing table. Although she appears thoroughly engrossed in all the minute details of her make-up, nevertheless, she seems considerably  interested in any sound that comes through her window.	PATRIZIA	 Are you ready? I'm not. That's all we needed -- a cocktail party... The vitality some people have irritates me! (indicating the wig on her head) How does it look?	CLAUDIA	 (ironically) It's divine!	PATRIZIA	 You say that just to flatter me.	Avventura, L' (The Adventure) 
PATRIZIA	 Are you ready? I'm not. That's all we needed -- a cocktail party... The vitality some people have irritates me! (indicating the wig on her head) How does it look?	CLAUDIA	 (ironically) It's divine!	PATRIZIA	 You say that just to flatter me.	CLAUDIA	 Do you consider that a compliment?	Avventura, L' (The Adventure) 
CLAUDIA	 They're all nudes, if I'm not mistaken.	GIULIA	 (to Goffredo) But why all nudes?	GOFFREDO	 Because there is no landscape as beautiful as a woman.	GIULIA	 And where do you find the models?	Avventura, L' (The Adventure) 
GOFFREDO	 Oh, there are as many as one wants.	GIULIA	 (turning to Claudia) I thought the model was something obsolete nowadays. Didn't you, Claudia?	GOFFREDO	 It's strange how anxious women are to display themselves. It's almost a natural inclination.	GIULIA	 But how could they pose like that? I couldn't.	Avventura, L' (The Adventure) 
GIULIA	 But how could they pose like that? I couldn't.	GOFFREDO	 (with a grave, youthful sensuality) Why don't you try?	GIULIA	 Me... Goffredo, you're mad! (turning to Claudia) He's mad.	CLAUDIA	 Not really.	Avventura, L' (The Adventure) 
GOFFREDO	 (with a grave, youthful sensuality) Why don't you try?	GIULIA	 Me... Goffredo, you're mad! (turning to Claudia) He's mad.	CLAUDIA	 Not really.	GIULIA	 Don't you ever paint men?	Avventura, L' (The Adventure) 
GIULIA	 But why me?... Ask Claudia, she's much more beautiful than me.	GOFFREDO	 (insistent) But I want to paint you. You appeal to me more.	GIULIA	 (timidly) I appeal to you more?	CLAUDIA	 (almost unconsciously) Giulia!	Avventura, L' (The Adventure) 
GOFFREDO	 (insistent) But I want to paint you. You appeal to me more.	GIULIA	 (timidly) I appeal to you more?	CLAUDIA	 (almost unconsciously) Giulia!	GIULIA	 And tell Corrado, too, that I'm here... if he wants me. You can also tell him that my tiny little heart is beating like mad, and that at this moment, it's the only thing that interests me. Is that clear?	Avventura, L' (The Adventure) 
GIULIA	 (timidly) I appeal to you more?	CLAUDIA	 (almost unconsciously) Giulia!	GIULIA	 And tell Corrado, too, that I'm here... if he wants me. You can also tell him that my tiny little heart is beating like mad, and that at this moment, it's the only thing that interests me. Is that clear?	CLAUDIA	 It couldn't be any clearer.	Avventura, L' (The Adventure) 
HUSBAND	 Be patient, I can't remember everything.	SANDRO	 (indicating the newspaper article) But it even says what she bought: a bar of soap! So there's no point in making believe you can't remember.	WIFE	 "A young female stranger, whose description corresponds with that of the missing girl, came into my store..."	WIFE	 She came and then she left. With him. But this one won't admit it. (turning upon her husband furiously) You think I wasn't aware of it...	Avventura, L' (The Adventure) 
SANDRO	 You have to be precise. Did this girl enter your store or didn't she?	WIFE	 (shouting) Yes!	SANDRO	 (ignoring her) Was she blonde or brunette?	HUSBAND	 (calmly) Brunette.	Avventura, L' (The Adventure) 
WIFE	 (shouting) Yes!	SANDRO	 (ignoring her) Was she blonde or brunette?	HUSBAND	 (calmly) Brunette.	WIFE	 (contradicting him) Blonde.	Avventura, L' (The Adventure) 
SANDRO	 (ignoring her) Was she blonde or brunette?	HUSBAND	 (calmly) Brunette.	WIFE	 (contradicting him) Blonde.	SANDRO	 How was she dressed?	Avventura, L' (The Adventure) 
HUSBAND	 (calmly) Brunette.	WIFE	 (contradicting him) Blonde.	SANDRO	 How was she dressed?	HUSBAND	 I don't quite remember. Seems to me she wore a black dress.	Avventura, L' (The Adventure) 
HUSBAND	 I don't quite remember. Seems to me she wore a black dress.	WIFE	 (intervening sarcastically) He doesn't look at dresses, he looks at what's under them.	SANDRO	 Pardon me, but has anyone else been here asking about this girl?	HUSBAND	 No ... I don't think so.	Avventura, L' (The Adventure) 
HUSBAND	 Listen... In the paper they forgot to say that as soon as the girl left here she took the bus to Noto. The bus leaves from the square, over there. I saw her clearly... I came to the door to see her off... She was a beautiful girl. Lovely pair of legs!	WIFE	 You're from Rome, aren't you? I knew right away because I'm from Viterbo... He was a soldier there and so... (indicating her husband, and then quickly continuing) I don't like it very much, here.	HUSBAND	 (interrupting) Then why don't you go back?	CLAUDIA	 How long have you been married?	Avventura, L' (The Adventure) 
WIFE	 You're from Rome, aren't you? I knew right away because I'm from Viterbo... He was a soldier there and so... (indicating her husband, and then quickly continuing) I don't like it very much, here.	HUSBAND	 (interrupting) Then why don't you go back?	CLAUDIA	 How long have you been married?	WIFE	 Three months.	Avventura, L' (The Adventure) 
***	 The early twilight shadows are beginning to fall. The sky is still clear but the sun is fading. There is a deep silence and the air is absolutely still. In a certain sense, Sandro's car, standing there in the middle of the deserted street, is the only thing alive in that desolate town.	CLAUDIA	 (faintly audible) It's late... We should be going.	CLAUDIA	 Let's get out of here, fast... This is not a town, it's a cemetery.	SANDRO	 Who knows why they all left...	Avventura, L' (The Adventure) 
SANDRO	 Claudia, let's get married?	CLAUDIA	 (astonished) What! Get married?	SANDRO	 Yes. We'll get married. You and I. What do you say?	CLAUDIA	 What do I say? What can I say? No. At least, not yet. I don't know... I can't even think of it... at a time like this... Oh, but why did you have to ask me?	Avventura, L' (The Adventure) 
SANDRO	 Are you ready?	CLAUDIA	 (ironically) But why am I so infatuated with you?	SANDRO	 (smiling) Hurry up now, or it'll begin to get hot outside...	CLAUDIA	 Yes, yes, yes, yes... Right away...	Avventura, L' (The Adventure) 
CLAUDIA	 (ironically) But why am I so infatuated with you?	SANDRO	 (smiling) Hurry up now, or it'll begin to get hot outside...	CLAUDIA	 Yes, yes, yes, yes... Right away...	SANDRO	 (leaving) Okay. I understand. See you later.	Avventura, L' (The Adventure) 
CLAUDIA	 Yes, yes, yes, yes... Right away...	SANDRO	 (leaving) Okay. I understand. See you later.	CLAUDIA	 And you leave me here all alone... in this hotel room...	SANDRO	 As soon as you're ready, you can come down and catch up with me. I'll be waiting for you right outside on the square.	Avventura, L' (The Adventure) 
SANDRO	 As soon as you're ready, you can come down and catch up with me. I'll be waiting for you right outside on the square.	CLAUDIA	 (teasingly) Very well. But you must first tell me that when you go out without me it's like going out without one of your legs. Go ahead, have a look around the town all by yourself, but you'll have to hobble along on only one leg. And you must also tell me that you are filled with a great desire to embrace my shadow on the walls... Then you must tell me... (suddenly her tone of voice changes and she becomes quite serious) You must tell me that you love me.	SANDRO	 But you know it already. Why must I tell you?	CLAUDIA	 So, you wonder why?	Avventura, L' (The Adventure) 
SANDRO	 It's closed. Isn't there any custodian or caretaker inside?	COACHMAN	 (apathetically) Nobody there.	SANDRO	 But it says it's open from 9:30 to 10:30., and it's ten o'clock now...  That's a fine way to greet tourists.	COACHMAN	 Tourists? Last year a few Frenchmen came here and they all walked around in their bathing suits. So they were made to understand that it was better if they didn't come at all.	Avventura, L' (The Adventure) 
PATRIZIA	 See you soon, then.	SANDRO	 (commenting under his breath) You see? Just like a robot.	SANDRO	 Come in.	CLAUDIA	 Sandro, listen... Try not to get yourself too involved tomorrow.	Avventura, L' (The Adventure) 
SANDRO	 I don't love you.	CLAUDIA	 (smiling) I deserve it.	SANDRO	 That's not true. I love you.	***	 Sandro comes out of his room and walks along through the corridors, heading towards the reception halls down at the other end. Other persons are walking up and down the corridor in both directions.	Avventura, L' (The Adventure) 
