ARSENIC AND OLD LACE	 Written by Julius J. & Philip G. Epstein Adapted from the play by Joseph Kesselring	CREDITS	 Credits roll, in white letters, on several funny cartoons, all of them about witches and witchcraft (a caldron over a fire, with two witches on either side of it - A close-up of one of the witches - A witches falling down from the sky on her broomstick, and loosing her hat in the fall - A furious black cat spitting at an owl seated on a branch - A carafe with two glasses, actually a direct reference to the film - An Halloween pumpkin pressing her two forefingers in its ears, with music notes around it - Black bats flying over a village).	BROOKLYN - GENERAL OVERVIEW - EXTERIOR DAY	 A general overview of Brooklyn, near New York, seen from the roof of a very high building. Written in white letters on this overview, the following words : This is a Hallowe'en tale of Brooklyn, where anything can happen-- and it usually does. Then : At 3 P.M. on this particular day, this was happening- Several white circles move on the screen, then the whole screen is covered by a huge base ball, with Brooklyn written on it in black letters.	BASEBALL GAME - SPECTATORS - EXTERIOR DAY	 Close-up of the face of man, screaming :	Arsenic and Old Lace 
SAUNDERS	 Howdy, Colonel. Saunders and Brophy both salutes Teddy. Teddy salutes them back. Rooney raises his hand to salute, but rapidly puts it down with a disgusted expression on his face.	LIEUTENANT ROONEY	 Well, Colonel, you've blown your last bugle. (pointing to Jonathan's body) Come on, get this guy out of here.	TEDDY	 Dear me ! Another yellow-fever victim ?	LIEUTENANT ROONEY	 What ?	Arsenic and Old Lace 
MARTHA	 You've come to meet Teddy, haven't you ?	LIEUTENANT ROONEY	 (voice over) No, he's come to take him. Teddy's been blowing his bugle again. Both sisters turn toward Rooney.	ABBY	 Oh, no-no, no, he can't go now ! We won't permit it.	MARTHA	 We promise to take his bugle away from him. We won't be separated from Teddy.	Arsenic and Old Lace 
WITHERSPOON	 Oh, no-no-no-no...	MORTIMER	 (whispering) Now, these two little sane people, mixed up with all the others, will get lost in the shuffle. You could arrange that.	WITHERSPOON	 Oh, no-no-no-no...	MORTIMER	 Just put them in and they'll get all mixed up.	Arsenic and Old Lace 
ABBY	 There's one down there, a Mister Spenalzo...	MORTIMER	 (whispering) Hasn't got it yet. He resumes his walking downstairs.	ABBY	 ...who doesn't belong here and who's going to have to leave.	MARTHA	 But the other twelve are our gentlemen.	Arsenic and Old Lace 
ABBY	 You mustn't mind him at all. He got married today.	MORTIMER	 (singing) There is a Happy Dale far, far away. There is a Happy" While singing, Mortimer makes signs to Rooney and Witherspoon. And, finally, Rooney understand what Mortimer is trying to tell him, that his aunts are crazy.	LIEUTENANT ROONEY	 (nodding) Yeah, yeah.	MORTIMER	 He got it. It's amazing.	Arsenic and Old Lace 
MORTIMER	 (singing) There is a Happy Dale far, far away. There is a Happy" While singing, Mortimer makes signs to Rooney and Witherspoon. And, finally, Rooney understand what Mortimer is trying to tell him, that his aunts are crazy.	LIEUTENANT ROONEY	 (nodding) Yeah, yeah.	MORTIMER	 He got it. It's amazing.	LIEUTENANT ROONEY	 (to Witherspoon) Look, Super, don't you think you can find room for the ladies ?	Arsenic and Old Lace 
MORTIMER	 He got it. It's amazing.	LIEUTENANT ROONEY	 (to Witherspoon) Look, Super, don't you think you can find room for the ladies ?	WITHERSPOON	 Just the ladies ? He looks at Mortimer. Mortimer stops clowning, and becomes very serious.	MORTIMER	 Just the ladies, not me !	Arsenic and Old Lace 
WITHERSPOON	 I have them, ladies, I have them right here.	LIEUTENANT ROONEY	 (to Witherspoon) Sign them up, will you, Super ? I want this all cleaned up. I'm going out to talk to that spy. Maybe I can understand him. Thirteen bodies down in the cellar. Rooney, absent-mindedly, is ready to go down to the cellar, but he checks himself and goes toward the kitchen instead.	WITHERSPOON	 Ladies, if you will sign right here.			Arsenic and Old Lace 
ABBY	 (voice over) Right here ?	WITHERSPOON	 (voice over) Yes, please. It's on the right-hand side right there. Martha and Abby are seated at the table, signing the papers. Witherspoon and Mortimer, standing besides them, are helping them.	ABBY	 I'm really looking forward to going. The neighborhood here has changed so.	MARTHA	 Yes. Especially since they won that old pennant thing.	Arsenic and Old Lace 
DOCTOR EINSTEIN	 I don't think we go to the same place.	LIEUTENANT ROONEY	 (speaking on the telephone) Hello, Mac. We picked up that guy that's wanted in Indiana. His accomplice's description is one on the circular, on the desk. Read it to me, will you ? Einstein leaves the table, and almost bumps into Saunders, who is brushing his uniform. He listen to the description of himself that Rooney is repeating from his colleague at the police station.	LIEUTENANT ROONEY	 (still on the phone) Yeah... About forty... Five-foot-three... One hundred and forty pounds... Pop eyes... Talks with a German accent... Poses as a doctor... Okay, Mac. Thanks. He puts the phone back on its hook. Witherspoon slaps Einstein on the back, and Einstein starts raising his arms.	WITHERSPOON	 It's all right, Lieutenant Rooney. The doctor here has completed the signatures.	Arsenic and Old Lace 
ABBY	 But Dr. Einstein ! Einstein picks up his suitcase, and rushes out of the door, and closes it behind him.	WITHERSPOON	 (to Mortimer) Now, Mister Witherspoon...	MORTIMER	 No, no, you're Mister Witherspoon, I'm Mister Brewster.	WITHERSPOON	 (laughing) It's contagious, yes. It's your turn.	Arsenic and Old Lace 
MORTIMER	 No, no, you're Mister Witherspoon, I'm Mister Brewster.	WITHERSPOON	 (laughing) It's contagious, yes. It's your turn.	MORTIMER	 Now, don't play games...	WITHERSPOON	 You sign. You sign as next of kin.	Arsenic and Old Lace 
LIEUTENANT ROONEY	 What's all this screaming about ? Elaine tries to put a few words but Mortimer keeps on kissing her.	ELAINE	 (mumbles through Mortimer's mouth) But I saw them...	MORTIMER	 It's way past her bedtime. With his mouth still pressed on her, he lifts her and carries her across the room to the front door.	MORTIMER	 Quiet !	Arsenic and Old Lace 
ELAINE	 Oh, Mortimer. They kiss very tenderly. The cab driver comes closer to the couple and looks at their closed-eyes faces.	CAB DRIVER	 (imitating Elaine's voice) Oh, Mortimer. Mortimer turns to him.	MORTIMER	 (to the cab driver) Oh, we're going to Niagara Falls. Call me a cab, dear.	CAB DRIVER	 Yes, love. The cab driver realizes his mistake and checks himself.	Arsenic and Old Lace 
CAB DRIVER	 (imitating Elaine's voice) Oh, Mortimer. Mortimer turns to him.	MORTIMER	 (to the cab driver) Oh, we're going to Niagara Falls. Call me a cab, dear.	CAB DRIVER	 Yes, love. The cab driver realizes his mistake and checks himself.	CAB DRIVER	 But, Mister Brewster !	Arsenic and Old Lace 
