IRVING ROSENFELD	 Are you dressing him like you're dressing me now?	EDITH GREENSLY	 (shakes her head) No, what are you thinking? This isn't all about you, you know that.	RICHIE DIMASO	 What, did you try to dress me so I would look like him?	EDITH GREENSLY	 No, you're not dressed like him, all right?	American Hustle 
EDITH GREENSLY (CONT'D)	 Are you here with me?	RICHIE DIMASO	 (leans down to her eyes) I love you. I love you. Look at me. (slowly) I'm in love with you. It is real now. I just said it so now's the time. He handles her, nuzzles her neck, starts to turn her on.	EDITH GREENSLY	 (kissing him) You want the truth? You want real?	RICHIE DIMASO	 I'm ready for real.	American Hustle 
RICHIE DIMASO	 (leans down to her eyes) I love you. I love you. Look at me. (slowly) I'm in love with you. It is real now. I just said it so now's the time. He handles her, nuzzles her neck, starts to turn her on.	EDITH GREENSLY	 (kissing him) You want the truth? You want real?	RICHIE DIMASO	 I'm ready for real.	SYDNEY PROSSER		American Hustle 
SYDNEY PROSSER (CONT'D)	 I created Edith because I needed her to survive, okay? But I'm done with that now. I'm so fucking done with that. Like you do what you need to survive, right? You do it. You know, you live with your mom -- you have a fiance you don't even acknowledge, right? That's what you do. And you curl your hair in little fucking curlers, which is -- No, it's okay, you look good with it, but you know -- you have straight hair, so that's what you do to survive. You do all sorts of things, you know. We all do.	RICHIE DIMASO	 (whispers tensely) Please don't talk about that. I'm confused. I'm confused and --	SYDNEY PROSSER	 I'm fucking confused too, alright?	RICHIE DIMASO	 -- I think we should fuck, and then we'll feel it and we won't be confused anymore.	American Hustle 
SYDNEY PROSSER	 No -- I want to talk. I don't want to fuck.	RICHIE DIMASO	 (embracing her) Yes! Come on.	SYDNEY PROSSER	 NO! I'm not fucking you. I'm not fucking fucking you! RED FACED LIKE HE MAY HIT HER, a vein stands out in his neck. SHE FLINCHES. HE SCREAMS like an animal in confusion and frustration.	RICHIE DIMASO		American Hustle 
RICHIE DIMASO (CONT'D)	 Think he's gonna go after a politician? He's gonna kill you. Then he's going to go after your son. And Sydney. Richie PICKS UP PHONE AS THEY WATCH -- HE DIALS. INTERCUT:	STODDARD THORSEN	 (on phone) Stoddard Thorsen.	RICHIE DIMASO	 (slowly, intensely) You're going to give me the Sherman Suite. The whole floor.	STODDARD THORSEN	 That's a NO. I said no wacko.	American Hustle 
STODDARD THORSEN	 (on phone) Stoddard Thorsen.	RICHIE DIMASO	 (slowly, intensely) You're going to give me the Sherman Suite. The whole floor.	STODDARD THORSEN	 That's a NO. I said no wacko.	RICHIE DIMASO	 And you're going to tell me the point of that FUCKING fishing story.	American Hustle 
SYDNEY PROSSER	 We were supposed to do it from the feet up like you always said. That's how we were meant to do it but you didn't do it like that. You didn't do it like that. You played it safe so there was always a danger you were going to end up with Rosalyn in the dead space, floating on some dead spaceship with the furniture and the curtains. And I was your life line out and you were mine and that was ok.	IRVING ROSENFELD	 (Irving stares at her, emotional) I wish I could get you back. He walks across the room and sits down on the bed next to Sydney.	IRVING ROSENFELD (CONT'D)	 You know I can't do it without you. You know that. Come on. Me, you and Danny. Like we said.	SYDNEY PROSSER	 Like I said. You never said that. I said that. We gotta get over on all these guys. That's what we need to be thinking about right now. Irving takes off his glasses and rubs his eyes.	American Hustle 
RICHIE DIMASO	 I have nothing but the utmost respect for you as my mentor. (he reaches down and turns the tape recorder off) and as my --	STODDARD THORSEN	 (re: the recorder) What are you doing?	RICHIE DIMASO	 I just want to talk from my heart. I don't want it on record. I want to get vulnerable.	STODDARD THORSEN	 Can I finish? Can I finish my statement?	American Hustle 
STODDARD THORSEN	 And you have him on tape saying this. You have that right? No.	ANTHONY AMADO	 (to Richie) I want you to find a safer way to get Victor Tellegio on a wire. No ten million dollars -- that's crazy.	STODDARD THORSEN	 Thank you. Richie looks down, defeated.	ANTHONY AMADO	 Even to entrap Tellegio it's crazy. But you can have the Sherman Suite - -	American Hustle 
ANTHONY AMADO	 --Stoddard, please -- To go and get me some congressmen. Go get some congressmen taking bribes. I want to pinch us some congressmen, ok? You come back to me. I'm proud of you.	RICHIE DIMASO	 Thank you. (then as an afterthought) And Stoddard.					American Hustle 
RICHIE DIMASO	 (as Stoddard walks away) What's the end of the ice fishing story?	STODDARD THORSEN	 I'm not telling you the end of the ice fishing story.	RICHIE DIMASO	 I'm going to call your fucking brother and find out from him.			American Hustle 
RICHIE DIMASO	 That's how it ends. He fell through the fucking ice.	STODDARD THORSEN	 (shouts bitterly) No it's not. He died a different way, many years later. He storms off and leaves Richie staring in the hallway.					American Hustle 
SYDNEY PROSSER	 I'm sorry.	RICHIE DIMASO	 (to Irving) I'm sorry Irving. Irving doesn't know what to say, starts to say something twice, stops, can't think of what to say. Leaves Richie hanging.					American Hustle 
EDITH GREENSLY	 I do.	RICHIE DIMASO	 (to Schmidt) Give me those flowers.	RICHIE DIMASO (CONT'D)	 If we put the flower base here and put a camera in there we can get a clear shot of the couch there where we can put the congressmen. Irving, sitting on the couch, looks kind of disturbed by this.			American Hustle 
DOLLY POLITO	 Ok, sorry. Everyone out. Go out.	CARMINE POLITO	 (picks up phone) Congressman, how you doing? It's Carmine. Tell me you're gonna be in Trenton this week. We have an amazing investment opportunity I'd like to discuss with you.	SMASH TO:				American Hustle 
153   ANOTHER DAY - ON GRAINY MONITOR                                153		RICHIE DIMASO	 (on grainy black and white) I'm federal agent Richard Dimaso. I am placing 75 thousand dollars in this brief case for one Representative Gerald Sanders of the 3rd district.	SMASH TO:		154   -HAND SHAKES - REP. SANDERS SITS LOOKING WARILY AT BRIEFCASE   154		American Hustle 
155   ANOTHER DAY                                                    155		RICHIE DIMASO	 (on grainy monitor) I'm placing g $60,000 into an this brief case for one Congressman Eric Keshoygan of the 4th district --	ERIC KESHOYGAN	 I'm going to do what I can to help Carmine. Irv watches in pain as he sits with them.	SMASH TO:		American Hustle 
RICHIE DIMASO	 Where you going?	IRVING ROSENFELD	 (excusing himself uncomfortably) I just gotta go see a man about a dog.					American Hustle 
IRVING ROSENFELD	 (pacing) I want to save us. I want to save Carmine. It's fucking killing me.	SYDNEY PROSSER	 You know the only way to help Carmine is through the Tellegio thing.	IRVING ROSENFELD	 It's dangerous. We gotta get a wire in there. We gotta make him feel safe.			American Hustle 
SYDNEY PROSSER	 There's only one thing that can really fuck this up and that's your wife.	IRVING ROSENFELD	 (pacing) Yep.					American Hustle 
PETE MUSANE (CONT'D)	 You alright?	ROSALYN ROSENFELD	 (open, vulnerable) I don't like change. It's really hard for me. Sometimes I think that I'll die before I change. He kisses her.	PETE MUSANE	 It's gonna be okay. You're gonna come live with me in Miami. Pete gets up and walks. As he does:	ROSALYN ROSENFELD	 164             Don't hurt him too bad. He's still                    164 Danny's father.	American Hustle 
IRVING ROSENFELD	 (screams)	HE PUT A CANVAS BAG OVER MY HEAD!		SMASH TO:				American Hustle 
ROSALYN ROSENFELD (CONT'D)	 Why aren't you taking your heart pills? Irving, what's going on? What kind of trouble are you in?! What's happening?	IRVING ROSENFELD	 (out of breath) I've got a plan.	ROSALYN ROSENFELD	 What's happening? Irving coughs and steps back. Out of breath and very winded.	IRVING ROSENFELD	 I've got a plan.	American Hustle 
ROSALYN ROSENFELD	 I'll tell Pete that I was wrong but you know that in real life, I was right for saying all that stuff because then that spurred on the actions that made you come up with this plan. So I will tell Pete.	IRVING ROSENFELD	 (holding his head) OK.	ROSALYN ROSENFELD	 (pointing with cigarette between fingers) The power of intention Irving. The power of intention. Irv is doing everything he can to hold it together.			American Hustle 
RICHIE DIMASO	 Excuse me. If you'll let me finish, we are willing to give two million dollars today of the ten. But without Mr. Tellegio here --	IRVING ROSENFELD	 (to Simone) We can't, we can't make that decision. It's not the right thing. It's not the right time. It's just not good.	EDITH GREENSLY	 (to Irving across Richie) You don't have the authorization to make this kind of choice so don't be hasty, alright?			American Hustle 
IRVING ROSENFELD	 (to Simone) We can't, we can't make that decision. It's not the right thing. It's not the right time. It's just not good.	EDITH GREENSLY	 (to Irving across Richie) You don't have the authorization to make this kind of choice so don't be hasty, alright?	IRVING ROSENFELD	 I'm not being hasty. It's just, let's be smart about it. This is not how we do business. (to Simone) I'm sorry. I apologize. Richie motions with his hand to Edith that he agrees with Irving.			American Hustle 
IRVING ROSENFELD	 I'm not being hasty. It's just, let's be smart about it. This is not how we do business. (to Simone) I'm sorry. I apologize. Richie motions with his hand to Edith that he agrees with Irving.	RICHIE DIMASO	 He's right, we can't.	EDITH GREENSLY	 I think you should hang in there.			American Hustle 
EDITH GREENSLY	 Don't leave.	IRVING ROSENFELD	 (in doorway with Richie) Edith, this is not your decision to make.	EDITH GREENSLY	 I understand but maybe we can call the Sheik. Let's call the Sheik.	IRVING ROSENFELD	 That's not the plan. That's not the -- Edith locks eyes with Richie. Richie stares at Edith, waves Irving off with his hand.	American Hustle 
IRVING ROSENFELD	 That's not the plan. That's not the -- Edith locks eyes with Richie. Richie stares at Edith, waves Irving off with his hand.	RICHIE DIMASO	 No, let's -- I'll call the Sheik. (to Simone) Can I use your phone?	ALFONSE SIMONE	 Please do.			American Hustle 
ALFONSE SIMONE	 Please do.	RICHIE DIMASO	 (to Alfonse Simone) I don't know if he's in, I'll call the Sheik. But before I do, I'd like to go over specifically what this money will be used for.	ALFONSE SIMONE	 What we will do is we guarantee all proper licenses and construction permits for any hotel casino that plans to open before the end of the year. Richie glances down at Edith and her handbag. PUSH IN ON A	ALFONSE SIMONE (CONT'D)	 And we'll throw in the customary privileges and protection.	American Hustle 
ANTHONY AMADO	 This is the Sheik.	RICHIE DIMASO	 (on phone) Mr. Tellegio is not here. It's just Mr. Alfonse Simone, his lawyer. Are we still ok to wire the money?	ALFONSE SIMONE	 Simone can take the money. What's the number?	RICHIE DIMASO		American Hustle 
BRENDA	 The funds have been transferred.	ANTHONY AMADO	 (on phone to Richie) The funds have been transferred. Amado nods: victory. BACK TO:					American Hustle 
ALFONSE SIMONE	 I'm sure that we'll be seeing each other. Richie and team start to walk out.	RICHIE DIMASO	 (grinning) Oh I'm sure we'll be seeing each other very soon. You may even get sick of me, like these two.	ALFONSE SIMONE	 I don't think I'll get sick of you. Nice meeting you. Richie, Edith, and Irving walk down the hall after leaving his office. Richie smiles as the opening of Bowie's "The Jean Genie" momentously starts. Edith smiles as she walks down the hall followed by Irving. Richie puts his hand on the door knob to exit the hallway.			American Hustle 
ALFONSE SIMONE (ON SURVEILLANCE TAPE)	 If we have to pay somebody off, we'll pay somebody off. If we have to lean on somebody, intimidate somebody, we'll intimidate somebody. Richie joyfully lip synchs to the rhythm of Simone's incriminating words on tape.	RICHIE DIMASO	 (in unison with Simone on tape) -- If we have to lean on somebody, intimate somebody, we'll intimidate somebody!!					American Hustle 
IRVING ROSENFELD	 Hey look, you're a good person I know that but in all honesty --	CARMINE POLITO	 (screams) You said that was the only way, Irv. You chased me, remember?	IRVING ROSENFELD	 They fuckin' made me do it. What was I supposed to do? They had Syd in jail.	CARMINE POLITO	 You made me go back to the Plaza to take that money, you piece of shit! I was gone! You fucking prick!	American Hustle 
DOLLY POLITO	 Is everything alright? Can I have a word with you?	CARMINE POLITO	 (very upset) No, please, Dolly, just go upstairs. Take the kids and go upstairs!	DOLLY POLITO	 Alright, alright.	IRVING ROSENFELD	 I want to make this right. I came here because I want to make it right. Irving is in tears. Very upset.	American Hustle 
DOLLY POLITO	 Get out of our house!	IRVING ROSENFELD	 I don't want to -- (seeing kids) I'm sorry. I didn't mean for this to happen.	CARMINE POLITO	 (to kids) This is not our friend!	IRVING ROSENFELD	 Truly, I didn't mean for this to happen.	American Hustle 
IRVING ROSENFELD	 I don't want to -- (seeing kids) I'm sorry. I didn't mean for this to happen.	CARMINE POLITO	 (to kids) This is not our friend!	IRVING ROSENFELD	 Truly, I didn't mean for this to happen. Carmine points to his family.			American Hustle 
CARMINE POLITO	 This is what matters to me most and you're crushing it! You're going to take me away from them you fucking son of a bitch? Get the fuck out! 183   Carmine lunges at Irving and punches him in the face. Irving    183 goes down to the ground and his glasses fly off his face. CARMINE kicks him one last time.	IRVING ROSENFELD	 (beaten, bloody on floor) I just want to make it right.	CARMINE POLITO	 Get out of my house. Look what you made me do!	IRVING ROSENFELD	 (stumbling out the door) I'm sorry Carmine, I'm sorry.	American Hustle 
CARMINE POLITO	 Get out of my house. Look what you made me do!	IRVING ROSENFELD	 (stumbling out the door) I'm sorry Carmine, I'm sorry.					American Hustle 
ANTHONY AMADO (CONT'D)	 Do you know where our two million dollars is?	IRVING ROSENFELD	 Two million? (Irving pushes his new glasses up the bridge of his nose) It's with Victor Tellegio and Alfonse Simone.	ANTHONY AMADO	 No, actually it's not with Victor Tellegio or Alfonse Simone. Richie stands by the window, stares angrily at Irving.			American Hustle 
ANTHONY AMADO	 I got it. I understand how these deals are made. See, someone has leverage.	RICHIE DIMASO	 Anthony, fuck them. It's over. We got them for wire fraud, it's over. (to Irving and Sydney) You're done. You're both done.	IRVING ROSENFELD	 I don't think so.	RICHIE DIMASO	 Oh, you don't think so?	American Hustle 
IRVING ROSENFELD	 Richard, think about it, YOU requested the two million. And you gave Brenda the account number. We didn't do any of that. None of it. (turns dramatically to face Richie) How do we know that YOU don't have the money?	RICHIE DIMASO	 (Richie looks from Irving to Sydney) Am I living in a fucking nightmare right now? AMADO AND STODDARD STARE INCRIMINATINGLY AT RICHIE.	IRVING ROSENFELD	 I find this a little offensive. Really, I find this a little offensive and I don't see that you got any sort of solid case against--			American Hustle 
IRVING ROSENFELD	 I find this a little offensive. Really, I find this a little offensive and I don't see that you got any sort of solid case against--	RICHIE DIMASO	 (to Amado and Stoddard) Don't let him get in your heads. Listen to me, we're dealing with a very clever individual.	IRVING ROSENFELD	 Richard, think about it. You got some big arrests. You got U.S. Congressmen. You look good. You're gonna be all over the news. You know what doesn't look good? A story about gross incompetence	205                                                    SMASH TO:    205		American Hustle 
IRVING ROSENFELD (V.O.)	 She would always be interesting. Rosalyn gets in to a car, revealing Pete Musane in the driver's seat. Irving leans in.	PETE MUSANE	 (to Irving) You know my boss knows you did him a solid.	IRVING ROSENFELD	 Yes I did. He never took a nickle so they can't get him for nothing. I was never going to let that happen. Irving starts to leave --	ROSALYN ROSENFELD	 Irv. He stops and looks at her. With red lacquered nails Rosalyn places her favorite nail finish in his hand.	American Hustle 
