DUCKS	 It's Peezee. Gotta be.    He hates your fuckin' guts.	CAESAR	 (brooding) I don't know.	DUCKS	 Who else knew about the money? And how did Peezee know they popped Tony Cisco when we didn't even hear about it 'til last night?	CAESAR	 (sighs heavily) I don't know.	Analyze That 
BEN	 Okay!   I get it.	VITTI	 (to  Jelly) Wait in the  car! (to  Ben) So what does  it mean? Ben sits on the wicker divan.	BEN	 Sex can represent a lot of things. In your case I think it's about performance anxiety. Trying to find a job that fits.	VITTI	 Doc -- nothing's gonna fit. That nine-to-five bullshit -- I'll fuckin' kill myself if I have to do that for the rest of my life. You know they take taxes out of your check? What the fuck is that? I'm doomed. I'm gonna end up selling hot dogs on the street. (starts breathing hard and sweating) Look at me. I'm havin' a fuckin' panic attack here. My heart's beatin' like a rabbit.	Analyze That 
BEN	 Sex can represent a lot of things. In your case I think it's about performance anxiety. Trying to find a job that fits.	VITTI	 Doc -- nothing's gonna fit. That nine-to-five bullshit -- I'll fuckin' kill myself if I have to do that for the rest of my life. You know they take taxes out of your check? What the fuck is that? I'm doomed. I'm gonna end up selling hot dogs on the street. (starts breathing hard and sweating) Look at me. I'm havin' a fuckin' panic attack here. My heart's beatin' like a rabbit.	BEN	 You're hyperventilating.	BEN	 Breathe into this. Vitti sits on a wicker chair.	Analyze That 
BEN	 Breathe into this. Vitti sits on a wicker chair.	VITTI	 (speaks through bag) This is your fault.	BEN	 Excuse me?	VITTI	 Tellin' me I have to get a job like I'm some fuckin' nobody. It was humiliating! Thanks a lot.	Analyze That 
VITTI	 Tellin' me I have to get a job like I'm some fuckin' nobody. It was humiliating! Thanks a lot.	BEN	 (jumps up, in a total rage) Hey, I'm doing the best I can!     If you can't appreciate that, or if my    best isn't good enough for you, then    maybe you should find somebody else to    talk to, you selfish prick! Ben breaks down and cries what amounts to one racking sob, then quickly pulls himself together.	BEN	 Sorry.	VITTI	 What the hell was that?	Analyze That 
RAOUL	 I adore this place. Best sushi in town. Have you tried the yellowtail, Paul? Raoul picks up a floppy piece of raw fish with his chopsticks.	VITTI	 (makes a face) No. We gettin' any real food?     This is like eatin' fuckin' bait. Raoul chuckles and glances uncomfortably at his girlfriend. Ben laughs loudly to cover the awkward moment. He's suffering from some reaction between the pills and the booze and he's oddly thick-lipped.	BEN	 Bait! That's funny. Honey, did you hear what Paul just said? He said this is like eating bait.	LAURA	 (not amused) I heard him. And I think it was 'effing bait.'	Analyze That 
BEN	 Bait! That's funny. Honey, did you hear what Paul just said? He said this is like eating bait.	LAURA	 (not amused) I heard him. And I think it was 'effing bait.'	VITTI	 Why you talkin' like that?	BEN	 Like what?	Analyze That 
VITTI	 Like a fuckin' retard.	BEN	 (pointing to his lower lip) Oh -- this? I took a couple ibuprofen before we got here -- I shouldn't have had the saki. I'll be fine. It only lasts a couple hours. (to Raoul) Rah-oo. Row. Rowl. I guess you need both lips for that name. You know what I love about Paul? He was born without a filter. He says exactly what he's thinking -- just lays it right out there. He doesn't edit himself.	VITTI	 (quietly) You wanna shut the fuck up?	BEN	 See? He just told me to shut the fuck up. No filter. I love that. (to Raoul) Isn't he great?	Analyze That 
BEN	 (pointing to his lower lip) Oh -- this? I took a couple ibuprofen before we got here -- I shouldn't have had the saki. I'll be fine. It only lasts a couple hours. (to Raoul) Rah-oo. Row. Rowl. I guess you need both lips for that name. You know what I love about Paul? He was born without a filter. He says exactly what he's thinking -- just lays it right out there. He doesn't edit himself.	VITTI	 (quietly) You wanna shut the fuck up?	BEN	 See? He just told me to shut the fuck up. No filter. I love that. (to Raoul) Isn't he great?	LAURA	 (aside to Ben) Too much buffering. Way too much.	Analyze That 
VITTI	 (quietly) You wanna shut the fuck up?	BEN	 See? He just told me to shut the fuck up. No filter. I love that. (to Raoul) Isn't he great?	LAURA	 (aside to Ben) Too much buffering. Way too much.	RAOUL	 (eyeing Ben oddly) Yes. Paul, I'm such a huge fan of yours -- not a fan, but you know, an admirer.	Analyze That 
BEN	 See? He just told me to shut the fuck up. No filter. I love that. (to Raoul) Isn't he great?	LAURA	 (aside to Ben) Too much buffering. Way too much.	RAOUL	 (eyeing Ben oddly) Yes. Paul, I'm such a huge fan of yours -- not a fan, but you know, an admirer.	VITTI	 Don't admire me too much.	Analyze That 
LAURA	 (aside to Ben) Too much buffering. Way too much.	RAOUL	 (eyeing Ben oddly) Yes. Paul, I'm such a huge fan of yours -- not a fan, but you know, an admirer.	VITTI	 Don't admire me too much.	RAOUL	 Is there any chance you might be interested in working on 'Little Caesar' as a consultant? Give us technical advice, coach the actors, make sure the dialogue rings true --	Analyze That 
BEN	 Wow. That would be incredible. Did you hear that, Paul? Raoul wants to know if you'd be interested in working on his show as a consultant. You know, give technical advice, coach the actors --	VITTI	 (quietly to Ben) In two seconds I'm gonna put a fork in your eye.	BEN	 (suddenly cowed) Got it.	RAOUL	 So what do you think, Paul?	Analyze That 
VITTI	 (quietly to Ben) In two seconds I'm gonna put a fork in your eye.	BEN	 (suddenly cowed) Got it.	RAOUL	 So what do you think, Paul?	VITTI	 Yeah, sure, whatever.	Analyze That 
SHEILA	 This is so exciting. Mr. Berman, I love your show. Anthony Bella, the guy who plays Nicky Caesar -- I think he grew up in Bensonhurst next door to my cousin's friend's husband.	VITTI	 That's her claim to fame. (to Sheila) I hate to bust your bubble, but he's not from Bensonhurst. He's a professional Italian. He grew up in Connecticut or something like that.	SHEILA	 Well, wherever he's from, I think he's a wonderful actor.	JELLY	 Yeah, I bet he gets a lot of pussy. Laura chokes on her drink.	Analyze That 
BEN	 Hey, speaking of colorful -- this peacock walks into a bar --	LAURA	 Oh, my god. (to a passing waiter, rising her half-empty drink) Could I get another one, please?	BEN	 And one for me.	LAURA	 No.    No more for the Buffer. She glares at Ben as the table descends into silence.	Analyze That 
LAURA	 No.    No more for the Buffer. She glares at Ben as the table descends into silence.	VITTI	 (tries a desperate save) So. I see in the paper where Oklahoma! might win the Tony award.	VITTI	 (shouts) Down!!! He grabs Sheila and pulls her down as GUNFIRE rakes the wall behind them. Everybody else at the table hits the floor. Other diners scream in terror.    Jelly pulls a GUN and SHOOTS back.	BEN	 (to Vitti) What the hell was that?	Analyze That 
VITTI	 (shouts) Down!!! He grabs Sheila and pulls her down as GUNFIRE rakes the wall behind them. Everybody else at the table hits the floor. Other diners scream in terror.    Jelly pulls a GUN and SHOOTS back.	BEN	 (to Vitti) What the hell was that?	VITTI	 I think somebody's got it in for Raoul.	RAOUL	 (wide-eyed) Holy fucking shit. (grinning)	Analyze That 
VITTI	 I think somebody's got it in for Raoul.	RAOUL	 (wide-eyed) Holy fucking shit. (grinning)					Analyze That 
LAURA	 I just want you to be happy. She kisses him.	BEN	 Maybe you're right. (kisses her) Maybe it's time I started focusing on me, and, you know, satisfying some of	LAURA	 (apologetic) Oh, honey, I just brushed my teeth.	BEN	 No, that's not what I meant.     I just need -- (at a loss) I don't know what.	Analyze That 
BEN	 Maybe you're right. (kisses her) Maybe it's time I started focusing on me, and, you know, satisfying some of	LAURA	 (apologetic) Oh, honey, I just brushed my teeth.	BEN	 No, that's not what I meant.     I just need -- (at a loss) I don't know what.			Analyze That 
LAURA	 (apologetic) Oh, honey, I just brushed my teeth.	BEN	 No, that's not what I meant.     I just need -- (at a loss) I don't know what.					Analyze That 
SOLDIER	 What about Vitti?	RIGAZZI	 (musing) He's a hard man to kill. But he's not					Analyze That 
MELLO	 I don't know how you like your sausage? Twenty fuckin' years we been doin' this. So you got the money? The wind shifts and blows the smoke from the barbecue in their faces.	CAESAR	 (coughing, eyes watering) Not all of it. I'm still light about fifteen large. (blinded by smoke) Can we cut? This is ridiculous.	RAOUL (O.S.)	 (shouts) Cut! Can you do something about the fucking smoke?	RAOUL	 (to Vitti) This is the problem with shooting on location. But it's worth it for the authenticity.	Analyze That 
CAESAR	 (coughing, eyes watering) Not all of it. I'm still light about fifteen large. (blinded by smoke) Can we cut? This is ridiculous.	RAOUL (O.S.)	 (shouts) Cut! Can you do something about the fucking smoke?	RAOUL	 (to Vitti) This is the problem with shooting on location. But it's worth it for the authenticity.	VITTI	 Yeah, this is real authentic.	Analyze That 
VITTI	 Yeah, this is real authentic.	RAOUL	 (calls out) Tony! Come here a second. (to Vitti) Anthony Bella. He plays Nicky Caesar.	VITTI	 I know who he is. They used to watch the show up at Sing Sing.	RAOUL	 (delighted) Are you shitting me? ANTHONY BELLA joins them.	Analyze That 
VITTI	 I know who he is. They used to watch the show up at Sing Sing.	RAOUL	 (delighted) Are you shitting me? ANTHONY BELLA joins them.	RAOUL	 Tony, this is Paul Vitti.	TONY BELLA	 (Australian accent) You don't have to tell me who he is. (shakes Paul's hand) It's a pleasure, mate.	Analyze That 
RAOUL	 Tony, this is Paul Vitti.	TONY BELLA	 (Australian accent) You don't have to tell me who he is. (shakes Paul's hand) It's a pleasure, mate.	VITTI	 (reacting to accent) Mate? I don't believe this! You're an English guy? You ain't even Italian.	TONY BELLA	 Australian-Italian. We got some paisans down under.	Analyze That 
TONY BELLA	 (Australian accent) You don't have to tell me who he is. (shakes Paul's hand) It's a pleasure, mate.	VITTI	 (reacting to accent) Mate? I don't believe this! You're an English guy? You ain't even Italian.	TONY BELLA	 Australian-Italian. We got some paisans down under.	VITTI	 Down under what?	Analyze That 
VITTI	 Down under what?	RAOUL	 (to Tony Bella) How incredible is this? Paul tells me they watch the show in Sing Sing!	TONY BELLA	 Fantastic!    That's so fuckin' great.	VITTI	 I wouldn't wet my pants over it.      They watch 'Supermarket Sweep,' too. Raoul laughs hard.	Analyze That 
VITTI	 Coupla things, though. I don't know who makes these decisions, but some of this, it don't look right.	RAOUL	 (concerned) I sensed it myself. Which elements strike you as wrong?	VITTI	 The people mainly. I mean, you got a boss who speaks Australian. What the fuck is that? And I'm guessing your	RAOUL	 The theater, mostly.	Analyze That 
RAOUL	 I would be eternally grateful. Anything else?	VITTI	 (thinks) Yeah. One of those trailers like the stars have.	RAOUL	 (slight hesitation) Done. (shakes his hand) I'll put that in the works right now. He hurries off to talk to his assistant.   Jelly comes up to Vitti.	JELLY	 You really gonna do this?	Analyze That 
VITTI	 (thinks) Yeah. One of those trailers like the stars have.	RAOUL	 (slight hesitation) Done. (shakes his hand) I'll put that in the works right now. He hurries off to talk to his assistant.   Jelly comes up to Vitti.	JELLY	 You really gonna do this?	VITTI	 No fuckin' way. I've had it with this job bullshit. A week of this and I'd either shoot myself or shoot Raoul. But it's good cover while I figure out my next move. Call the guys.	Analyze That 
MASIELLO	 You're the shrink who's taking care of Paul Vitti?	BEN	 Yes, sir. That's right. (to guy with groceries) Could you be careful, because I think they put the eggs on the bottom. He drops the bags heavily onto the bar.	MASIELLO	 So?    Is he nuts or what?	BEN	 Who?	Analyze That 
MASIELLO	 Meaning what?	BEN	 (very carefully) Meaning -- he -- fails to conform to societal norms with respect to -- lawful behavior.	MASIELLO	 I'm getting a fuckin' headache here.	BEN	 He's got a -- criminal temperament.	Analyze That 
BEN	 He's got a -- criminal temperament.	MASIELLO	 (stares at him) He's a criminal? This is news? And for that you need a doctor degree? So what are you doin' with him?	BEN	 Well, I'm trying to at least show him the possibility of change --	PATTY	 Wrong.   You do not want him to change. Ben looks at her, sensing her command of the group.	Analyze That 
PATTY	 It's a bull with his balls cut off. She reaches under the table and grabs Ben's balls.    He winces in pain.	BEN	 (squeezed) No, we don't want to do that.	PATTY	 Not unless you want to be one, too.	BEN	 (in pain) Me? No. I'm very attached to my balls. As you can probably tell.	Analyze That 
PATTY	 Not unless you want to be one, too.	BEN	 (in pain) Me? No. I'm very attached to my balls. As you can probably tell.	PATTY	 (lets go) Then do the right thing, understand?	BEN	 (greatly relieved) Yes, I understand completely. May I go now? I have perishables --	Analyze That 
BEN	 (in pain) Me? No. I'm very attached to my balls. As you can probably tell.	PATTY	 (lets go) Then do the right thing, understand?	BEN	 (greatly relieved) Yes, I understand completely. May I go now? I have perishables --			Analyze That 
PATTY	 (lets go) Then do the right thing, understand?	BEN	 (greatly relieved) Yes, I understand completely. May I go now? I have perishables --					Analyze That 
PATTY	 Don't bullshit me, Paul. You're planning something. I'm feeling very left out.	VITTI	 (quietly) Okay. Something big is going down, but you're getting a cut. My hand to God.	PATTY	 You're a good friend, Paul. And I would never think of insisting on this, but I'd feel better if you brought in Eddie and some of my guys to help with the job.	VITTI	 I don't think so.	Analyze That 
RAOUL	 Immediately. Raoul moves away quickly.   Patty turns back to Vitti.	PATTY	 It's good to have you back, Paul. (kisses Vitti on the cheek) We'll be in touch.					Analyze That 
RAOUL	 I'll have Brian do it.   He's new. Rigazzi and his men join them.	RIGAZZI	 (to Vitti) Could I talk to you for a second?	RAOUL	 (eyeing Rigazzi) Oh, what is this now, the bus and truck tour of Guys and Dolls?	VITTI	 This is Lou Rigazzi.	Analyze That 
RIGAZZI	 (to Vitti) Could I talk to you for a second?	RAOUL	 (eyeing Rigazzi) Oh, what is this now, the bus and truck tour of Guys and Dolls?	VITTI	 This is Lou Rigazzi.	RAOUL	 (a horrified whisper) 'The Wrench.'	Analyze That 
VITTI	 This is Lou Rigazzi.	RAOUL	 (a horrified whisper) 'The Wrench.'	RAOUL (CONT'D)	 (taking Rigazzi's hand) Please, forgive me. I'm on painkillers -- half the time I don't know what I'm saying.	RIGAZZI	 Get lost.	Analyze That 
RIGAZZI	 Get lost.	RAOUL	 Certainly. (as he exits) Brian! Get my car!	RIGAZZI	 (to Vitti) I need a couple minutes.	VITTI	 (nodding)	Analyze That 
RAOUL	 Certainly. (as he exits) Brian! Get my car!	RIGAZZI	 (to Vitti) I need a couple minutes.	VITTI	 (nodding)			Analyze That 
RIGAZZI	 (to Vitti) I need a couple minutes.	VITTI	 (nodding)					Analyze That 
VITTI	 I don't think so.	RIGAZZI	 (a beat) Well, so much for sleeping better. Rigazzi smiles and pats Vitti's cheek, then exits with his					Analyze That 
JELLY	 Hey, Dr. Sobel?	BEN	 Jelly, hi. (recognizing some of the others) Hey! Yo-Yo!	JELLY	 It's Mo-Mo.	BEN	 Right. I was thinking of the cellist. How's it going?	Analyze That 
VITTI	 Who says I'm lying? I finally    get a straight job and start putting   my life in order and you come in here   and start accusing me! That's how    much you trust me?	BEN	 (off   balance) It's not that   I don't trust you, I just don't --   trust you.   Are you lying to me?    Because I know you, Paul. You'll    say or do anything to get your own   way.	VITTI	 This is what's so hard about being an ex-con. You make one little mistake in your life and people never let you forget it.	BEN	 Oh, so now you're the victim?    I want the truth.	Analyze That 
VITTI	 No, strong, like before.	BEN	 (forceful) I want the truth!	VITTI	 Yeah, that's good!	BEN	 Paul --	Analyze That 
SOUNDMAN	 Sound speed.	RAOUL	 (shouts) Action!	RAOUL	 (doubtful) Does that screaming sound real to you?	VITTI		Analyze That 
VITTI	 Come on -- you were great.	BEN	 (turning on a dime) Really? I was scared at first, but on the second take, I think I found some good stuff. I was able to texture the screaming --	BEN	 Oh, screw you, Paul.   Just screw you.	VITTI	 What, are you self-medicating again? And don't give that decongestant multi-vitamin bullshit.	Analyze That 
BEN	 It's my business. I want to know. I'm a federal institution.	VITTI	 (checks side- view mirror) You recognize that car?	BEN	 Which car?	VITTI	 The one that's been following us the last mile and a half. Ben jerks his head around to look and sees a black Mercedes behind him.	Analyze That 
BEN	 (shouting back at the Mercedes) It's a goddamn lease!	VITTI	 (looks back) Move over. I'll drive.	BEN	 Move over?   Where? Vitti puts his left foot on the gas pedal and his left hand on the wheel.	VITTI	 Backseat.    Now! Ben tries to launch himself into the backseat but is stopped by his seat belt.	Analyze That 
VITTI	 (determined) Hang on.	BEN	 It's gonna get worse?					Analyze That 
VITTI	 So long, Doc. Vitti takes off running, ducking behind the rows of parked cars.	BEN	 (calling after him) That's it! I'm finished! You're on your own now, pal! I'm -- POLICE CARS and the FBI CAR SCREECH into the parking lot and surround Ben.	BEN	 (quietly) -- screwed.			Analyze That 
CHAPIN	 You can't take your car. We're impounding it as evidence.	BEN	 (exasperated) Then can somebody give me a ride home?	CHAPIN	 Yeah, the government runs a limousine service. The number is 1-800-Fuck Off.			Analyze That 
JELLY	 Paul, not that I'm questioning, but what do we want with Eddie DeVol? Guy's a fuckin' scumbag.	VITTI	 Look, I'm not happy about it, but if it keeps Patty off my back, so be it. They're meeting us at the club. Let's head out. (as they all get up) Not all at once. I gotta tell you everything? A PRODUCTION ASSISTANT KNOCKS and sticks her head in the door.	VITTI	 No, I gotta go. P.A. He said it was important.			Analyze That 
TONY BELLA	 Wait, Paul.   That's interesting.    Like what?	VITTI	 (impatient) I don't know. You could kick a guy in the face.	TONY BELLA	 Who?	VITTI	 (irritated) Just some guy! You knock him down, give him a couple quick kicks in the head while he's on the ground.	Analyze That 
TONY BELLA	 Who?	VITTI	 (irritated) Just some guy! You knock him down, give him a couple quick kicks in the head while he's on the ground.	TONY BELLA	 Why?	VITTI	 Why not? Because he's there and you're pissed off.	Analyze That 
VITTI	 Maybe once or twice.   Look, I got people waiting.	TONY BELLA	 (thinks about it, decides not) My character wouldn't do that.   What else?	VITTI	 (at a loss, getting angrier) I don't know. You could yell real loud?	TONY BELLA	 Yell real loud? That's original.	Analyze That 
TONY BELLA	 (thinks about it, decides not) My character wouldn't do that.   What else?	VITTI	 (at a loss, getting angrier) I don't know. You could yell real loud?	TONY BELLA	 Yell real loud? That's original.	VITTI	 (pops) Or keep your fuckin' mouth shut! Who gives a shit what you do, for cryin' out loud? Tony Bella likes something about Vitti's inflection.	Analyze That 
TONY BELLA	 Yell real loud? That's original.	VITTI	 (pops) Or keep your fuckin' mouth shut! Who gives a shit what you do, for cryin' out loud? Tony Bella likes something about Vitti's inflection.	TONY BELLA	 (imitates him) Who gives a shit what you do, for cryin' out loud?	VITTI	 What are you doin'?	Analyze That 
VITTI	 (pops) Or keep your fuckin' mouth shut! Who gives a shit what you do, for cryin' out loud? Tony Bella likes something about Vitti's inflection.	TONY BELLA	 (imitates him) Who gives a shit what you do, for cryin' out loud?	VITTI	 What are you doin'?	TONY BELLA	 What are you doin'?	Analyze That 
TONY BELLA	 What are you doin'?	VITTI	 (irritated) Okay, you can cut that shit out right now.	TONY BELLA	 Okay, you can cut that shit out right now.	VITTI	 (menacing) Hey, I'm serious, asshole!	Analyze That 
TONY BELLA	 Okay, you can cut that shit out right now.	VITTI	 (menacing) Hey, I'm serious, asshole!	TONY BELLA				Analyze That 
MICHAEL	 Working.	BEN	 (pleasantly surprised) You got a job? That's great. Look how handsome you look in that suit. What's the job?	MICHAEL	 (reluctantly) I'm working for Mr. Vitti.   I'm his driver.	BEN	 Oh, no, you're not!	Analyze That 
BEN	 (pleasantly surprised) You got a job? That's great. Look how handsome you look in that suit. What's the job?	MICHAEL	 (reluctantly) I'm working for Mr. Vitti.   I'm his driver.	BEN	 Oh, no, you're not!	MICHAEL	 You keep telling me to get a job!	Analyze That 
LAURA	 Ben? Where've you been?    What happened to you?	BEN	 (minimizing) I was  in a car chase. There  was a little  shooting -- not that much really  -- then they -- drove into the river.   It wasn't as bad as it sounds.	LAURA	 When is this going to end?	BEN	 Tonight, I hope. I just have to find him and --	Analyze That 
BEN	 Yeah, but he's an amazing lout, isn't he? I can't quit now. You know that.	LAURA	 (relents) Go.   Just don't get shot -- please?	BEN	 I love you. They kiss.     Then Ben turns to Michael.	BEN	 All right, where is he?	Analyze That 
MICHAEL	 I can't.	LAURA	 (pops) You tell your father right now or I'll give you such a smack it won't even be funny!	MICHAEL	 (surprised) Okay!   I dropped him at the club.	BEN	 What club?	Analyze That 
LAURA	 (pops) You tell your father right now or I'll give you such a smack it won't even be funny!	MICHAEL	 (surprised) Okay!   I dropped him at the club.	BEN	 What club?	MICHAEL	 Little Darling's in Queens.	Analyze That 
BEN	 Jelly!	JELLY	 (yelling over music) Hey, Doc. What are you doin' here?	BEN	 Where's Paul? Jelly tucks a few bills into her G-string.     She looks at Ben and winks suggestively.	JELLY	 I think she likes you, Doc.     Give her a couple of bucks. Ben reluctantly digs in his pocket and holds out a bill to the stripper.	Analyze That 
BEN	 Okay, Paul, what's going on?	VITTI	 (keyed up) What are you doing here?	BEN	 I could ask you the same thing.	VITTI	 What's it look like? We're just blowin' off a little steam. What's the big deal?	Analyze That 
EDDIE	 How's it goin', Paulie? You know my guys -- Enormous Bobby and Al Pacino?	VITTI	 (looks at him) Al Pacino? That's your real name?	AL PACINO	 No. People call me that because I look like Al Pacino. (beat) The actor.	VITTI	 Anybody ever call you Carol Burnett?	Analyze That 
VITTI	 (looks at him) Al Pacino? That's your real name?	AL PACINO	 No. People call me that because I look like Al Pacino. (beat) The actor.	VITTI	 Anybody ever call you Carol Burnett?	AL PACINO	 No.   Why?	Analyze That 
EDDIE	 So we're all here. Let's do it. He heads for the back of the club with his guys.   Vitti and Jelly start to follow.	BEN	 (stops Vitti) Let's do what?	VITTI	 You better get out of here.	BEN	 (lays a hand on his arm) I'm not going until you tell me what's going on here. Vitti violently shakes off Ben's hand.	Analyze That 
VITTI	 You better get out of here.	BEN	 (lays a hand on his arm) I'm not going until you tell me what's going on here. Vitti violently shakes off Ben's hand.	VITTI	 (menacing) Don't make me hurt you.    Get the fuck out of here. He walks away leaving Ben frozen. Ben watches as they disappear through a door leading to the			Analyze That 
BEN	 (lays a hand on his arm) I'm not going until you tell me what's going on here. Vitti violently shakes off Ben's hand.	VITTI	 (menacing) Don't make me hurt you.    Get the fuck out of here. He walks away leaving Ben frozen. Ben watches as they disappear through a door leading to the					Analyze That 
ENORMOUS BOBBY	 I found this guy listening at the door.	BEN	 (dazed) Hey, guys. How's it going?	EDDIE	 Who is this guy?	BEN	 (not looking at Eddie) Ben Sobel. Sorry, I can't move my head to the right. Boy, I hope that's not permanent.	Analyze That 
EDDIE	 Who is this guy?	BEN	 (not looking at Eddie) Ben Sobel. Sorry, I can't move my head to the right. Boy, I hope that's not permanent.	EDDIE	 Get rid of him. Al Pacino puts his gun to Ben's head.	BEN	 (still dazed) Hi, Carol.	Analyze That 
EDDIE	 Get rid of him. Al Pacino puts his gun to Ben's head.	BEN	 (still dazed) Hi, Carol.	AL PACINO	 You're a dead man, asshole.    Let's go.	VITTI	 What are you doing?	Analyze That 
BEN	 I think in is better.	VITTI	 (reluctantly) He's in. He's my responsibility.	EDDIE	 (to Vitti) Okay, no more surprises. And from this moment on, no one leaves my sight. Got it? Now go through it one more time.	VITTI	 Okay -- everybody listen up.	Analyze That 
VITTI	 (reluctantly) He's in. He's my responsibility.	EDDIE	 (to Vitti) Okay, no more surprises. And from this moment on, no one leaves my sight. Got it? Now go through it one more time.	VITTI	 Okay -- everybody listen up.	BEN	 Wait! (sits)	Analyze That 
VITTI	 Okay -- everybody listen up.	BEN	 Wait! (sits)					Analyze That 
MILLER	 Where's Vitti?   I don't see Vitti. Cerrone stares with the growing awareness that they've been had.	CERRONE	 Damn it! (grimly, into radio)					Analyze That 
JELLY	 Here. See if this'll fit under your shirt.	BEN	 (extremely nervous) I could fit you under my shirt.    Don't they have anything smaller?	JELLY	 This ain't Bloomingdale's. Nobody knew you were comin'. You're lucky you're alive, Doc. He glances at Eddie DeVol.	BEN	 (hisses) Nobody's going to be alive when this is over. What kind of plan is this? It's crazy. It's stupid!	Analyze That 
JELLY	 This ain't Bloomingdale's. Nobody knew you were comin'. You're lucky you're alive, Doc. He glances at Eddie DeVol.	BEN	 (hisses) Nobody's going to be alive when this is over. What kind of plan is this? It's crazy. It's stupid!	JELLY	 Watch it. It may be crazy but it ain't stupid. If you want to stay alive, just keep your mouth shut, do everything I tell you and try not to pee in your pants. (quietly) Can you handle an M-16? He holds up an automatic rifle.	BEN	 You mean shoot it?	Analyze That 
BEN	 (hisses) Nobody's going to be alive when this is over. What kind of plan is this? It's crazy. It's stupid!	JELLY	 Watch it. It may be crazy but it ain't stupid. If you want to stay alive, just keep your mouth shut, do everything I tell you and try not to pee in your pants. (quietly) Can you handle an M-16? He holds up an automatic rifle.	BEN	 You mean shoot it?	JELLY	 No, I mean twirl it like a fuckin' baton. How about an A.K.?	Analyze That 
JELLY	 No, I mean twirl it like a fuckin' baton. How about an A.K.?	BEN	 (exasperated) Jelly --	JELLY	 (rummaging through pile) Kalashnikov, MAC-10, Uzi -- stop me if I hit one you like.	BEN	 Couldn't I just take this?	Analyze That 
BEN	 (exasperated) Jelly --	JELLY	 (rummaging through pile) Kalashnikov, MAC-10, Uzi -- stop me if I hit one you like.	BEN	 Couldn't I just take this?	JELLY	 Yeah, that's a good one. That gun brings back a lot of fond memories. Use it in good health. Ben puts the gun into the waistband of his dungarees, but it slips through and drops into his pants.	Analyze That 
JELLY	 Yeah, that's a good one. That gun brings back a lot of fond memories. Use it in good health. Ben puts the gun into the waistband of his dungarees, but it slips through and drops into his pants.	BEN	 (winces) Ooh, cold -- cold. He jams his hand down the front of his pants and starts searching around in there. Eddie and Enormous Bobby stare at him as they walk by.	BEN	 (explaining) My gun -- fell down in my -- He shakes his leg and the gun drops out of his cuff and clatters onto the floor. He smiles weakly and picks it up. Vitti approaches.    He looks agitated but under tight control.	VITTI	 (to Jelly) Check the bus. Jelly exits.	Analyze That 
BEN	 (explaining) My gun -- fell down in my -- He shakes his leg and the gun drops out of his cuff and clatters onto the floor. He smiles weakly and picks it up. Vitti approaches.    He looks agitated but under tight control.	VITTI	 (to Jelly) Check the bus. Jelly exits.	VITTI	 (quietly, to   Ben) If we can, I'm gonna   get you out before the real shit   goes down. Just don't flip out on me,   okay?	BEN	 You are making a huge mistake.   You know that, don't you?	Analyze That 
VITTI	 What are you, fucking Jiminy Cricket? I don't know what planet you live on, but here on Earth it's 'might makes right.'   Read the papers. The guys with the guns make the rules.	BEN	 (holding up the pistol) So I guess that makes me a real man now.  What happened to the white hat, Paul?  Your father wasn't wrong. You could be one of the good guys.	VITTI	 Enough. Say one more word about my father and I'll break your fuckin' head.	BEN	 (quietly) Okay.	Analyze That 
VITTI	 Enough. Say one more word about my father and I'll break your fuckin' head.	BEN	 (quietly) Okay.					Analyze That 
VITTI	 (checks his watch) I have five to three. They should start movin' any minute.	BEN	 (looking at his watch) I have three-o-six.	VITTI	 Let's see your watch.	SPOTTER (V.O.)	 (filtered) They're moving! Vitti keys his radio twice as a signal and holds up his	Analyze That 
VITTI	 Let's see your watch.	SPOTTER (V.O.)	 (filtered) They're moving! Vitti keys his radio twice as a signal and holds up his					Analyze That 
VITTI	 (shouts) Get the ramp! Eddie and his guys run up with a long, narrow track with metal rollers and set it up at the rear of the gold truck.	EDDIE	 (very excited) You know, this might just fuckin' work.	BEN				Analyze That 
VITTI	 $350 an ounce, 16 ounces in a pound, 90 pounds in each bar -- do the math.	JELLY	 (a beat) Actually, gold is measured in troy ounces. 14.6 ounces to the pound. That would be... $18,396,000.	BEN	 Really?	JELLY	 Give or take. He hears a LOUD CRASH and all eyes turn to the gates.	Analyze That 
VITTI	 Yeah?	BEN	 Sorry. (flipping out) What did I do? What did I do? I had a perfect life, I threw it away.	VITTI	 Don't do this. Vitti drags him off toward the building structure.	BEN	 I can't help it! My life is over! I'm going to jail. Some people can handle prison -- I'm not one of them. I have delicate features. I'm small. I'll be way too popular!	Analyze That 
BEN	 I can't breathe! I'm suffocating!	VITTI	 (shaking him) For Chrissake, get hold of yourself!	BEN	 I can't!   I'm dying!   We're all going to die! Suddenly, he slaps Vitti hard across the face.      They both freeze.	BEN	 Did I just hit you?	Analyze That 
VITTI	 Yeah.   Feel better now?	BEN	 (breaking down) I'm sorry, Paul. I blame myself for this. I wanted to help you. I wanted to be there for you. But I just wasn't good enough.	VITTI	 You were good.  It isn't your fault.	BEN	 No, it is. Since my father died -- (starts crying) I've lost my way. I don't know anything anymore. I mean, what's the point? I didn't think it would hit me so hard --	Analyze That 
