MARIA	 Is that what's happening now?	ROBERT	 When I was a kid my favorite teacher was Mr. James. Mr. James said that world events always revolve around five things: (extending his fingers one-	BY-ONE)				Arbitrage 
BRENT	 Hi I'm Brent Owens, the night supervisor. How can I help you?	EARL	 (handing him some papers) Hello, Brent. I'm Earl Monroe. I'm executing a criminal evidence request. I need to get a look at one of your lane tapes. Brent looks over the papers, confused.	BRENT	 I don't understand. This says you want to look at a tape made ten minutes ago...?			Arbitrage 
RITTENBAND	 I'll ask you one last time, detective. Where is the tape?	BRYER	 (after a beat) We lost it. Goldenrod - 4.17.11 93.	RITTENBAND	 Hmmm... In light of these developments, and I would think you should be very happy to hear this, with Mr. Monroe's approval I'm going to offer Mr. Deferlito the opportunity to voluntarily dismiss the indictment to save us all a bunch of embarrassment.	DEFERLITO	 I don't feel comfortable with that, your honor.	Arbitrage 
DEFERLITO	 I don't feel comfortable with that, your honor.	RITTENBAND	 Further I'm going to put all charges against Mr. Grant under seal. (Bryer starts heading to	THE DOOR)	 This case is dismissed with prejudice and it is not to be refiled. HOLD ON, Detective. (Bryer stops.) If you have another suspect in the automobile death then you are to present him, but Mr. Grant is free from any further inquiry in this matter. This is over. Do I have your understanding?	EARL	 Thank you. Deferlito gets up angrily, huffs past Bryer.	Arbitrage 
RITTENBAND	 Further I'm going to put all charges against Mr. Grant under seal. (Bryer starts heading to	THE DOOR)	 This case is dismissed with prejudice and it is not to be refiled. HOLD ON, Detective. (Bryer stops.) If you have another suspect in the automobile death then you are to present him, but Mr. Grant is free from any further inquiry in this matter. This is over. Do I have your understanding?	EARL	 Thank you. Deferlito gets up angrily, huffs past Bryer.	RITTENBAND	 Close the door, detective, please... Bryer closes it. The judge holds up the toll photos.	Arbitrage 
RITTENBAND (CONT'D)	 I know who you're after. I saw all the evidence, not just the toll photo. You gotta get him the right way.	BRYER	 Oh, okay. (approaches the judge) So let me get this straight: What you're telling me is I'm supposed to sit around with my thumb up my ass and my fingers crossed hoping that one of these fucking days, somewhere down the line, one of these rich assholes is gonna say the wrong thing LOUD enough so that we can't choose to ignore it anymore?	RITTENBAND		(BEAT)	 Get the fuck outta of my office.	Arbitrage 
JIMMY	 Robert, look: you asked me to come meet you and I'm here, but I came because I wanted to get something straight between us: we're even.	ROBERT	 Okay, we're even. But just for the record though, what you did... (picks up the trust document) Was way beyond the money.	JIMMY		(LAUGHS)	 Nothing's beyond money for you.	Arbitrage 
(LAUGHS BACK)	 Thanks a lot.	JIMMY	 (pointing to the document) And if I take this, then what does that say about me? He thinks a moment, then folds the document and puts it in his pocket.	JIMMY (CONT'D)	 Fuck it. I'm gonna take your money and do something good with it. Hold on Jimmy.			Arbitrage 
ROBERT	 Yes.	ELLEN	 Everything? (off his silence) Lift up your shirt.	ROBERT	 What?	ELLEN	 Lift up -- your shirt. He doesn't move. She stands and heads towards him. Then she hits him with a a NEWSPAPER, right at his broken rib. He winces a little, then looks down at the floor. It's the Post article chronicling Julie's death. Goldenrod - 4.17.11 97.	Arbitrage 
ELLEN	 This isn't about your business, this is our life! Where do you think we're going tonight? Why do you think I've even tolerated this for so long?	ROBERT	 (he's had enough) What you've tolerated? Wow!	ELLEN	 I'm glad you find that funny. Goldenrod - 4.17.11 98.	ROBERT	 What about me? What about the complaints? The unhappiness? The drinking? The shopping? The trainers? Everything! But yes, the charities, the wonderful sainted charities, you know, all the wonderful works that you do. How do you think I've paid for them?	Arbitrage 
ROBERT	 Apparently not, no. No.	ELLEN	 (like talking to a child) Okay, uhm, the police have been trying to talk me. I assume they want to know where you were that night. And you know what? I'm not gonna lie for you anymore. Not unless you sign that. A beat.	ROBERT	 Yeah, this leaves me with nothing.	ELLEN	 I think you'll find a way to manage. I'm sure you have all kinds of things offshore for a rainy day.	Arbitrage 
ROBERT		(LAUGHS)	 That's fucking ridiculous! What... (crosses close to her) Are you trying to blackmail me?	ELLEN	 I think we call it negotiating. Goldenrod - 4.17.11 100.	ROBERT	 You're not gonna win that one. There's no fucking way.	Arbitrage 
ROBERT	 She'll be better for it. The world is cold. Goldenrod - 4.17.11 101.	ELLEN	 (turns and heads out) Then you're gonna need a warm coat. We hold on Robert's face. PRE-LAP Bill Evans' "My Foolish Heart."					Arbitrage 
AIMES	 I did.	MAYFIELD	 (after a beat) And what did you conclude?	AIMES	 It's in front of you.	MAYFIELD		Arbitrage 
(LAUGHS)	 I didn't ask you what the paper said, John. I asked you what you thought. Goldenrod - 4.17.11 102.	AIMES	 (after a beat, carefully) Well... what do you think?	MAYFIELD	 I think... I think... that I don't see anything wrong here. Mayfield closes the folder and places it with the rest of his papers. Aimes nods.			Arbitrage 
