BUD (V.O.)	 It's a real nice apartment - nothing fancy -- but kind of cozy -- just right for a bachelor. The only problem is - I can't always get in when I want to. INT. THE APARTMENT - EVENING (Picasso, Braque, Klee) tacked up on the walls.	KIRKEBY	 (calling off) Come on, Sylvia.  It's getting late.	KIRKEBY	 Cut it out, Sylvia.  We got to get out of here.			Apartment, The 
SHELDRAKE	 (to a passing cab) Taxi!	FRAN	 I have that date -- remember?	SHELDRAKE	 I love you -- remember?			Apartment, The 
VANDERHOF	 All right, so you got yourself a girl -- that's okay with us -- but not every night of the week.	KIRKEBY	 How selfish can you get? (to the others) Last week I had to borrow my nephew's car and take Sylvia to a drive-in in Jersey. I'm too old for that sort of thing -- I mean, in a Volkswagen.	BUD	 I sympathize with your problem -- and believe me, I'm very sorry --	DOBISCH	 You'll be a lot sorrier before we're through with you.	Apartment, The 
BUD	 Good morning, Mr. Sheldrake.	SHELDRAKE	 Morning, gentlemen. (to Bud) Everything satisfactory? You like your office?	BUD	 Oh, yes, sir. Very much. And I want to thank you --	SHELDRAKE	 Don't thank me -- thank your friends here -- they're the ones who recommended you.	Apartment, The 
SHELDRAKE	 Don't thank me -- thank your friends here -- they're the ones who recommended you.	DOBISCH	 We just dropped in to wish him the best. (quickly brushes cigar ash off desk)	KIRKEBY	 (as they move toward the door) So long, Baxter. We know you won't let us down.	BUD	 So long, fellas. Drop in any time. The door is always open -- to my office.	Apartment, The 
DOBISCH	 We just dropped in to wish him the best. (quickly brushes cigar ash off desk)	KIRKEBY	 (as they move toward the door) So long, Baxter. We know you won't let us down.	BUD	 So long, fellas. Drop in any time. The door is always open -- to my office.	SHELDRAKE	 I like the way you handled that. Well, how does it feel to be an executive?	Apartment, The 
BUD	 Fine. And I want you to know I'll work very hard to justify your confidence in me --	SHELDRAKE	 Sure you will. (a beat) Say, Baxter, about the apartment - now that you got a raise, don't you think we can afford a second key?	BUD	 Well -- I guess so.	SHELDRAKE	 You know my secretary -- Miss Olsen --	Apartment, The 
SHELDRAKE	 Oh, yes. Thanks.	BUD	 The mirror is broken. (opens compact, revealing crack in mirror) It was broken when I found it.	SHELDRAKE	 So it was. (takes the compact) She threw it at me.	BUD	 Sir?	Apartment, The 
BUD	 The mirror is broken. (opens compact, revealing crack in mirror) It was broken when I found it.	SHELDRAKE	 So it was. (takes the compact) She threw it at me.	BUD	 Sir?	SHELDRAKE	 You know how it is -- sooner or later they all give you a bad time.	Apartment, The 
SHELDRAKE	 You know how it is -- sooner or later they all give you a bad time.	BUD	 (man-of-the-world) I know how it is.	SHELDRAKE	 You see a girl a couple of times a week -- just for laughs -- and right away she thinks you're going to divorce your wife. I ask you -- is that fair?	BUD	 No, sir. That's very unfair -- especially to your wife.	Apartment, The 
BUD	 No, sir. That's very unfair -- especially to your wife.	SHELDRAKE	 Yeah. (shifting gears) You know, Baxter, I envy you. Bachelor -- all the dames you want -- no headaches, no complications --	BUD	 Yes, sir. That's the life, all right.	SHELDRAKE	 Put me down for Thursday again.	Apartment, The 
OPERATORS	 Consolidated Life -- Merry Christmas -- I'll connect you -- Consolidated Life -- Merry Christmas -- I'm ringing --	SYLVIA	 (into mouthpiece) Yeah? -- YEAH? -- Where? -- You bet --	SYLVIA	 Somebody watch my line -- there's a swinging party up on the nineteenth floor --			Apartment, The 
SYLVIA	 (to a colleague) -- so I said to him: Never again! -- either get yourself a bigger car or a smaller girl --	BUD	 Miss Kubelik.	BUD	 (holding out one of the drinks) Marry Christmas.			Apartment, The 
BUD	 (holding out one of the drinks) Marry Christmas.	FRAN	 Thank you. (takes drink) I thought you were avoiding me.	BUD	 What gave you that idea?	FRAN	 In the last six weeks you've only been in my elevator once -- and then you didn't take your hat off.	Apartment, The 
FRAN	 Don't be too sure. Just because I wear a uniform -- that doesn't make me a Girl Scout.	BUD	 Miss Kubelik, one doesn't get to be a second administrative assistant around here unless he's a pretty good judge of character -- and as far as I'm concerned, you're tops. I mean, decency-wise -- and otherwise-wise. (toasting) Cheers.	FRAN	 Cheers.	BUD	 One more?	Apartment, The 
BUD	 One more?	FRAN	 (indicating elevator) I shouldn't drink when I'm driving.	BUD	 You're so right.			Apartment, The 
BUD	 By the power vested in me, I herewith declare this elevator out of order. (leading her toward the party) Shall we join the natives?	FRAN	 Why not? (as they pass a kissing couple) They seem friendly enough.	BUD	 Don't you believe it. Later on there will be human sacrifices -- white collar workers tossed into the computing machines, and punched full of those little square holes.	FRAN	 How many of those drinks did you have?	Apartment, The 
FRAN	 How many of those drinks did you have?	BUD	 (holding up four fingers) Three.	FRAN	 I thought so.	BUD	 You wait here. I think I hear the sound of running water.	Apartment, The 
MISS OLSEN	 And before me there was Miss Rossi in Auditing -- and after me there was Miss Koch in Disability -- and just before you there was Miss What's-Her-Name, on the twenty- fifth floor --	FRAN	 (wanting to get away) Will you excuse me?	MISS OLSEN	 (holding her by the arm) What for? You haven't done anything -- it's him -- what a salesman -- always the last booth in the Chinese restaurant -- and the same pitch about divorcing his wife -- and in the end you wind up with egg foo yong on your face.	BUD	 Miss Kubelik.	Apartment, The 
FRAN	 (wanting to get away) Will you excuse me?	MISS OLSEN	 (holding her by the arm) What for? You haven't done anything -- it's him -- what a salesman -- always the last booth in the Chinese restaurant -- and the same pitch about divorcing his wife -- and in the end you wind up with egg foo yong on your face.	BUD	 Miss Kubelik.	FRAN	 Well -- thank you.	Apartment, The 
BUD	 You all right? What's the matter?	FRAN	 Nothing. (takes the drink) There are just too many people here.	BUD	 Why don't we step into any office? There's something I want your advice about, anyway. (leads her toward his cubicle) I have my own office now, naturally. And you may be interested to know I'm the second youngest executive in the company -- the only one younger is a grandson of the chairman of the board.			Apartment, The 
FRAN	 Nothing. (takes the drink) There are just too many people here.	BUD	 Why don't we step into any office? There's something I want your advice about, anyway. (leads her toward his cubicle) I have my own office now, naturally. And you may be interested to know I'm the second youngest executive in the company -- the only one younger is a grandson of the chairman of the board.					Apartment, The 
BUD	 Guess I made a boo-boo, huh?	FRAN	 (paying attention again) No -- I like it.	BUD	 Really? You mean you wouldn't be ashamed to be seen with somebody in a hat like this?	FRAN	 Of course not.	Apartment, The 
FRAN	 Of course not.	BUD	 Maybe if I wore it a little more to the side -- (adjusting hat) is that better?	FRAN	 Much better.	BUD	 Well, as long as you wouldn't be ashamed to be seen with me -- how about the three of us going out this evening -- you and me and the bowler -- stroll down Fifth Avenue -- sort of break it in --	Apartment, The 
BUD	 Oh, you don't have to worry about that. I have quite a bit of influence in Personnel. You know Mr. Sheldrake?	FRAN	 (guardedly) Why?	BUD	 He and I are like this. (crosses his fingers) Sent me a Christmas card. See?	SEASON'S GREETINGS	 from the SHELDRAKES Emily, Jeff, Tommy, Jeff Jr., and Figaro.	Apartment, The 
FRAN	 (guardedly) Why?	BUD	 He and I are like this. (crosses his fingers) Sent me a Christmas card. See?	SEASON'S GREETINGS	 from the SHELDRAKES Emily, Jeff, Tommy, Jeff Jr., and Figaro.	FRAN	 (studying the card ruefully) Makes a cute picture.	Apartment, The 
SEASON'S GREETINGS	 from the SHELDRAKES Emily, Jeff, Tommy, Jeff Jr., and Figaro.	FRAN	 (studying the card ruefully) Makes a cute picture.	BUD	 I thought maybe I could put in a word for you with Mr. Sheldrake -- get you a little promotion -- how would you like to be an elevator starter?	FRAN	 I'm afraid there are too many other girls around here with seniority over me.	Apartment, The 
FRAN	 I'm afraid there are too many other girls around here with seniority over me.	BUD	 No problem. Why don't we discuss it sometime over the holidays -- I could call you and pick you up and we'll have the big unveiling -- (touching the brim of his bowler) -- you sure this is the right way to wear it?	FRAN	 I think so.	BUD	 You don't think it's tilted a little too much --	Apartment, The 
FRAN	 Here.	BUD	 (examining himself in the mirror) After all, this is a conservative firm -- I don't want people to think I'm an entertainer --	FRAN	 What is it?	BUD	 (with difficulty) The mirror -- it's broken.	Apartment, The 
FRAN	 What is it?	BUD	 (with difficulty) The mirror -- it's broken.	FRAN	 I know. I like it this way -- makes me look the way I feel.	FRAN	 Your phone.	Apartment, The 
FRAN	 Your phone.	BUD	 Oh. (picks up phone from desk) Yes? (throws a quick look at Fran) Just a minute. (covers mouthpiece; to Fran) If you don't mind -- this is sort of personal	FRAN	 All right. Have a nice Christmas.	BUD	 (every word hurts) Yes, Mr. Sheldrake -- no, I didn't forget -- the tree is up and the Tom and Jerry mix is in the refrigerator -- yes, sir -- same to you.	Apartment, The 
FRAN	 All right. Have a nice Christmas.	BUD	 (every word hurts) Yes, Mr. Sheldrake -- no, I didn't forget -- the tree is up and the Tom and Jerry mix is in the refrigerator -- yes, sir -- same to you.					Apartment, The 
SANTA CLAUS	 (to bartender) Hey, Charlie -- give me a shot of bourbon -- and step on it -- my sleigh is double parked.	MARGIE	 You buy me a drink, I'll buy you some music. (sets the glass down) Rum Collins.	BUD	 Rum Collins. (indicating martini glass) And another one of these little mothers.	MARGIE	 (out of nowhere) You like Castro? (a blank look from Bud) I mean -- how do you feel about Castro?	Apartment, The 
MARGIE	 You buy me a drink, I'll buy you some music. (sets the glass down) Rum Collins.	BUD	 Rum Collins. (indicating martini glass) And another one of these little mothers.	MARGIE	 (out of nowhere) You like Castro? (a blank look from Bud) I mean -- how do you feel about Castro?	BUD	 What is Castro?	Apartment, The 
BUD	 Rum Collins. (indicating martini glass) And another one of these little mothers.	MARGIE	 (out of nowhere) You like Castro? (a blank look from Bud) I mean -- how do you feel about Castro?	BUD	 What is Castro?	MARGIE	 You know, that big-shot down in Cuba with the crazy beard.	Apartment, The 
BUD	 Well, you can't win 'em all.	MARGIE	 (to herself) 'Twas the night before Christmas And all through the house Not a creature was stirring -- Nothing -- No action -- Dullsville! (drinks; to Bud) You married?	BUD	 No.	MARGIE	 Family?	Apartment, The 
SHELDRAKE	 (stops and faces Fran) Come on, Fran -- don't be like that. You just going to sit there and keep bawling? (no answer) You won't talk to me, you won't tell me what's wrong -- (a new approach) Look, I know you think I'm stalling you. But when you've been married to a woman for twelve years, you don't just sit down at the breakfast table and say "Pass the sugar -- and I want a divorce." It's not that easy. (he resumes pacing; Fran continues crying) Anyway, this is the wrong time. The kids are home from school -- my in- laws are visiting for the holidays -- I can't bring it up now. (stops in front of her) This isn't like you, Fran -- you were always such a good sport -- such fun to be with --	FRAN	 (through tears) Yeah -- that's me. The Happy Idiot -- a million laughs.	SHELDRAKE	 Well, that's more like it. At least you're speaking to me.	FRAN	 Funny thing happened to me at the office party today -- I ran into your secretary -- Miss Olsen. You know -- ring-a-ding-ding? I laughed so much I like to died.	Apartment, The 
FRAN	 Yeah, we better.	SHELDRAKE	 I have a present for you. I didn't quite know what to get you -- anyway it's a little awkward for me, shopping -- (he has taken out a money clip, detaches a bill) -- so here's a hundred dollars -- go out and buy yourself something.	SHELDRAKE	 They have some nice alligator bags at Bergdorf's --	SHELDRAKE	 Fran, it's a quarter to seven -- and I mustn't miss the train -- if we hadn't wasted all that time -- I have to get home and trim the tree --	Apartment, The 
SHELDRAKE	 Fran, it's a quarter to seven -- and I mustn't miss the train -- if we hadn't wasted all that time -- I have to get home and trim the tree --	FRAN	 Okay. (shrugs the coat back on) I just thought as long as it was paid for --	SHELDRAKE	 (an angry step toward her) Don't ever talk like that, Fran! Don't make yourself out to be cheap.	FRAN	 A hundred dollars? I wouldn't call that cheap. And you must be paying somebody something for the use of the apartment --	Apartment, The 
FRAN	 Okay. (shrugs the coat back on) I just thought as long as it was paid for --	SHELDRAKE	 (an angry step toward her) Don't ever talk like that, Fran! Don't make yourself out to be cheap.	FRAN	 A hundred dollars? I wouldn't call that cheap. And you must be paying somebody something for the use of the apartment --	SHELDRAKE	 (grabbing her arms) Stop that, Fran.	Apartment, The 
FRAN	 A hundred dollars? I wouldn't call that cheap. And you must be paying somebody something for the use of the apartment --	SHELDRAKE	 (grabbing her arms) Stop that, Fran.	FRAN	 (quietly) You'll miss your train, Jeff.	SHELDRAKE	 Coming?	Apartment, The 
SHELDRAKE	 (grabbing her arms) Stop that, Fran.	FRAN	 (quietly) You'll miss your train, Jeff.	SHELDRAKE	 Coming?	FRAN	 You run along -- I want to fix my face.	Apartment, The 
FRAN	 You run along -- I want to fix my face.	SHELDRAKE	 (heading for the door) Don't forget to kill the lights. See you Monday.	FRAN	 Sure. Monday and Thursday -- and Monday again -- and Thursday again --	SHELDRAKE	 (that stops him in the half-open door) It won't always be like this. (coming back) I love you, Fran.	Apartment, The 
FRAN	 Sure. Monday and Thursday -- and Monday again -- and Thursday again --	SHELDRAKE	 (that stops him in the half-open door) It won't always be like this. (coming back) I love you, Fran.	FRAN	 (turning her head) Careful -- lipstick.			Apartment, The 
SHELDRAKE	 (that stops him in the half-open door) It won't always be like this. (coming back) I love you, Fran.	FRAN	 (turning her head) Careful -- lipstick.					Apartment, The 
BARTENDER	 (to Santa Claus) Drink up, Pop. It's closing time.	SANTA CLAUS	 But it's early, Charlie.	BARTENDER	 Don't you know what night this is?			Apartment, The 
MARGIE	 Where do we go -- my place or yours?	BUD	 (peering at his watch) Might as well go to mine -- everybody else does.					Apartment, The 
MARGIE	 Poor Mickey -- when I think of him all by himself in that jail in Havana -- (opening her handbag) -- want to see his picture?	BUD	 (from steps) Not particularly.	MARGIE	 He's so cute -- five-foot-two -- ninety-nine pounds...like a little chihuahua.			Apartment, The 
MARGIE	 (looking around) Say, this is Snugsville.	BUD	 (helping her out of her coat) Mrs. MacDougall, I think it is only fair to warn you that you are now alone with a notorious sexpot.	MARGIE	 (a gleam) No kidding.	BUD	 Ask anybody around here. As a matter of fact, when it's time for me to go -- and I may go just like that -- (snaps his fingers) -- I have promised my body to the Columbia Medical Center.	Apartment, The 
BUD	 (helping her out of her coat) Mrs. MacDougall, I think it is only fair to warn you that you are now alone with a notorious sexpot.	MARGIE	 (a gleam) No kidding.	BUD	 Ask anybody around here. As a matter of fact, when it's time for me to go -- and I may go just like that -- (snaps his fingers) -- I have promised my body to the Columbia Medical Center.	MARGIE	 (shuddering deliciously) Gee. Sort of gives you goose-bumps just to think about it.	Apartment, The 
MARGIE	 (a gleam) No kidding.	BUD	 Ask anybody around here. As a matter of fact, when it's time for me to go -- and I may go just like that -- (snaps his fingers) -- I have promised my body to the Columbia Medical Center.	MARGIE	 (shuddering deliciously) Gee. Sort of gives you goose-bumps just to think about it.	BUD	 Well, they haven't got me yet, baby. Dig up some ice from the kitchen and let's not waste any time -- preliminary-wise.	Apartment, The 
BUD	 Ask anybody around here. As a matter of fact, when it's time for me to go -- and I may go just like that -- (snaps his fingers) -- I have promised my body to the Columbia Medical Center.	MARGIE	 (shuddering deliciously) Gee. Sort of gives you goose-bumps just to think about it.	BUD	 Well, they haven't got me yet, baby. Dig up some ice from the kitchen and let's not waste any time -- preliminary-wise.	MARGIE	 I'm with you, lover.	Apartment, The 
MARGIE	 I'm with you, lover.	BUD	 All right, Miss Kubelik -- get up. It's past checking-out time, and the hotel management would appreciate it if you would get the hell out of here. (Fran doesn't stir) Look, Miss Kubelik, I used to like you -- I used to like you a lot -- but it's all over between us -- so beat it -- O-U-T -- out! (no reaction; he puts a hand on her shoulder, shakes her) Come on -- wake up!	BUD	 (a hoarse whisper) Oh, my God.	BUD	 Miss Kubelik! Miss Kubelik!	Apartment, The 
MARGIE	 Not so rough, honey.	BUD	 (taking the glass out of her hand) Good night.	MARGIE	 Good night?	BUD	 (thrusting the fur coat at her) The party's over.	Apartment, The 
MARGIE	 Good night?	BUD	 (thrusting the fur coat at her) The party's over.	MARGIE	 What's the matter? Did I do something wrong?	BUD	 (easing her toward door) It's an emergency -- see you some other time.	Apartment, The 
MARGIE	 What's the matter? Did I do something wrong?	BUD	 (easing her toward door) It's an emergency -- see you some other time.	BUD	 Not this one -- (pointing to the bedroom) -- in there, Doc.	MARGIE	 Say, what's going on here, anyway?	Apartment, The 
MARGIE	 Say, what's going on here, anyway?	BUD	 Nothing. (propelling her toward the door) Just clear out, will you?	MARGIE	 (pointing back) My shoes.	MARGIE	 (bitterly) Some lover you are. Some sexpot!	Apartment, The 
BUD	 Nothing. (propelling her toward the door) Just clear out, will you?	MARGIE	 (pointing back) My shoes.	MARGIE	 (bitterly) Some lover you are. Some sexpot!	BUD	 Here -- find yourself a phone booth and call your husband in Havana.	Apartment, The 
BUD	 Here -- find yourself a phone booth and call your husband in Havana.	MARGIE	 You bet I will. And when I tell him how you treated me, he'll push your face in. (he shoves her through the open door) You fink!	BUD	 She going to be all right, Doc?	DR. DREYFUSS	 How many pills were in that bottle?	Apartment, The 
BUD	 I don't know -- I mean -- I wasn't here -- you see -- we had some words earlier -- nothing serious, really -- what you might call a lovers' quarrel --	DR. DREYFUSS	 (making off-scene injection) So you went right out and picked yourself up another dame.	BUD	 Something like that.	DR. DREYFUSS	 You know, Baxter, you're a real cutie-pie -- yes, you are.	Apartment, The 
BUD	 Miss Kubelik -- Fran.	DR. DREYFUSS	 (to Fran, slowly) Fran, I'm a doctor. I'm here because you took too many sleeping pills. Do you understand what I'm saying? (Fran mutters something) Fran, I'm Dr. Dreyfuss -- I'm here to help you. You took all those sleeping pills -- remember?	FRAN	 (mumbling groggily) Sleeping pills.	DR. DREYFUSS	 That's right, Fran. And I'm a doctor.	Apartment, The 
DR. DREYFUSS	 (to Fran, slowly) Fran, I'm a doctor. I'm here because you took too many sleeping pills. Do you understand what I'm saying? (Fran mutters something) Fran, I'm Dr. Dreyfuss -- I'm here to help you. You took all those sleeping pills -- remember?	FRAN	 (mumbling groggily) Sleeping pills.	DR. DREYFUSS	 That's right, Fran. And I'm a doctor.	FRAN	 Doctor.	Apartment, The 
FRAN	 Dreyfuss.	DR. DREYFUSS	 (to Bud) Get more coffee.	DR. DREYFUSS	 (to Fran) Tell me again -- what's my name?	FRAN	 Dr. Dreyfuss.	Apartment, The 
DR. DREYFUSS	 Do you know where you are, Fran?	FRAN	 (looking around blankly) No.	DR. DREYFUSS	 Yes, you do. Now concentrate.	FRAN	 I don't know.	Apartment, The 
FRAN	 I don't know.	DR. DREYFUSS	 (pointing to Bud) Do you know who this is? (Fran tries to focus) Look at him.	FRAN	 Mr. Baxter -- nineteenth floor.	BUD	 Hello, Miss Kubelik.	Apartment, The 
BUD	 Hello, Miss Kubelik.	DR. DREYFUSS	 (to Bud) Mister -- Miss -- such politeness!	BUD	 (to Dr. Dreyfuss, discreetly) Well -- we work in the same building -- and we try to keep it quiet --	FRAN	 (to Bud, puzzled) What are you doing here?	Apartment, The 
DR. DREYFUSS	 (to Bud) Mister -- Miss -- such politeness!	BUD	 (to Dr. Dreyfuss, discreetly) Well -- we work in the same building -- and we try to keep it quiet --	FRAN	 (to Bud, puzzled) What are you doing here?	BUD	 (to Fran) Don't you remember? We were at the office party together --	Apartment, The 
BUD	 (to Dr. Dreyfuss, discreetly) Well -- we work in the same building -- and we try to keep it quiet --	FRAN	 (to Bud, puzzled) What are you doing here?	BUD	 (to Fran) Don't you remember? We were at the office party together --	FRAN	 Oh, yes -- office party -- Miss Olsen --	Apartment, The 
FRAN	 (to Bud, puzzled) What are you doing here?	BUD	 (to Fran) Don't you remember? We were at the office party together --	FRAN	 Oh, yes -- office party -- Miss Olsen --	BUD	 That's right. (to Dr. Dreyfuss; improvising rapidly) I told you we had a fight -- that's what it was about -- Miss Olsen -- you know that other girl you saw --	Apartment, The 
FRAN	 Oh, yes -- office party -- Miss Olsen --	BUD	 That's right. (to Dr. Dreyfuss; improvising rapidly) I told you we had a fight -- that's what it was about -- Miss Olsen -- you know that other girl you saw --	FRAN	 (still trying to figure out Bud's presence) I don't understand --	BUD	 It's not important, Fran -- the main thing is that I got here in time -- and you're going to be all right -- (to Dr. Dreyfuss) -- isn't she, Doc?	Apartment, The 
BUD	 That's right. (to Dr. Dreyfuss; improvising rapidly) I told you we had a fight -- that's what it was about -- Miss Olsen -- you know that other girl you saw --	FRAN	 (still trying to figure out Bud's presence) I don't understand --	BUD	 It's not important, Fran -- the main thing is that I got here in time -- and you're going to be all right -- (to Dr. Dreyfuss) -- isn't she, Doc?	FRAN	 (closing her eyes) I'm so tired --	Apartment, The 
FRAN	 (still trying to figure out Bud's presence) I don't understand --	BUD	 It's not important, Fran -- the main thing is that I got here in time -- and you're going to be all right -- (to Dr. Dreyfuss) -- isn't she, Doc?	FRAN	 (closing her eyes) I'm so tired --	DR. DREYFUSS	 Here -- drink this.	Apartment, The 
BUD	 It's not important, Fran -- the main thing is that I got here in time -- and you're going to be all right -- (to Dr. Dreyfuss) -- isn't she, Doc?	FRAN	 (closing her eyes) I'm so tired --	DR. DREYFUSS	 Here -- drink this.	FRAN	 (pushing the mug away) Please -- just let me sleep.	Apartment, The 
DR. DREYFUSS	 Here -- drink this.	FRAN	 (pushing the mug away) Please -- just let me sleep.	DR. DREYFUSS	 You can't sleep. (shaking her) Come on, Fran -- open your eyes. (to Bud) Let's get her walking. We've got to keep her awake for the next couple of hours.	DR. DREYFUSS	 (urging Fran on) Now walk, Fran. One, two, three, four -- one, two, three, four -- that's the idea -- left, right, left, right -- now we turn -- one, two, three, four --	Apartment, The 
FRAN	 (pushing the mug away) Please -- just let me sleep.	DR. DREYFUSS	 You can't sleep. (shaking her) Come on, Fran -- open your eyes. (to Bud) Let's get her walking. We've got to keep her awake for the next couple of hours.	DR. DREYFUSS	 (urging Fran on) Now walk, Fran. One, two, three, four -- one, two, three, four -- that's the idea -- left, right, left, right -- now we turn -- one, two, three, four --	DR. DREYFUSS	 Left, right, left, right -- walk, walk, walk -- one, two, three, four -- turn -- left, right, left, right -- now you got it --	Apartment, The 
BUD	 Just as long as she's okay.	DR. DREYFUSS	 (massaging his calves) These cases are harder on the doctor than on the patient. I ought to charge you by the mile.	DR. DREYFUSS	 Any of that coffee left?	BUD	 Sure.	Apartment, The 
DR. DREYFUSS	 How do you spell her last name?	BUD	 (from kitchen) Kubelik -- with two k's.	DR. DREYFUSS	 What's her address? (no answer from Bud) Where does she live?	BUD	 (apprehensive) Why do you want to know, Doc? You don't have to report this, do you?	Apartment, The 
BUD	 (from kitchen) Kubelik -- with two k's.	DR. DREYFUSS	 What's her address? (no answer from Bud) Where does she live?	BUD	 (apprehensive) Why do you want to know, Doc? You don't have to report this, do you?	DR. DREYFUSS	 It's regulations.	Apartment, The 
DR. DREYFUSS	 What's her address? (no answer from Bud) Where does she live?	BUD	 (apprehensive) Why do you want to know, Doc? You don't have to report this, do you?	DR. DREYFUSS	 It's regulations.	BUD	 (setting the coffee down) She didn't mean it, Doc -- it was an accident -- she had a little too much to drink and -- she didn't know what she was doing -- there was no suicide note or anything -- believe me, Doc, I'm not thinking about myself --	Apartment, The 
DR. DREYFUSS	 It's regulations.	BUD	 (setting the coffee down) She didn't mean it, Doc -- it was an accident -- she had a little too much to drink and -- she didn't know what she was doing -- there was no suicide note or anything -- believe me, Doc, I'm not thinking about myself --	DR. DREYFUSS	 (sipping the hot coffee) Aren't you?	BUD	 It's just that she's got a family -- and there's the people in the office -- look, Doc, can't you forget you're a doctor -- let's just say you're here as a neighbor --	Apartment, The 
BUD	 (setting the coffee down) She didn't mean it, Doc -- it was an accident -- she had a little too much to drink and -- she didn't know what she was doing -- there was no suicide note or anything -- believe me, Doc, I'm not thinking about myself --	DR. DREYFUSS	 (sipping the hot coffee) Aren't you?	BUD	 It's just that she's got a family -- and there's the people in the office -- look, Doc, can't you forget you're a doctor -- let's just say you're here as a neighbor --	DR. DREYFUSS	 (a long look at Bud) Well, as a doctor, I guess I can't prove it wasn't an accident. (closes notebook) But as your neighbor, I'd like to kick your keester clear around the block. (indicating coffee) Mind if I cool this off?	Apartment, The 
BUD	 It's just that she's got a family -- and there's the people in the office -- look, Doc, can't you forget you're a doctor -- let's just say you're here as a neighbor --	DR. DREYFUSS	 (a long look at Bud) Well, as a doctor, I guess I can't prove it wasn't an accident. (closes notebook) But as your neighbor, I'd like to kick your keester clear around the block. (indicating coffee) Mind if I cool this off?	BUD	 Help yourself.	DR. DREYFUSS	 (taking a big gulp of the spiked coffee) I don't know what you did to that girl in there -- and don't tell me -- but it was bound to happen, the way you carry on. Live now, pay later. Diner's Club! (another swig) Why don't you grow up, Baxter? Be a mensch! You know what that means?	Apartment, The 
BUD	 Help yourself.	DR. DREYFUSS	 (taking a big gulp of the spiked coffee) I don't know what you did to that girl in there -- and don't tell me -- but it was bound to happen, the way you carry on. Live now, pay later. Diner's Club! (another swig) Why don't you grow up, Baxter? Be a mensch! You know what that means?	BUD	 I'm not sure.	DR. DREYFUSS	 A mansch -- a human being! So you got off easy this time -- so you were lucky --	Apartment, The 
BUD	 Yeah, wasn't I?	DR. DREYFUSS	 (finishing coffee) But you're not out of the woods yet, Baxter -- because most of them try it again! (picks up bag, starts toward door) You know where I am if you need me.					Apartment, The 
BUD	 Don't worry about Dr. Dreyfuss -- I happen to know he was out on a case.	MRS. LIEBERMAN	 I'm warning you, Mr. Baxter -- this is a respectable house, not a honky-tonky. (to the dog) Come on, Oscar.					Apartment, The 
SHELDRAKE	 (counting down) 7-6-5-4-3-2-1 -- let her rip!	TOMMY	 Hey, Dad -- why don't we put a fly in the nose cone and see if we can bring it back alive?	SHELDRAKE	 It's a thought.			Apartment, The 
TOMMY	 Propagate -- you know, multiply -- baby flies?	SHELDRAKE	 Oh -- oh! (coming back from the phone) It's for you, Dad. A Mr. Baxter.	SHELDRAKE	 (getting up) Baxter?	TOMMY	 (to Jeff Jr.) Come on -- help me round up some flies.	Apartment, The 
SHELDRAKE	 (getting up) Baxter?	TOMMY	 (to Jeff Jr.) Come on -- help me round up some flies.	SHELDRAKE	 Hello? -- yes -- what's on your mind, Baxter?	BUD	 I hate to disturb you, but something came up -- it's rather important -- and I think it would be a good idea if you could see me -- at the apartment -- as soon as possible.	Apartment, The 
MRS. SHELDRAKE'S VOICE	 What is it, Jeff? Who's on the phone?	SHELDRAKE	 (a nice recovery) One of our employees had an accident -- I don't know why they bother me with these things on Christmas Day. (into phone) Yes, Baxter -- just how serious is it?	BUD	 Well, it was touch and go there for a while -- but she's sleeping it off now.	BUD	 I thought maybe you'd like to be here when she wakes up.	Apartment, The 
BUD	 I thought maybe you'd like to be here when she wakes up.	SHELDRAKE	 That's impossible. (an apprehensive look toward the living room) You'll have to handle this situation yourself -- as a matter of fact, I'm counting on you --					Apartment, The 
BUD	 (into phone) -- all right, Mr. Sheldrake, I'll keep her in my apartment as long as I can -- any sort of message you want me to give her? -- well, I'll think of something -- goodbye, Mr. Sheldrake.	FRAN	 (weakly) I'm sorry.	FRAN	 I'm sorry, Mr. Baxter.	BUD	 Miss Kubelik -- (hurries toward her) -- you shouldn't be out of bed.	Apartment, The 
FRAN	 I'm sorry, Mr. Baxter.	BUD	 Miss Kubelik -- (hurries toward her) -- you shouldn't be out of bed.	FRAN	 I didn't know -- I had no idea this was your apartment --	BUD	 (putting his arm around her) Let me help you.	Apartment, The 
FRAN	 I didn't know -- I had no idea this was your apartment --	BUD	 (putting his arm around her) Let me help you.	FRAN	 I'm so ashamed. Why didn't you just let me die?	BUD	 What kind of talk is that? (he lowers her onto the bed) So you got a little over- emotional -- but you're fine now.	Apartment, The 
FRAN	 I'm so ashamed. Why didn't you just let me die?	BUD	 What kind of talk is that? (he lowers her onto the bed) So you got a little over- emotional -- but you're fine now.	FRAN	 (a groan) My head -- it feels like a big wad of chewing gum. What time is it?	BUD	 Two o'clock.	Apartment, The 
BUD	 What kind of talk is that? (he lowers her onto the bed) So you got a little over- emotional -- but you're fine now.	FRAN	 (a groan) My head -- it feels like a big wad of chewing gum. What time is it?	BUD	 Two o'clock.	FRAN	 (struggling to her feet) Where's my dress? I have to go home.	Apartment, The 
BUD	 Two o'clock.	FRAN	 (struggling to her feet) Where's my dress? I have to go home.	BUD	 You're in no condition to go anywhere -- except back to bed.	FRAN	 You don't want me here --	Apartment, The 
